%d 권을 더 읽어야 수련을 완료 할 수 있습니다.	Ennyivel: %d több Készségkönyvet kell elolvasnod, hogy fejleszthesd ezt a képzettséget. 
%d 냥을 투자하셨습니다.	%d Yangot fektettél be. 
%d 냥을 획득하셨습니다.	%d Yangot nyertél. 
%d 레벨이 되어야 다시 염색하실 수 있습니다.	El kell érned a %d szintet, hogy ismét befesthesd a hajad. 
%d 분 %d 초 동안 채팅금지 상태입니다	%d perc %d másodperc van még hátra a chat tiltásodból 
%d 시간 %d 분 %d 초 동안 채팅금지 상태입니다	%d óra %d perc %d másodperc van még hátra a chat tiltásodból 
%d 시간 %d 초 동안 채팅금지 상태입니다	%d óra %d másodperc van még hátra a chat tiltásodból 
%d 종류 %d 마리 낚음	%d-ból %d-t fogtál. 
%d 초 동안 채팅금지 상태입니다	%d másodperc van hátra a chat tiltásodból 
%d 초 후에 군주의 축복을 사용할 수 있습니다	%d másodperc után lehet a császár áldását felhasználni. 
%d 초간 쿨타임이 적용중입니다.	Újrafelhasználási idõ kb. %d másodperc 
%d 초후 목적지로 이동됩니다.	%d másodperccel az indítás után eléred a célhelyet. 
%d%% 확률로 관통 공격	Átható támadás %d%% eséllyel. 
%d%% 확률로 적퇴치시 경험치 추가 상승	Tapasztalat növekedés %d%%-kal az ellenség feletti gyõzelemnél. 
%d%% 확률로 적퇴치시 돈 2배 드롭	A zsákmányolt Yang növekedése %d%%-kal az ellenség feletti gyõzelemnél. 
%d%% 확률로 적퇴치시 생명력 회복	%d%% esély az életerõ feltöltésére egy gyõzelem után. 
%d%% 확률로 적퇴치시 아이템 2배 드롭	A zsákmányolt tárgyak növekedése %d%%-kal az ellenség feletti gyõzelemnél. 
%d%% 확률로 적퇴치시 정신력 회복	Mana emelkedés %d%%-kal az ellenség feletti gyõzelemnél. 
%d%% 확률로 치명타 공격	Kritikus támadás %d%% eséllyel. 
%d%% 확률로 타격시 상대 전신력 소모	%d%% valószínûséggel lesz Mana elvéve az ellenségtõl. 
%d%% 확률로 피해시 정신력 회복	Mana elnyelõdés %d%% eséllyel. 
%d분의 결제시간이 추가 되었습니다. (결제번호 %d)	%d játékidõ lett hozzáadva az eddigiekhez.. (Fizetési szám %d) 
%d의 경험치를 획득했습니다.	%d tapasztalatot szereztél. 
%d초 남았습니다.	%d másodperc a végéig. 
%d초 만큼 충전되었습니다.	%d másodperc hozzáadva. 
%d초 후 게임이 셧다운 됩니다.	%d másodperc múlva vége a játéknak. 
%s : %d 마리	%s: %d 
%s SP소모: %d	%s FP felhasználás: %d 
%s killcount %d mobkillcount %d bosskillcount %d 성지 진입수 %d	%s killcount %d mobkillcount %d bosskillcount %d szent föld száma %d 
%s 군주 후보에서 삭제하였습니다	%s-t törölve lett a császár jelöltek közül. 
%s 군주로 입명 했습니다.	%s császárnak van jelölve. 
%s 군주르 제거 하였습니다..	A %s császárt eltávolítják. 
%s 군주를 제거 할수 없습니다.	%s császár nem eltávolítható. 
%s 길드가 %s 길드에 선전포고를 하였습니다!	A(z) %s céh háborút hirdetett %s ellen. 
%s 길드가 %s 길드와의 전쟁에서 승리 했습니다.	%s megnyerte a céhháborút %s ellen. 
%s 길드가 %s 길드의 깃발을 빼앗았습니다!	%s megszerezte %s zászlóját. 
%s 길드와 %s 길드 사이의 전쟁이 무승부로 끝났습니다.	A céhháború döntetlennel végzõdött %s és %s között. 
%s 길드와 %s 길드 사이의 전쟁이 취소되었습니다.	A céhháború %s és %s között törölve lett. 
%s 길드와 %s 길드가 잠시 후 전쟁을 시작합니다!	A céhháború perceken belül elkezdõdik %s és %s között. 
%s 길드와 %s 길드가 전쟁을 시작하였습니다!	A céhháború elkezdõdött %s és %s között. 
%s 길드의 %s이 %d%% 증가했습니다!	%s a %s céhnek felment %d%%-ra. 
%s 길드의 %s이 정상으로 돌아왔습니다.	%s a %s céhnek normalizálódott. 
%s 길드의 깃발을 %s 님이 획득하였습니다.	A %s céh zászlaját ellopta %s játékos. 
%s 는 군주 후보가 아닙니다.	%s nem császár jelölt. 
%s 는 군주로 입명할수 없습니다 .	%s-t nem lehet császárnak jelölni. 
%s 님과의 교환이 성사 되었습니다.	Az üzlet %s személlyel sikerült. 
%s 님에게 파티가입 신청을 했습니다.	Szeretnél %s csoportjába lépni. 
%s 님으로 부터 친구 등록을 거부 당했습니다.	%s elutasította a meghívást. 
%s 님은 %d 채널에 접속 중 입니다. (현재 채널: %d)	%s játékos a %d csatornán található. (Te a %d csatornán vagy) 
%s 님은 접속되 있지 않습니다.	%s nem online. 
%s 님은 정상적으로 출마를 하였습니다.	%s játékos már a választásban van. 
%s 님을 소환하였습니다.	%s játékost választottad ki. 
%s 님이 대련에서 승리하였습니다.	%s megnyerte a párbajt. 
%s 님이 승리하였습니다.	%s nyert. 
%s 블럭! (%d%%)	%s blokk! (%d%%) 
%s 아이템 을 획득하셨습니다	%s tárgyat nyertél. 
%s 아이템이 필요합니다	Szükséged van %s-re. 
%s 에게로 이동합니다	Transzport a %s játékoshoz. 
%s 회피! (%d%%)	%s kitérés! (%d%%) 
%s: 존재하지 않는 길드 입니다.	%s: Ez a céh nem létezik. 
%s[%d]가 공격 위치: %d %d	%s[%d] Támadó Pozíciója: %d %d 
%s님과의 대결 시작!	A harc %s ellen megkezdõdött. 
%s님이 대결신청을 했습니다. 승낙하려면 대결동의를 하세요.	%s harcra hívott téged. 
%s님이 주사위를 굴려 %d가 나왔습니다. (%d-%d)	%s dobott kockával. Dobásának értéke %d (%d-%d). 
%s를 구웠습니다.	%s-t sütsz a tûz fölött. 
%s에 박혀있던 보석이 사라집니다.	A %s-ból készült drágakõ eltûnt. 
%s에 전쟁의 시작을 알리는 봉화가 나타났습니다.	Máglyát gyújtottak %s-nél, hogy csatára figyelmeztessenek. 
%s에게 대결신청을 했습니다.	%s harcra hívott. 
%s에서 봉화를 둘러싸고 전투가 진행중입니다.	Háború van %s-ben a máglya meggyújtásáért. 
%s에서 소켓 빠질때까지 남은 시간 %d	A %s idõbõl a foglalat eltávolításáig fennmaradó: %d 
%s의 %s이 %d%% 증가했습니다!	%s: %s megnövekedett %d%%-kal! 
%s의 %s이 정상으로 돌아왔습니다.	%s %s-a normalizálódott. 
%s의 군주가 %s 님으로 교체되었습니다.	%s császárát lecserálták. Az új császár: %s. 
%s이 모든 봉화를 파괴하였습니다.	%s minden máglyát szétrombolt. 
%s이 봉화를 파괴했습니다.	%s szétrombolta a máglyát. 
%s이 수성에 성공했습니다.	%s sikeresen védekezett. 
%s이 수성에 실패하여 전쟁에 패배하였습니다..	%s elvesztette a háborút, mert nem tudta megvédeni a kastélyt. 
%s이 필요합니다.	Ehhez szükséges : %s 
OX이벤트가 닫히지 않았거나, 퀴즈 출제중입니다.(flag: %d)	OX Az esemény még nem fejezõdött be. Hiba történt. (flag: %d) 
OX이벤트가 열려 있지 않거나 문제 출제중입니다.(Flag: %d)	OX Esemény befejezõdött. Nem történt hiba.(Flag: %d) 
OX이벤트를 강제 종료 시킵니다.	OX Esemény befejezõdik. 
OX이벤트의 나머지 인원 기록을 실패했습니다.	OX A többi esemény résztvevõ nem lett felírva. 
OX이벤트의 나머지 인원을 기록하였습니다.	OX Az esemény többi résztvevõje fel van írva. 
TEST : 현재 국고 : %d	TEST: A birodalmad széf tartalma: %d 
TEST : 황금두꺼비가 국고로 환원되었습니다.	TEST: Az aranyrudakat visszafizették a birodalom széfjébe. 
TEST : 황금두꺼비를 국고로 환원할 수 없습니다.	TEST: Az aranyrudakat nem tudod visszatenni a birodalom széfjébe. 
X 입니다	Nem (X) 
[%s군주] : %s	[%sMonarch] : %s 
[%s군주] : %s  보유금액 %lld	[%sMonarch] : %s Yang rendelkezik %lld 
[TEST_ONLY]현재 국고 : %d	[TEST_ONLY]Adó nagysága: %d 
가만히 있을 때만 착용할 수 있습니다.	Nyugton kell maradnod a tárgy felszereléséshez. 
각제국 진행 정보	Birodalmi információk 
감지기를 작용하였으나 감지되는 영석이 없습니다.	Pillanatnyilag nincs Metinkõ ezen a térképen. 
갑옷을 벗어야 개인 상점을 열 수 있습니다.	Csak akkor tudod kinyitni a boltot, ha leveszed a felszerelésed. 
값을 잘못 입력하였습니다.	Rossz értéket adtál meg. 
강화에 성공했습니다.	Sikeres volt az erõsítés. 
강화에 실패했습니다.	Nem sikerült az erõsítés. 
강화에 필요한 재료가 아닙니다.	Nincsenek nálad a szükséges anyagok a Sárkánykõ erõsítéséhez. 
강화창을 연 상태에서는 아이템을 옮길 수 없습니다.	Nem mozdíthatod el a tárgyat a finomítási ablakon belül. 
강화할 수 없는 용혼석입니다.	Ez a Sárkánykõ nem használható erõsítéshez. 
같은 개량서를 합칠 수는 없습니다.	Nem kapcsolhatsz össze azonos javító tekercseket. 
같은 종류의 메틴석은 여러개 부착할 수 없습니다.	Nem tudsz több azonos fajta szellemkövet felerõsíteni. 
같은 종류의 유니크 아이템 두 개를 동시에 장착할 수 없습니다.	Nem szerelheted fel ezt a tárgyat kétszer. 
같이 지을 수 없는 종류의 건물이 지어져 있습니다.	Ezt az épülettípust csak egyszer lehet felállítani. 
개량된 후 아이템의 레벨 제한보다 레벨이 낮습니다.	Túl alacsony a szinted ahhoz, hogy használd ezt a tárgyat. 
개량을 하기 위한 돈이 부족합니다.	Nincs elegendõ Yangod. 
개량을 하기 위한 재료가 부족합니다.	Nincs megfelelõ anyagod, hogy megcsináld. 
개인상점 사용후 %d초 이내에는 귀환부,귀환기억부를 사용할 수 없습니다.	A raktár nyitása után nem használhatod a visszaállító tekercset további %d másodpercig. 
거래 후 %d초 이내에 창고를 열수 없습니다.	Kereskedés után %d másodpercet kell várnod, hogy boltot nyithass. 
거래 후 %d초 이내에는 귀환부,귀환기억부등을 사용할 수 없습니다.	Kereskedés után nem használhatsz visszaállító tekercset %d másodpercig. 
거래 후 %d초 이내에는 다른지역으로 이동 할 수 없습니다.	%d másodpercig a kereskedés után nem tudsz máshova menni. 
거래창,창고 등을 연 상태에서는 귀환부,귀환기억부 를 사용할수 없습니다.	Nem használhatsz visszaállító tekercset, amíg egy másik ablak nyitva van. 
거래창,창고 등을 연 상태에서는 다른곳으로 이동,종료 할수 없습니다	Kereskedés után egy ideig nem mehetsz máshova. 
거래창,창고 등을 연 상태에서는 보따리,비단보따리를 사용할수 없습니다.	Nem nyithatod ki a raktárat, amíg más ablak nyitva van. 
거짓	FALSE 
건물 비용 정보 이상으로 건설 작업에 실패했습니다.	Hibás árazás miatt nem sikerült az építkezés. 
건물을 지을 수 없는 위치입니다.	Ezen a helyen nem lehet építkezni. 
건설 비용이 부족합니다.	Nincs elég Yangod, hogy felépítsd az épületet. 
건설에 필요한 건물이 지어져 있지 않습니다.	A fõépületet kell elõször felállítani. 
게임을 종료 합니다. 잠시만 기다리세요.	Lekapcsolódás a szerverrõl. Kérlek várj! 
결재기간이 %d분 후 만료 됩니다.	A játékidõd %d perc múlva lejár. 
결혼 상태가 아니면 결혼반지를 사용할 수 없습니다.	Hordhatsz eljegyzési gyûrût, ha még nem vagy házas. 
결혼식이 종료됩니다.	Mindjárt vége az esküvõnek. 
결혼하지 않은 상태에서 예물을 착용할 수 없습니다.	Nem használhatod ezt a tárgyat, mert nem vagy házas. 
경험치 %d%%	Tapasztalat %d%% 
경험치 %d%% 추가 획득 이벤트 중입니다.	A tapasztalat bónusz jelenleg további %d%%. 
경험치 배율	Tapasztalati pontok százaléka 
경험치가 부족하여 책을 읽을 수 없습니다.	Hiányos tapasztalat miatt nem tudod elolvasni. 
고기가 미끼만 빼먹고 잽싸게 도망칩니다.	Elveszítetted csalidat. 
고기가 잡혔습니다! (%s)	Halat fogtál. (%s) 
고기가 흔적도 없이 사라집니다.	A hal a víz mélyén eltûnt. 
곡괭이 수련도가 최대(%d)가 되었습니다.	A bányász pontjaid elérték a maximumot (%d). 
곡괭이가 최대 수련도에 도달하였습니다.	A bányász pontjaid elérték a maximumot. 
곡괭이를 들고 있지 않아서 캘 수 없습니다.	Csákány nélkül nem bányászhatsz. 
곡괭이를 장착하세요.	Szükséged van egy csákányra hogy ércet szerezz! 
곡괭이의 수련도가 증가하였습니다! (%d/%d)	Bányász pontjaid nõttek. (%d/%d) 
골드 드롭률 %d%% 추가 이벤트 중입니다.	A Yang eldobás hányada a pillanatban plusz %d%% 
공격력 +%d	Támadó erõ + %d 
공격력 +%d%%	Támadás + %d%% 
공격속도 +%d	Támadó sebesség +%d 
공부하기 싫어지네.	Nem akarok tovább tanulni. 
관전 모드로 길드전에 참가하셨습니다.	A céhháborúban megfigyelõként részt vehetsz. 
관전 상태에서는 교환을 할 수 없습니다.	Megfigyelésnél nem kereskedhetsz. 
관통 추가 데미지 %d	További szúrófegyver sérülések %d 
국고에 돈이 부족하거나 돈을 가져올수 없는 상황입니다	Nincs elég Yangod. 
국고에 돈이 부족합니다. 현재 : %u 필요금액 : %u	Adóhiány. Jelenlegi tõke: %u hiányzó tõke: %u 
국고에 자금이 모자랍니다 국고 : %d	Nem elég az adóbevétel: %d 
군주 정보	Császár információk 
군주가 내린 축복으로 모든 에너지가 가득 채워집니다	A császár áldása miatt visszaverõdik az energia. 
군주만이 사용 가능한 기능입니다	Ezt a funkciót csak a császár használhatja. 
군주만이 사용가능 한 기능입니다	Csak a császár használhatja. 
군주만이 사용할수 있는 기능입니다	Csak császárok használhatják. 
군주의 금강권 영향으로 이지역 %s 유저는 3분간 10 %% 의 방어력이  증가됩니다	Geum-Gang-Gwon uralkodó által a %s játékoshoz ezen a területen 3 percen át 10 %%  felszerelés adódik. 
군주의 사자후 영향으로 이지역 %s 유저는 3분간 10 %% 의 공격력이  증가됩니다	Sa-Za-Hu uralkodó által %s játékosnak ezen a területen 3 percen keresztül 10%%-kal nõ a támadó ererje. 
군주의 자격을 가지고 있지 않습니다	Nincs császári kiképzésed. 
군주의 축복으로 이지역 %s 유저는 HP,SP가 모두 채워집니다.	Az %s uralkodó áldásának felhasználásánál a TP és MP helyreállítódik. 
군주의 축복을 사용하였습니다.	A császári áldás aktív. 
군직이 맞지않아 이 아이템을 사용할 수 없습니다.	Nem használhatod ezt a tárgyat, mert nincsenek meg az elõfeltételek. 
귀환에 실패하였습니다.	A teleportálás sikertelen. 
그것으로 수련은 끝난 거야!	A tréning lezárult. 
그래, 이 느낌이야. 체내에 기가 아주 충만해.	Igen, jó érzés. Tele vagyok Chi-vel. 
그래, 천천히. 좀더 천천히, 그러나 막힘 없이 빠르게!	Kicsit lassan... de folyamatosan... megállás nélkül! 
그랜드 마스터 수련을 할 수 없는 스킬입니다.	Ezt a képességet nem fejlesztheted a nagymesteri fokig. 
그런 명령어는 없습니다	Ez a rendelés nem létezik. 
그런 사람이 없습니다.	Ez a személy nem létezik. 
그런 이름 또는 번호의 길드가 없습니다.	Nem létezik céh ezzel a névvel vagy számmal. 
근력 +%d	Erõ +%d 
근력이 낮아 착용할 수 없습니다.	Nem vagy elég erõs, hogy magadra vedd ezt a tárgyat. 
금액이 부족합니다.	Érvénytelen Yang. 
기억된 위치가 타제국에 속해 있어서 귀환할 수 없습니다.	Egy idegen birodalomban nem tudod magad biztonságos helyre teleportálni. 
기억해 둘 수 없는 위치 입니다.	Nem mentheted ezt a helyszínt. 
기절하지 않음 %d%%	Nincs szédülés %d%% 
길드에 가입하지 않았습니다.	Nem léptél be a céhbe. 
길드원	Tag 
길드장	Vezetõ 
길드전에 참가한 상대방 길드원이 아무도 없습니다.	Nincs ellenfél. 
길드전이 일찍 종료되어 무승부로 판정 되었습니다. (5분이 지나지 않음)	Mivel a céhháború hamarabb befejezõdött, az eredmény döntetlennek számít. 
꿈속에서 어떻게요?	Az álmaimban? Hogyan? 
나무꾼를 통해 다음 레벨의 곡괭이로 업그레이드 할 수 있습니다.	Deokbae favágónál tudod fejleszteni a csákányod. 
나무에서 부터 신비한 빛이 나옵니다.	Egy misztikus fény jelent meg a fáról. 
나보다 너무 높은 레벨의 몬스터로는 변신 할 수 없습니다.	Nem változhatsz át olyan szörnnyé, aki magasabb szintû nálad. 
나의 군주 정보	A császárom információi 
나의 삼거리 진행정보	Információ a birodalmi csatáról. 
낚시 중에 미끼를 갈아끼울 수 없습니다.	Horgászat közben nem cserélhetsz csalit. 
낚시대가 아닌 물건으로 낚시를 할 수 없습니다!	Bot nélkül nem tudsz horgászni. 
낚시대가 최대 수련도에 도달하였습니다.	Elérted a halászati pontok maximális számát. 
낚시대를 장착 하세요.	Válassz ki egy horgászbotot. 
낚시대에 %s를 미끼로 끼웁니다.	Egy %s lett csaliként a horogra tûzve. 
낚시대의 수련도가 증가하였습니다! (%d/%d)	A horgászpontjaid nõttek! (%d/%d) 
낚시를 할 수 있는 곳이 아닙니다	Itt nem halászhatsz. 
낚시이벤트월척붕어	Horgászverseny 'Legjobb horgász' 
낚시이벤트잉어	'Nyugodt erõ' horgászverseny 
남은 생명력 양이 모자라 사용할 수 없습니다.	Nincs elég TP-d. 
남은 스탯 포인트가 없습니다.	Nem maradt státuszpont 
남은 스탯 포인트가 적습니다.	Túl kevés státuszpont maradt. 
남은 정신력 양이 모자라 사용할 수 없습니다.	Nincs elég Manád, hogy használd. 
너무 가까이 있습니다.	Túl közel vagy. 
너무 멀리 있습니다	Túl közel vagy. 
넘어지지 않음 %d%%	Nincs leesés %d%% 
녀석들은 이곳 성지에 있을 자격을 잃었다. 모두 성지에서 물러나거라~~[ENTER][ENTER] 10초 후에 모두 마을로 이동하게 됩니다.	Nincs jogod, hogy itt legyél. Tûnj el! 10 másodperc múlva visszakerülsz a faludba. 
느려지지 않음 %d%%	Nincs lelassulás %d%% 
님의 말	Ló 
다 읽었다! 이제 비급에 적혀있는 대로 전신에 기를 돌리기만 하면,	Olvastam! A Chi-nek most el kell oszlania a testemben. 
다른 거래중(창고,교환,상점)에는 개인상점을 사용할 수 없습니다.	Nem használhatsz magán boltot. 
다른 거래중(창고,교환,상점)에는 사용할 수 없습니다.	Nem termelhetsz, amíg egy másik kereskedõ/raktárablak nyitva van. 
다른 거래중일경우 개인상점을 열수가 없습니다.	Nem nyithatsz saját boltot addig, amíg másokkal kereskedsz. 
다른 거래창이 열려있을경우 거래를 할수 없습니다.	Ha nyitva van a kereskedõablak, nem kereskedhetsz mással. 
다른 거래창이 열린상태에서는 상점거래를 할수 가 없습니다.	Nem kereskedhetsz a boltban, mert egy másik kereskedõ ablak nyitva áll. 
다른 제국 유저는 소환할 수 없습니다.	Nem választhatsz ki játékost mást birodalomból. 
다른 컴퓨터에서 로그인 하여 접속을 종료 합니다.	Valaki belépett a felhasználó neveddel. Lekapcsolunk a szerverrõl. 
다른거래창이 열린상태에서는 창고를 열수가 없습니다.	Nem tudsz raktárat nyitni, amíg egy másik kereskedõ ablak nyitva van. 
다음 문제 준비해주세요.	Készen állsz a következõ kérdésre? 
다이아몬드로 소켓을 추가해야합니다.	Egy foglalatot kell hozzáadnod, amikor egy gyémántot akarsz használni. 
단계 개량에 성공했습니다.	Sikeres volt a csiszolási tisztaság növelése. 
단계 개량에 실패했습니다.	Nem sikerült a csiszolási tisztaság emelése. 
단계 개량에 필요한 재료가 아닙니다.	Ez a tárgy nem szükséges a finomításhoz. 
단계 개량할 수 없는 용혼석입니다.	Ezt a Sárkánykövet nem lehet finomításhoz használni. 
닫기	Bezár 
당신이 주사위를 굴려 %d가 나왔습니다. (%d-%d)	Dobtál kockával. Dobásod értéke %d (%d-%d). 
대련 강제 종료 성공	A párbaj sikeresen félbeszakadt. 
대련 강제 종료 실패	A párbaj sikertelenül félbeszakadt. 
대련 상대가 사라져 대련을 종료합니다.	A párbaj befejezõdött, az ellenséged eltûnt. 
대련 시간 초과로 대련을 중단합니다.	A párbaj idõtúllépés miatt befejezõdik. 
대련 시작에 문제가 있습니다.	Probléma merült fel a párbaj kezdetével. 
대련 중에는 이용할 수 없는 물품입니다.	A párbajban nem használhatod ezt a tárgyat. 
대련이 성공적으로 시작 되었습니다.	A párbaj kezdete sikeres volt. 
대련이 시작되었습니다.	A párbaj megkezdõdött. 
대련자 문제로 인하여 대련을 종료합니다.	A párbaj befejezõdik, mert probléma van a párbajozókkal. 
대련자 문제로 인하여 대련을 중단합니다.	A párbajt megállítják, mert probléma van az arénával. 
대련자가 없습니다.	Nincsenek párbajozók. 
대련장 문제로 인하여 대련을 종료합니다.	A párbaj befejezõdik, probléma van az arénával. 
대련장에서 사용하실 수 없습니다.	Nem használhatod ezen a területen. 
대박골드 드롭률 %d%% 추가 이벤트 중입니다.	A Yang eldobás hányada a pillanatban plusz %d%% 
더 높은 경지의 수련을 성공적으로 끝내셨습니다.	Sikeresen befejezted a tréninget a könyv segítségével. 
더 이상 OX이벤트 참가자를 받지 않습니다.	OX esemény nem fogad el több jelentkezést. 
더 이상 개량할 수 없습니다.	Nem lehetséges további fejlesztés. 
더 이상 수련할 수 없습니다.	Nem tudod tovább fejleszteni ezt a képességedet. 
더 이상 승마 수련서를 읽을 수 없습니다.	Nem olvashatsz további lovaglás leírást. 
더 이상 이 아이템을 이용하여 속성을 추가할 수 없습니다.	Ez a tárgy már nem fejleszthetõ. A bónuszok maximális mennyisége el lett érve. 
더이상 이 아이템을 이용하여 속성을 추가할 수 없습니다.	Használnod kell az Áldó Márványt hogy hozzáadhass egy bónuszt ehhez a tárgyhoz. 
더이상 캐낼 수 없습니다.	Nincs mit bányászni. 
던전 안에서는 %s%s 사용할 수 없습니다.	%s%s nem használható a kazamatában. 
독 저항 %d%%	Méreg ellenállás %d%% 
독공격 %d	Méreg támadás %d 
돈 %d 냥을 획득했습니다.	%d Yangot kaptál. 
돈 대박이 나올 확률	Yang-bomba ledobása százalékban 
돈 드롭율 %.1f배	Esély Yang találására %. 1f 
돈이 나올 확률	Yang eldobási arány 
돈이 부족하거나 아이템이 제자리에 없습니다.	Nincs elég Yang, vagy nincs hely a leltárban. 
동물류 몬스터 타격치 +%d%%	Ló támadóerõ szörnyekkel szemben +%d%% 
동일한 머리 스타일로는 교체할 수 없습니다.	Már most is ilyen frizurád van. 
두손검 방어 %d%%	Kétkezes kard védelem %d%% 
둔갑 중에는 능력을 올릴 수 없습니다.	Nem változtathatod meg a státuszod, amíg át vagy változtatva. 
둔갑 중에는 착용중인 장비를 변경할 수 없습니다.	Nem cserélheted le a felszerelt tárgyat, amíg át vagy változtatva. 
둔갑서 수련을 마첬습니다. 신선에게 찾아가세요.	Megtanultad az átváltozást. 
둔갑에 실패 하였습니다	Hiba az átváltozásnál 
둔갑할 수 없는 상태입니다.	Nem változhatsz át miközben lovagolsz. 
드디어 끝이 보이는 건가...  이 기술은 이해하기가 너무 힘들어..	Nehéz megérteni ezeket az utasításokat. Folytatom a tanulást. 
등급 개량에 성공했습니다.	Egy osztály finomítása volt sikeres. 
등급 개량에 실패했습니다.	Nem sikerült egy osztály finomítása. 
등급 개량에 필요한 재료가 아닙니다.	Ez a tárgy nem szükséges a csiszolási tisztaság emeléséhez. 
떨어진 아이템은 %d분 후 사라집니다.	Az eldobott tárgy el fog tûnni %d perc múlva. 
떨어진 아이템은 3분 후 사라집니다.	Az eldobott tárgy 3 perc múlva eltûnik. 
뜨거운 무엇이 계속 용솟음치고 있어! 이건, 이것은!	Úgy tûnik, már folyik a képzés... 
레벨 20 이하는 핸드폰 번호를 등록할 수 없습니다.	20-nál magasabb szinten kell állnod, hogy mobiltelefonszámod regisztrálni tudd. 
레벨 30이 되기 전에는 습득할 수 있을 것 같지 않습니다.	Legalább 30-as szintre van szükséged a könyv megértéséhez. 
레벨 50이 되기 전에는 습득할 수 있을 것 같지 않습니다.	Legalább 50-es szintre van szükséged a könyv megértéséhez. 
레벨이 낮아 착용할 수 없습니다.	Túl alacsony a szinted ezen tárgy felszereléséhez. 
로그인 화면으로 돌아 갑니다. 잠시만 기다리세요.	Vissza a bejelentkezõ ablakhoz. Kérlek várj! 
룻렛을 돌립니다. 금액 %d	Rulett pörgetés %d Yangért. 
를	a 
마법 공격력 +%d	Mágia támadás + %d 
마법 방어력 +%d	Mágia védelem + %d 
마법 저항 %d%%	Mágia ellenállás %d%% 
마음이 맑아지는군. 가슴을 짓누르던 무언가가 좀 가벼워진 느낌이야.	Szellemed tiszta. Jól tudsz koncentrálni. 
많은 참여 부탁드립니다.	Sok játékos részvételét kérjük. 
말 소환 아이템을 사용하세요.	Használj egy tárgyat a ló hívásához. 
말 소환에 실패하였습니다.	A ló hívása sikertelen. 
말에게 %s%s 주었습니다.	Megetetted a lovad %s%s-val. 
말에게 사료를 주었습니다.	Megetetted a lovat. 
말에게 선초를 주었습니다.	Növényekkel etetted a lovat. 
말에서 먼저 내려야 합니다.	Le kell szállnod. 
말을 돌려보냈습니다.	Elküldted a lovadat. 
말을 먼저 소환해주세요.	Elõbb a lovadat hívd kérlek! 
말을 소유하고 있지 않습니다.	Nincs lovad. 
말을 탄 상대와 감정표현을 할 수 없습니다.	Nem tudsz érzelmi kifejezéseket mutatni olyan játékosnak aki lovagol. 
말을 탄 상태에서 감정표현을 할 수 없습니다.	Nem tudsz érzelmi kifejezéseket mutatni míg lovagolsz. 
말을 탄 상태에서 예복을 입을 수 없습니다.	Nem tudod használni, amíg lovagolsz. 
말을 탄 상태에서는 먹이를 줄 수 없습니다.	Nem etetheted a lovadat amikor rajta ülsz. 
말의 스테미너가 부족하여 말을 탈 수 없습니다.	A lovad kitartása túl alacsony. 
말이 없습니다. 마굿간 경비병을 찾아가세요.	Nincs rendelkezésre álló ló. Kérdezd az istállófiút. 
말이 죽어있는 상태 입니다.	Döglött a lovad. 
맞으면 O, 틀리면 X로 이동해주세요	Ha helyes menj erre: O, ha helytelen akkor erre: X. 
머니  룰렛 시작.	Yang rulett indítása 
먼저 다이아몬드로 악세서리에 소켓을 추가해야합니다.	Elõször egy foglalatot kell hozzáadnod, ehhez használj gyémántot. 
먼저 용혼석 퀘스트를 완료하셔야 합니다.	Mielõtt kinyitsz egy Cor Draconis-t, teljesítened kell a Sárkánykõ-küldetést és aktiválnod kell a Sárkánykõ-alkímiát. 
먼저 일어 나세요.	Elõször állj fel. 
먼저 재가비서를 이용하여 속성을 추가시켜 주세요.	Az Áldó Márványt csak olyan tárgygyal használhatod aminek már van 4 bónusza. 
메틴2인증번호: %s	Metin2 Visszaigazolásszám: %s 
메틴석 부착에 성공하였습니다.	Sikeresen felszerelted a szellemkövet. 
메틴석 부착에 실패하였습니다.	A szellemkõ eltört felszerelés közben. 
명령어를 모두 입력하세요.	Teljes hosszában add meg rendelésed. 
명령어의 서브 커맨드가 잘못 되었습니다.	A parancs egy része hibás. 
모닥불을 피울 수 없는 지점입니다.	Itt nem csinálhatsz tábortüzet. 
몬스터에게 강함 +%d%%	Szörnyek elleni erõ + %d%% 
몸 속이 뜨겁군. 하지만 아주 편안해. 이대로 기를 안정시키자.	Belül égek, de ez megnyugtatja a testem. A Chi-met stabilizálni kell. 
몸에서 뭔가 힘이 터져 나오는 기분이야!	A testem tele van erõvel! 
무기와 갑옷에만 사용 가능합니다.	Csak fegyveren és vérten használható. 
무당공격에 %d%% 저항	%d%% ellenállás sámán támadással szemben 
무당에게 강함 +%d%%	Erõ sámánok ellen + %d%% 
무료 개량 기회는 20 이하의 무기만 가능합니다	Az ingyenes fegyverjavítás csak a 20-as szint alatti fegyverekre alkalmazható. 
무사공격에 %d%% 저항	%d%% ellenállás harcos támadással szemben 
무사에게 강함 +%d%%	Erõ a harcosok ellen + %d%% 
문자 메세지 전송에는 2000원이 필요 합니다.	Legalább 2000 DT-re van szükség az sms küldéshez. 
문자 메세지 전송은 레벨 20부터 할 수 있습니다.	Legalább 20-as szinten kell állnod, hogy sms-t tudj küldeni. 
문자 메세지를 전송 했습니다.	El lett küldve az sms-ed. 
문제 입니다.	Kérdés. 
문제를 출제하였습니다.	Hiba történt. 
