ACCE_ABSORB_COST	Emiş fiyatı: {}
DETAILS_TOOLTIP_69	İki kat Yang düşürme şansı: İki kat Yang elde etme şansını artırır.
DETAILS_TOOLTIP_7	Rathalos karşısında güçlü: Vahşi Rathalos daha çok hasar verir.
DETAILS_TOOLTIP_70	Nesne düşürme şansı: Nesneleri çift çift elde etme şansını artırır.
DETAILS_TOOLTIP_71	Saldırı değerini artırır.
DETAILS_TOOLTIP_72	Savunma değerini artırır.
DETAILS_TOOLTIP_73	Tecrübe toplamayı artırır.
DETAILS_TOOLTIP_74	Nesne düşürme şansı: Nesne elde etme şansını artırır.
DETAILS_TOOLTIP_75	Yang düşürme şansı: Daha fazla Yang elde etme şansını artırır.
DETAILS_TOOLTIP_76	Büyü saldırısıyla aldığın hasarı düşürür.
DETAILS_TOOLTIP_77	Rakibinin büyü direncini düşürür.
DETAILS_TOOLTIP_8	Gods karşısında güçlü: Gods daha çok hasar verir.
DETAILS_TOOLTIP_9	Şeytanlar karşısında güçlü: Canavarlara daha çok hasar verir.
DETAILS_TOOLTIP_ATTBONUS_BELL	Çan Savunmasının Kırılması: Düşmanının çan Savunmasını azaltır.
DETAILS_TOOLTIP_ATTBONUS_BOW	Ok Savunmasının Kırılması: Düşmanının ok Savunmasını azaltır.
DETAILS_TOOLTIP_ATTBONUS_CLAW	Pençe Savunmasının Kırılması: Düşmanının pençe Savunmasını azaltır.
DETAILS_TOOLTIP_ATTBONUS_DAGGER	Hançer Savunmasının Kırılması: Düşmanının hançer Savunmasını azaltır.
DETAILS_TOOLTIP_ATTBONUS_FAN	Yelpaze Savunmasının Kırılması: Düşmanının yelpaze Savunmasını azaltır.
DETAILS_TOOLTIP_ATTBONUS_SWORD	Kılıç Savunmasının Kırılması: Düşmanının kılıç Savunmasını azaltır.
DETAILS_TOOLTIP_ATTBONUS_TWOHAND	Çift El Savunmasının Kırılması: Düşmanının çift el Savunmasını azaltır.
DETAILS_TOOLTIP_RESIST_MOUNT_FALL	Düşmeye Karşı Dayanıklılık: Bineğinden düşme ihtimalini azaltır.
DONT_USE_ITEM_WHEN_SHOW_CONFIRM	Sorgulama sırasında nesne hareket ettiremezsin.
DO_NOT_INSERT_UPBRINGING_PET	Aktif pet seçilemez.
DO_YOU_BUY_ITEM1	{} Eşyasını {} karşılığında satın almak ister misin?
DO_YOU_BUY_ITEM2	{} {}x eşyasını {} ile karşılığında almak ister misin?
DO_YOU_BUY_ITEM3	{} ile {} ve {} almak ister misin?
DO_YOU_BUY_ITEM4	{} nesnesini {}x {} ve {} karşılığında satın almak ister misin?
DO_YOU_DROP_MONEY	{} Yang bırakmak istiyor musun?
DO_YOU_SELL_ITEM1	{} Eşyasını {} Yang karşılığında satmak ister misin?
DO_YOU_SELL_ITEM2	{} ({} adet) eşyasını {} Yang karşılığında satmak ister misin?
DRAGON_SOUL_CANNOT_REFINE	Bu ejderha taşı arındırılamaz.
DRAGON_SOUL_CANNOT_REFINE_MORE	Bu ejderha taşı en yüksek seviyeye ulaştı bile.
DRAGON_SOUL_EQUIP_WARNING1	Bir ejderha taşını tekrar çıkartmak zor.
DRAGON_SOUL_EQUIP_WARNING2	Yine de devam etmek istiyor musun?
DRAGON_SOUL_EXPIRED	Süresi geçmiş ejderha taşı
DRAGON_SOUL_INVALID_DRAGON_SOUL	Yanlış ejderha taşı.
DRAGON_SOUL_IS_NOT_DRAGON_SOUL	Bu ejderha taşı değil.
DRAGON_SOUL_NOT_DRAGON_SOUL_REFINE_STONE	Bu doğru ejderha taşı değil.
DRAGON_SOUL_NOT_ENOUGH_MATERIAL	Arındırma için yeterli malzemen yok.
DRAGON_SOUL_NOT_MATCHED_SLOT	Ejderha taşı bu boşluğa sığmıyor.
DRAGON_SOUL_STEP_LEVEL1	Saflık: mat,
DRAGON_SOUL_STEP_LEVEL2	Saflık: parlak,
DRAGON_SOUL_STEP_LEVEL3	Saflık: tertemiz,
DRAGON_SOUL_STEP_LEVEL4	Saflık: mükemmel,
DRAGON_SOUL_STEP_LEVEL5	Saflık: kusursuz,
DRAGON_SOUL_STRENGTH	Seviye +{}
DRAGON_SOUL_UNEQUIP_WARNING1	Ejderha taşı kırılabilir.
DRAGON_SOUL_UNEQUIP_WARNING2	Yine de devam etmek istiyor musun?
DRAGON_SOUL_UNMATCHED_SLOT	Bu yanlış boşluk.
DRAGON_SOUL_UNQUALIFIED	Ejderha taşı simyasını henüz kullanamazsın.
DROP_ITEM_FAILURE_EQUIP_ITEM	Giyilen eşyayı bırakamazsın.
DROP_ITEM_FAILURE_PRIVATE_SHOP	Özel dükkan açtığın sürece nesne düşüremiyorsun.
DROP_MONEY_FAILURE_1000_OVER	En fazla 999 Yang bırakabilirsin.
EMOTION_ALCOHOL	Şerefe!
EMOTION_ANGRY	Can Sıkıcı
EMOTION_ATTRACTIVE	Baştan Çıkarma
EMOTION_BANTER	Küçümseme
EMOTION_BUSY	Stres
EMOTION_CALL	Çağrı
EMOTION_CELEBRATION	Parti
EMOTION_CHARGING	Akü
EMOTION_CHEERS_1	Hoşça Kal 1
EMOTION_CHEERS_2	Hoşça Kal 2
EMOTION_CHEERUP	Alkış
EMOTION_CHOOSE_ONE	Bir hedef seç.
EMOTION_CLAP	Alkışlar
EMOTION_CLAP_KISS	Öpücük
EMOTION_CONGRATULATION	Onaylama
EMOTION_DANCE_1	Dans 1
EMOTION_DANCE_2	Dans 2
EMOTION_DANCE_3	Dans 3
EMOTION_DANCE_4	Dans 4
EMOTION_DANCE_5	Dans 5
EMOTION_DANCE_6	Gumsan Style
EMOTION_DANCE_7	Samba
EMOTION_DOZE	Kısa süreli uyku
EMOTION_EXERCISE	Isınma
EMOTION_FORGIVE	Affetme
EMOTION_FRENCH_KISS	Fransız öpücüğü
EMOTION_HUNGRY	Açlık
EMOTION_JOY	Neşe
EMOTION_LETTER	Aşk mektubu
EMOTION_NOSAY	Suskun
EMOTION_PUSH_UP	Şınav
EMOTION_SAD	Üzgün
EMOTION_SELFIE	Selfie
EMOTION_SHY	Reddetme
EMOTION_SIREN	Siren
EMOTION_SLAP	Çak
EMOTION_WEATHER_1	Güneş
EMOTION_WEATHER_2	Gökkuşağı
EMOTION_WEATHER_3	Ay
EMOTION_WHIRL	Şaşkınlık
EMPIRE_A	Shinsoo Krallığı
EMPIRE_B	Chunjo Krallığı
EMPIRE_C	Jinno Krallığı
EMPIRE_SELECT_MODE	Krallık seç
EXCHANGE_CANNOT_GIVE	Bu nesneyi alışverişte kullanamazsın.
EXCHANGE_CANT_EDIT_MONEY	Toplamı şu anda değiştiremezsin.
EXCHANGE_FAILURE_EQUIP_ITEM	Giyilen eşyayı takas edemezsin.
EXCHANGE_MONEY	Toplam
EXCHANGE_TITLE	{} ({}) ile alışveriş
EXINVEN_USE_ITEM_FAIL_FALL_SHORT	{} envanter genişletmesine daha ihtiyacın var.
EXINVEN_USE_ITEM_FAIL_FOURTH_PAGE_STAGE_MAX	Envanterin maksimum genişletme sayısına ulaştı.
EXINVEN_USE_ITEM_QUESTION	Envanterini {} envanter genişletmesiyle büyütmek mi istiyorsun?
FISHING_FAILURE	Yemi kaybettin.
FISHING_NOTIFY1	{} oltaya takılmış gibi görünüyor.
FISHING_NOTIFY2	Oltaya {} takılmış gibi görünüyor.
FISHING_SUCCESS1	{} !
FISHING_SUCCESS2	Suda {} tuttun!
FISHING_UNKNOWN	Oltaya birşey takıldı ama ne olduğu belli değil.
FISHING_WRONG_PLACE	Burada balık tutamazsın.
FLOWER_EVENT_USE_ITEM_TEXT1	Etkinleştirilen efekti değiştirmek ister misin?
FLOWER_EVENT_USE_ITEM_TEXT2	Deneme başarısız olabilir. Çiçek bu durumda solar.
FOR_FEMALE	kadın için
FOR_MALE	erkek için
GAME_CANNOT_MINING	At üstündeyken madencilik yapamazsın.
GAME_CANNOT_PICK_ITEM	Kazanmadığın için bu nesneyi toplayamazsın.
GAME_GUILDWAR_NOW_JOIN	Lonca savaşına katılmak istiyor musun?
GAME_INIT_ERROR_CURSOR	imleç tanımlanamadı.
GAME_INIT_ERROR_DIRECTX	Oyunun çalisabilmesi için DirectX 8.1 kurulu olması gerekiyor.\nDirectX 8.1 veya daha yüksek bir sürümünü kur.
GAME_INIT_ERROR_GRAPHICS_BAD_PERFORMANCE	Grafik kartı bulunamadı.\nEğer mevcutsa, VGA kart sürücünüzün doğru yüklenmiş olup olmadığını kontrol edin.
GAME_INIT_ERROR_GRAPHICS_NOT_EXIST	Grafik kartı kurulamadı. \n Eğer VGA kartınız varsa kontrol edin. \n Alternatif olarak, donanım hızlandırıcınızı aktif edebilirsiniz. \n (Donanım Hızlandırıcınızı maximuma ayarlayın \n Control Panel->Display->Settings->Advanced->Troubleshoot)
GAME_INIT_ERROR_GRAPHICS_NOT_SUPPORT_32BIT	Bilgisayarınızdaki grafik kartı Windows 32bit Modunu desteklemiyor.\n16bit Modunu veya tam ekran seçeneğini kullanınız.
GAME_INIT_ERROR_ITEM_PROTO	Nesne bilgileri yok.\nOyunu tekrar yükleyiniz.
GAME_INIT_ERROR_MAIN_WINDOW	Anayapı oluşturulamıyor.
GAME_INIT_ERROR_MOB_PROTO	Canavar bilgileri yok.\nOyunu tekrar yükleyiniz.
GAME_INIT_ERROR_NETWORK	Bağlantı kurulamıyor.\ninternet bağlantınızı kontrol ediniz.
GAME_PICK_MONEY	{} Kazandın.
GEM_SYSTEM_ADD_SLOT	Gerekli nesne: {}.\nŞimdi {} adet kullanıp, yeni bir sıra açmak ister misin?
GEM_SYSTEM_BUY_ITEM	Bu nesneyi satın almak istiyor musun?
GEM_SYSTEM_NAME	Gaya
GEM_SYSTEM_NOT_ENOUGHT_REFRESHITEM	[Gaya] Yeterince 'Gaya mağazasını sıfırlaya' sahip değilsin.
GEM_SYSTEM_NOT_ENOUGH_HP_GEM	[Gaya] Yeterli Gayan yok.
GEM_SYSTEM_NO_MORE_ADDSLOT	[Gaya] Daha fazla yer açılamaz.
GEM_SYSTEM_OPEN_GEMSHOP	[Gaya] Önce Gaya mağazasını aç.
GEM_SYSTEM_PICK_GEM	[Gaya] Gaya miktarı: {}
GEM_SYSTEM_REFRESH_SHOP_ITEMS	Sıfırlamak istiyor musun?
GIVEUP_QUESTION	Pes etmek istediğinden emin misin?
GUILDBANK_CLEARBANK	Dikkat: Lonca deposu boşaltılmış olmalı!
GUILDBANK_DONT_MONEY_OUT	Lonca bankasında Yang'ın yok!
GUILDBANK_GOLD_IN	Yatır
GUILDBANK_GOLD_OUT	Öde
GUILDBANK_ITEM_IN	Depola
GUILDBANK_ITEM_OUT	Dış tedarik
GUILDBANK_MONEYIN	Yang yatır
GUILDBANK_MONEYOUT	Yang öde
GUILDBANK_NOTUSE	Buna yetkin yok.
GUILDBANK_NOT_ENOUGH_MONEY	Ödeme için yeterli Yang'ın yok.
GUILDBANK_OVER_INCOME	Hesap limiti erişildi.
GUILDBANK_OVER_MONEY	Lonca hesabı dolu.
GUILDLAND_ABANDON	Lonca deposundan vazgeç
GUILDLAND_ABANDON_VOTE	[{}] Loncanın lonca bölgesinden vazgeç.
GUILDLAND_ABANDON_VOTE_RESULT1	[{}] Loncası lonca bölgesinden vazgeçildi.
GUILDLAND_ABANDON_VOTE_RESULT2	Lonca bölgesinden vazgeçildi.
GUILDLAND_ABANDON_VOTE_RESULT3	Anket sonucu:
GUILDLAND_ABANDON_VOTE_RESULT4	Anket geçersiz.
GUILDLAND_ABANDON_VOTE_TEXT	Anketi gerçekten başlatmak istiyor musun?
GUILDLAND_ABANDON_VOTE_TEXT1	Lonca bölgesinden vazgeçmeyi kabul ediyor musun?
GUILDLAND_ACCEPT	Evet
GUILDLAND_DEAL	Lonca bölgesini sat
GUILDLAND_DEAL_TEXT1	[{}] loncası lonca bölgesini istiyor
GUILDLAND_DEAL_TEXT2	[{}] Yang karşılığında sat.
GUILDLAND_DEAL_TEXT3	Teklifi kabul ediyor musun?
GUILDLAND_DELA_VOTE	Loncan [{}] lonca bölgemizi satın almak istiyor.
GUILDLAND_DELA_VOTE_RESULT1	[{}] Loncasına lonca bölgesi satışı
GUILDLAND_DELA_VOTE_RESULT2	Anket bitti.
GUILDLAND_DELA_VOTE_RESULT3	Lonca bölgesi satışı için anket sonucu:
GUILDLAND_DELA_VOTE_RESULT4	Anket geçersiz.
GUILDLAND_DELA_VOTE_TEXT	Lonca bölgeni hangi loncaya satmak istiyorsun?
GUILDLAND_DELA_VOTE_TEXT1	Lonca bölgenin satılmasını istiyor musun?
GUILDLAND_DONTHAVE_LAND	Lonca bölgen yok.
GUILDLAND_NOT	Hayır
GUILDLAND_VOTE_TEXT	[{}] Kişisine bölgeyi vermek istiyor musun?
GUILDLIST_APPLICANT	Başvurmak istiyor musun?
GUILDMARK_UPLOADER_ERROR_128_HEIGHT	Yükseklik 128 Pixel değil
GUILDMARK_UPLOADER_ERROR_12_HEIGHT	Yükseklik 12 Pixel değil
GUILDMARK_UPLOADER_ERROR_16_WIDTH	Genislik 16 Pixel değil
GUILDMARK_UPLOADER_ERROR_64_WIDTH	Genişlik 64 Pixel değil
GUILDMARK_UPLOADER_ERROR_FILE_FORMAT	Oyun bu resmi desteklemiyor.
GUILDMARK_UPLOADER_ERROR_PATH	Bilgiyi metin2/upload klasörüne taşı.
GUILDMARK_UPLOADER_ERROR_SELECT	Resim dosyası seçilmedi.
GUILDVOTE_CHANGEMASTER	Lonca liderini değiştir
GUILDVOTE_CHANGEMASTER_RESULT1	Lonca başarıyla devredildi.
GUILDVOTE_CHANGEMASTER_RESULT2	[{}] Loncası sana devredildi.
GUILDVOTE_CHANGEMASTER_RESULT3	Loncayı [{}] üyesine devret.
GUILDVOTE_CHANGEMASTER_RESULT4	Anket geçersiz.
GUILDVOTE_CHANGEMASTER_RESULT5	Yeni lonca lideri: {}
GUILDVOTE_CHANGEMASTER_TEXT1	Loncayı şuna vermek istiyor musun: {}?
GUILDVOTE_CHANGEMASTER_TEXT2	
GUILDVOTE_CHANGEMASTER_TEXT3	Lonca liderliğini gerçekten bırakmak istiyor musun?
GUILDVOTE_CHANGEMASTER_TEXT4	
GUILDVOTE_CHANGEMASTER_VOTETEXT1	Loncayı [{}] üyesine devret.
GUILDVOTE_CHANGEMASTER_VOTETEXT2	Loncanın devredilmesini kabul ediyor musun?
GUILDVOTE_MEMBEROUT	Üyeyi çıkar
GUILDVOTE_MEMBEROUT_AUTH	Buna yetkin yok.
GUILDVOTE_MEMBEROUT_NOMAL	Bu üyeyi gerçekten çıkarmak istiyor musun?
GUILDVOTE_MEMBEROUT_RESULT1	[{}] Üyesini çıkar
GUILDVOTE_MEMBEROUT_RESULT2	Anket sonucu
GUILDVOTE_MEMBEROUT_RESULT3	[{}] Loncasından çıkarıldın.
GUILDVOTE_MEMBEROUT_RESULT4	Anket sonucu
GUILDVOTE_MEMBEROUT_RESULT5	Anket geçersiz.
GUILDVOTE_MEMBEROUT_TEXT1	Anketi şuna karşı başlatmak istiyor musun: [{}] ?
GUILDVOTE_MEMBEROUT_TEXT2	Anket: Üye loncadan çıkarılsın mı?
GUILDVOTE_MEMBEROUT_VOTETEXT1	Anket: [{}] loncadan çıkarılsın mı?
GUILDVOTE_MEMBEROUT_VOTETEXT2	
GUILDVOTE_NO	Red
GUILDVOTE_OK	Kabul
GUILDVOTE_RESULT_AGGRE_MEMBER	Kabul eden: {}
GUILDVOTE_RESULT_ALL_MEMBER	Katılımcı: {}
GUILDVOTE_RESULT_OPPESE_MEMBER	Reddeden: {}
GUILDVOTE_RESULT_TIME	{} Gün {} Saat {} Dakika {} Saniye
GUILDVOTE_SELECT_ONE	Lütfen bir karakter seç.
GUILDWAR_ALL	Savaşlar (S)
GUILDWAR_CTF_TITLE	Bayrak Savaşı
GUILDWAR_DRAW	Berabere (B)
GUILDWAR_GAINSCORE_FIFTY	50 puan
GUILDWAR_GAINSCORE_HUNDRED	100 puan
GUILDWAR_GAINSCORE_THIRTY	30 puan
GUILDWAR_GAMETIME_SIXTY	60 dakika
GUILDWAR_GAMETIME_TEN	10 dakika
GUILDWAR_GAMETIME_THIRTY	30 dakika
GUILDWAR_INPUT_OTHERGUILD	Lütfen rakip loncayı ekle.
GUILDWAR_LADDER	Sıralama Puanları
GUILDWAR_LIMIT_MEMBER_FIVE	Minimum katılımcı sayısı 5.
GUILDWAR_LOSE	Mağlubiyetler (M)
GUILDWAR_NORMAL_TITLE	Meydan Savaşı
GUILDWAR_OVER_MEMBERCOUNT	Üye sınırına eriştim.
GUILDWAR_QUESTION_LINE_1	{} loncası, senin loncana savaş ilan etti.
GUILDWAR_QUESTION_LINE_2	kabul ediyor musun? ({})
GUILDWAR_RANKING	Rütbe
GUILDWAR_RECODE_ALL	{} S, {} G, {} M, {} B
GUILDWAR_SELECT_MEMBER_COUNT	Katılı sayısını seç.
GUILDWAR_TYPE_DEFENSE	Kalkan Savaşı
GUILDWAR_TYPE_TIGER	İmha Savaşı
GUILDWAR_TYPE_TIME	Zaman Saldırısı
GUILDWAR_UNKNOWN_TITLE	...
GUILDWAR_WARP_TITLE	Arena Savaşı
GUILDWAR_WIN	Galibiyetler (G)
GUILDWAR_WIN_FIVE	Beş tur
GUILDWAR_WIN_ONE	Bir tur
GUILDWAR_WIN_THREE	Üç tur
GUILDWINDOW_BUTTON_BANKGOLDINFO	Lonca deposu geçmişi
GUILDWINDOW_BUTTON_BASEABANDON	Lonca deposundan vazgeç
GUILDWINDOW_BUTTON_BASEDEAL	Lonca bölgesini sat
GUILDWINDOW_BUTTON_BASEDEALVOTE	Anket
GUILDWINDOW_BUTTON_BOARD	Lonca notları
GUILDWINDOW_BUTTON_CHANGEMASTER	Lonca liderini değiştir
GUILDWINDOW_BUTTON_DECLARE	Savaş ilanı
GUILDWINDOW_BUTTON_GOLDIN	Yatır
GUILDWINDOW_BUTTON_GOLDOUT	Öde
GUILDWINDOW_BUTTON_GRADE	Yönetici Pozisyonu
GUILDWINDOW_BUTTON_GUILDLIST	Lonca listesi
GUILDWINDOW_BUTTON_HEALGSP	Ejderha gücünü yükle
GUILDWINDOW_BUTTON_INFO	Lonca Bilgisi
GUILDWINDOW_BUTTON_LANDINFO	Bölge bilgileri
GUILDWINDOW_BUTTON_MARK	Lonca simgesini yükle
GUILDWINDOW_BUTTON_MEMBER	Üyeler
GUILDWINDOW_BUTTON_OFFER	EXP bağışla
GUILDWINDOW_BUTTON_OUTMEMBER	Üyeyi çıkar
GUILDWINDOW_BUTTON_SKILL	Lonca becerileri
GUILDWINDOW_BUTTON_SYMBOL	Lonca bayrağını yükle
GUILDWINDOW_BUTTON_VOTECHECK	Anketi denetle
GUILDWINDOW_BUY_GUILD_LAND	Arsa Alışı
GUILDWINDOW_CHANGE_OBJECT	Değiştir
GUILDWINDOW_CHANGE_SMELTER	Fırın Tadilatı
GUILDWINDOW_CREATE_OBJECT	Bina İnşası
GUILDWINDOW_DEAL_GUILD_LAND	Arsa Satışı
GUILDWINDOW_GRADE_BANK	Lonca bankası ve lonca deposunu kullanabilir
GUILDWINDOW_GRADE_DRIVEOUTAUTHORITY	Loncadan üyeleri çıkarabilir
GUILDWINDOW_GRADE_GRADENAME	Rütbe ismi
GUILDWINDOW_GRADE_GRADENUMBER	Rütbe numarası
GUILDWINDOW_GRADE_GUILDWAR	Savaşçı olarak katılan üyeleri seçebilir.
GUILDWINDOW_GRADE_INVITEAUTHORITY	Loncaya oyuncular alabilir
GUILDWINDOW_GRADE_NOTICEAUTHORITY	Lonca notlarını asabilir
GUILDWINDOW_GRADE_SKILLAUTHORITY	Lonca becerilerini kullanabilir
GUILDWINDOW_INFO_LEVEL10	Maks. üye sayısı artırır
GUILDWINDOW_INFO_LEVEL15	İndirimde: Ejderha Gücü
GUILDWINDOW_INFO_LEVEL20	Banka: Vergi Muafiyeti
GUILDWINDOW_INFO_LEVEL5	Lonca bağışına +%5 EXP
GUILDWINDOW_LIST_ALL	Tüm Krallıklar
GUILDWINDOW_LIST_ALREADY_REGISTER	[Lonca] Zaten başvurdun.
GUILDWINDOW_LIST_APPLICANT_LIST	Aday listesi
GUILDWINDOW_LIST_CHRACTER_JOB	Sınıf
GUILDWINDOW_LIST_CHRACTER_LV	Seviye
GUILDWINDOW_LIST_CHRACTER_NAME	Karakter Adı
GUILDWINDOW_LIST_CHRACTER_SUB_JOB	Ders
GUILDWINDOW_LIST_EMPIRE_A	Shinsoo
GUILDWINDOW_LIST_EMPIRE_B	Chunjo
GUILDWINDOW_LIST_EMPIRE_C	Jinno
GUILDWINDOW_LIST_GUILDMEMBER	Üyeler
GUILDWINDOW_LIST_GUILD_LIST	Lonca listesi
GUILDWINDOW_LIST_GUILD_LV	Seviye
GUILDWINDOW_LIST_GUILD_NAME	Lonca
GUILDWINDOW_LIST_INPUT_GUILDNAME	[Lonca] Lütfen bir lonca adı gir.
GUILDWINDOW_LIST_LADDER	Sıralama Puanları
GUILDWINDOW_LIST_NOTPROMOTEGUILD	[Lonca] Bu loncanın duyurusu yok.
GUILDWINDOW_LIST_PROMOTE_GUILD	Başvuru
GUILDWINDOW_LIST_PROMOTE_GUILD_LIST	Lonca listesi
GUILDWINDOW_LIST_RANKING	Pozisyon
GUILDWINDOW_LIST_RANKING_COUNT	Pozisyon
GUILDWINDOW_LIST_REGISTER	Başvurular
GUILDWINDOW_LIST_REGISTER_GUILD	Loncaya başvur
GUILDWINDOW_LIST_SEARCH	Arama
GUILDWINDOW_LIST_SELECT_GUILD	[Lonca] Başvurmak için lütfen bir lonca seç.
GUILDWINDOW_PROMOTE_REFRESH	Reklam
GUILDWINDOW_PROMOTE_REGISTER	Reklam
GUILDWINDOW_SP_RECOVER	Ejderha Gücü
GUILDWINDOW_UPGRADE_ALTEROFPOWER	Sunak Genişletmesi
GUILDWINDOW_UPGRADE_GUILDBANK	Banka Genişletmesi
GUILD_BANKINFO_CLOSE	Kapat
GUILD_BANKINFO_NAME	Üye
GUILD_BANKINFO_TYPE	Nesne/Para birimi
GUILD_BANKINFO_USETYPE	Eylem
GUILD_BANK_CLOSE	Kapat
GUILD_BANK_INFO	Lonca deposu geçmişi
GUILD_BOARD_ID	Üye
GUILD_BOARD_TEXT	Mesaj
GUILD_BUILDING_FIX_CHANGE	Posizyonu gerçekten değiştirmek istiyor musun?
GUILD_BUILDING_FIX_CHANGE_GOLD	Ücret: 1.000.000 Yang
GUILD_BUILDING_FIX_DELETE	Bu nesneyi gerçekten silmek istiyor musun?
GUILD_BUILDING_FIX_NEED_BUILDING	Bina yok.
GUILD_BUILDING_GRADE	Sıralama
GUILD_BUILDING_NAME	Binanin ismi
GUILD_CANNOT_HEAL_GSP_ANYMORE	Ejderha Hayaleti Enerjisi tamamen yüklenmiş durumda.
GUILD_COMMENT	Yaz
GUILD_CREATE_ERROR_INSULT_NAME	Lonca adı hatalı
GUILD_DEFAULT_GRADE	Lonca üyeleri
GUILD_DELETE	Sil
GUILD_DEPOSIT	Depozit
GUILD_DO_YOU_HEAL_GSP	{} Yang kullanarak {} Ejderha Hayaleti yüklemek ister misin?
GUILD_DO_YOU_JOIN	  seni davet ediyor. Loncaya katılmak istiyor musun?
GUILD_DRAGONLAIR_MIN	Min.
GUILD_DRAGONLAIR_PARTY_ALL	Genel en iyiler listesi
GUILD_DRAGONLAIR_PARTY_LINE_FOUR	11. sıradan itibaren: 100 Gaya
GUILD_DRAGONLAIR_PARTY_LINE_HELP	Yardım
GUILD_DRAGONLAIR_PARTY_LINE_ONE	1. sıra: 400 Gaya
GUILD_DRAGONLAIR_PARTY_LINE_THREE	4. - 10. sıra: 200 Gaya
GUILD_DRAGONLAIR_PARTY_LINE_TWO	2. - 3. sıra: 300 Gaya
GUILD_DRAGONLAIR_PARTY_MEMBER	Üyeler
GUILD_DRAGONLAIR_PARTY_NOW	Haftanın en iyiler listesi
GUILD_DRAGONLAIR_PARTY_PAST	Önceki en iyiler listesi
GUILD_DRAGONLAIR_PARTY_TIME	Zaman
GUILD_DRAGONLAIR_PARTY_TOOLTIP_TITLE	Ödül
GUILD_DRAGONLAIR_RANKING_FAIL	BAŞARISIZ
GUILD_DRAGONLAIR_RANKING_NONE	YENİ
GUILD_DRAGONLAIR_RANKING_SUCCESS	BAŞARILI
GUILD_DRAGONLAIR_SECOND	Sn.
GUILD_EMPTY_AREA	Boş alan
GUILD_ENEMY_GUILD_NAME	Düşmanın Lonca adı
GUILD_FACILITY	Ek bina
GUILD_GEM	Değerli taş
GUILD_HEADQUARTER	Ana bina
GUILD_HEAL_GSP	Ejderha Hayaleti Yükle
GUILD_INFO_ENEMY_GUILD_EMPTY	Boş
GUILD_MARK_NOT_ENOUGH_LEVEL	En az 3. seviye gerekir
GUILD_MARK_UPLOAD_NOTICE	Lonca logolarını kaydetmek için lütfen biraz bekle.
GUILD_MEMBER_JOB	Sınıf
GUILD_MEMBER_KNIGHT	Savaşçı
GUILD_MEMBER_LEVEL	Seviye
GUILD_MEMBER_NAME	Üye
GUILD_MEMBER_RANK	Rütbe
GUILD_MEMBER_SPECIFIC_GRAVITY	Bağışlanan EXP
GUILD_NAME	Lonca adı
GUILD_NOT_ENOUGH_MATERIAL	Bu bina için yeterli inşaat malzemesine sahip değilsin.
GUILD_NOT_ENOUGH_MONEY	Bu bina için yeterli Yang'a sahip değilsin.
GUILD_NO_NOTICE_PERMISSION	Duyuru yapmak için gerekli iznin yok.
GUILD_OBJECT	Nesne
GUILD_OFFER_EXP	Tecrübe yatır
GUILD_SHORT_EXP	Yeterli Tecrübe Puanı yok.
GUILD_TILE_BASEINFO	Bölge bilgileri
GUILD_TILE_BOARD	|cffffffffLonca notları
GUILD_TILE_GRADE	|cffffffffYönetici Pozisyonu
GUILD_TILE_INFO	|cffffffffLonca bilgileri
GUILD_TILE_MEMBER	|cffffffffÜyeler
GUILD_TILE_SKILL	|cffffffffLonca becerisi
GUILD_USE_MASTER_ONLY	Sadece lonca lideri bu yetkiye sahip.
GUILD_VILLAGE_01	Miryang
GUILD_VILLAGE_02	Songpa
GUILD_VILLAGE_03	Daeyami
GUILD_WAR1	Lonca Savaşı Bölgesi
GUILD_WAR2	Lonca Savaşı Bölgesi
GUILD_WAR3	Lonca Savaşı Bölgesi
GUILD_WAR4	Lonca Savaşı Bölgesi
GUILD_WAR_GAINSCORE_FIFTY	50 puan
GUILD_WAR_GAINSCORE_HUNDRED	100 puan
GUILD_WAR_GAINSCORE_THIRTY	30 puan
GUILD_WAR_GAMETIME_SIXTY	60 dakika
GUILD_WAR_GAMETIME_TEN	10 dakika
GUILD_WAR_GAMETIME_THIRTY	30 dakika
GUILD_WAR_LIMIT_30MIN	Zaman: 30 dakika
GUILD_WAR_REWARD_POTION	Ödül: Yenen iksir kazanacak
GUILD_WAR_SELECT_WAR	Savaş türünü seç
GUILD_WAR_TYPE_DEFENSE	Kalkan Savaşı
GUILD_WAR_TYPE_DIE	Arena Savaşı
GUILD_WAR_TYPE_FLAG	Bayrak Savaşı
GUILD_WAR_TYPE_NORMAL	Meydan Savaşı
GUILD_WAR_TYPE_TIGER	İmha Savaşı
GUILD_WAR_TYPE_TIME	Zaman Saldırısı
GUILD_WAR_USE_BATTLE_MAP	Yer: Lonca Savaşı Arenası
GUILD_WAR_USE_NORMAL_MAP	Yer: Normal Harita
GUILD_WAR_WIN_CHECK_SCORE	Savaşı en yüksek skor kazanır
GUILD_WAR_WIN_FIVE	Beş tur
GUILD_WAR_WIN_ONE	Bir tur
GUILD_WAR_WIN_TAKE_AWAY_FLAG1	Düşmanın bayrağını ele geçir
GUILD_WAR_WIN_TAKE_AWAY_FLAG2	ve kendi üssüne götür.
GUILD_WAR_WIN_THREE	Üç tur
GUILD_WAR_WIN_WIPE_OUT_GUILD	Kazanmak için tüm düşmanları öldür.
GUILD_WITHDRAW	Geri çekil.
