ACCEPT	Tamam
MINI_GAME_CATCHKING_HELP_TEXT	Kurallar
MINI_GAME_CATCHKING_HIGH_SCORE	En yüksek skor
MINI_GAME_CATCHKING_MYNUMBER	Kartım
MINI_GAME_CATCHKING_POPUP_CONFIRM	Pop-Up açık/kapalı
MINI_GAME_CATCHKING_RETRY	Yeniden oyna
MINI_GAME_CATCHKING_REWARD	Ödülün
MINI_GAME_CATCHKING_SCORE	Puan
MINI_GAME_CATCHKING_SELECTION_NUMBER	Açılan kartlar
MINI_GAME_CATCHKING_START_TEXT	Başla
MINI_GAME_CATCHKING_TITLE	Kralı yakala
MINI_GAME_FISH_HELP_TEXT	Yardım
MINI_GAME_FISH_START_TEXT	Başla
MINI_GAME_FISH_TITLE	Balık yapboz oyunu
MINI_GAME_RUMI_DISCARD_TEXT	Güvenli Mod
MINI_GAME_RUMI_EXIT	Bitir
MINI_GAME_RUMI_LBUTTON_DESC	Kartı sola tıklayarak ekle
MINI_GAME_RUMI_RBUTTON_DESC	Kartı sağa tıklayarak sil
MINI_GAME_RUMI_SCORE	Puan
MINI_GAME_RUMI_START_TEXT	Başla
MINI_GAME_RUMI_TITLE	Metin2 Okey Kart Oyunu
MINI_GAME_YUTNORI_COM_TEXT	Bilgisayar
MINI_GAME_YUTNORI_PLAYER_TEXT	Oyuncular
MINI_GAME_YUTNORI_PROBABILITY	Olasılık
MINI_GAME_YUTNORI_PROB_DESC	Daha yüksek bir olasılık kazandırmak için bir Yut atışı seç.
MINI_GAME_YUTNORI_REMAIN_COUNT	Hamleler
MINI_GAME_YUTNORI_REWARD_TEXT	Ödül
MINI_GAME_YUTNORI_SCORE	Puan durumu
MINI_GAME_YUTNORI_START_TEXT	Başla
MINI_GAME_YUTNORI_THROW	At
MINI_GAME_YUTNORI_TITLE	Yutnori
MINI_GAME_YUTNORI_YUTSEM1	Do
MINI_GAME_YUTNORI_YUTSEM2	Ge
MINI_GAME_YUTNORI_YUTSEM3	Geol
MINI_GAME_YUTNORI_YUTSEM4	Yut
MINI_GAME_YUTNORI_YUTSEM5	Mo
MINI_GAME_YUTNORI_YUTSEM6	Back-do
MOUSEBUTTON_ATTACK	Saldırı
MOUSEBUTTON_AUTO_ATTACK	Otomatik Saldırı
MOUSEBUTTON_CAMERA	Kamera
MOUSEBUTTON_SKILL	Beceriler
MUSICLIST_TITLE	Müzik Seçimi
MYSHOP_DECO_CANCEL	Kapat
MYSHOP_DECO_DEFAULT	Standart
MYSHOP_DECO_NEXT	Devam
MYSHOP_DECO_OK	Bitir
MYSHOP_DECO_PREV	Geri
MYSHOP_DECO_SELECT_MODEL	Marketinin görünümünü seç.
MYSHOP_DECO_SELECT_TITLE	Başlığının görünümünü seç.
NO	Hayır
OK	Tamam
OPPOSITES	Reddet
OPTION_ALWAYS_SHOW_NAME	Isim
OPTION_ALWAYS_SHOW_NAME_OFF	Sınırlı
OPTION_ALWAYS_SHOW_NAME_ON	Her Zaman
OPTION_BLOCK	Engelle
OPTION_BLOCK_EXCHANGE	Ticaret
OPTION_BLOCK_FRIEND	Arkadaşlar
OPTION_BLOCK_GUILD	Lonca
OPTION_BLOCK_PARTY	Grup
OPTION_BLOCK_PARTY_REQUEST	Rica
OPTION_BLOCK_DUEL_REQUEST	Düello ta.
OPTION_BLOCK_WHISPER	Fısıltı
OPTION_CAMERA_DISTANCE	Kamera
OPTION_CAMERA_DISTANCE_LONG	Uzak Mesafe
OPTION_CAMERA_DISTANCE_SHORT	Kısa Mesafe
OPTION_DELETE_MOBILE_BUTTON	Cep Telefonu Numaranı Sil
OPTION_EFFECT	Önemli Bilgiler
OPTION_ENV_EFFECT	Çevre
OPTION_ENV_EFFECT_OFF	Off
OPTION_ENV_EFFECT_ON	On
OPTION_FOG	Sis
OPTION_FOG_DENSE	Yoğun
OPTION_FOG_LIGHT	Hafif
OPTION_FOG_MIDDLE	Normal
OPTION_FOG_OFF	Kapalı
OPTION_FOG_ON	Açık
OPTION_INPUT_MOBILE_BUTTON	Cep Telefonu Numarası Gir
OPTION_KEY_SETTING	Klavye
OPTION_LANGUAGE_CHANGE	Uygula
OPTION_LANGUAGE_SELECT	Dil
OPTION_MOBILE	Cep Telefonu
OPTION_MOB_INFO	Canavar Bil.
OPTION_MOB_INFO_AGGR	Saldırgan
OPTION_MOB_INFO_LEVEL	Seviye
OPTION_MUSIC	Müzik
OPTION_MUSIC_CHANGE	Değiştir
OPTION_MUSIC_DEFAULT_THEMA	Metin2 Standart Müziği
OPTION_NAME_COLOR	Renk ismi
OPTION_NAME_COLOR_EMPIRE	Ülke Rengi
OPTION_NAME_COLOR_NORMAL	Normal
OPTION_NIGHT_MODE	Gece
OPTION_NIGHT_MODE_OFF	Kapalı
OPTION_NIGHT_MODE_ON	Açık
OPTION_PVPMODE	PvP Modu
OPTION_PVPMODE_FREE	Serbest
OPTION_PVPMODE_FREE_TOOLTIP	Tüm oyunculara saldırma izni var.
OPTION_PVPMODE_GUILD	Lonca
OPTION_PVPMODE_GUILD_TOOLTIP	Lonca üyeleri hariç tüm oyunculara saldırma izni var.
OPTION_PVPMODE_PEACE	Barış
OPTION_PVPMODE_PEACE_TOOLTIP	Kendi krallığının oyuncularına saldıramazsın.
OPTION_PVPMODE_REVENGE	Düşman
OPTION_PVPMODE_REVENGE_TOOLTIP	Sadece farklı ülkelerden olanlara saldırabilirsiniz.
OPTION_SALESTEXT	Market İsmi
OPTION_SALESTEXT_VIEW_OFF	Gizle
OPTION_SALESTEXT_VIEW_ON	Göster
OPTION_SETTING	Aç
OPTION_SNOW_MODE	Kar Yağışı
OPTION_SNOW_MODE_OFF	Kapalı
OPTION_SNOW_MODE_ON	Açık
OPTION_SNOW_TEXTURE_MODE	Kar
OPTION_SNOW_TEXTURE_MODE_OFF	Kapalı
OPTION_SNOW_TEXTURE_MODE_ON	Açık
OPTION_SOUND	Efektler
OPTION_TARGET_BOARD	Hedef Tahtası
OPTION_TARGET_BOARD_NO_VIEW	Kapat
OPTION_TARGET_BOARD_VIEW	Göster
OPTION_TILING	Grafik Deposu
OPTION_TILING_APPLY	Uygula
OPTION_TILING_CPU	CPU
OPTION_TILING_GPU	GPU
OPTION_TITLE	Seçenekler
OPTION_VIEW_CHAT	Sohbet Satırı
OPTION_VIEW_CHAT_OFF	Gizle
OPTION_VIEW_CHAT_ON	Göster
PARTY_MATCH_TEXT_DUNGEON_NAME	Zindan
PARTY_MATCH_TEXT_DUNGEON_SELECT	Zindan seç
PARTY_MATCH_TEXT_ENTREE_LEVEL	Seviye: %d
PARTY_MATCH_TEXT_LEVEL_LIMIT	Seviye talebi
PARTY_MATCH_TEXT_REQUEST_MATCH	Arama
PARTY_MATCH_TEXT_REQUEST_MATCH_CANCEL	İptal
PARTY_MATCH_TEXT_REQUIRED_ITEMS	Eşya talebi
PARTY_MEMBER_INFO_NAME	Grup Üyesinin İsmi
PASSWORD_DESC_1	Depoyu açmak için,
PASSWORD_DESC_2	şifreyi gir.
PASSWORD_DESC_3	Şifreni değiştirdin mi?
PASSWORD_DESC_4	Değiştirmediysen şifren şudur: "000000".
PASSWORD_DESC_5	Şifreni depoda değiştir.
PASSWORD_TITLE	Şifre Kaydetme
PET_ATTR_CHANGE_ITEM_TEXT	Pet efsunla
PET_ATTR_CHANGE_TITLE	Pet tipini değiştir
PET_ATTR_CONFIRMATION	Değiştir
PET_ATTR_DETERMINE_TITLE	Yeni pet tipi
PET_ATTR_OK	Kapat
PET_CHANGE_TEXT	Pet
PET_FEED_TITLE	Besle
PET_FFED_BUTTON_TEXT	Besle
PET_HATCHING_BUTTON	Yumurtadan çık
PET_HATCHING_NIK	Pet adı
PET_HATCHING_WINDOW_TITLE	Kuluçka Makinesi
PET_INFORMATION_ABILITIES	Bonuslar
PET_INFORMATION_AGE	Yaş
PET_INFORMATION_COSTUME_BONUS	Kostüm Bonusu
PET_INFORMATION_DEFENCE	Savunma
PET_INFORMATION_EVOL_BUTTON	Gelişme
PET_INFORMATION_EXP	Tecrübe
PET_INFORMATION_EXP_BUTTON	Nesne EXP
PET_INFORMATION_HP	HP
PET_INFORMATION_LEVEL	Seviye
PET_INFORMATION_LIFE	Süre
PET_INFORMATION_LIFETIME_BUTTON	Besle
PET_INFORMATION_LIFE_TIME	Saat
PET_INFORMATION_SKILL	Beceri
PET_INFORMATION_SP	SP
PET_INFORMATION_TITLE	Pet
PET_NAME_CHANGE_BUTTON	Değiştir
PET_NAME_CHANGE_WINDOW_TITLE	İsmi değiştir
PICK_MONEY_TITLE	Bölmek
PRIVATESHOPSEARCH_BUY	Satın al
PRIVATESHOPSEARCH_COUNT	Miktar
PRIVATESHOPSEARCH_ITEMNAME	İsim
PRIVATESHOPSEARCH_ITEMTYPE	Nesneler
PRIVATESHOPSEARCH_JOB	Sınıf
PRIVATESHOPSEARCH_LEVEL	Seviye
PRIVATESHOPSEARCH_PRICE	Fiyat
PRIVATESHOPSEARCH_REFINE	Nesne Seviyesi
PRIVATESHOPSEARCH_SEARCH	Arama
PRIVATESHOPSEARCH_SEARCH_BAR	Ara
PRIVATESHOPSEARCH_SELECT	Seç
PRIVATESHOPSEARCH_SELLER	Satıcı
PRIVATE_SHOP_CLOSE_BUTTON	Dükkanı kapat
PRIVATE_SHOP_NAME	Dükkan ismi
PRIVATE_SHOP_TITLE	Özel dükkan aç
QUEST_UI_TEXT_COLLECTION	Biyolog görevleri
QUEST_UI_TEXT_EVENT	Etkinlik görevleri
QUEST_UI_TEXT_LEVELUP	Av görevi
QUEST_UI_TEXT_MAIN	Genel görevler
QUEST_UI_TEXT_SCROLL	Görev kitabı görevleri
QUEST_UI_TEXT_SUB	Yan görevler
QUEST_UI_TEXT_SYSTEM	Oyun görevleri
REFINE_COST	Yükseltme Ücreti: 0 Yang
REFINE_INFO	Başarılı bir geliştirme olasılığı: %100
REFINE_MONEY	Arındırma Ücreti
REFINE_SELECT	Arındırma
REFINE_TTILE	Yükseltme
REPORT_VIOLENT_WHISPER	
RESTART_GIVEUP	Vazgeç
RESTART_HERE	Burada yeniden başla
RESTART_IMMEDIATE	Reenkarnasyon
RESTART_TOWN	Şehirde yeniden başla
SAFE_CHANGE_PASSWORD	Şifre Değiştir
SAFE_TITLE	Depo
SELECT_ATTR_CHANGED	Yeni
SELECT_ATTR_CURRENT	Eski
SELECT_ATTR_SELECT	Seç
SELECT_ATTR_TITLE	Efsun Nesnesi+
SELECT_ATT_GRADE	STR
SELECT_CREATE	Oluştur
SELECT_DELETE	Sil
SELECT_DEX_GRADE	DEX
SELECT_EMPIRE_NAME	Krallık İsmi
SELECT_EXIT	Çıkış
SELECT_HP	HP
SELECT_LEVEL	Seviye
SELECT_METIN_STONE_TITLE	Zihin Taşı Seç
SELECT_NAME	Isim
SELECT_NO_GUILD	Lonca Yok
SELECT_PLAYTIME	Oyun Süresi
SELECT_SELECT	Başla
SELECT_SP	INT
SELECT_TITLE	Başlık Seç
SHOP_BUY	Satın Al
SHOP_SELL	Sat
SHOP_TITLE	Dükkan
SKILL_SUPPORT_TITLE	Standart Beceriler
STEP	Saflık Derecesi
STEP_SELECT	Saflık Derecesi
STRENGTH	Güçlendirme
STRENGTH_SELECT	Seviye
STRUCTURE_VIEW_MODE	Dekorasyon
STRUCTURE_VIEW_TYPE_STRUCTURE	Gizle
SYSTEMOPTION_TITLE	Sistem Seçenekleri
SYSTEM_CHANGE	Karakter Değişikliği
SYSTEM_EXIT	Oyun Sonu
SYSTEM_HELP	Yardım
SYSTEM_LOGOUT	Çıkış
SYSTEM_MALL	Ingame-Webbrowser
SYSTEM_MOVE_CHANNEL	Kanal değiştir
SYSTEM_OPTION	Sistem Seçenekleri
TASKBAR_CHARACTER	Karakter [C/V/B/N]
TASKBAR_CHAT	Sohbet Penceresi [Enter]
TASKBAR_DISABLE	Devre dışı
TASKBAR_DRAGON_SOUL	Ejderha Taşı Simyası
TASKBAR_EXPAND	Paneli genişlet
TASKBAR_INVENTORY	Envanter [I]
TASKBAR_MESSENGER	Arkadaşlar [Alt+M]
TASKBAR_MONEY_EXPAND	Sermaye
TASKBAR_NEXT_QUICKSLOT	Sonraki Hızlı Giriş Alanı [Shift+Number, Alt]
TASKBAR_PET_INFO	Pet Bilgisi
TASKBAR_PREV_QUICKSLOT	Önceki Hızlı Giriş Alanı[Shift+Number]
TASKBAR_SYSTEM	Seçenekler[ESC]
TOTAL_RANKING	Toplam Sıralama Listesi
WEEKLY_RANKING	Haftalık Sıralama Listesi
WHISPER_BAN	Engelle
WHISPER_NAME	Fısıltı
WHISPER_REPORT	
WHISPER_SEND	Gönder
YES	Evet
ZONE_MAP	Genel Görünüm Haritası
GUILDSTORAGE_ACTION	Action:
GUILDSTORAGE_ACTION_0	%d: -
GUILDSTORAGE_ACTION_BOTH	%d: Both
GUILDSTORAGE_ACTION_PUT	%d: Put
GUILDSTORAGE_ACTION_TAKE	%d: Take
GUILDSTORAGE_ALL	All
GUILDSTORAGE_CAN_SEE_LOG	LOG (History) observe
GUILDSTORAGE_CAN_USE_PERMISSION_BOARD	USER Storage Management
GUILDSTORAGE_FILTER	FILTER:
GUILDSTORAGE_LOG_BUTTON	Logs
GUILDSTORAGE_LOG_TITLE	Guildstorage Logsystem
GUILDSTORAGE_NEW	Newest at first
GUILDSTORAGE_OLD	Oldest at first
GUILDSTORAGE_OPTIONS_BUTTON	Options
GUILDSTORAGE_PAGE_01	1. Guildstoragepage
GUILDSTORAGE_PAGE_02	2. Guildstoragepage
GUILDSTORAGE_PAGE_03	3. Guildstoragepage
GUILDSTORAGE_PAGE_04	4. Guildstoragepage
GUILDSTORAGE_PAGE_05	5. Guildstoragepage
GUILDSTORAGE_PAGE_06	6. Guildstoragepage
GUILDSTORAGE_PAGE_07	7. Guildstoragepage
GUILDSTORAGE_PAGE_08	8. Guildstoragepage
GUILDSTORAGE_PAGE_09	9. Guildstoragepage
GUILDSTORAGE_PAGE_10	10. Guildstoragepage
GUILDSTORAGE_PAGE_BIG1	[PAGE 
GUILDSTORAGE_PAGE_BIG2	]:
GUILDSTORAGE_PERMISSION_PAGE	Page 
GUILDSTORAGE_PERMISSION_TITLE	Guildstorage Permission Management
GUILDSTORAGE_PERMISSION_TITLE1	Management for every Storagepage: 
GUILDSTORAGE_PERMISSION_TITLE2	Guildstorage Management for every User: 
GUILDSTORAGE_PERMISSION_TITLE3	Global Permission Management: 
GUILDSTORAGE_PERMISSION_TITLE4	Overview - Permission for Storagepages: 
GUILDSTORAGE_PUT	Put in
GUILDSTORAGE_PUT_BIG	PUT IN
GUILDSTORAGE_PUT_GOLD	Deposit Yang
GUILDSTORAGE_PUT_GOLD_BIG	DEPOSIT
GUILDSTORAGE_TAKE	Take out
GUILDSTORAGE_TAKE_BIG	TAKE OFF
GUILDSTORAGE_TAKE_GOLD	Pay off Yang
GUILDSTORAGE_TAKE_GOLD_BIG	PAY OFF
GUILDSTORAGE_TITLE	Guildstorage
GUILDSTORAGE_USER	User:
SELECT_YES_GUILD	Guildname : %s
SENTRY_CODE_CANCEL	Cancel
SENTRY_CODE_SEND	Send
SENTRY_DESC_FIRSTLINE	It looks like it's been a while since you last logged into your account from
SENTRY_DESC_SECONDLINE	this computer! To verify it's really you, please enter below the code we've
SENTRY_DESC_THIRDLINE	sent to your email address. You'll only have to do this once.
SPECIAL_SETTINGS	Özel uygulamalar
STANDARD_SETTINGS	Standart uygulamalar
SWITCHBOT_ABORT_DUE_ITEM_CHANGE	The changing of the item bonus was aborted tue to a item change.7
SWITCHBOT_ALREADY_REGISTRED	This item is already registered in another switch window
SWITCHBOT_ALREADY_SWITCHING	You are already switching this item
SWITCHBOT_ALTERNATE	ALTERNATE
SWITCHBOT_ATTR_NONE	: no Attribute
SWITCHBOT_ATTR_SET	Set Attribute
SWITCHBOT_ATTR_STRENGHT	Attribut Value
SWITCHBOT_BONUS	Bonus 
SWITCHBOT_CHOOSE_ATTR	Choose Attribute
SWITCHBOT_CHOSEN_ITEM	Choosen Item
SWITCHBOT_CLEAR_ITEM	Clear the current switchbot instance
SWITCHBOT_CLOSE	Close Switchbot
SWITCHBOT_INFO_STOP_BOT_FIRST	You need to stop switching first.
SWITCHBOT_INVALID_ATTR	You did not select a bonus or the bonus is invalid
SWITCHBOT_MAX_ATTR	The maximum value for the attribute is 
SWITCHBOT_MIN_ATTR_1	The minimum value for a bonus is 1
SWITCHBOT_MUST_BE_EQ	The item must be a switchable piece of equipment.
SWITCHBOT_NORMAL	NORMAL
SWITCHBOT_NOT_ENOUGH_SWITCHER	You do not have enough bonus changers
SWITCHBOT_NOT_SET_ATTR	You did not set any attribute
SWITCHBOT_NO_BONUS	no Attribute
SWITCHBOT_START	Start Switchbot
SWITCHBOT_STOP	Stop Switchbot
SWITCHBOT_SWITCH_ALTERNATE	Switch to the alternate page
SWITCHBOT_SWITCH_NORMAL	Switch to normal page
SWITCHBOT_TITLE	Switchbot
SWITCH_CHANNEL	Choose Channel
SYSTEM_UNSTUCK	Debug Character from Wall
TASKBAR_SHOP	Shop
HELPTEXT1	-
HELPTEXT2	-
HELPTEXT3	-
HELPTEXT4	-
HELPTEXT5	-
HELPTEXT6	-
HELPTEXT7	-
HELPTEXT8	-
HELPTEXT9	-
HELPTEXT10	-
HELPTEXT11	-
HELPTEXT12	-
HELPTEXT13	-
HELPTEXT14	-
HELPTEXT15	-
HELPTEXT16	-
HELPTEXT17	-
HELPTEXT18	-
HELPTEXT19	-
HELPTEXT20	-
HELPTEXT21	-
HELPTEXT22	-
HELPTEXT23	-
HELPTEXT24	-
HELPTEXT25	-
HELPTEXT26	-
HELPTEXT27	-
HELPTEXT28	-
HELPTEXT29	-
HELPTEXT30	-
HELPTEXT31	-
HELPTEXT32	-
HELPTEXT33	-
HELPTEXT34	-
HELPTEXT35	-
HELPTEXT36	-
HELPTEXT37	-
PIN_TITLE	PIN
PIN_INPUT_DESCRIPTION	Hesabınız bir PIN kodu ile korunuyor onaylayın.
PIN_SET_INPUT_DESCRIPTION	Hesabınızı korumak için bir PIN ayarlayın.
LOGIN_INTERFAE_TITLE_BOARD	Login
SAVE_EMPTY	Bedava slot
LOGIN_INTERFACE_SAVE_EMPTY	Bedava slot
LOGIN_INTERFACE_SAVE_SUCCES	Bilgiler kaydedildi
LOGIN_INTERFACE_SAVE_FAIL	Bilgi kaydedilmedi
LOGIN_INTERFACE_SAVE_SLOT_EMPTY	Üzgünüz, giriş yapmak için bir hesap kaydetmeniz gerekiyor.
LOGIN_INTERFACE_DELETE_FAIL	Bilgi silinmedi
LOGIN_INTERFACE_SAVE_BUTTON	Önce, kaydetmek için bu düğmeye bastıktan sonra verileri girmeniz gerekir.
LOGIN_INTERFACE_DELETE_BUTTON	Başka bir hesaba yer açmak istiyorsanız, bu düğmeye tıklayın.
LOGIN_INTERFACE_LOGIN_SAVE_BUTTON	Hesabınıza girmek için tıklayın veya F1'den F6'ya.
LOGIN_INTERFACE_SELECT_CHANNEL	Kanal seç
LOGIN_INTERFACE_SAVED_ACCOUNT	Kayıtlı hesaplar
LOGIN_INTERFACE_USERNAME	kullanıcı adı
LOGIN_INTERFACE_PASSWORD	şifre
LOGIN_INTERFACE_TEXT_INPUT_ID	Kullanıcı adınızı girin ...
LOGIN_INTERFACE_TEXT_INPUT_PASS	Şifrenizi giriniz.
LOGIN_INTERFACE_PW_LOST	Şifreni mi unuttun?
LOGIN_INTERFACE_CHANNEL_SELECTED	Seçilen kanal:
NAME_CHARACTER	Name
LEVEL_CHARACTER	Level
NO_NAME_DESC	No name
NO_GUILD_DESC	No guild
NO_CLASS_DESC	No class
GUILD_SKILL_HEAL_GSP	Güç şarjı
INVENTORY_PAGE_BUTTON_TOOLTIP_5	5. Envanter
INVENTORY_SEPARATE	Envanteri Düzenle
LANGUAGE	Dil seçin
MAINTENANCE_LEFT_TIME	|cffFFC125{} Sonra ||{} Sürecek Bir Bakım Çalışması
MESSENGER_ADD_BLOCK	Blok Oynatıcı
PRIVATE_SHOP_EDIT_CLOSE	yakın
PRIVATE_SHOP_EDIT_OPEN	açık
PRIVATE_SHOP_EDIT_SEARCH	arama
PRIVATE_SHOP_EDIT_TITLE	Mağazanızı düzenleyin
PRIVATE_SHOP_EMPTY	Açık Mağaza yok.
PRIVATE_SHOP_LEFT_TIME	{} Süre Kaldı
PRIVATE_SHOP_LEFT_PREMIUM_TIME	{} Premium Süre Kaldı
PRIVATE_SHOP_TIME	Kalan Çevrimdışı Pazar Süresi
PRIVATE_SHOP_CREATE_BUTTON	Mağaza Oluştur
PRIVATE_SHOP_WARP_BUTTON	Mağazana Işınlan
PRIVATE_SHOP_EARNED_GOLD	Kazanılan Yang
PRIVATE_SHOP_WITHDRAW	Kazancı Çek
PRIVATE_SHOP_LOCATION	Yeri
QUEST_CATEGORY_00	ana görevi
QUEST_CATEGORY_01	ikinci görev
QUEST_CATEGORY_02	Biyolog görevleri
QUEST_CATEGORY_03	Avcılık görevleri
QUEST_CATEGORY_04	Uyarı
QUEST_CATEGORY_05	Olaylar
QUEST_CATEGORY_06	Sistem görevleri
INVENTORY_PAGE_BUTTON_TOOLTIP_1_1	Genel
INVENTORY_PAGE_BUTTON_TOOLTIP_1_2	Diğer
INVENTORY_PAGE_BUTTON_TOOLTIP_1_3	Kostüm
COLOR_PICKER_TITLE	Renginizi seçin ..
COLOR_PICKER_TITLE2	Renk
CONTINUE	devam
CUBE_RESULT_TITLE Sonucu
DESTROY	yok
DESTROYER	yok
DO_REFINE_ALL	Tümünü Arındır
DRAGONSOUL_PAGE_BUTTON_6	Mitsi
DRAGONSOUL_REFINE_MOBIL	Arındırma
EMPTY_SLOT	Boş
FAST_EQUIP	Ekipmandegisdiren
OPTION_ACCE	Kanat
OPTION_ACCE_DESC	Bu seçenekle kanatları gizleyebilirsiniz.
OPTION_ACCE_VIEW_OFF	Kapalı
OPTION_ACCE_VIEW_ON	Açık
OPTION_ALWAYS_SHOW_NAME_DESC	Bu seçenekle adları gizleyebilirsiniz.
OPTION_BLOCK_DESC	Bu seçenekle tüm etkinlikleri engelleyebilirsiniz.
OPTION_COLLECT_EQUIP	Ekipmanları
OPTION_COLLECT_EQUIP_DESC	Bu seçenekle ekipman alımını değiştirebilirsiniz.
OPTION_COLLECT_EQUIP_OFF	bırak
OPTION_COLLECT_EQUIP_ON	Al
OPTION_COLLECT_EQUIP_USEABLE	Kullanılabilir
OPTION_COSTUME	Kostüm
OPTION_COSTUME_DESC	Bu seçenekle kostümlerinizi gizleyebilirsiniz.
OPTION_COSTUME_VIEW_APPLY	uygula
OPTION_COSTUME_VIEW_OFF	Kapalı
OPTION_COSTUME_VIEW_ON	Açık
OPTION_COUNTRY_FLAGS	Ülke Bayrakları
OPTION_COUNTRY_FLAGS_DESC	Bu seçenekle bayrakları gizleyebilirsiniz.
OPTION_COUNTRY_FLAGS_OFF	Kapalı
OPTION_COUNTRY_FLAGS_ON	Açık
OPTION_DISPLAYED_AROUND	Dükkan mesafesi 
OPTION_DISPLAYED_AROUND_DESC	Bu seçenekle çalışma alanını değiştirebilirsiniz.
OPTION_EFFECT_DESC	Bu seçenekle isabet bilgilerini gizleyebilirsiniz.
OPTION_EMOJI	Emoji
OPTION_EMOJI_DESC	Bu seçenekle emonjileri gizleyebilirsiniz.
OPTION_EMOJI_OFF	Kapalı
OPTION_EMOJI_ON	Açık
OPTION_ITEM_HIGHLIGHT	İşaret Nesnesi
OPTION_ITEM_HIGHLIGHT_DESC	Bu seçenekle vurgu efektini gizleyebilirsiniz.
OPTION_ITEM_HIGHLIGHT_OFF	Kapalı
OPTION_ITEM_HIGHLIGHT_ON	Açık
OPTION_MOB_INFO_DESC	Bu seçenekle canavar seviyesi ve canavar saldırganlığını gizleyebilirsiniz.
OPTION_NAME_COLOR_DESC	Bu seçenekle krallık renginizi değiştirebilirsiniz.
OPTION_PVPMODE_DESC	Bu seçenekle oynatma modunuzu değiştirebilirsiniz.
OPTION_SALESTEXT_DESC	Bu seçenekle mağaza adlarını gizleyebilirsiniz.
OPTION_SHADOW	Gölge
OPTION_SHOW_COMPANIONS	NPC'leri gizle
OPTION_SHOW_COMPANIONS_DESC	Bu seçenekle Evcil Hayvanları / Binekleri / dükkanları gizleyebilirsiniz.
OPTION_SHOW_COMPANIONS_MOUNTS	Mounts
OPTION_SHOW_COMPANIONS_PETS	Evcil
OPTION_SHOW_NEW_SHOPS	Yeni Mağazalar
OPTION_SHOW_NPC_SHOPS	Mağazaları
OPTION_SHOW_SHOPS	Mağazaları
OPTION_SKILL_STYLE	Becerileri
OPTION_SKILL_STYLE_OFF	Eski
OPTION_SKILL_STYLE_ON	Yeni S.
OPTION_SPECULAR	Etkileri
OPTION_SPECULAR_DESC	Bu seçenekle birçok efekti gizleyebilirsiniz. Dikkat: Oyuncu Efektleri dahil değildir.
OPTION_SPECULAR_NPC	Gleam
OPTION_SPECULAR_NPC_DESC	Bu seçenek ile parıltıyı Evcil Hayvanlar, Dağlar, NPC'ler ve canavarlardan gizleyebilirsiniz.
OPTION_SPECULAR_NPC_VIEW_OFF	Kapalı
OPTION_SPECULAR_NPC_VIEW_ON	Açık
OPTION_SPECULAR_VIEW_OFF	Kapalı
OPTION_SPECULAR_VIEW_ON	Açık
OPTION_TARGET_BOARD_DESC	Bu seçenekle hedef menüyü gizleyebilirsiniz.
OPTION_VIEW_CHAT_DESC	Bu seçenekle sohbeti gizleyebilirsiniz.
OPTION_YANG_SHOW	Yang görünümü
OPTION_YANG_SHOW_DESC	Bu seçenekle yangdisplay'i gizleyebilirsiniz.
OPTION_YANG_SHOW_OFF	Kapalı
OPTION_YANG_SHOW_ON	Açık
HELP_CHARACTER_PAGE1	Sayfa 1
HELP_CHARACTER_PAGE2	Sayfa 2
MINI_GAME_FINDM_TITLE	Üç canavar notu
ADMIN_MANAGER_BAN_ACCOUNT_SEARCH_BUTTON	Arama
ADMIN_MANAGER_OBSERVER_STOP_BTN	Durdurmak için
NEW_OPTIONS_WINDOW_SHOW_CHAT_LINKS_CHECK_BOX	Sohbet bağlantılarını göster
NEW_OPTIONS_WINDOW_PAGE0_LEFTBTN1_NAME	Kullanıcı arayüzü
ADMIN_MANAGER_ITEM_MAIN_TABLE_IGMITEM	GM öğesi
NEW_OPTIONS_WINDOW_WHISPER_TP_OTHER_CHECK_BOX	Diğer
NEW_OPTIONS_WINDOW_SHOW_PLAYER_SASHES_CHECK_BOX	Omuz askılarını göster
NEW_OPTIONS_WINDOW_IGNORE_GUILD_INVITE_CHECK_BOX	Lonca daveti
ADMIN_MANAGER_BAN_LOG_DATA_TITLE_DATE	tarih
ADMIN_MANAGER_BAN_CHAT_SEARCH_FAIL_TEXT	Oyuncu bulunamadı.
ADMIN_MANAGER_GENERAL_TABLE_EMPIRE	zengin
ADMIN_MANAGER_OBSERVER_NAVI_TITLE	Yan seçim
NEW_OPTIONS_WINDOW_PVP_MODE_BIG_LABEL	PvP modu
NEW_OPTIONS_WINDOW_PAGE1_LEFTBTN0_NAME	Görüntüle
MINI_BOSS_DUNGEON_TOOTIP_08	Benim ödülüm
ADMIN_MANAGER_BAN_ACCOUNT_RESULT_BACK_BUTTON	Geri
SYSTEM_SWITCH_CHANNEL	Kanal değiştir
ADMIN_MANAGER_BAN_ACCOUNT_SEARCH_FAIL_TEXT_ACCOUNT	Hesap bulunamadı.
MINI_BOSS_DUNGEON_TOOTIP_02	Seviye 40-80 için Kıyamet
MINI_BOSS_DUNGEON_TOOTIP_03	Seviye 81+ için Kıyamet
MINI_BOSS_DUNGEON_TOOTIP_01	Zindana Genel Bakış
MINI_BOSS_DUNGEON_TOOTIP_06	Kıyamet Puanlarım
NEW_OPTIONS_WINDOW_SHOW_NPC_SHOPS_CHECK_BOX	Dükkanları göster
