ACCE_ABSORB_COST	Pret Absorbtie: {}
DETAILS_TOOLTIP_7	Tare vs Rathalos: Daune mai mari оmpotriva Rathalos sгlbatice.
DETAILS_TOOLTIP_70	Єansг la drop obiecte: Creєte єansa de a primi de douг ori numгrul obiectelor.
DETAILS_TOOLTIP_71	Mгreєte valoarea atacului.
DETAILS_TOOLTIP_72	Mгreєte valoarea apгrгrii.
DETAILS_TOOLTIP_73	Creєte colectarea de experienюг.
DETAILS_TOOLTIP_74	Єansг drop obiecte: Оюi dubleazг єansa de a colecta obiecte.
DETAILS_TOOLTIP_75	Єansг drop Yang: Оюi dubleazг єansa de a colecta mai mult Yang.
DETAILS_TOOLTIP_76	Reduce daunele primite de la atacul magic.
DETAILS_TOOLTIP_77	Reduce rezistenюa magicг a oponenюilor.
DETAILS_TOOLTIP_8	Tare vs Gods: Daune mai mari оmpotriva Gods.
DETAILS_TOOLTIP_9	Tare vs Demoni: Daune mai mari оmpotriva demonilor.
DETAILS_TOOLTIP_ATTBONUS_BELL	Vulnerabil apгrare Clopot: Reduce apгrarea oponentului оn faюa clopotului.
DETAILS_TOOLTIP_ATTBONUS_BOW	Vulnerabil apгrare Sгgeatг: Reduce apгrarea oponentului оn faюa sгgeюilor.
DETAILS_TOOLTIP_ATTBONUS_CLAW	Vulnerabil apгrare Ghearг: Reduce apгrarea oponentului оn faюa ghearei.
DETAILS_TOOLTIP_ATTBONUS_DAGGER	Vulnerabil apгrare Pumnal: Reduce apгrarea oponentului оn faюa pumnalului.
DETAILS_TOOLTIP_ATTBONUS_FAN	Vulnerabil apгrare Evantai: Reduce apгrarea oponentului оn faюa evantaiului.
DETAILS_TOOLTIP_ATTBONUS_SWORD	Vulnerabil apгrare Sabie: Reduce apгrarea oponentului оn faюa sabiei.
DETAILS_TOOLTIP_ATTBONUS_TWOHAND	Vulnerabil apгrare Douг Mвini: Reduce apгrarea oponentului оn faюa armelor douг mвini.
DETAILS_TOOLTIP_RESIST_MOUNT_FALL	Rezistenюг la alunecare: Reduce єansa de a aluneca de pe mount.
DONT_USE_ITEM_WHEN_SHOW_CONFIRM	Nu poti muta niciun obiect cand ai o cerere in asteptare.
DO_NOT_INSERT_UPBRINGING_PET	Оnsoюitorul activ nu poate fi selectat.
DO_YOU_BUY_ITEM1	Vrei sг cumperi {} pentru {}?
DO_YOU_BUY_ITEM2	Vrei sг cumperi {} {}x pentru {}?
DO_YOU_BUY_ITEM3	Doreєti sг cumperi {} pentru {} Won єi {}?
DO_YOU_BUY_ITEM4	Doreєti sг cumperi {} {}x pentru {} єi {}?
DO_YOU_DROP_MONEY	Vrei sг renunюi la {} Yang?
DO_YOU_SELL_ITEM1	Vrei sг vinzi {} pentru {} Yang?
DO_YOU_SELL_ITEM2	Vrei sг vinzi {} ({} buc) pentru {} Yang?
DRAGON_SOUL_CANNOT_REFINE	Aceasta Piatra Dragon nu poate fi rafinata.
DRAGON_SOUL_CANNOT_REFINE_MORE	Aceasta Piatra Dragon a ajuns deja la nivelul maxim.
DRAGON_SOUL_EQUIP_WARNING1	Este dificil sa inlaturi o Piatra Dragon odata ce a fost atasata.
DRAGON_SOUL_EQUIP_WARNING2	Doresti sa continui?
DRAGON_SOUL_EXPIRED	Piatra Dragon Expirata
DRAGON_SOUL_INVALID_DRAGON_SOUL	Aceasta este o Piatra Dragon gresita.
DRAGON_SOUL_IS_NOT_DRAGON_SOUL	Aceasta nu este o Piatra Dragon.
DRAGON_SOUL_NOT_DRAGON_SOUL_REFINE_STONE	Aceasta nu este Piatra Dragon corecta.
DRAGON_SOUL_NOT_ENOUGH_MATERIAL	Nu ai suficient material pentru rafinare.
DRAGON_SOUL_NOT_MATCHED_SLOT	Piatra Dragon nu se potriveste in acest slot.
DRAGON_SOUL_STEP_LEVEL1	Claritate: opaca,
DRAGON_SOUL_STEP_LEVEL2	Claritate: clara,
DRAGON_SOUL_STEP_LEVEL3	Claritate: perfecta,
DRAGON_SOUL_STEP_LEVEL4	Claritate: stralucitoare,
DRAGON_SOUL_STEP_LEVEL5	Claritate: excelenta,
DRAGON_SOUL_STRENGTH	Nivel: +{}
DRAGON_SOUL_UNEQUIP_WARNING1	Piatra Dragon poate fi distrusa in acest proces.
DRAGON_SOUL_UNEQUIP_WARNING2	Doresti sa continui?
DRAGON_SOUL_UNMATCHED_SLOT	Acest slot este gresit.
DRAGON_SOUL_UNQUALIFIED	Inca nu poti folosi alchimia Pietrei Dragon.
DROP_ITEM_FAILURE_EQUIP_ITEM	Nu poюi arunca obiecte din echipament.
DROP_ITEM_FAILURE_PRIVATE_SHOP	Nu poюi renunюa la un obiect atribuit caracterului dacг magazinul privat este deschis.
DROP_MONEY_FAILURE_1000_OVER	Poюi renunюa la maxim 999 Yang.
EMOTION_ALCOHOL	Noroc!
EMOTION_ANGRY	Neplгcut
EMOTION_ATTRACTIVE	Tentaюie
EMOTION_BANTER	Rгutгcios
EMOTION_BUSY	Stres
EMOTION_CALL	Strigг
EMOTION_CELEBRATION	Petrecere
EMOTION_CHARGING	Оncгrcare
EMOTION_CHEERS_1	Bucurie 1
EMOTION_CHEERS_2	Bucurie 2
EMOTION_CHEERUP	A se bucura
EMOTION_CHOOSE_ONE	Alege o юintг.
EMOTION_CLAP	Aplauze
EMOTION_CLAP_KISS	Sгrut
EMOTION_CONGRATULATION	Acord
EMOTION_DANCE_1	Dans 1
EMOTION_DANCE_2	Dans 2
EMOTION_DANCE_3	Dans 3
EMOTION_DANCE_4	Dans 4
EMOTION_DANCE_5	Dans 5
EMOTION_DANCE_6	Gumsan Style
EMOTION_DANCE_7	Samba
EMOTION_DOZE	Aюipit
EMOTION_EXERCISE	Оncгlzit
EMOTION_FORGIVE	Iertare
EMOTION_FRENCH_KISS	Sarut Frantuzesc
EMOTION_HUNGRY	Оnfometat
EMOTION_JOY	Bucurie
EMOTION_LETTER	Scrisoare de Dragoste
EMOTION_NOSAY	Mut
EMOTION_PUSH_UP	Flotгri
EMOTION_SAD	Trist
EMOTION_SELFIE	Selfie
EMOTION_SHY	Refuz
EMOTION_SIREN	Sirenг
EMOTION_SLAP	Loviturг
EMOTION_WEATHER_1	Lumina Soarelui
EMOTION_WEATHER_2	Curcubeu
EMOTION_WEATHER_3	Lunг
EMOTION_WHIRL	Confuz
EMPIRE_A	Regatul Shinsoo
EMPIRE_B	Regatul Chunjo
EMPIRE_C	Regatul Jinno
EMPIRE_SELECT_MODE	Alege regat
EXCHANGE_CANNOT_GIVE	Nu poюi negocia acest obiect.
EXCHANGE_CANT_EDIT_MONEY	Acum nu mai poti modifica suma.
EXCHANGE_FAILURE_EQUIP_ITEM	Nu poti schimba Obiecte atribuite caracterului.
EXCHANGE_MONEY	Suma
EXCHANGE_TITLE	Schimb cu {} ({})
EXINVEN_USE_ITEM_FAIL_FALL_SHORT	Mai ai nevoie de {} Extindere Inventar.
EXINVEN_USE_ITEM_FAIL_FOURTH_PAGE_STAGE_MAX	Inventarul tгu a atins numгrul maxim de extinderi.
EXINVEN_USE_ITEM_QUESTION	Doreєti sг extinzi inventarul folosind {} Extindere Inventar?
FISHING_FAILURE	Ai pierdut momeala pentru pescuit.
FISHING_NOTIFY1	Se pare ca {} a muєcat.
FISHING_NOTIFY2	Se pare cг s-a prins {}.
FISHING_SUCCESS1	Ai prins {}.
FISHING_SUCCESS2	Ai scos {} din apa!
FISHING_UNKNOWN	Ceva a muscat dar nu єtiu ce anume.
FISHING_WRONG_PLACE	Nu pot sг pescuiesc aici.
FLOWER_EVENT_USE_ITEM_TEXT1	Doreєti sг оnlocuieєti efectul activ?
FLOWER_EVENT_USE_ITEM_TEXT2	Оncercarea poate eєua cauzвnd ofilirea florii.
FOR_FEMALE	Pentru femei
FOR_MALE	Pentru bгrbaюi
GAME_CANNOT_MINING	Nu poюi sг sapi dupг minereu оn timp ce cгlгreєti.
GAME_CANNOT_PICK_ITEM	Nu poюi culege acest obiect, pentru ca nu a fost capturat de tine.
GAME_GUILDWAR_NOW_JOIN	Vrei sг te alгturi rгzboiului breslei?
GAME_INIT_ERROR_CURSOR	Cursorul nu a putut fi creat.
GAME_INIT_ERROR_DIRECTX	Ai nevoie de DirectX 8.1 pentru a rula jocul.\nInstaleazг DirectX 8.1 sau peste.
GAME_INIT_ERROR_GRAPHICS_BAD_PERFORMANCE	Nu s-a gasit placa graficг pentru rularea jocului.\nVerificг daca placa VGA e instalatг corect.
GAME_INIT_ERROR_GRAPHICS_NOT_EXIST	Placa graficг nu a putut fi iniюializatг.nVerificг dacг deюii o placг VGA.\nAlternativ poюi sг activezi accelerarea hardware.\n(Accelerare hardware la maxim \nControl Panel->Display->Settings->Advanced->Troubleshooting)
GAME_INIT_ERROR_GRAPHICS_NOT_SUPPORT_32BIT	Placa graficг nu suportг 32bit.\nSchimbг pe 16bit sau foloseєte full screen.
GAME_INIT_ERROR_ITEM_PROTO	Datele obiectului inaccesibile.\nReinstaleazг jocul.
GAME_INIT_ERROR_MAIN_WINDOW	Fereastra principalг nu a putut fi realizatг.
GAME_INIT_ERROR_MOB_PROTO	Datele monstrului inaccesibile.\nReinstaleazг jocul.
GAME_INIT_ERROR_NETWORK	Legatura la reюea nu s-a realizat.\nVerificг legгtura la internet.
GAME_PICK_MONEY	Ai primit {}.
GEM_SYSTEM_ADD_SLOT	Cerinюe obiect: {}.\nDoreєti sг foloseєti {} dintre acestea pentru a debloca un loc adiюional?
GEM_SYSTEM_BUY_ITEM	Doreєti sг cumperi acest obiect?
GEM_SYSTEM_NAME	Gaya
GEM_SYSTEM_NOT_ENOUGHT_REFRESHITEM	[Gaya] Nu ai suficiente obiecte Actualizeazг Piaюa Gaya.
GEM_SYSTEM_NOT_ENOUGH_HP_GEM	[Gaya] Nu ai suficiente Gaya.
GEM_SYSTEM_NO_MORE_ADDSLOT	[Gaya] Nu mai ai locuri de deblocat.
GEM_SYSTEM_OPEN_GEMSHOP	[Gaya] Deschide Piaюг Gaya mai оntвi.
GEM_SYSTEM_PICK_GEM	[Gaya] Cantitate Gaya: {}
GEM_SYSTEM_REFRESH_SHOP_ITEMS	Vrei sг actualizezi magazinul?
GIVEUP_QUESTION	Chiar vrei sг renunюi?
GUILDBANK_CLEARBANK	Atenюie: Depozitul Breslei trebuie golit!
GUILDBANK_DONT_MONEY_OUT	Nu ai Yang оn banca breslei!
GUILDBANK_GOLD_IN	Depunere
GUILDBANK_GOLD_OUT	Retragere
GUILDBANK_ITEM_IN	Оnmagazineazг
GUILDBANK_ITEM_OUT	Оnlaturг
GUILDBANK_MONEYIN	Depunere Yang
GUILDBANK_MONEYOUT	Retragere Yang
GUILDBANK_NOTUSE	Nu ai permisiunile necesare.
GUILDBANK_NOT_ENOUGH_MONEY	Nu ai Yang suficient pentru depunere.
GUILDBANK_OVER_INCOME	Limitг atinsг pe cont.
GUILDBANK_OVER_MONEY	Contul breslei este plin.
GUILDLAND_ABANDON	Abandoneazг Teritoriu Breaslг
GUILDLAND_ABANDON_VOTE	Abandoneazг teritoriul breslei [{}].
GUILDLAND_ABANDON_VOTE_RESULT1	Teritoriul breslei [{}] a fost abandonat.
GUILDLAND_ABANDON_VOTE_RESULT2	Teritoriul breslei a fost abandonat.
GUILDLAND_ABANDON_VOTE_RESULT3	Rezultat vot:
GUILDLAND_ABANDON_VOTE_RESULT4	Vot invalid.
GUILDLAND_ABANDON_VOTE_TEXT	Vrei оntr-adevгr sг оncepi votul?
GUILDLAND_ABANDON_VOTE_TEXT1	Doreєti sг abandonezi teritoriul breslei?
GUILDLAND_ACCEPT	Da
GUILDLAND_DEAL	Vinde Teritoriu Breaslг
GUILDLAND_DEAL_TEXT1	Breasla [{}] vrea sг vвndг
GUILDLAND_DEAL_TEXT2	teritoriul pentru [{}] Yang.
GUILDLAND_DEAL_TEXT3	Accepюi oferta?
GUILDLAND_DELA_VOTE	Breasla [{}] vrea sг cumpere teritoriul breslei noastre.
GUILDLAND_DELA_VOTE_RESULT1	Teritoriul breslei vвndut breslei [{}]
GUILDLAND_DELA_VOTE_RESULT2	Votul a luat sfвrєit.
GUILDLAND_DELA_VOTE_RESULT3	Rezultat vot pentru vвnzare teritoriu breaslг:
GUILDLAND_DELA_VOTE_RESULT4	Vot invalid.
GUILDLAND_DELA_VOTE_TEXT	Cгrei bresle doreєti sг vinzi teritoriul tгu?
GUILDLAND_DELA_VOTE_TEXT1	Doreєti sг vinzi teritoriul breslei?
GUILDLAND_DONTHAVE_LAND	Nu ai niciun teritoriu de breaslг.
GUILDLAND_NOT	Nu
GUILDLAND_VOTE_TEXT	Doreєti sг cedezi lui [{}] teritoriul?
GUILDLIST_APPLICANT	Doreєti sг continui?
GUILDMARK_UPLOADER_ERROR_128_HEIGHT	Оnгlюimea nu are 128 pixel.
GUILDMARK_UPLOADER_ERROR_12_HEIGHT	Оnгlюimea nu are 12 pixel.
GUILDMARK_UPLOADER_ERROR_16_WIDTH	Оnгlюimea nu are 16 pixel.
GUILDMARK_UPLOADER_ERROR_64_WIDTH	Оnгlюimea nu are 64 pixel.
GUILDMARK_UPLOADER_ERROR_FILE_FORMAT	Jocul nu suportг aceastг imagine.
GUILDMARK_UPLOADER_ERROR_PATH	Copiazг fiєierele оn directorul metin2/upload.
GUILDMARK_UPLOADER_ERROR_SELECT	Nicio imagine selectatг.
GUILDVOTE_CHANGEMASTER	Schimbг Lider Breaslг
GUILDVOTE_CHANGEMASTER_RESULT1	Breasla a fost transferatг cu succes.
GUILDVOTE_CHANGEMASTER_RESULT2	Breasla [{}] юi-a fost transferatг юie.
GUILDVOTE_CHANGEMASTER_RESULT3	Transferг breasla cгtre membru [{}]
GUILDVOTE_CHANGEMASTER_RESULT4	Vot invalid.
GUILDVOTE_CHANGEMASTER_RESULT5	Noul Lider de Breaslг: {}
GUILDVOTE_CHANGEMASTER_TEXT1	Vrei sг transferi breasla cгtre [{}]?
GUILDVOTE_CHANGEMASTER_TEXT2	
GUILDVOTE_CHANGEMASTER_TEXT3	Eєti sigur cг doreєti sг predai conducerea breslei?
GUILDVOTE_CHANGEMASTER_TEXT4	
GUILDVOTE_CHANGEMASTER_VOTETEXT1	Transferг breasla cгtre membru [{}]
GUILDVOTE_CHANGEMASTER_VOTETEXT2	Eєti de acord cu transferul conducerii breslei?
GUILDVOTE_MEMBEROUT	Оnlгturг Membru
GUILDVOTE_MEMBEROUT_AUTH	Nu ai permisiunile necesare.
GUILDVOTE_MEMBEROUT_NOMAL	Eєti sigur ca vrei sг оnlгturi acest membru?
GUILDVOTE_MEMBEROUT_RESULT1	Оnlгturг Membru: [{}]
GUILDVOTE_MEMBEROUT_RESULT2	Rezultat vot
GUILDVOTE_MEMBEROUT_RESULT3	Ai fost оnlгturat din breasla [{}].
GUILDVOTE_MEMBEROUT_RESULT4	Rezultat vot
GUILDVOTE_MEMBEROUT_RESULT5	Vot invalid.
GUILDVOTE_MEMBEROUT_TEXT1	Vrei sг porneєti votul impotriva lui [{}]?
GUILDVOTE_MEMBEROUT_TEXT2	Voteazг: Оnlгturг membru din breaslг?
GUILDVOTE_MEMBEROUT_VOTETEXT1	Voteazг: Ar trebui [{}] оnlгturat din breaslг?
GUILDVOTE_MEMBEROUT_VOTETEXT2	
GUILDVOTE_NO	Оmpotrivг
GUILDVOTE_OK	Pentru
GUILDVOTE_RESULT_AGGRE_MEMBER	Pentru: {}
GUILDVOTE_RESULT_ALL_MEMBER	Participanюi: {}
GUILDVOTE_RESULT_OPPESE_MEMBER	Оmpotrivг: {}
GUILDVOTE_RESULT_TIME	{} zile {} ore {} minute {} secunde
GUILDVOTE_SELECT_ONE	Te rugam alege un caracter.
GUILDWAR_ALL	Bгtгlii (B)
GUILDWAR_CTF_TITLE	Captureazг Steag
GUILDWAR_DRAW	Remize (R)
GUILDWAR_GAINSCORE_FIFTY	50 puncte
GUILDWAR_GAINSCORE_HUNDRED	100 puncte
GUILDWAR_GAINSCORE_THIRTY	30 puncte
GUILDWAR_GAMETIME_SIXTY	60 minute
GUILDWAR_GAMETIME_TEN	10 minute
GUILDWAR_GAMETIME_THIRTY	30 minute
GUILDWAR_INPUT_OTHERGUILD	Te rugгm introdu breasla oponentг.
GUILDWAR_LADDER	Puncte Rang
GUILDWAR_LIMIT_MEMBER_FIVE	Minim 5 participanюi.
GUILDWAR_LOSE	Pierderi (P)
GUILDWAR_NORMAL_TITLE	Luptг de Cвmp
GUILDWAR_OVER_MEMBERCOUNT	Numгrul limitг de membri a fost atins.
GUILDWAR_QUESTION_LINE_1	Breasla {} a declarat breslei tale rгzboi,
GUILDWAR_QUESTION_LINE_2	Accepюi? ({})
GUILDWAR_RANKING	Rang
GUILDWAR_RECODE_ALL	{} B, {} V, {} P, {} R
GUILDWAR_SELECT_MEMBER_COUNT	Alege numгrul de participanюi.
GUILDWAR_TYPE_DEFENSE	Scut Luptг
GUILDWAR_TYPE_TIGER	Anihilare
GUILDWAR_TYPE_TIME	Timp Atac
GUILDWAR_UNKNOWN_TITLE	...
GUILDWAR_WARP_TITLE	Luptг оn Arenг
GUILDWAR_WIN	Victorii (V)
GUILDWAR_WIN_FIVE	5 runde
GUILDWAR_WIN_ONE	1 rundг
GUILDWAR_WIN_THREE	3 runde
GUILDWINDOW_BUTTON_BANKGOLDINFO	Log Depozit Breaslг
GUILDWINDOW_BUTTON_BASEABANDON	Abandoneazг Teritoriu Breaslг
GUILDWINDOW_BUTTON_BASEDEAL	Vinde Teritoriu Breaslг
GUILDWINDOW_BUTTON_BASEDEALVOTE	Vot
GUILDWINDOW_BUTTON_BOARD	Mesajele Breslei
GUILDWINDOW_BUTTON_CHANGEMASTER	Schimbг Lider Breaslг
GUILDWINDOW_BUTTON_DECLARE	Declarг Rгzboi
GUILDWINDOW_BUTTON_GOLDIN	Depunere
GUILDWINDOW_BUTTON_GOLDOUT	Retragere
GUILDWINDOW_BUTTON_GRADE	Seteazг Permisiuni
GUILDWINDOW_BUTTON_GUILDLIST	Listг Breaslг
GUILDWINDOW_BUTTON_HEALGSP	Reface Putere Zeul Dragon
GUILDWINDOW_BUTTON_INFO	Informaюii Breaslг
GUILDWINDOW_BUTTON_LANDINFO	Informaюii Teritoriu
GUILDWINDOW_BUTTON_MARK	Оncarcг Simbol Breaslг
GUILDWINDOW_BUTTON_MEMBER	Membru
GUILDWINDOW_BUTTON_OFFER	Doneazг EXP
GUILDWINDOW_BUTTON_OUTMEMBER	Оnlгturг Membru
GUILDWINDOW_BUTTON_SKILL	Abilitгюi Breaslг
GUILDWINDOW_BUTTON_SYMBOL	Оncarcг Steag Breaslг
GUILDWINDOW_BUTTON_VOTECHECK	Verificг Voturi
GUILDWINDOW_BUY_GUILD_LAND	Cumpгrг Teren
GUILDWINDOW_CHANGE_OBJECT	Reconstrucюie
GUILDWINDOW_CHANGE_SMELTER	Schimbг Prelucrator de jad
GUILDWINDOW_CREATE_OBJECT	Construcюie
GUILDWINDOW_DEAL_GUILD_LAND	Vinde Teren
GUILDWINDOW_GRADE_BANK	Se poate utiliza banca breslei єi depozitul
GUILDWINDOW_GRADE_DRIVEOUTAUTHORITY	Poate оnlгtura membri din breaslг
GUILDWINDOW_GRADE_GRADENAME	Nume Rang
GUILDWINDOW_GRADE_GRADENUMBER	Numгr Rang
GUILDWINDOW_GRADE_GUILDWAR	Poate alege membri combatanюi
GUILDWINDOW_GRADE_INVITEAUTHORITY	Poate accepta jucгtori оn breaslг
GUILDWINDOW_GRADE_NOTICEAUTHORITY	Poate compune mesaje breaslг
GUILDWINDOW_GRADE_SKILLAUTHORITY	Poate folosi abilitгюile breslei
GUILDWINDOW_INFO_LEVEL10	A crescut nr. max. membri
GUILDWINDOW_INFO_LEVEL15	Red.: Puterea Zeului Dragon
GUILDWINDOW_INFO_LEVEL20	Bancг: Scutire de Taxe
GUILDWINDOW_INFO_LEVEL5	+5% EXP la donaюii breaslг
GUILDWINDOW_LIST_ALL	Toate Regatele
GUILDWINDOW_LIST_ALREADY_REGISTER	[Breaslг] Deja ai aplicat.
GUILDWINDOW_LIST_APPLICANT_LIST	Listг Aplicaюii
GUILDWINDOW_LIST_CHRACTER_JOB	Clasг
GUILDWINDOW_LIST_CHRACTER_LV	Nivel
GUILDWINDOW_LIST_CHRACTER_NAME	Nume Caracter
GUILDWINDOW_LIST_CHRACTER_SUB_JOB	Sub-clasг
GUILDWINDOW_LIST_EMPIRE_A	Shinsoo
GUILDWINDOW_LIST_EMPIRE_B	Chunjo
GUILDWINDOW_LIST_EMPIRE_C	Jinno
GUILDWINDOW_LIST_GUILDMEMBER	Membru
GUILDWINDOW_LIST_GUILD_LIST	Listг Breaslг
GUILDWINDOW_LIST_GUILD_LV	Nivel
GUILDWINDOW_LIST_GUILD_NAME	Breaslг
GUILDWINDOW_LIST_INPUT_GUILDNAME	[Breaslг] Te rugгm sг introduci un nume de breaslг.
GUILDWINDOW_LIST_LADDER	Puncte Rang
GUILDWINDOW_LIST_NOTPROMOTEGUILD	[Breaslг] Breasla nu este publicг.
GUILDWINDOW_LIST_PROMOTE_GUILD	Aplicaюie
GUILDWINDOW_LIST_PROMOTE_GUILD_LIST	Listг Breaslг
GUILDWINDOW_LIST_RANKING	Poziюie
GUILDWINDOW_LIST_RANKING_COUNT	Poziюie
GUILDWINDOW_LIST_REGISTER	Aplicaюii
GUILDWINDOW_LIST_REGISTER_GUILD	Aplicг la breaslг
GUILDWINDOW_LIST_SEARCH	Cautг
GUILDWINDOW_LIST_SELECT_GUILD	[Guild] Te rugгm alege o breaslг sг aplici.
GUILDWINDOW_PROMOTE_REFRESH	Reclamг
GUILDWINDOW_PROMOTE_REGISTER	Reclamг
GUILDWINDOW_SP_RECOVER	Puterea Zeului Dragon
GUILDWINDOW_UPGRADE_ALTEROFPOWER	Оmbunгtгюire Altar
GUILDWINDOW_UPGRADE_GUILDBANK	Оmbunгtгюire Bancг
GUILD_BANKINFO_CLOSE	Оnchis
GUILD_BANKINFO_NAME	Membru
GUILD_BANKINFO_TYPE	Obiect/Valoare
GUILD_BANKINFO_USETYPE	Acюiune
GUILD_BANK_CLOSE	Оnchis
GUILD_BANK_INFO	Log Depozit Breaslг
GUILD_BOARD_ID	Membru
GUILD_BOARD_TEXT	Mesaj
GUILD_BUILDING_FIX_CHANGE	Sigur doreєti sг schimbi poziюia?
GUILD_BUILDING_FIX_CHANGE_GOLD	Cost: 1,000,000 Yang
GUILD_BUILDING_FIX_DELETE	Chiar vrei sг єtergi acest obiect?
GUILD_BUILDING_FIX_NEED_BUILDING	Nicio clгdire prezentг.
GUILD_BUILDING_GRADE	Grad
GUILD_BUILDING_NAME	Numele clгdirii
GUILD_CANNOT_HEAL_GSP_ANYMORE	Energia Spiritul Dragonului este deja plina.
GUILD_COMMENT	Scrie
GUILD_CREATE_ERROR_INSULT_NAME	Numele breslei nu este permis.
GUILD_DEFAULT_GRADE	Membrii breslei
GUILD_DELETE	Єterge
GUILD_DEPOSIT	Pune deoparte
GUILD_DO_YOU_HEAL_GSP	Doresti sa folosesti {} Yang pentru a restaura {} unitati din Spiritul Dragonului?
GUILD_DO_YOU_JOIN	  te-a invitat. Vrei sг te alгturi alianюei?
GUILD_DRAGONLAIR_MIN	min.
GUILD_DRAGONLAIR_PARTY_ALL	Ranguri Totale
GUILD_DRAGONLAIR_PARTY_LINE_FOUR	Locul 11 єi mai puюin: 100 Gaya
GUILD_DRAGONLAIR_PARTY_LINE_HELP	Ajutor
GUILD_DRAGONLAIR_PARTY_LINE_ONE	Locul 1: 400 Gaya
GUILD_DRAGONLAIR_PARTY_LINE_THREE	Locul 4-10: 200 Gaya
GUILD_DRAGONLAIR_PARTY_LINE_TWO	Locul 2-3: 300 Gaya
GUILD_DRAGONLAIR_PARTY_MEMBER	Membri
GUILD_DRAGONLAIR_PARTY_NOW	Ranguri Sгptгmвnale
GUILD_DRAGONLAIR_PARTY_PAST	Ranguri Anterioare
GUILD_DRAGONLAIR_PARTY_TIME	Timp
GUILD_DRAGONLAIR_PARTY_TOOLTIP_TITLE	Recompensг
GUILD_DRAGONLAIR_RANKING_FAIL	EЄUAT
GUILD_DRAGONLAIR_RANKING_NONE	NOU
GUILD_DRAGONLAIR_RANKING_SUCCESS	SUCCES
GUILD_DRAGONLAIR_SECOND	sec.
GUILD_EMPTY_AREA	Юarг goalг
GUILD_ENEMY_GUILD_NAME	Numele breslei inamicului
GUILD_FACILITY	Clгdire secundarг
GUILD_GEM	Piatrг preюioasг
GUILD_HEADQUARTER	Clгdire principalг
GUILD_HEAL_GSP	Reface Spiritul Dragonului
GUILD_INFO_ENEMY_GUILD_EMPTY	Niciuna
GUILD_MARK_NOT_ENOUGH_LEVEL	Cerinta: Minim nivelul 3
GUILD_MARK_UPLOAD_NOTICE	Asteapta un moment pentru a putea adгuga logo-uri breslei.
GUILD_MEMBER_JOB	Clasг
GUILD_MEMBER_KNIGHT	Combatant
GUILD_MEMBER_LEVEL	Nivel
GUILD_MEMBER_NAME	Membru
GUILD_MEMBER_RANK	Rang
GUILD_MEMBER_SPECIFIC_GRAVITY	EXP Donatг
GUILD_NAME	Numele breslei
GUILD_NOT_ENOUGH_MATERIAL	Nu deюii destul material pentru aceastг clгdire.
GUILD_NOT_ENOUGH_MONEY	Nu deюii destul Yang pentru aceastг clгdire.
GUILD_NO_NOTICE_PERMISSION	Nu оюi este permis sг faci un anunю.
GUILD_OBJECT	Obiecte
GUILD_OFFER_EXP	Investeєte Experienюг
GUILD_SHORT_EXP	Nu ai destule puncte de experienюг.
GUILD_TILE_BASEINFO	Informaюii Teritoriu
GUILD_TILE_BOARD	Mesajele Breslei
GUILD_TILE_GRADE	Drepturi de Administrare
GUILD_TILE_INFO	Informaюii breaslг
GUILD_TILE_MEMBER	Membru
GUILD_TILE_SKILL	Calificarea breslei
GUILD_USE_MASTER_ONLY	Doar liderul breslei are acest drept.
GUILD_VILLAGE_01	Miryang
GUILD_VILLAGE_02	Songpa
GUILD_VILLAGE_03	Daeyami
GUILD_WAR1	Zona de Lupta Breasla
GUILD_WAR2	Zona de Lupta Breasla
GUILD_WAR3	Zona de Lupta Breasla
GUILD_WAR4	Zona de Lupta Breasla
GUILD_WAR_GAINSCORE_FIFTY	50 puncte
GUILD_WAR_GAINSCORE_HUNDRED	100 puncte
GUILD_WAR_GAINSCORE_THIRTY	30 puncte
GUILD_WAR_GAMETIME_SIXTY	60 minute
GUILD_WAR_GAMETIME_TEN	10 minute
GUILD_WAR_GAMETIME_THIRTY	30 minute
GUILD_WAR_LIMIT_30MIN	Timp: 30 de minute
GUILD_WAR_REWARD_POTION	Recompensг: Cвєtigгtorul primeєte licori
GUILD_WAR_SELECT_WAR	Selecteazг tipul
GUILD_WAR_TYPE_DEFENSE	Scut Luptг
GUILD_WAR_TYPE_DIE	Luptг оn Arenг
GUILD_WAR_TYPE_FLAG	Captureazг Steag
GUILD_WAR_TYPE_NORMAL	Luptг de Cвmp
GUILD_WAR_TYPE_TIGER	Anihilare
GUILD_WAR_TYPE_TIME	Timp Atac
GUILD_WAR_USE_BATTLE_MAP	Locaюie: Cвmpul de Luptг al Breslei
GUILD_WAR_USE_NORMAL_MAP	Locaюie: Harta Normalг
GUILD_WAR_WIN_CHECK_SCORE	Cel mai bun rezultat cвєtigг rгzboiul.
GUILD_WAR_WIN_FIVE	5 runde
GUILD_WAR_WIN_ONE	1 rundг
GUILD_WAR_WIN_TAKE_AWAY_FLAG1	Captureazг steagul inamicului
GUILD_WAR_WIN_TAKE_AWAY_FLAG2	єi adu-l оn baza ta.
GUILD_WAR_WIN_THREE	3 runde
GUILD_WAR_WIN_WIPE_OUT_GUILD	Оnfrвnge toюi inamicii pentru a cвєtiga.
GUILD_WITHDRAW	Retragere
GUILD_YOU_DO_NOT_JOIN	Nu aparюii nici unei bresle.
