ACCE_ABSORB_COST	Absorption price: {}
DETAILS_76	Magic resistance
DETAILS_77	Anti-Magic
DETAILS_78	Str. vs. Creatures
DETAILS_79	Str. vs. Bossmonster
DETAILS_8	Str. ag. Gods
DETAILS_80	Str. vs. Metinstones
DETAILS_9	Str. ag. Devils
DETAILS_ATTBONUS_BELL	Break from Bell
DETAILS_ATTBONUS_BOW	Break from Arrow 
DETAILS_ATTBONUS_CLAW	Break from Claw
DETAILS_ATTBONUS_DAGGER	 Break from Dagger
DETAILS_ATTBONUS_FAN	Break from Fan
DETAILS_ATTBONUS_SWORD	Break from Sword
DETAILS_ATTBONUS_TWOHAND	Break from Two-Hand
DETAILS_CATE_1	Damage/Defence
DETAILS_CATE_2	Elemental bonus
DETAILS_CATE_3	Class bonus
DETAILS_CATE_4	Weapon bonus
DETAILS_CATE_5	Other bonus
DETAILS_CATE_6	Special bonus
DETAILS_RESIST_MOUNT_FALL	Resistance against fall 
DETAILS_TITLE	Details
DETAILS_TOOLTIP_1	Strong against Half Humans: Deals heavier damage to Half Humans.
DETAILS_TOOLTIP_10	Strong against desert monsters: Deals heavier damage to desert monsters.
DETAILS_TOOLTIP_11	Strong against insects: Deals heavier damage to insects.
DETAILS_TOOLTIP_12	Increases your attack value.
DETAILS_TOOLTIP_13	Increases your defence value.
DETAILS_TOOLTIP_14	Increases the damage done by a skill.
DETAILS_TOOLTIP_15	Resistance to average damage: reduces the damage you suffer on an attack.
DETAILS_TOOLTIP_16	Increases the average damage you deal to enemies on an attack
DETAILS_TOOLTIP_17	Resistance against skill damage: Reduces the damage done to you by a skill.
DETAILS_TOOLTIP_18	Increases both your physical and magic attack value.
DETAILS_TOOLTIP_19	Increases the damage you deal to enemies on a magical attack.
DETAILS_TOOLTIP_2	Resistance to Half Humans: Reduces the damage you suffer from Half Humans.
DETAILS_TOOLTIP_20	Increases the chance of landing a critical hit.
DETAILS_TOOLTIP_21	Piercing hit probability: Increases the chance of landing a piercing hit.
DETAILS_TOOLTIP_22	Critical hit resistance: Reduces the damage inflicted by a critical hit.
DETAILS_TOOLTIP_23	Piercing hit resistance: Reduces the damage inflicted by a piercing hit.
DETAILS_TOOLTIP_24	Reduces the damage you suffer from certain monsters.
DETAILS_TOOLTIP_25	Reduces the damage you suffer from certain monsters.
DETAILS_TOOLTIP_26	Darkness resistance: Reduces the damage you suffer from certain monsters.
DETAILS_TOOLTIP_27	Reduces the damage you suffer from certain monsters.
DETAILS_TOOLTIP_28	Reduces the damage you suffer from certain monsters.
DETAILS_TOOLTIP_29	Reduces the damage you suffer from certain monsters.
DETAILS_TOOLTIP_3	Strong against Fatalis: Deals heavier damage to Fatalis.
DETAILS_TOOLTIP_30	Increases the damage you inflict through the power of lightning.
DETAILS_TOOLTIP_31	Increases the damage you inflict through the power of ice.
DETAILS_TOOLTIP_32	Increases the damage you inflict through the power of darkness.
DETAILS_TOOLTIP_33	Increases the damage you inflict through the power of fire.
DETAILS_TOOLTIP_34	Increases the damage you inflict through the power of the wind.
DETAILS_TOOLTIP_35	Increases the damage you inflict through the power of earth.
DETAILS_TOOLTIP_36	Strong against Warriors: Deals heavier damage to warriors.
DETAILS_TOOLTIP_37	Strong against Ninjas: Deals heavier damage to ninjas.
DETAILS_TOOLTIP_38	Strong against Suras: Deals heavier damage to suras.
DETAILS_TOOLTIP_39	Strong against Shamans: Deals heavier damage to shamans.
DETAILS_TOOLTIP_4	Strong against Undead: Deals heavier damage to undead.
DETAILS_TOOLTIP_40	Strong against Lycans: Deals heavier damage to lycans.
DETAILS_TOOLTIP_41	Resistance to warriors: Reduces the damage you suffer from warriors.
DETAILS_TOOLTIP_42	Resistance to ninjas: Reduces the damage you suffer from ninjas.
DETAILS_TOOLTIP_43	Resistance to suras: Reduces the damage you suffer from suras.
DETAILS_TOOLTIP_44	Resistance to shamans: Reduces the damage you suffer from shamans.
DETAILS_TOOLTIP_45	Resistance to lycans: Reduces the damage you suffer from lycans.
DETAILS_TOOLTIP_46	Reduces the damage dealt by a sword.
DETAILS_TOOLTIP_47	Reduces the damage dealt by a two-handed weapon.
DETAILS_TOOLTIP_48	Reduces the damage dealt by a dagger.
DETAILS_TOOLTIP_49	Reduces the damage dealt by a claw.
DETAILS_TOOLTIP_5	Strong against Monsters: Deals heavier damage to monsters.
DETAILS_TOOLTIP_50	Reduces the damage dealt by a bell/fan.
DETAILS_TOOLTIP_51	Reduces the damage dealt by a fan.
DETAILS_TOOLTIP_52	Reduces the damage dealt by bows and arrows.
DETAILS_TOOLTIP_53	Increases the chance of knocking out an opponent.
DETAILS_TOOLTIP_54	Increases the chance of slowing an opponent.
DETAILS_TOOLTIP_55	Increases the chance of poisoning an enemy.
DETAILS_TOOLTIP_56	Increases the damage dealt by poison.
DETAILS_TOOLTIP_57	Increases the chance of carrying out a bleeding attack.
DETAILS_TOOLTIP_58	Resist against bleeding attack: Reduces the damage dealt by a bleeding attack.
DETAILS_TOOLTIP_59	Drains your enemy's HP when you hit them.
DETAILS_TOOLTIP_6	Strong against zodiac-monsters: Deals heavier damage to zodiac-monsters.
DETAILS_TOOLTIP_60	Drains your enemy's SP when you hit them.
DETAILS_TOOLTIP_61	Increases the recovery of your hit points.
DETAILS_TOOLTIP_62	Increases the recovery of your spell points.
DETAILS_TOOLTIP_63	Chance to block a melee attack: Increases the chance of evading a melee attack.
DETAILS_TOOLTIP_64	Chance of avoiding an arrow attack: Increases the chance of evading an arrow or ranged attack by a monster.
DETAILS_TOOLTIP_65	Chance to reflect melee hits: Part of the enemy's melee damage is reflected back at them.
DETAILS_TOOLTIP_66	HP recovery when killing: Your hit points increase when you kill an enemy.
DETAILS_TOOLTIP_67	SP recovery when killing: Your spell points increase when you kill an enemy.
DETAILS_TOOLTIP_68	Chance to gain double experience: Increases the chance of an EXP bonus when you defeat your opponent.
DETAILS_TOOLTIP_69	Chance to drop double Yang: Increases the chance of receiving twice the amount of Yang.
DETAILS_TOOLTIP_7	Strong against Rathalos: Deals heavier damage to wild Rathalos.
DETAILS_TOOLTIP_70	Chance to drop items: Increases the chance of looting twice the number of items.
DETAILS_TOOLTIP_71	Increases your attack value.
DETAILS_TOOLTIP_72	Increases your defence value.
DETAILS_TOOLTIP_73	Increases the gathering of experience.
DETAILS_TOOLTIP_74	Item drop chance: Increases the probability of looting items.
DETAILS_TOOLTIP_75	Yang drop chance: Increases the probability of looting more Yang.
DETAILS_TOOLTIP_76	Reduces the damage you suffer on a magical attack.
DETAILS_TOOLTIP_77	Reduces your enemy's magic resistance.
DETAILS_TOOLTIP_78	Strong against Creatures: Deals heavier damage to Creatures.
DETAILS_TOOLTIP_79	Strong against Bossmonsters: Deals heavier damage to Bossmonsters.
DETAILS_TOOLTIP_8	Strong against Gods: Deals heavier damage to Gods.
DETAILS_TOOLTIP_80	Strong against Metinstones: Deals heavier damage to Metinstones.
DETAILS_TOOLTIP_9	Strong against Devils: Deals heavier damage to devils.
DETAILS_TOOLTIP_ATTBONUS_BELL	Break from Bell Defence: Reduces the Bell Defence from your enemy.
DETAILS_TOOLTIP_ATTBONUS_BOW	Break from Arrow Defence: Reduces the Arrow Defence from your enemy.
DETAILS_TOOLTIP_ATTBONUS_CLAW	Break from Claw Defence: Reduces the Claw Defence from your enemy.
DETAILS_TOOLTIP_ATTBONUS_DAGGER	Break from Dagger Defence: Reduces the Dagger Defence from your enemy.
DETAILS_TOOLTIP_ATTBONUS_FAN	Break from Fan Defence: Reduces the Fan Defence from your enemy.
DETAILS_TOOLTIP_ATTBONUS_SWORD	Break from Sword Defence: Reduces the Sword Defence from your enemy.
DETAILS_TOOLTIP_ATTBONUS_TWOHAND	Break from Two-Handed Defence: Reduces the Two-Handed Defence from your enemy.
DETAILS_TOOLTIP_RESIST_MOUNT_FALL	Resistance against fall: Decreases the Chance, that you fall off your mount.
DONT_USE_ITEM_WHEN_SHOW_CONFIRM	You cannot move any items when a request is in progress.
DO_YOU_BUY_ITEM1	Do you want to buy {} for {}?
DO_YOU_BUY_ITEM2	Do you want to buy {} {}x for {}?
DO_YOU_BUY_ITEM3	Do you want to buy {} for {}?
DO_YOU_BUY_ITEM4	Do you want to buy {} {}x for {}?
DO_YOU_DESTROY_ITEM	Do you want to DESTROY this item?
DO_YOU_DROP_MONEY	Do you want to drop {} Yang?
DO_YOU_REMOVE_ITEM_FROM_SHOP	Do you want to remove {} from your shop?
DO_YOU_SELL_ITEM1	Do you want to sell {} for {} Yang?
DO_YOU_SELL_ITEM2	Do you want to sell {} ({} lots) for {} Yang?
DO_YOU_WANT_TO_OPEN_THIS_WEB_LINK	Are you sure that you want to open up this link? 
DRAGON_SOUL_CANNOT_REFINE	This Dragon Stone cannot be refined.
DRAGON_SOUL_CANNOT_REFINE_MORE	This Dragon Stone has already reached the highest level.
DRAGON_SOUL_EQUIP_WARNING1	It is difficult to remove a Dragon Stone once it is attached.
DRAGON_SOUL_EQUIP_WARNING2	Would you still like to continue?
DRAGON_SOUL_EXPIRED	Expired Dragon Stone
DRAGON_SOUL_INVALID_DRAGON_SOUL	That is the wrong Dragon Stone.
DRAGON_SOUL_IS_NOT_DRAGON_SOUL	That is not a Dragon Stone.
DRAGON_SOUL_NOT_DRAGON_SOUL_REFINE_STONE	That is not the right Dragon Stone.
DRAGON_SOUL_NOT_ENOUGH_MATERIAL	You do not have enough material to refine.
DRAGON_SOUL_NOT_MATCHED_SLOT	The Dragon Stone does not fit in this slot.
DRAGON_SOUL_STEP_LEVEL1	Clarity: matt,
DRAGON_SOUL_STEP_LEVEL2	Clarity: clear,
DRAGON_SOUL_STEP_LEVEL3	Clarity: flawless,
DRAGON_SOUL_STEP_LEVEL4	Clarity: brilliant,
DRAGON_SOUL_STEP_LEVEL5	Clarity: excellent,
DRAGON_SOUL_STRENGTH	Level: +{}
DRAGON_SOUL_UNEQUIP_WARNING1	The Dragon Stone may be destroyed in the process.
DRAGON_SOUL_UNEQUIP_WARNING2	Would you still like to continue?
DRAGON_SOUL_UNMATCHED_SLOT	That is the wrong slot.
DRAGON_SOUL_UNQUALIFIED	You cannot yet use Dragon Stone alchemy.
DROP_ITEM_FAILURE_EQUIP_ITEM	You cannot drop equipped items.
DROP_ITEM_FAILURE_PRIVATE_SHOP	You cannot drop any items as long as a private shop is open.
DROP_MONEY_FAILURE_1000_OVER	You can drop a maximum of 999 Yang.
DROP_STATE_DISABLED	deactivated
DROP_STATE_ENABLED	activated
EMOTION_ALCOHOL	Cheers!
EMOTION_ANGRY	Aggravating
EMOTION_ATTRACTIVE	Seduction
EMOTION_BANTER	Sneering
EMOTION_BUSY	Stress
EMOTION_CALL	Call
EMOTION_CELEBRATION	Party
EMOTION_CHARGING	Battery
EMOTION_CHEERS_1	Cheers 1
EMOTION_CHEERS_2	Cheers 2
EMOTION_CHEERUP	Cheer
EMOTION_CHOOSE_ONE	Choose a target.
EMOTION_CLAP	Claps
EMOTION_CLAP_KISS	Kiss
EMOTION_CONGRATULATION	Approval
EMOTION_DANCE_1	Dance 1
EMOTION_DANCE_2	Dance 2
EMOTION_DANCE_3	Dance 3
EMOTION_DANCE_4	Dance 4
EMOTION_DANCE_5	Dance 5
EMOTION_DANCE_6	Gumsan Style
EMOTION_DANCE_7	Samba
EMOTION_DOZE	Nodding
EMOTION_EXERCISE	Warm-Up
EMOTION_FORGIVE	Forgiveness
EMOTION_FRENCH_KISS	French Kiss
EMOTION_HUNGRY	Hungry
EMOTION_JOY	Joy
EMOTION_LETTER	Love letter
EMOTION_NOSAY	Speechless
EMOTION_PUSH_UP	Push-Ups
EMOTION_SAD	Sad
EMOTION_SELFIE	Selfie
EMOTION_SHY	Rejection
EMOTION_SIREN	Siren
EMOTION_SLAP	Hit
EMOTION_THROW_MONEY	Rich
EMOTION_THROW_MONEY_DESC	Throws 1000 Coins and distribut them (with a charge) to the player nearby
EMOTION_WEATHER_1	Sun
EMOTION_WEATHER_2	Rainbow
EMOTION_WEATHER_3	Moon
EMOTION_WHIRL	Confusion
EMPIRE_A	Shinsoo Kingdom
EMPIRE_B	Chunjo Kingdom
EMPIRE_C	Jinno Kingdom
EMPIRE_SELECT_MODE	Select kingdom
END_PREVIEW	V. Close
ENTER_THE_NAME_FOR_YOUR_PRESET	Name your preset:
ERROR_TARGET_HAVE_BLOCK_CHAT	|cffff796a|H|h[Block chat] Ich kann dir nicht antworten, da ich einen Chat-Block habe.:|h|r [{} Stunden] [{} Minuten] [{} Sekunden]
EXCHANGE_CANNOT_GIVE	This item cannot be traded.
EXCHANGE_CANT_EDIT_MONEY	You cannot change the sum now.
EXCHANGE_FAILURE_EQUIP_ITEM	You cannot exchange equipped Items.
EXCHANGE_MONEY	Sum
EXCHANGE_TITLE	Trade with {}
EXINVEN_USE_ITEM_FAIL_FALL_SHORT	You still require {} Inventory Expansion(s).
EXINVEN_USE_ITEM_FAIL_FOURTH_PAGE_STAGE_MAX	Your inventory has reached the maximum number of expansions.
EXINVEN_USE_ITEM_QUESTION	Do you want to expand your inventory using {} Inventory Expansions?
FISHING_FAILURE	You lost the Bait.
FISHING_NOTIFY1	It looks like {} is hooked.
FISHING_NOTIFY2	It looks like {} is on the hook.
FISHING_RENEWAL_CANNOT_EMOTION	Du kannst keine Emotionen verwenden, während du angelst.
FISHING_RENEWAL_CANNOT_OPEN_1	Du kannst es nicht öffnen, während du angelst.
FISHING_RENEWAL_CANNOT_OPEN_2	Du kannst diese Aktion nicht ausführen, während du angelst.
FISHING_RENEWAL_QUESTION	Ein Fisch hat angebissen. Möchtest du ihn fangen?
FISHING_RENEWAL_TIMEOUT	Du hast zu lange gezögert. Der Fisch ist entwischt.
FISHING_SUCCESS1	You captured {}!
FISHING_SUCCESS2	You have pulled {} out of the water!
FISHING_UNKNOWN	Something has taken the bait but you can't see what it is.
FISHING_WRONG_PLACE	You cannot go fishing here.
FOR_FEMALE	for female
FOR_MALE	for male
GAME_CANNOT_MINING	You cannot mine Ore while riding.
GAME_CANNOT_PICK_ITEM	You cannot collect this Item as you did not win it.
GAME_GUILDWAR_NOW_JOIN	Do you want to join the guild war?
GAME_INIT_ERROR_CURSOR	The cursor could not be established.
GAME_INIT_ERROR_DIRECTX	DirectX 8.1 must be installed so that the game can run.\nInstall DirectX 8.1 or higher.
GAME_INIT_ERROR_GRAPHICS_BAD_PERFORMANCE	No graphic device could be found. \nCheck if your VGA card is correctly installed.
GAME_INIT_ERROR_GRAPHICS_NOT_EXIST	Graphic device could not be established. \nCheck if you have a VGA card. \nAlternatively, you can active the hardware accelerator.\n(Set hardware accelerator to max \nControl Panel->Display->Settings->Advanced->Troubleshoot tab)
GAME_INIT_ERROR_GRAPHICS_NOT_SUPPORT_32BIT	The graphics card of the computer does not support the window mode in 32bit Mode. \nChange to 16bit Mode or use Full Screen Mode.
GAME_INIT_ERROR_ITEM_PROTO	No Item data there.\nInstall the game again.
GAME_INIT_ERROR_MAIN_WINDOW	Mainframe could not be established
GAME_INIT_ERROR_MOB_PROTO	No Monster Data there.\nInstall the game again.
GAME_INIT_ERROR_NETWORK	Network devices could not be established.\nCheck your internet connection.
GAME_PICK_ITEM	You receive {} ({}).
GAME_PICK_MONEY	You receive {}.
GIFTBOX_FUNCTIONALITY_DESC	CTRL + right click to open 50 examples.
GUILDBANK_CLEARBANK	Warning: The Guild Warehouse must be emptied!
GUILDBANK_DONT_MONEY_OUT	You don't have any Yang in the guild bank!
GUILDBANK_GOLD_IN	Deposit
GUILDBANK_GOLD_OUT	Withdrawal
GUILDBANK_ITEM_IN	Store
GUILDBANK_ITEM_OUT	Remove
GUILDBANK_MONEYIN	Deposit Yang
GUILDBANK_MONEYOUT	Withdraw Yang
GUILDBANK_NOTUSE	You do not have the necessary permissions.
GUILDBANK_NOT_ENOUGH_MONEY	You do not have enough Yang to deposit.
GUILDBANK_OVER_INCOME	Account limit reached.
GUILDBANK_OVER_MONEY	The guild account is full.
GUILDLAND_ABANDON	Abandon Guild Territory
GUILDLAND_ABANDON_VOTE	Abandon guild [{}]'s territory.
GUILDLAND_ABANDON_VOTE_RESULT1	Guild [{}]'s territory was abandoned.
GUILDLAND_ABANDON_VOTE_RESULT2	The guild territory has been abandoned.
GUILDLAND_ABANDON_VOTE_RESULT3	Vote result:
GUILDLAND_ABANDON_VOTE_RESULT4	Vote is invalid.
GUILDLAND_ABANDON_VOTE_TEXT	Do you really want to start this vote?
GUILDLAND_ABANDON_VOTE_TEXT1	Do you agree to abandon the guild territory?
GUILDLAND_ACCEPT	Yes
GUILDLAND_DEAL	Sell Guild Territory
GUILDLAND_DEAL_TEXT1	Guild [{}] wants to sell their
GUILDLAND_DEAL_TEXT2	territory for [{}] Yang.
GUILDLAND_DEAL_TEXT3	Do you accept the offer?
GUILDLAND_DELA_VOTE	The guild [{}] wants to buy our guild territory.
GUILDLAND_DELA_VOTE_RESULT1	Guild territory sale to guild [{}]
GUILDLAND_DELA_VOTE_RESULT2	The vote has finished.
GUILDLAND_DELA_VOTE_RESULT3	Vote result for guild territory sale:
GUILDLAND_DELA_VOTE_RESULT4	Vote is invalid.
GUILDLAND_DELA_VOTE_TEXT	Which guild do you want to sell your territory to?
GUILDLAND_DELA_VOTE_TEXT1	Do you agree to sell the guild territory?
GUILDLAND_DONTHAVE_LAND	You do not own any guild territory.
GUILDLAND_NOT	No
GUILDLAND_VOTE_TEXT	Do you want to give [{}] the territory?
GUILDLIST_APPLICANT	Do you want to apply?
GUILDMARK_UPLOADER_ERROR_128_HEIGHT	Height is not 128 Pixel
GUILDMARK_UPLOADER_ERROR_12_HEIGHT	Height is not 12 Pixel
GUILDMARK_UPLOADER_ERROR_16_WIDTH	Width is not 16 Pixel
GUILDMARK_UPLOADER_ERROR_64_WIDTH	Width is not 64 Pixel
GUILDMARK_UPLOADER_ERROR_FILE_FORMAT	The game does not support this picture.
GUILDMARK_UPLOADER_ERROR_PATH	Move the data into the folder metin2/upload.
GUILDMARK_UPLOADER_ERROR_SELECT	No picture file chosen.
GUILDSTORAGE_NEXT_LOG_OPEN_TIME	Du kannst die Logs erst wieder in 30 Sekunden anfordern.
GUILDVOTE_CHANGEMASTER	Change Guild Leader
GUILDVOTE_CHANGEMASTER_RESULT1	The guild has been successfully transferred.
GUILDVOTE_CHANGEMASTER_RESULT2	The guild [{}] has been transferred to you.
GUILDVOTE_CHANGEMASTER_RESULT3	Transfer guild to member [{}]
GUILDVOTE_CHANGEMASTER_RESULT4	Vote is invalid.
GUILDVOTE_CHANGEMASTER_RESULT5	New guild leader: {}
GUILDVOTE_CHANGEMASTER_TEXT1	Do you want to transfer guild to [{}]?
GUILDVOTE_CHANGEMASTER_TEXT2	
GUILDVOTE_CHANGEMASTER_TEXT3	Do you really want to give up leadership of the guild?
GUILDVOTE_CHANGEMASTER_TEXT4	
GUILDVOTE_CHANGEMASTER_VOTETEXT1	Transfer guild to member [{}]
GUILDVOTE_CHANGEMASTER_VOTETEXT2	Do you agree to the guild leadership transfer?
GUILDVOTE_MEMBEROUT	Remove Member
GUILDVOTE_MEMBEROUT_AUTH	You do not have the necessary permissions.
GUILDVOTE_MEMBEROUT_NOMAL	Do you really want to remove this member?
GUILDVOTE_MEMBEROUT_RESULT1	Remove member: [{}]
GUILDVOTE_MEMBEROUT_RESULT2	Vote result
GUILDVOTE_MEMBEROUT_RESULT3	You have been removed from the guild [{}].
GUILDVOTE_MEMBEROUT_RESULT4	Vote result
GUILDVOTE_MEMBEROUT_RESULT5	Vote is invalid.
GUILDVOTE_MEMBEROUT_TEXT1	Do you want to start the vote against [{}]?
GUILDVOTE_MEMBEROUT_TEXT2	Vote: Remove member from the guild?
GUILDVOTE_MEMBEROUT_VOTETEXT1	Vote: Should [{}] be removed from the guild?
GUILDVOTE_MEMBEROUT_VOTETEXT2	
GUILDVOTE_NO	Against
GUILDVOTE_OK	For
GUILDVOTE_RESULT_AGGRE_MEMBER	For: {}
GUILDVOTE_RESULT_ALL_MEMBER	Participants: {}
GUILDVOTE_RESULT_OPPESE_MEMBER	Against: {}
GUILDVOTE_RESULT_TIME	{} days {} hours {} minutes {} seconds
GUILDVOTE_SELECT_ONE	Please select a character.
GUILDWAR_ALL	Battles (B)
GUILDWAR_CTF_TITLE	Capture the Flag
GUILDWAR_DRAW	Draws (D)
GUILDWAR_GAINSCORE_FIFTY	50 points
GUILDWAR_GAINSCORE_HUNDRED	100 points
GUILDWAR_GAINSCORE_THIRTY	30 points
GUILDWAR_GAMETIME_SIXTY	60 minutes
GUILDWAR_GAMETIME_TEN	10 minutes
GUILDWAR_GAMETIME_THIRTY	30 minutes
GUILDWAR_INPUT_OTHERGUILD	Please enter opposing guild.
GUILDWAR_LADDER	Rank Points
GUILDWAR_LIMIT_MEMBER_FIVE	Minimum 5 participants.
GUILDWAR_LOSE	Losses (L)
GUILDWAR_NORMAL_TITLE	Field Battle
GUILDWAR_OVER_MEMBERCOUNT	You have reached the member limit.
GUILDWAR_QUESTION_LINE_1	The Guild {}  declared war on your Guild.
GUILDWAR_QUESTION_LINE_2	Do you accept? ({})
GUILDWAR_RANKING	Rank
GUILDWAR_RECODE_ALL	{} B, {} W, {} L, {} D
GUILDWAR_SELECT_MEMBER_COUNT	Select the number of participants.
GUILDWAR_TYPE_DEFENSE	Shield Battle
GUILDWAR_TYPE_TIGER	Annihilation
GUILDWAR_TYPE_TIME	Time Attack
GUILDWAR_UNKNOWN_TITLE	...
GUILDWAR_WARP_TITLE	Arena Battle
GUILDWAR_WIN	Wins (W)
GUILDWAR_WIN_FIVE	5 rounds
GUILDWAR_WIN_ONE	1 round
GUILDWAR_WIN_THREE	3 rounds
GUILDWINDOW_BUTTON_BANKGOLDINFO	Guild Warehouse Log
GUILDWINDOW_BUTTON_BASEABANDON	Abandon Guild Territory
GUILDWINDOW_BUTTON_BASEDEAL	Sell Guild Territory
GUILDWINDOW_BUTTON_BASEDEALVOTE	Vote
GUILDWINDOW_BUTTON_BOARD	Guild Messages
GUILDWINDOW_BUTTON_CHANGEMASTER	Change Guild Leader
GUILDWINDOW_BUTTON_DECLARE	Declare War
GUILDWINDOW_BUTTON_GOLDIN	Deposit
GUILDWINDOW_BUTTON_GOLDOUT	Withdrawal
GUILDWINDOW_BUTTON_GRADE	Manage Permissions
GUILDWINDOW_BUTTON_GUILDLIST	Guild List
GUILDWINDOW_BUTTON_HEALGSP	Restore Dragon God Power
GUILDWINDOW_BUTTON_INFO	Guild Information
GUILDWINDOW_BUTTON_LANDINFO	Territory Information
GUILDWINDOW_BUTTON_MARK	Upload Guild Symbol
GUILDWINDOW_BUTTON_MEMBER	Member
GUILDWINDOW_BUTTON_OFFER	Donate EXP
GUILDWINDOW_BUTTON_OUTMEMBER	Remove Member
GUILDWINDOW_BUTTON_SKILL	Guild Skills
GUILDWINDOW_BUTTON_SYMBOL	Upload Guild Flag
GUILDWINDOW_BUTTON_VOTECHECK	Check Vote
GUILDWINDOW_BUY_GUILD_LAND	Purchase Land
GUILDWINDOW_CHANGE_OBJECT	Reconstruction
GUILDWINDOW_CHANGE_SMELTER	Change Smelter
GUILDWINDOW_CREATE_OBJECT	Construction
GUILDWINDOW_DEAL_GUILD_LAND	Sell Land
GUILDWINDOW_GRADE_BANK	May use guild bank and warehouse
GUILDWINDOW_GRADE_DRIVEOUTAUTHORITY	May remove members from the guild
GUILDWINDOW_GRADE_GRADENAME	Rank Name
GUILDWINDOW_GRADE_GRADENUMBER	Rank Number
GUILDWINDOW_GRADE_GUILDWAR	May select members to participate as combatants
GUILDWINDOW_GRADE_INVITEAUTHORITY	May accept players into the guild
GUILDWINDOW_GRADE_NOTICEAUTHORITY	May compose guild messages
GUILDWINDOW_GRADE_SKILLAUTHORITY	May use guild skills
GUILDWINDOW_INFO_LEVEL10	Increased max. member count
GUILDWINDOW_INFO_LEVEL15	Cost red.: Dragon God Power
GUILDWINDOW_INFO_LEVEL20	Bank: Tax exemption
GUILDWINDOW_INFO_LEVEL5	+5% EXP to guild donations
GUILDWINDOW_LIST_ALL	All Kingdoms
GUILDWINDOW_LIST_ALREADY_REGISTER	[Guild] You have already applied.
GUILDWINDOW_LIST_APPLICANT_LIST	Application List
GUILDWINDOW_LIST_CHRACTER_JOB	Class
GUILDWINDOW_LIST_CHRACTER_LV	Level
GUILDWINDOW_LIST_CHRACTER_NAME	Character Name
GUILDWINDOW_LIST_CHRACTER_SUB_JOB	Subclass
GUILDWINDOW_LIST_EMPIRE_A	Shinsoo
GUILDWINDOW_LIST_EMPIRE_B	Chunjo
GUILDWINDOW_LIST_EMPIRE_C	Jinno
GUILDWINDOW_LIST_GUILDMEMBER	Member
GUILDWINDOW_LIST_GUILD_LIST	Guild List
GUILDWINDOW_LIST_GUILD_LV	Level
GUILDWINDOW_LIST_GUILD_NAME	Guild
GUILDWINDOW_LIST_INPUT_GUILDNAME	[Guild] Please enter a guild name.
GUILDWINDOW_LIST_LADDER	Rank Points
GUILDWINDOW_LIST_NOTPROMOTEGUILD	[Guild] This guild is not advertising.
GUILDWINDOW_LIST_PROMOTE_GUILD	Application
GUILDWINDOW_LIST_PROMOTE_GUILD_LIST	Guild List
GUILDWINDOW_LIST_RANKING	Position
GUILDWINDOW_LIST_RANKING_COUNT	Position
GUILDWINDOW_LIST_REGISTER	Applications
GUILDWINDOW_LIST_REGISTER_GUILD	Apply to guild
GUILDWINDOW_LIST_SEARCH	Search
GUILDWINDOW_LIST_SELECT_GUILD	[Guild] Please select a guild to apply to.
GUILDWINDOW_PROMOTE_REFRESH	Advertise
GUILDWINDOW_PROMOTE_REGISTER	Advertise
GUILDWINDOW_SP_RECOVER	Dragon God Power
GUILDWINDOW_UPGRADE_ALTEROFPOWER	Upgrade Altar
GUILDWINDOW_UPGRADE_GUILDBANK	Upgrade Bank
GUILD_BANKINFO_CLOSE	Close
GUILD_BANKINFO_NAME	Member
GUILD_BANKINFO_TYPE	Item/Currency
GUILD_BANKINFO_USETYPE	Action
GUILD_BANK_CLOSE	Close
GUILD_BANK_INFO	Guild Warehouse Log
GUILD_BOARD_ID	Member
GUILD_BOARD_TEXT	Message
GUILD_BUILDING_FIX_CHANGE	Do you really want to change the position?
GUILD_BUILDING_FIX_CHANGE_GOLD	Cost: 1,000,000 Yang
GUILD_BUILDING_FIX_DELETE	Do you really want to delete the object?
GUILD_BUILDING_FIX_NEED_BUILDING	No building present.
GUILD_BUILDING_GRADE	Rank
GUILD_BUILDING_NAME	Name of building
GUILD_CANNOT_HEAL_GSP_ANYMORE	The Dragon Ghost Energy is already fully restored.
GUILD_COMMENT	Write
GUILD_CREATE_ERROR_INSULT_NAME	Guildname is not valid.
GUILD_DEFAULT_GRADE	Guild members
GUILD_DELETE	Delete
GUILD_DEPOSIT	Deposit
GUILD_DO_YOU_HEAL_GSP	Do you want to use {} Yang to restore {} units of Dragon Ghost?
GUILD_DO_YOU_JOIN	 has invited you. Do you want to join the guild?
GUILD_DRAGONLAIR_MIN	min.
GUILD_DRAGONLAIR_SECOND	sec.
GUILD_EMPTY_AREA	Empty land
GUILD_ENEMY_GUILD_NAME	Guild name of the enemy
GUILD_FACILITY	Outbuilding
GUILD_GEM	Gem
GUILD_HEADQUARTER	Main Building
GUILD_HEAL_GSP	Restore Dragon ghost
GUILD_INFO_ENEMY_GUILD_EMPTY	None
GUILD_MARK_NOT_ENOUGH_LEVEL	Minimum level of 3 required
GUILD_MARK_UPLOAD_NOTICE	Please wait a moment so you can add guild logos.
GUILD_MEMBER_JOB	Class
GUILD_MEMBER_KNIGHT	Combatant
GUILD_MEMBER_LEVEL	Level
GUILD_MEMBER_NAME	Member
GUILD_MEMBER_RANK	Rank
GUILD_MEMBER_SPECIFIC_GRAVITY	Donated EXP
GUILD_NAME	Guild name
GUILD_NOT_ENOUGH_MATERIAL	Not enough building material for this building.
