%d 권을 더 읽어야 수련을 완료 할 수 있습니다.	Du musst %d weitere Fertigkeitsbücher lesen, um diese Fertigkeit zu verbessern. 
%d 냥을 투자하셨습니다.	Du hast %d Yang investiert. 
%d 냥을 획득하셨습니다.	Du hast %d Yang gewonnen. 
%d 레벨이 되어야 다시 염색하실 수 있습니다.	Du musst Level %d erreichen, um dein Haar wieder färben zu können. 
%d 분 %d 초 동안 채팅금지 상태입니다	Deine Chat-Sperre dauert noch %d Minuten %d Sekunden. 
%d 시간 %d 분 %d 초 동안 채팅금지 상태입니다	Deine Chat-Sperre dauert noch %d Stunden %d Minuten %d Sekunden. 
%d 시간 %d 초 동안 채팅금지 상태입니다	Deine Chat-Sperre dauert noch %d Stunden %d Sekunden 
%d 종류 %d 마리 낚음	Du hast %d von %d gefangen. 
%d 초 동안 채팅금지 상태입니다	Deine Chat-Sperre dauert noch %d Sekunden 
%d 초 후에 군주의 축복을 사용할 수 있습니다	Nach %d Sekunden kann der Segen des Kaisers verwendet werden. 
%d 초간 쿨타임이 적용중입니다.	Cooldown-Zeit ungefähr %d Sekunden 
%d 초후 목적지로 이동됩니다.	%d Sekunden nach dem Ausführen kommst du zu dem Bestimmungsort. 
%d%% 확률로 관통 공격	Durchdringender Angriff mit einer Chance von %d%% 
%d%% 확률로 적퇴치시 경험치 추가 상승	Erfahrungserhöhung von %d%% bei einem Sieg über den Gegner. 
%d%% 확률로 적퇴치시 돈 2배 드롭	Erhöhung des erbeuteten Yang um %d%% bei einem Sieg über den Gegner. 
%d%% 확률로 적퇴치시 생명력 회복	%d%% Chance, nach dem Sieg über einen Gegner Trefferpunkte aufzufüllen. 
%d%% 확률로 적퇴치시 아이템 2배 드롭	Erhöhung der erbeuteten Gegenstände um %d%% bei einem Sieg über den Gegner. 
%d%% 확률로 적퇴치시 정신력 회복	Manaerhöhung von %d%% bei einem Sieg über den Gegner. 
%d%% 확률로 치명타 공격	Kritischer Angriff mit einer Chance von %d%% 
%d%% 확률로 타격시 상대 전신력 소모	Mit einer Wahrscheinlickeit von %d%% wird Mana vom Gegner genommen. 
%d%% 확률로 피해시 정신력 회복	Absorb mit einer Wahrscheinlichkeit von %d%% Mana. 
%d분의 결제시간이 추가 되었습니다. (결제번호 %d)	%d Spielzeit wird deinem Konto hinzugefügt. (Zahlung Nr. %d) 
%d의 경험치를 획득했습니다.	Du hast %d Erfahrungspunkte erhalten. 
%d초 남았습니다.	%d Sekunden bis zum Beenden. 
%d초 만큼 충전되었습니다.	%d Sekunden wurden aufgeladen. 
%d초 후 게임이 셧다운 됩니다.	Nach %d Sekunden wird das Spiel beendet. 
%s : %d 마리	%s: %d 
%s SP소모: %d	%s FP-Verbrauch: %d 
%s killcount %d mobkillcount %d bosskillcount %d 성지 진입수 %d	%s killcount %d mobkillcount %d bosskillcount %d Zahl heiligen Boden %d 
%s 군주 후보에서 삭제하였습니다	%s ist als Kaiserkandidat gelöscht. 
%s 군주로 입명 했습니다.	%s ist als Kaiser nominiert. 
%s 군주르 제거 하였습니다..	Der %s Kaiser wird entfernt. 
%s 군주를 제거 할수 없습니다.	Der %s Kaiser kann nicht entfernt werden. 
%s 길드가 %s 길드에 선전포고를 하였습니다!	Die Gilde %s hat der Gilde %s den Krieg erklärt! 
%s 길드가 %s 길드와의 전쟁에서 승리 했습니다.	%s hat den Gildenkrieg gegen %s gewonnen. 
%s 길드가 %s 길드의 깃발을 빼앗았습니다!	%s hat die Fahne von %s erobert! 
%s 길드와 %s 길드 사이의 전쟁이 무승부로 끝났습니다.	Der Gildenkrieg zwischen %s und %s endet unentschieden. 
%s 길드와 %s 길드 사이의 전쟁이 취소되었습니다.	Der Gildenkrieg zwischen %s und %s wurde abgebrochen. 
%s 길드와 %s 길드가 잠시 후 전쟁을 시작합니다!	Der Gildenkrieg zwischen %s und %s beginnt in wenigen Minuten! 
%s 길드와 %s 길드가 전쟁을 시작하였습니다!	Der Gildenkrieg zwischen %s und %s hat begonnen! 
%s 길드의 %s이 %d%% 증가했습니다!	%s der Gilde %s ist um %d%% angestiegen! 
%s 길드의 %s이 정상으로 돌아왔습니다.	%s der Gilde %s hat sich normalisiert. 
%s 길드의 깃발을 %s 님이 획득하였습니다.	Die Flagge der Gilde %s wurde von Spieler %s gestohlen. 
%s 는 군주 후보가 아닙니다.	%s ist kein Kandidat für die Kaiserwahl. 
%s 는 군주로 입명할수 없습니다 .	%s kann nicht als Kaiser nominiert werden. 
%s 님과의 교환이 성사 되었습니다.	Der Handel mit %s wurde erfolgreich durchgeführt. 
%s 님에게 파티가입 신청을 했습니다.	Du möchtest der Gruppe von %s beitreten. 
%s 님으로 부터 친구 등록을 거부 당했습니다.	%s hat die Einladung abgelehnt. 
%s 님은 %d 채널에 접속 중 입니다. (현재 채널: %d)	Der Spieler %s befindet sich gerade auf Channel %d. (Dein Channel: %d) 
%s 님은 접속되 있지 않습니다.	%s ist nicht online. 
%s 님은 정상적으로 출마를 하였습니다.	%s Spieler ist schon in der Wahl. 
%s 님을 소환하였습니다.	Du hast %s Spieler rekrutiert. 
%s 님이 대련에서 승리하였습니다.	%s hat das Duell gewonnen. 
%s 님이 승리하였습니다.	%s hat gewonnen. 
%s 블럭! (%d%%)	%s blocken! (%d%%) 
%s 아이템 을 획득하셨습니다	Du hast %s Gegenstand gewonnen. 
%s 아이템이 필요합니다	Du brauchst %s. 
%s 에게로 이동합니다	Warpen zu Spieler %s. 
%s 회피! (%d%%)	%s ausweichen! (%d%%) 
%s: 존재하지 않는 길드 입니다.	%s: Diese Gilde existiert nicht. 
%s[%d]가 공격 위치: %d %d	%s[%d]s Angriffsposition: %d %d 
%s님과의 대결 시작!	Der Kampf mit %s hat begonnen! 
%s님이 대결신청을 했습니다. 승낙하려면 대결동의를 하세요.	%s hat dich zum Kampf aufgefordert! 
%s님이 주사위를 굴려 %d가 나왔습니다. (%d-%d)	%s hat gewürfelt. Das Ergebnis lautet: %d (%d-%d). 
%s를 구웠습니다.	Du röstest %s über dem Feuer. 
%s에 박혀있던 보석이 사라집니다.	Ein Edelstein aus %s ist verschwunden. 
%s에 전쟁의 시작을 알리는 봉화가 나타났습니다.	Ein Lagerfeuer wurde bei %s entzündet, um vor einer Schlacht zu warnen. 
%s에게 대결신청을 했습니다.	Du hast %s zum Kampf aufgefordert. 
%s에서 봉화를 둘러싸고 전투가 진행중입니다.	Es gibt in %s einen Krieg um die Leuchtfeuer zu entzünden. 
%s에서 소켓 빠질때까지 남은 시간 %d	Bis zur Fassungsentfernung von %s verbleibende Zeit: %d 
%s의 %s이 %d%% 증가했습니다!	%s: %s ist um %d%% angestiegen! 
%s의 %s이 정상으로 돌아왔습니다.	%s 's %s hat sich normalisiert. 
%s의 군주가 %s 님으로 교체되었습니다.	Der Kaiser von %s wurde geändert in %s. 
%s이 모든 봉화를 파괴하였습니다.	%s hat alle Lagerfeuer zerstört. 
%s이 봉화를 파괴했습니다.	%s hat das Lagerfeuer zerstört. 
%s이 수성에 성공했습니다.	%s ist die Verteidigung gelungen. 
%s이 수성에 실패하여 전쟁에 패배하였습니다..	%s hat den Krieg verloren, da sie das Schloss nicht verteidigen konnten. 
%s이 필요합니다.	Für diese Aktion benötigst du: %s 
(%s) 길드가 생성되었습니다. [임시]	(%s) wurde erstellt. [Temporär] 
다 읽었다! 이제 비급에 적혀있는 대로 전신에 기를 돌리기만 하면,	Ich habe es gelesen! Jetzt muss sich das Chi in meinem Körper verteilen. 
다른 거래중(창고,교환,상점)에는 개인상점을 사용할 수 없습니다.	Du kannst jetzt keinen privaten Laden nutzen. 
다른 거래중(창고,교환,상점)에는 사용할 수 없습니다.	Du kannst nichts herstellen, wenn noch ein Handels- oder Lagerfenster geöffnet ist. 
다른 거래중일경우 개인상점을 열수가 없습니다.	Du kannst keinen privaten Laden eröffnen, solange du mit anderen handelst. 
다른 거래창이 열려있을경우 거래를 할수 없습니다.	Wenn das Handelsfenster geöffnet ist, kannst du nicht mit anderen handeln. 
다른 거래창이 열린상태에서는 상점거래를 할수 가 없습니다.	Du kannst im Laden nicht handeln, wenn ein anderes Handelsfenster geöffnet ist. 
다른 제국 유저는 소환할 수 없습니다.	Du kannst keine Spieler aus den anderen Reichen rekrutieren. 
다른 컴퓨터에서 로그인 하여 접속을 종료 합니다.	Jemand hat sich mit deinem Konto eingeloggt. Du wirst vom Server getrennt. 
다른거래창이 열린상태에서는 창고를 열수가 없습니다.	Du kannst kein Lager eröffnen, solange ein anderes Handelsfenster offen ist. 
다음 문제 준비해주세요.	Bereit für die nächste Frage? 
다이아몬드로 소켓을 추가해야합니다.	Du musst eine Fassung hinzufügen, wenn du einen Diamanten nutzen willst. 
단계 개량에 성공했습니다.	Verbesserung des Reinheitsgrades war erfolgreich. 
단계 개량에 실패했습니다.	Verbesserung des Reinheitsgrades ist fehlgeschlagen. 
단계 개량에 필요한 재료가 아닙니다.	Dieser Gegenstand wird zur Veredelung nicht benötigt. 
단계 개량할 수 없는 용혼석입니다.	Dieser Drachenstein kann nicht zur Veredelung genutzt werden. 
닫기	Schließen 
당신이 주사위를 굴려 %d가 나왔습니다. (%d-%d)	Du hast gewürfelt. Das Ergebnis lautet: %d (%d-%d). 
대련 강제 종료 성공	Duell erfolgreich abgebrochen. 
대련 강제 종료 실패	Duell nicht erfolgreich abgebrochen. 
대련 상대가 사라져 대련을 종료합니다.	Duell beendet, da dein Gegner verschwunden ist. 
대련 시간 초과로 대련을 중단합니다.	Das Duell wird wegen Zeitüberschreitung beendet. 
대련 시작에 문제가 있습니다.	Es gibt ein Problem, das Duell zu beginnen. 
대련 중에는 이용할 수 없는 물품입니다.	Du kannst diesen Gegenstand im Duell nicht benutzen. 
대련이 성공적으로 시작 되었습니다.	Das Duell wurde erfolgreich begonnen. 
대련이 시작되었습니다.	Das Duell hat begonnen. 
대련자 문제로 인하여 대련을 종료합니다.	Das Duell wird beendet, da es ein Problem mit dem Duellanten gibt. 
대련자 문제로 인하여 대련을 중단합니다.	Das Duell wird gestoppt, da es ein Problem mit der Duellarena gibt. 
대련자가 없습니다.	Es gibt keine Duellanten. 
대련장 문제로 인하여 대련을 종료합니다.	Das Duell wird beendet, da es ein Problem mit der Duellarena gibt. 
대련장에서 사용하실 수 없습니다.	Du kannst das nicht in der Duellarena nutzen. 
대박골드 드롭률 %d%% 추가 이벤트 중입니다.	Die Quote des Yang-Drop ist im Moment zusätzlich %d%% 
더 높은 경지의 수련을 성공적으로 끝내셨습니다.	Du hast dein Training mit dem Buch erfolgreich abgeschlossen. 
더 이상 OX이벤트 참가자를 받지 않습니다.	OX Event akzeptiert keine Teilnehmer mehr. 
더 이상 개량할 수 없습니다.	Keine weitere Verbesserung möglich. 
더 이상 수련할 수 없습니다.	Du kannst diese Fertigkeit nicht weiter steigern. 
더 이상 승마 수련서를 읽을 수 없습니다.	Du kannst keine weiteren Reitanleitungen lesen. 
더 이상 이 아이템을 이용하여 속성을 추가할 수 없습니다.	Dieser Gegenstand kann nicht weiter verbessert werden. Die maximale Anzahl Boni ist bereits erreicht. 
더이상 이 아이템을 이용하여 속성을 추가할 수 없습니다.	Dieser Gegenstand kann nicht weiter verbessert werden. Die maximale Anzahl Boni ist bereits erreicht. 
더이상 캐낼 수 없습니다.	Es gibt nichts abzubauen. 
던전 안에서는 %s%s 사용할 수 없습니다.	%s%s kann in einem Dungeon nicht benutzt werden. 
독 저항 %d%%	Giftwiderstand %d%% 
독공격 %d	Giftangriff %d 
돈 %d 냥을 획득했습니다.	Du hast %d Yang erhalten. 
돈 대박이 나올 확률	Prozent Yangbomben-Droprate 
돈 드롭율 %.1f배	Wahrscheinlichkeit Yang zu finden %. 1f 
돈이 나올 확률	Yang-Droprate in Prozent 
돈이 부족하거나 아이템이 제자리에 없습니다.	Nicht genügend Yang oder kein Platz im Inventar. 
동물류 몬스터 타격치 +%d%%	Pferdeangriffskraft gegen Monster +%d%% 
동일한 머리 스타일로는 교체할 수 없습니다.	Du trägst diese Frisur bereits. 
두손검 방어 %d%%	Zweihandschwert-Verteidigung %d%% 
둔갑 중에는 능력을 올릴 수 없습니다.	Du kannst deinen Status nicht ändern, solange du verwandelt bist. 
둔갑 중에는 착용중인 장비를 변경할 수 없습니다.	Du kannst deine Ausrüstung nicht ändern, solange du verwandelt bist. 
둔갑서 수련을 마첬습니다. 신선에게 찾아가세요.	Du hast die Verwandlung fertig gelernt. 
둔갑에 실패 하였습니다	Fehler bei der Verwandlung. 
둔갑할 수 없는 상태입니다.	Du kannst dich nicht verwandeln, während du reitest. 
드디어 끝이 보이는 건가...  이 기술은 이해하기가 너무 힘들어..	Diese Anweisungen sind schwer zu verstehen. Ich muss weiter studieren. 
등급 개량에 성공했습니다.	Veredelung um eine Klasse höher war erfolgreich. 
등급 개량에 실패했습니다.	Veredelung um eine Klasse höher ist fehlgeschlagen. 
등급 개량에 필요한 재료가 아닙니다.	Dieser Gegenstand wird nicht zur Verbesserung des Reinheitsgrades benötigt. 
떨어진 아이템은 %d분 후 사라집니다.	Das gedroppte Item verschwindet nach %d Minuten. 
떨어진 아이템은 3분 후 사라집니다.	Der fallengelassene Gegenstand wird in 3 Minuten verschwinden. 
뜨거운 무엇이 계속 용솟음치고 있어! 이건, 이것은!	Das Training scheint bereits zu wirken... 
레벨 20 이하는 핸드폰 번호를 등록할 수 없습니다.	Dein Level muss höher als 20 sein, um eine Handynummer zu registrieren. 
레벨 30이 되기 전에는 습득할 수 있을 것 같지 않습니다.	Du benötigst Level 30, um dieses Buch zu verstehen. 
레벨 50이 되기 전에는 습득할 수 있을 것 같지 않습니다.	Du benötigst Level 50, um dieses Buch zu verstehen. 
레벨이 낮아 착용할 수 없습니다.	Dein Level ist zu niedrig, um diesen Gegenstand anzulegen. 
로그인 화면으로 돌아 갑니다. 잠시만 기다리세요.	Zurück zum Login-Fenster. Bitte warten. 
룻렛을 돌립니다. 금액 %d	Roulette drehen für einen Betrag von %d Yang. 
를	das 
마법 공격력 +%d	Magie-Angriff + %d 
마법 방어력 +%d	Magie-Verteidigung + %d 
마법 저항 %d%%	Magiewiderstand %d%% 
마음이 맑아지는군. 가슴을 짓누르던 무언가가 좀 가벼워진 느낌이야.	Dein Geist ist klar. Du kannst dich jetzt gut konzentrieren. 
많은 참여 부탁드립니다.	Wir bitten um die Teilnahme vieler Spieler. 
말 소환 아이템을 사용하세요.	Bitte benutze einen Gegenstand, um ein Pferd zu rufen. 
말 소환에 실패하였습니다.	Pferd rufen fehlgeschlagen. 
말에게 %s%s 주었습니다.	Du hast das Pferd mit %s%s gefüttert. 
말에게 사료를 주었습니다.	Du hast das Pferd gefüttert. 
말에게 선초를 주었습니다.	Du hast das Pferd mit Kräutern gefüttert. 
말에서 먼저 내려야 합니다.	Du musst absteigen. 
말을 돌려보냈습니다.	Du hast dein Pferd fortgeschickt. 
말을 먼저 소환해주세요.	Bitte ruf zuerst dein Pferd. 
말을 소유하고 있지 않습니다.	Du besitzt kein Pferd. 
말을 탄 상대와 감정표현을 할 수 없습니다.	Du kannst keine Emotionen mit einem Spieler benutzen, der reitet. 
말을 탄 상태에서 감정표현을 할 수 없습니다.	Du kannst keine Emotionen benutzen, während du reitest. 
말을 탄 상태에서 예복을 입을 수 없습니다.	Du kannst das nicht benutzen, während du auf einem Pferd reitest. 
말을 탄 상태에서는 먹이를 줄 수 없습니다.	Du kannst dein Pferd nicht füttern, während du aufsitzt. 
말의 스테미너가 부족하여 말을 탈 수 없습니다.	Die Ausdauer deines Pferdes ist zu niedrig. 
말이 없습니다. 마굿간 경비병을 찾아가세요.	Kein Pferd vorhanden. Bitte frag den Stallburschen. 
말이 죽어있는 상태 입니다.	Dein Pferd ist tot. 
맞으면 O, 틀리면 X로 이동해주세요	Ist das richtig, dann gehe zu O. Ist es falsch, dann zu X. 
머니  룰렛 시작.	Yang-Roulette starten 
먼저 다이아몬드로 악세서리에 소켓을 추가해야합니다.	Du musst zuerst eine Fassung hinzufügen. Benutze dazu einen Diamanten. 
먼저 용혼석 퀘스트를 완료하셔야 합니다.	Bevor du das Cor Draconis öffnest, musst du die Drachenstein-Quest abgeschlossen und die Drachensteinalchemie aktiviert haben. 
먼저 일어 나세요.	Steh zuerst auf. 
먼저 재가비서를 이용하여 속성을 추가시켜 주세요.	Du kannst die Segenskugel erst dann mit einem Gegenstand benutzen, wenn er bereits 4 Boni besitzt. 
메틴2인증번호: %s	Metin2 Bestätigungs-Nr.: %s 
메틴석 부착에 성공하였습니다.	Du hast den Geiststein erfolgreich angebracht. 
메틴석 부착에 실패하였습니다.	Der Geiststein ist beim Einsetzen zerbrochen. 
명령어를 모두 입력하세요.	Bitte gib den Befehl in voller Länge ein. 
명령어의 서브 커맨드가 잘못 되었습니다.	Unterbefehl des Befehls ist falsch. 
모닥불을 피울 수 없는 지점입니다.	Du kannst hier kein Lagerfeuer machen. 
몬스터에게 강함 +%d%%	Stark gegen Monster + %d%% 
몸 속이 뜨겁군. 하지만 아주 편안해. 이대로 기를 안정시키자.	Ich brenne innerlich, aber es beruhigt meinen Körper. Mein Chi muss sich stabilisieren. 
몸에서 뭔가 힘이 터져 나오는 기분이야!	Mein Körper ist voller Energie! 
무기와 갑옷에만 사용 가능합니다.	Nur auf Waffen und Rüstungen anwendbar. 
무당공격에 %d%% 저항	%d%% Widerstand gegen Schamanen-Angriffe 
무당에게 강함 +%d%%	Stark gegen Schamanen + %d%% 
무료 개량 기회는 20 이하의 무기만 가능합니다	Die kostenlose Verbesserung von Waffen kann nur auf Waffen bis Level 20 angewandt werden. 
무사공격에 %d%% 저항	%d%% Widerstand gegen Krieger-Angriffe 
무사에게 강함 +%d%%	Stark gegen Krieger + %d%% 
문자 메세지 전송에는 2000원이 필요 합니다.	Du benötigst 2000 DT, um eine SMS zu schicken. 
문자 메세지 전송은 레벨 20부터 할 수 있습니다.	Du musst mindestens auf Level 20 sein, um eine SMS zu schicken. 
문자 메세지를 전송 했습니다.	Deine SMS wurde verschickt. 
문제 입니다.	Frage. 
문제를 출제하였습니다.	Es ist ein Fehler aufgetreten. 
문제를 출제하지 못했습니다.	Es ist kein Fehler aufgetreten. 
물 속에 모닥불을 피울 수 없습니다.	Du kannst kein Lagerfeuer im Wasser machen. 
물리타격시 블럭 확률 %d%%	%d%% Chance, einen Nahkampf-Angriff abzublocken 
물약 사용시 %d%% 성능 증가	Erhöhung der Leistung um %d%% durch Einnahme des Tranks. 
물약 제조에 실패했습니다.	Die Herstellung des Tranks ist fehlgeschlagen. 
물약 제한이 없습니다.	Es gibt keine Begrenzung für Tränke. 
물약 조합을 위한 재료가 부족합니다.	Es fehlen Zutaten für die Mischung des Tranks. 
물약을 %d 개 까지 사용 가능합니다.	Du kannst bis zu %d Tränke nutzen. 
뭔가 몸 안에 힘이 생기는 기분인 걸.	Ich fühle mich erfrischt. 
미끼를 끼고 던져 주세요.	Befestige zuerst einen Köder am Haken. 
민첩 +%d	Beweglichkeit +%d 
민첩이 낮아 착용할 수 없습니다.	Deine Beweglichkeit ist zu niedrig, um diesen Gegenstand anzulegen. 
밀교류 타격치 +%d%%	Angriffsverstärkung gegen Milgyo + %d%% 
바람 저항 %d%%	Windwiderstand %d%% 
방어력 +%d	Rüstung + %d 
방어력 +%d%%	Verteidigung + %d%% 
방울 방어 %d%%	Glockenverteidigung %d%% 
배 속에서 조개가 나왔습니다.	Im Fisch ist eine Muschel. 
배 속에서 지렁이가 나왔습니다.	Im Fisch ist ein Wurm. 
버릴 수 없는 아이템입니다.	Du kannst diesen Gegenstand nicht fallen lassen. 
벨트 인벤토리에 아이템이 존재하면 해제할 수 없습니다.	 
변경할 속성이 없습니다.	Du hast keine Verbesserung, die du ändern kannst. 
변신 상태에서는 말에 탈 수 없습니다.	Du kannst kein Pferd reiten, solange du verwandelt bist. 
변신중에는 책을 읽을수 없습니다.	Du kannst kein Buch lesen, während du verwandelt bist. 
부착할 수 있는 슬롯이 없습니다.	Es ist kein Slot frei. 
부채 방어 %d%%	Fächerverteidigung %d%% 
불법 프로그램이 감지 되어 게임이 종료 됩니다.	Illegale Software wurde entdeckt. Dein Spiel wird beendet. 
비속어나 은어가 포함된 상점 이름으로 상점을 열 수 없습니다.	Du kannst deinem Laden keinen ungültigen Namen geben. 
빈 병이 모자릅니다.	Du hast nicht genügend leere Flaschen. 
빼낼 수 있는 메틴석이 없습니다.	Es gibt keinen Stein zum Herausnehmen. 
빼낼 영석이 없습니다	Es gibt keinen Geiststein, der entfernt werden könnte. 
사귀 타워 완료 보상은 한번까지 사용가능합니다.	Du kannst nur einmal für den Dämonenturm-Auftrag belohnt werden. 
사용 제한량을 초과하였습니다.	Das ist über dem Limit. 
사용법: transfer <name>	Benutze: transfer <name> 
사용법: warpto <character name>	Befehl: warpen zu <character name> 
사용할수 없습니다.	Diese Funktion ist hier und jetzt nicht verfügbar. 
삼거리 몹 리젠	Monster in der Reichsschlacht 
삼거리 전투 참가중에는 귀환부,귀환기억부를 사용할수 없습니다.	Während der Teilnahme an einer Reichsschlacht kannst du keine Rückkehr-Schriftrolle benutzen. 
삼거리 전투에서 %s 국가가 가장먼저 탈락을 하였습니다	Das %s wurde besiegt und scheidet aus der Reichsschlacht aus. 
상대방 캐릭터가 접속을 종료하여 대련을 중지합니다.	Der Duellgegner wurde getrennt. Das Duell wird angehalten. 
상대방 캐릭터의 문제로 인하여 대련을 종료합니다.	Der Duellgegner hat Probleme. Das Duell wird beendet. 
상대방의 돈이 부족하거나 아이템이 제자리에 없습니다.	Die andere Person hat nicht genügend Yang oder sie hat keinen Platz im Inventar. 
상대방의 소지품에 빈 공간이 없습니다.	Die andere Person hat keinen Platz im Inventar. 
상대방의 총금액이 20억 냥을 초과하여 거래를 할수가 없습니다..	Der Spieler besitzt mehr als 2 Mrd. Yang. Du kannst nicht mit ihm handeln. 
상대방이 %d 채널에 있습니다. (현재 채널 %d)	Der Spieler ist in Channel %d. (Du bist in Channel %d.) 
상대방이 교환 거부 상태입니다.	Die andere Person hat den Handel abgebrochen. 
상대방이 다른 거래를 하고 있는 중입니다.	Dieser Spieler handelt gerade mit jemand anderem. 
상대방이 다른 거래중이라 거래를 할수 없습니다.	Die andere Person handelt gerade, deshalb kannst du jetzt nicht mit ihr handeln. 
상대방이 대련중입니다.	Der Spieler duelliert sich gerade. 
상대방이 메신져 추가 거부 상태입니다.	Der Spieler hat abgelehnt, deiner Freundesliste hinzugefügt zu werden. 
상대방이 온라인 상태가 아닙니다.	Der Spieler ist nicht online. 
상대방이 있는 곳으로 워프할 수 없습니다.	Du kannst dich nicht zum Spieler teleportieren. 
상대방이 친구 추가를 받을 수 없는 상태입니다.	Du kannst dein Gegenüber nicht zu deinen Freunden hinzufügen. 
상대방이 파티에 속해있지 않습니다.	Der Spieler befindet sich nicht in der Gruppe. 
상자가 갑자기 폭발하였습니다! 생명력이 감소했습니다.	Die Kiste ist explodiert! Du hast Trefferpunkte verloren. 
상자에서 %s 가 %d 개 나왔습니다.	Du erhältst %s, %d Stück. 
상자에서 %s 가 나왔습니다.	Die Kiste enthält: %s. 
상자에서 나온 녹색 연기를 들이마시자 독이 온몸으로 퍼집니다!	Wenn du den grünen Rauch aus der Kiste einatmest, verteilt sich Gift in deinem Körper! 
상자에서 나온 빨간 연기를 들이마시자 움직이는 속도가 느려졌습니다!	Wenn du den roten Rauch aus der Kiste einatmest, steigert sich deine Schnelligkeit! 
상자에서 몬스터가 나타났습니다!	Aus der Kiste kam ein Monster! 
상자에서 부터 신비한 빛이 나옵니다.	Mysteriöses Licht kommt aus der Kiste. 
상점과의 거리가 너무 멀어 물건을 살 수 없습니다.	Du bist zu weit vom Shop entfernt, um etwas zu kaufen. 
상점과의 거리가 너무 멀어 물건을 팔 수 없습니다.	Du bist zu weit vom Shop entfernt, um etwas zu verkaufen. 
상품을 받을 인벤토리가 부족합니다. 인벤토리를 비워주세요!	Du hast nicht genug Platz im Inventar, um die Belohnung anzunehmen. 
생각만큼 읽기가 쉽지가 않군. 이해도 어렵고 내용도 난해해.	Es ist komplizierter und schwerer zu verstehen, als ich dachte. 
생명력 회복 +%d	Lebenserholung +%d 
서버에 치명적인 오류가 발생하여 자동으로 재부팅됩니다.	Ein schwerwiegender Server-Fehler ist aufgetreten. Der Server wird automatisch neu gestartet. 
선악치가 %d 증가하였습니다.	Dein Rang ist um %d Punkte gestiegen. 
선악치를 더 이상 올릴 수 없습니다.	Die Rangpunkte können nicht weiter erhöht werden. 
선택 맵 정보 성지 %d 통로 %d %d %d	Wähle die Karten Informationen des Heiligen Boden %d Durchgang %d %d %d 
성별이 맞지않아 이 아이템을 사용할 수 없습니다.	Du kannst dieses Item nicht verwenden, da es für das andere Gechlecht gedacht ist. 
성별이 맞지않아 이 아이템을 열 수 없습니다.	Dieser Gegenstand kann nur vom anderen Geschlecht geöffnet werden. 
성에서만 사용할 수 있는 기능입니다.	Diese Funktion kann nur im Schloss verwendet werden. 
성지에서 부활 기회를 모두 잃었습니다! 마을로 이동합니다!	Die Wartezeit ist abgelaufen. Du wirst in der Stadt wiederbelebt. 
성지의 마왕: 너희	Der Teufel des geheiligten Ortes 
세금이 %d %로 설정되었습니다	Die Steuer ist auf %d % gesetzt. 
셧다운이 %d초 남았습니다.	%d Sekunden bis zum Beenden. 
소유 돈이 20억냥을 넘어 거래를 핼수가 없습니다.	Du hast mehr als 2 Mrd. Yang bei dir. Du kannst nicht handeln. 
소지금이 부족하여 이 아이템을 사용할 수 없습니다.	Du hast nicht genügend Yang, um den Gegenstand zu benutzen. 
소지품에 빈 공간이 없습니다.	Es ist nicht genügend Platz im Inventar. 
소지하고 있는 아이템이 너무 많습니다.	Du trägst zu viele Gegenstände bei dir. 
소켓 추가에 실패하였습니다.	Keine Fassung hinzugefügt. 
소켓이 성공적으로 추가되었습니다.	Fassung wurde erfolgreich hinzugefügt. 
소환할수 없는 몬스터 입니다. 소환가능한 몬스터는 홈페이지를 참조하세요	Das Monster kann nicht gerufen werden, überprüfe die Mob-Nummer. 
속성 추가에 성공하였습니다.	Verbesserung wurde erfolgreich hinzugefügt. 
속성 추가에 실패하였습니다.	Keine Verbesserung hinzugefügt. 
속성을 바꾼지 %d분 이내에는 다시 변경할 수 없습니다.(%d 분 남음)	Du kannst dies erst %d Minuten nach einer Verbesserung vornehmen. (%d Minuten übrig) 
속성을 변경하였습니다.	Du hast die Verbesserung geändert. 
속성을 변경할 수 없는 아이템입니다.	Du kannst die Verbesserung dieses Gegenstands nicht ändern. 
수라공격에 %d%% 저항	%d%% Widerstand gegen Sura-Angriffe 
수라에게 강함 +%d%%	Stark gegen Sura + %d%% 
수련이 실패로 끝났습니다. 다시 도전해주시기 바랍니다.	Training fehlgeschlagen. Bitte versuch es später noch einmal. 
수련할 수 없는 스킬입니다.	Du kannst diese Fertigkeit nicht trainieren. 
스킬 데미지 %d%%	Fertigkeitsschaden %d%% 
스킬 데미지 저항 %d%%	Widerstand gegen Fertigkeitsschaden %d%% 
스킬 레벨을 내리는데 성공하였습니다.	Du hast dein Fertigkeits-Level verringert. 
스킬 레벨을 내릴 수 없습니다.	Du kannst dein Fertigkeits-Level nicht verringern. 
스턴 +%d	Stern +%d 
슬로우 +%d	Geschwindigkeitsreduzierung +%d 
승마 수련서 이해에 실패하였습니다.	Du hast die Reitanleitung nicht verstanden. 
승마 수련서를 읽어 승마 스킬 포인트를 얻었습니다.	Du hast die Reitanleitung gelesen und einen Reitpunkt erhalten. 
시체류 타격치 +%d%%	Angriffsverstärkung gegen Untote + %d%% 
신수국	Shinsoo-Reich 
쓰러진 상태에서는 말에 탈 수 없습니다.	Während du am Boden liegst, kannst du nicht aufs Pferd steigen. 
쓰러진 상태에서는 할 수 없습니다.	Du kannst das nicht ausführen, während du am Boden liegst. 
