%d 권을 더 읽어야 수련을 완료 할 수 있습니다.	Musisz przeczytać jeszcze %d Ksiąg Umiejętności aby ulepszyć tę Umiejętność. 
%d 냥을 투자하셨습니다.	Zainwestowałeś %d Yang. 
%d 냥을 획득하셨습니다.	Wygrałeś %d Yang. 
%d 레벨이 되어야 다시 염색하실 수 있습니다.	Musisz osiągnąć poziom %d, aby móc ponownie zmienić kolor fryzury. 
%d 분 %d 초 동안 채팅금지 상태입니다	Twoja blokada czatu trwa jeszcze %d minut %d sekund 
%d 시간 %d 분 %d 초 동안 채팅금지 상태입니다	Twoja blokada czatu trwa jeszcze %d godzin %d minut %d sekund 
%d 시간 %d 초 동안 채팅금지 상태입니다	Twoja blokada czatu trwa jeszcze %d godzin %d sekund 
%d 종류 %d 마리 낚음	Złapałeś %d z %d . 
%d 초 동안 채팅금지 상태입니다	Pozostało %d sekund do końca twojej blokady pisania 
%d 초 후에 군주의 축복을 사용할 수 있습니다	Po %d sekundach możesz użyć Błogosławieństwa Imperatora. 
%d 초간 쿨타임이 적용중입니다.	Regeneracja około %d sekund. 
%d 초후 목적지로 이동됩니다.	Osiągniesz miejsce docelowe w %d sekund po wykonaniu. 
%d%% 확률로 관통 공격	Szansa na Przeszywający Atak od %d%% 
%d%% 확률로 적퇴치시 경험치 추가 상승	Jeśli wygrasz, Doświadczenie wzrośnie do %d%%. 
%d%% 확률로 적퇴치시 돈 2배 드롭	Jeśli wygrasz, Yang wzrosną do %d%%. 
%d%% 확률로 적퇴치시 생명력 회복	%d%% szansa na uzupełnienie Punktów Energii po zwycięstwie. 
%d%% 확률로 적퇴치시 아이템 2배 드롭	Jeśli wygrasz, Ilość przejętych przedmiotów wzrośnie do %d%%. 
%d%% 확률로 적퇴치시 정신력 회복	Jeśli wygrasz, Mana zostanie podniesiona do %d%% 
%d%% 확률로 치명타 공격	Szansa na Krytyczny Atak %d%% 
%d%% 확률로 타격시 상대 전신력 소모	Z szansą %d%% Many zostanie zabranej od wroga. 
%d%% 확률로 피해시 정신력 회복	Absorbowanie Many z szansą %d%% . 
%d분의 결제시간이 추가 되었습니다. (결제번호 %d)	Czas gry ( %d ) dodany do Twojego konta. (Numer płatności %d) 
%d의 경험치를 획득했습니다.	Otrzymałeś %d Punktów Doświadczenia. 
%d초 남았습니다.	%d sekund do wyłączenia. 
%d초 만큼 충전되었습니다.	Naładowano %d sek. 
%d초 후 게임이 셧다운 됩니다.	Gra zostanie zamknięta po %d sekundach. 
%s : %d 마리	%s: %d 
%s SP소모: %d	%s Użycie FP: %d 
%s killcount %d mobkillcount %d bosskillcount %d 성지 진입수 %d	%s licznik zabójstw %d zabitych potworów %d zabitych bossów %d liczba świętej ziemi %d 
%s 군주 후보에서 삭제하였습니다	Kandydatura %s na Imperatora została skasowana. 
%s 군주로 입명 했습니다.	%s został nominowany na Imperatora. 
%s 군주르 제거 하였습니다..	Imperator %s został odwołany. 
%s 군주를 제거 할수 없습니다.	Imperator %s nie może zostać odwołany. 
%s 길드가 %s 길드에 선전포고를 하였습니다!	Gildia %s wypowiedziała wojnę Gildii %s! 
%s 길드가 %s 길드와의 전쟁에서 승리 했습니다.	Gildia %s wygrała wojnę przeciwko Gildii %s. 
%s 길드가 %s 길드의 깃발을 빼앗았습니다!	Gildia %s przejęła flagę Gildii %s! 
%s 길드와 %s 길드 사이의 전쟁이 무승부로 끝났습니다.	Wojna pomiędzy Gildiami %s oraz %s zakończona remisem. 
%s 길드와 %s 길드 사이의 전쟁이 취소되었습니다.	Wojna pomiędzy Gildiami %s oraz %s została anulowana. 
%s 길드와 %s 길드가 잠시 후 전쟁을 시작합니다!	Wojna pomiędzy Gildiami %s oraz %s rozpocznie się za kilka minut! 
%s 길드와 %s 길드가 전쟁을 시작하였습니다!	Wojna pomiędzy Gildiami %s oraz %s rozpoczęta! 
%s 길드의 %s이 %d%% 증가했습니다!	%s Gildii %s wzrósł do %d%%! 
%s 길드의 %s이 정상으로 돌아왔습니다.	%s Gildii %s jest ponownie normalny. 
%s 길드의 깃발을 %s 님이 획득하였습니다.	Flaga Gildii %s została ukradziona przez gracza %s. 
%s 는 군주 후보가 아닙니다.	%s nie jest kandydatem na Imperatora. 
%s 는 군주로 입명할수 없습니다 .	%s nie może być nominowany na Imperatora. 
%s 님과의 교환이 성사 되었습니다.	Handel z %s zakończony pomyślnie. 
%s 님에게 파티가입 신청을 했습니다.	Chcesz dołączyć się do Grupy %s. 
%s 님으로 부터 친구 등록을 거부 당했습니다.	%s odrzucił zaproszenie. 
%s 님은 %d 채널에 접속 중 입니다. (현재 채널: %d)	Gracz %s obecnie przebywa na kanale %d. (Twój Kanał: %d) 
%s 님은 접속되 있지 않습니다.	%s nie jest online. 
%s 님은 정상적으로 출마를 하였습니다.	%s graczy oddało już swój głos. 
%s 님을 소환하였습니다.	Zrekrutowałeś %s graczy. 
%s 님이 대련에서 승리하였습니다.	%s wygrał pojedynek. 
%s 님이 승리하였습니다.	%s wygrał. 
%s 블럭! (%d%%)	%s blokuje! (%d%%) 
%s 아이템 을 획득하셨습니다	Wygrałeś %s przedmiotów. 
%s 아이템이 필요합니다	Potrzebujesz %s. 
%s 에게로 이동합니다	Teleport do %s. 
%s 회피! (%d%%)	%s robi unik! (%d%%) 
%s: 존재하지 않는 길드 입니다.	%s: Ta Gildia nie istnieje. 
%s[%d]가 공격 위치: %d %d	%s[%d]s Pozycja ataku: %d %d 
%s님과의 대결 시작!	Pojedynek z %s rozpoczęty! 
%s님이 대결신청을 했습니다. 승낙하려면 대결동의를 하세요.	%s wyzwał Cię na pojedynek! 
%s님이 주사위를 굴려 %d가 나왔습니다. (%d-%d)	%s rzuca kostką. Wyrzucona liczba to %d (%d-%d). 
%s를 구웠습니다.	Pieczesz %s nad ogniem. 
%s에 박혀있던 보석이 사라집니다.	Zniknął klejnot z %s. 
%s에 전쟁의 시작을 알리는 봉화가 나타났습니다.	Ognisko zostało zapalone w %s by ostrzec o bitwie. 
%s에게 대결신청을 했습니다.	Wyzwałeś %s na pojedynek. 
%s에서 봉화를 둘러싸고 전투가 진행중입니다.	Są %s wojny, by zapalić ogniska. 
%s에서 소켓 빠질때까지 남은 시간 %d	Pozostały czas do usunięcia Kieszeni %s: %d 
%s의 %s이 %d%% 증가했습니다!	%s: %s wzrósł o %d%%! 
%s의 %s이 정상으로 돌아왔습니다.	%s %s jest ponownie normalny. 
%s의 군주가 %s 님으로 교체되었습니다.	Imperator z %s został zmieniony na %s. 
%s이 모든 봉화를 파괴하였습니다.	%s zniszczył ognisko. 
%s이 봉화를 파괴했습니다.	%s zniszczył ognisko. 
%s이 수성에 성공했습니다.	%s był w stanie obronić pomyślnie. 
%s이 수성에 실패하여 전쟁에 패배하였습니다..	%s przegrali wojnę, ponieważ nie byli w stanie obronić zamku. 
%s이 필요합니다.	Aby to zrobić potrzebujesz: %s 
(%s) 길드가 생성되었습니다. [임시]	(%s) Gildia utworzona. [Tymczasowo] 
다른거래창이 열린상태에서는 창고를 열수가 없습니다.	Nie możesz otworzyć Magazynu jeśli jest otwarte okno handlu. 
다음 문제 준비해주세요.	Gotowi na następne pytanie? 
다이아몬드로 소켓을 추가해야합니다.	Musisz dodać slot, jeśli chcesz użyć Diamentu. 
단계 개량에 성공했습니다.	Podwyższenie stopnia jakości powiodło się. 
단계 개량에 실패했습니다.	Podwyższenie stopnia jakości nie powiodło się. 
단계 개량에 필요한 재료가 아닙니다.	Przedmiot ten nie jest potrzebny do uszlachetniania. 
단계 개량할 수 없는 용혼석입니다.	Tego Smoczego Kamienia nie można użyć w celu uszlachetniania. 
닫기	Zamknij 
당신이 주사위를 굴려 %d가 나왔습니다. (%d-%d)	Rzuciłeś kostką. Wyrzuciłeś %d (%d-%d). 
대련 강제 종료 성공	Pojedynek przerwany pomyślnie. 
대련 강제 종료 실패	Pojedynek nie został przerwany. 
대련 상대가 사라져 대련을 종료합니다.	Pojedynek został zakończony, ponieważ zniknął twój przeciwnik. 
대련 시간 초과로 대련을 중단합니다.	Pojedynek został zakończony z powodu upływu czasu. 
대련 시작에 문제가 있습니다.	Napotkano problem przy rozpoczęciu pojedynku. 
대련 중에는 이용할 수 없는 물품입니다.	Nie możesz użyć tego przedmiotu w pojedynku. 
대련이 성공적으로 시작 되었습니다.	Pojedynek rozpoczęty pomyślnie. 
대련이 시작되었습니다.	Pojedynek rozpoczęty. 
대련자 문제로 인하여 대련을 종료합니다.	Pojedynek został zakończony ponieważ jest problemów z przeciwnikiem. 
대련자 문제로 인하여 대련을 중단합니다.	Pojedynek jest zakończony z powodu problemów z areną. 
대련자가 없습니다.	Brak przeciwników. 
대련장 문제로 인하여 대련을 종료합니다.	Pojedynek został zakończony z powodu problemów z areną. 
대련장에서 사용하실 수 없습니다.	Nie możesz użyć tego na arenie. 
대박골드 드롭률 %d%% 추가 이벤트 중입니다.	Ilość wypadających Yang jest w tej chwili plus %d%% 
더 높은 경지의 수련을 성공적으로 끝내셨습니다.	Pomyślnie zakończyłeś trening przy pomocy książki. 
더 이상 OX이벤트 참가자를 받지 않습니다.	Konkurs OX nie przyjmuje już nowych uczestników. 
더 이상 개량할 수 없습니다.	Postęp nie jest możliwy 
더 이상 수련할 수 없습니다.	Nie możesz już udoskonalić tej Umiejętności. 
더 이상 승마 수련서를 읽을 수 없습니다.	Nie możesz czytać więcej przewodników Jeździectwa. 
더 이상 이 아이템을 이용하여 속성을 추가할 수 없습니다.	Tego przedmiotu nie można już ulepszać w ten sposób. Maksymalna ilość bonusów została osiągnięta. 
더이상 이 아이템을 이용하여 속성을 추가할 수 없습니다.	Aby dodać kolejny bonus do tego przedmiotu, musisz użyć Marmuru Błogosławieństwa. 
더이상 캐낼 수 없습니다.	Nie ma tu nic do wydobycia. 
던전 안에서는 %s%s 사용할 수 없습니다.	%s%s nie może być użyty w lochu. 
독 저항 %d%%	Odporność na Trucizny %d%% 
독공격 %d	Atak Trucizny %d 
돈 %d 냥을 획득했습니다.	Otrzymałeś %d Yang. 
돈 대박이 나올 확률	Procent upuszczanych Yang 
돈 드롭율 %.1f배	Szansa na znalezienie Yang %.1f 
돈이 나올 확률	Częstotliwość wypadania Yang 
돈이 부족하거나 아이템이 제자리에 없습니다.	Za mało Yang lub brak miejsca w ekwipunku. 
동물류 몬스터 타격치 +%d%%	Siła Ataku Konia przeciwko Potworom +%d%% 
동일한 머리 스타일로는 교체할 수 없습니다.	Masz już taką fryzurę. 
두손검 방어 %d%%	Odporność na Broń Dwuręczną %d%% 
둔갑 중에는 능력을 올릴 수 없습니다.	Nie możesz zmienić swojego stanu, gdy jesteś przemieniony. 
둔갑 중에는 착용중인 장비를 변경할 수 없습니다.	Nie możesz zmienić używanych przedmiotów, gdy jesteś przemieniony. 
둔갑서 수련을 마첬습니다. 신선에게 찾아가세요.	Całkowicie nauczyłeś się przekształcania. 
둔갑에 실패 하였습니다	Błąd podczas przemiany. 
둔갑할 수 없는 상태입니다.	Nie możesz się przemienić, podczas jazdy konnej. 
드디어 끝이 보이는 건가...  이 기술은 이해하기가 너무 힘들어..	Tę technikę ciężko zrozumieć. Muszę kontynuować trening. 
등급 개량에 성공했습니다.	Uszlachetnienie o jedną klasę wzwyż powiodło się. 
등급 개량에 실패했습니다.	Uszlachetnienie o jedną klasę wzwyż nie powiodło się. 
등급 개량에 필요한 재료가 아닙니다.	Przedmiot ten nie jest potrzebny do podwyższenia stopnia jakości. 
떨어진 아이템은 %d분 후 사라집니다.	Upuszczony przedmiot znika po %d minutach. 
떨어진 아이템은 3분 후 사라집니다.	Wyrzucony przedmiot zniknie za 3 minuty. 
뜨거운 무엇이 계속 용솟음치고 있어! 이건, 이것은!	Widać już skutki treningu... 
레벨 20 이하는 핸드폰 번호를 등록할 수 없습니다.	Twój poziom musi być wyższy niż 20, aby zapisać numer telefonu komórkowego. 
레벨 30이 되기 전에는 습득할 수 있을 것 같지 않습니다.	Musisz być na 30 poziomie, aby zrozumieć tą Księge. 
레벨 50이 되기 전에는 습득할 수 있을 것 같지 않습니다.	Musisz być na 50 poziomie, aby zrozumieć tą Księgę. 
레벨이 낮아 착용할 수 없습니다.	Twój poziom jest za niski, aby wyposażyć się w ten przedmiot. 
로그인 화면으로 돌아 갑니다. 잠시만 기다리세요.	Powrót do okna logowania. Proszę czekać. 
룻렛을 돌립니다. 금액 %d	Rozpocznij ruletkę o %d Yang. 
를	the 
마법 공격력 +%d	Atak Magiczny +%d 
마법 방어력 +%d	Obrona Magiczna +%d 
마법 저항 %d%%	Odporność na Magię %d%% 
마음이 맑아지는군. 가슴을 짓누르던 무언가가 좀 가벼워진 느낌이야.	Twój umysł jest czysty. Możesz się skoncentrować. 
많은 참여 부탁드립니다.	Prosimy o liczny udział graczy. 
말 소환 아이템을 사용하세요.	Proszę użyć przedmiotu, aby przywołać konia. 
말 소환에 실패하였습니다.	Nie udało się przywołać konia. 
말에게 %s%s 주었습니다.	Nakarmiłeś konia (%s%s). 
말에게 사료를 주었습니다.	Nakarmiłeś konia. 
말에게 선초를 주었습니다.	Nakarmiłeś konia ziołami. 
말에서 먼저 내려야 합니다.	Musisz zejść z konia. 
말을 돌려보냈습니다.	Odesłałeś swojego konia. 
말을 먼저 소환해주세요.	Najpierw zawołaj swojego konia. 
말을 소유하고 있지 않습니다.	Nie masz konia. 
말을 탄 상대와 감정표현을 할 수 없습니다.	Nie możesz okazywać emocji graczowi, który jest na koniu. 
말을 탄 상태에서 감정표현을 할 수 없습니다.	Nie możesz okazywać emocji będąc na koniu. 
말을 탄 상태에서 예복을 입을 수 없습니다.	Nie możesz tego użyć siedząc na koniu. 
말을 탄 상태에서는 먹이를 줄 수 없습니다.	Nie możesz karmić konia podczas siedzenia na nim. 
말의 스테미너가 부족하여 말을 탈 수 없습니다.	Wytrzymałość Twojego konia jest za niska. 
말이 없습니다. 마굿간 경비병을 찾아가세요.	Nie ma tu konia. Zapytaj Stajennego. 
말이 죽어있는 상태 입니다.	Twój koń zdechł. 
맞으면 O, 틀리면 X로 이동해주세요	Jeśli TAK, przejdź na pole O, jeśli NIE, przejdź na pole X. 
머니  룰렛 시작.	Rozpocznij Ruletkę Yang. 
먼저 다이아몬드로 악세서리에 소켓을 추가해야합니다.	Musisz wpierw dodać slot. Użyj do tego Diamentu. 
먼저 용혼석 퀘스트를 완료하셔야 합니다.	Zanim otworzysz Cor Draconis, musisz zakończyć misję Smoczego Kamienia i aktywować Alchemię Smoczych Kamieni. 
먼저 일어 나세요.	Najpierw wstań. 
먼저 재가비서를 이용하여 속성을 추가시켜 주세요.	Marmur Błogosławieństwa może zostać użyty tylko na przedmiotach, które już mają 4 bonusy. 
메틴2인증번호: %s	Numer potwierdzający Metin2: %s 
메틴석 부착에 성공하였습니다.	Pomyślnie umieściłeś Kamień Duszy. 
메틴석 부착에 실패하였습니다.	Kamień Duszy pękł podczas umieszczania. 
명령어를 모두 입력하세요.	Proszę wpisać pełne polecenie. 
명령어의 서브 커맨드가 잘못 되었습니다.	Polecenie jest nieprawidłowe. 
모닥불을 피울 수 없는 지점입니다.	Nie możesz założyć tutaj obozu. 
몬스터에게 강함 +%d%%	Silny przeciwko Potworom +%d%% 
몸 속이 뜨겁군. 하지만 아주 편안해. 이대로 기를 안정시키자.	Płonę wewnątrz, ale to uspokaja moje ciało. 
몸에서 뭔가 힘이 터져 나오는 기분이야!	Moje ciało jest pełne energii! 
무기와 갑옷에만 사용 가능합니다.	Można użyć tylko na broń i zbroje. 
무당공격에 %d%% 저항	%d%% Odporność na Ataki Szamana 
무당에게 강함 +%d%%	Silny przeciwko Szamanom +%d%% 
무료 개량 기회는 20 이하의 무기만 가능합니다	Darmowe ulepszenie broni może być użyte jedynie w broniach do 20 poziomu. 
무사공격에 %d%% 저항	%d%% Odporność na Ataki Wojownika 
무사에게 강함 +%d%%	Silny przeciwko Wojownikom +%d%% 
문자 메세지 전송에는 2000원이 필요 합니다.	Potrzebujesz 2000 Yang, aby wysłać wiadomość tekstową. 
문자 메세지 전송은 레벨 20부터 할 수 있습니다.	Musisz być co najmniej na poziomie 20, aby wysyłać wiadomości tekstowe. 
문자 메세지를 전송 했습니다.	Twoja wiadomość została wysłana. 
문제 입니다.	Pytanie. 
문제를 출제하였습니다.	Wystąpił błąd. 
문제를 출제하지 못했습니다.	Nie wystąpiły błędy. 
물 속에 모닥불을 피울 수 없습니다.	Nie możesz rozpalić Ogniska pod wodą. 
물리타격시 블럭 확률 %d%%	%d%% szans na blok ataku z bliskiej odległości. 
물약 사용시 %d%% 성능 증가	Gdy weźmiesz miksturę, Moc wzrośnie do %d%%. 
물약 제조에 실패했습니다.	Mieszanie napoju nie powiodło się. 
물약 제한이 없습니다.	Nie ma limitu mikstur. 
물약 조합을 위한 재료가 부족합니다.	Nie masz wszystkich materiałów potrzebnych do zrobienia mikstury. 
물약을 %d 개 까지 사용 가능합니다.	Możesz użyć tylko %d mikstur. 
뭔가 몸 안에 힘이 생기는 기분인 걸.	Czuję się odświeżony. 
미끼를 끼고 던져 주세요.	Najpierw umieść przynętę na haczyku. 
민첩 +%d	Zręczność +%d 
민첩이 낮아 착용할 수 없습니다.	Masz za niską Zręczność, aby wyposażyć się w ten przedmiot. 
밀교류 타격치 +%d%%	Wzmocnienie ataku przeciwko Mistykom + %d%% 
바람 저항 %d%%	Odporność na Wiatr %d%% 
방어력 +%d	Obrona +%d 
방어력 +%d%%	Obrona +%d%% 
방울 방어 %d%%	Odporność na Dzwony %d%% 
배 속에서 조개가 나왔습니다.	W rybie znajduje się muszla. 
배 속에서 지렁이가 나왔습니다.	W rybie znajduje się robak. 
버릴 수 없는 아이템입니다.	Nie możesz wyrzucić tego przedmiotu. 
변경할 속성이 없습니다.	Nie masz ulepszenia, które mógłbyś zmienić. 
변신 상태에서는 말에 탈 수 없습니다.	Gdy jesteś przemieniony, nie możesz jeździć konno. 
변신중에는 책을 읽을수 없습니다.	Nie możesz czytać Książek gdy jesteś przemieniony. 
부착할 수 있는 슬롯이 없습니다.	Brak wolnych miejsc. 
부채 방어 %d%%	Odporność na Wachlarze %d%% 
불법 프로그램이 감지 되어 게임이 종료 됩니다.	Wykryto niedozwolone oprogramowanie. Gra zostanie zakończona. 
비속어나 은어가 포함된 상점 이름으로 상점을 열 수 없습니다.	Nie możesz nadać niewłaściwej nazwy swojemu Magazynowi. 
빈 병이 모자릅니다.	Nie masz wystarczającej liczby pustych butelek. 
빼낼 수 있는 메틴석이 없습니다.	Nie ma już więcej Kamieni do wyjęcia. 
빼낼 영석이 없습니다	Nie ma Kamienia do usunięcia. 
사귀 타워 완료 보상은 한번까지 사용가능합니다.	Możesz zostać nagrodzony tylko raz za każdą wyprawę do Wieży Demonów. 
사용 제한량을 초과하였습니다.	To jest powyżej limitu. 
사용법: transfer <name>	Użyj: transfer <nazwa> 
사용법: warpto <character name>	Rozkaz: teleport do <nazwa postaci> 
사용할수 없습니다.	Nie możesz teleportować twojego partnera w tym momencie. 
삼거리 몹 리젠	Liczba potworów w Wojnie Królestw: 
삼거리 전투 참가중에는 귀환부,귀환기억부를 사용할수 없습니다.	Nie możesz użyć Zwoju Powrotu podczas Bitwy Królestw. 
삼거리 전투에서 %s 국가가 가장먼저 탈락을 하였습니다	Królestwo %s zostało pokonane i odpada z Wojny Królestw. 
상대방 캐릭터가 접속을 종료하여 대련을 중지합니다.	Wojownicy się rozdzielili. Pojedynek zakończony. 
상대방 캐릭터의 문제로 인하여 대련을 종료합니다.	Twój przeciwnik ma jakieś problemy. Pojedynek zakończony. 
상대방의 돈이 부족하거나 아이템이 제자리에 없습니다.	Druga osoba nie ma wystarczającej ilości Yang lub nie ma miejsca w ekwipunku. 
상대방의 소지품에 빈 공간이 없습니다.	Druga osoba nie ma miejsca w ekwipunku. 
상대방의 총금액이 20억 냥을 초과하여 거래를 할수가 없습니다..	Ten gracz posiada więcej niż 2 miliardy Yang. Nie możesz z nim handlować. 
상대방이 %d 채널에 있습니다. (현재 채널 %d)	Gracz ten jest na kanale %d. (Ty jesteś na kanale %d.) 
상대방이 교환 거부 상태입니다.	Druga osoba zablokowała handel. 
상대방이 다른 거래를 하고 있는 중입니다.	W tej chwili ten gracz handluje z kimś innym. 
상대방이 다른 거래중이라 거래를 할수 없습니다.	Druga osoba już handluje. 
상대방이 대련중입니다.	Gracz bierze udział w walce. 
상대방이 메신져 추가 거부 상태입니다.	Gracz odrzucił twoje zaproszenie do Listy Przyjaciół. 
상대방이 온라인 상태가 아닙니다.	Ten gracz nie jest online. 
상대방이 있는 곳으로 워프할 수 없습니다.	Nie możesz przenieść się do gracza. 
상대방이 친구 추가를 받을 수 없는 상태입니다.	Nie możesz dołączyć tej postaci do swoich przyjaciół. 
상대방이 파티에 속해있지 않습니다.	Ten gracz nie jest w tej Grupie. 
상자가 갑자기 폭발하였습니다! 생명력이 감소했습니다.	Skrzynia niespodziewanie wybuchła! Straciłeś Punkty Życia. 
상자에서 %s 가 %d 개 나왔습니다.	Otrzymano %s, %d sztuk. 
상자에서 %s 가 나왔습니다.	Ze skrzyni wypadł następujący przedmiot: %s. 
상자에서 나온 녹색 연기를 들이마시자 독이 온몸으로 퍼집니다!	Jeśli będziesz wdychać zielony dym ze skrzyni, rozprzestrzenisz truciznę w swoim ciele! 
상자에서 나온 빨간 연기를 들이마시자 움직이는 속도가 느려졌습니다!	Jeśli będziesz wdychać czerwony dym ze skrzyni, będziesz szybszy! 
상자에서 몬스터가 나타났습니다!	Potwór wyskoczył ze skrzyni! 
상자에서 부터 신비한 빛이 나옵니다.	Tajemnicze światło dobiega z tej skrzynki. 
상점과의 거리가 너무 멀어 물건을 살 수 없습니다.	Aby cokolwiek kupić, musisz podejść bliżej. 
상점과의 거리가 너무 멀어 물건을 팔 수 없습니다.	Znajdujesz się za daleko od Magazynu aby sprzedawać. 
상품을 받을 인벤토리가 부족합니다. 인벤토리를 비워주세요!	Masz za mało miejsca w ekwipunku, aby przyjąć nagrodę. 
생각만큼 읽기가 쉽지가 않군. 이해도 어렵고 내용도 난해해.	To jest dużo trudniejsze niż się spodziewałem. 
생명력 회복 +%d	Odnawianie Energii +%d 
서버에 치명적인 오류가 발생하여 자동으로 재부팅됩니다.	Krytyczny błąd serwera. Serwer zostanie uruchomiony ponownie. 
선악치가 %d 증가하였습니다.	Twoja Ranga została zwiększona o %d punktów. 
선악치를 더 이상 올릴 수 없습니다.	Punkty Rangi sięgnęły już limitu. 
선택 맵 정보 성지 %d 통로 %d %d %d	Wybierz mapy Świętej Ziemi %d Wejście %d %d %d 
성별이 맞지않아 이 아이템을 사용할 수 없습니다.	Nie możesz użyć tego przedmiotu, ponieważ nie jesteś odpowiedniej płci. 
성별이 맞지않아 이 아이템을 열 수 없습니다.	Ten przedmiot może zostać otwarty tylko przez inną płeć. 
성에서만 사용할 수 있는 기능입니다.	Możesz używać tą czynność jedynie jak jesteś w zamku. 
성지에서 부활 기회를 모두 잃었습니다! 마을로 이동합니다!	Minął czas oczekiwania. Zostaniesz wskrzeszony w mieście. 
성지의 마왕: 너희	Diabeł Świętej Ziemi 
세금이 %d %로 설정되었습니다	Podatki ustawione na %d % . 
셧다운이 %d초 남았습니다.	%d sekund do wyłączenia. 
소유 돈이 20억냥을 넘어 거래를 핼수가 없습니다.	Masz więcej niż 2 miliardy Yang. Nie możesz handlować. 
소지금이 부족하여 이 아이템을 사용할 수 없습니다.	Masz za mało Yang, aby móc użyć tego przedmiotu. 
소지품에 빈 공간이 없습니다.	Masz za mało miejsca w ekwipunku. 
소지하고 있는 아이템이 너무 많습니다.	Masz za dużo przedmiotów w ekwipunku. 
소켓 추가에 실패하였습니다.	Slot nie został dodany. 
소켓이 성공적으로 추가되었습니다.	Slot dodano pomyślnie. 
소환할수 없는 몬스터 입니다. 소환가능한 몬스터는 홈페이지를 참조하세요	Potwór nie może być przywołany. Sprawdź numer Potwora. 
속성 추가에 성공하였습니다.	Ulepszenie dodane pomyślnie. 
속성 추가에 실패하였습니다.	Ulepszenie nie zostało dodane. 
속성을 바꾼지 %d분 이내에는 다시 변경할 수 없습니다.(%d 분 남음)	Możesz tego dokonać tylko w %d minut po ulepszeniu. (Zostało %d minut) 
속성을 변경하였습니다.	Zmieniłeś ulepszenie. 
속성을 변경할 수 없는 아이템입니다.	Nie możesz zmienić ulepszenia tego Przedmiotu. 
수라공격에 %d%% 저항	%d%% Odporność na Ataki Sura 
수라에게 강함 +%d%%	Silny przeciwko Sura +%d%% 
수련이 실패로 끝났습니다. 다시 도전해주시기 바랍니다.	Szkolenie niepomyślne. Proszę spróbować później. 
수련할 수 없는 스킬입니다.	Nie możesz szkolić się w tej umiejętności. 
스킬 데미지 %d%%	Obrażenia Umiejętności %d%% 
스킬 데미지 저항 %d%%	Odporność na Obrażenia Umiejętności %d%% 
스킬 레벨을 내리는데 성공하였습니다.	Obniżyłeś swój poziom umiejętności. 
스킬 레벨을 내릴 수 없습니다.	Nie możesz obniżyć swojego poziomu umiejętności. 
스턴 +%d	Gwiazda +%d 
슬로우 +%d	Redukcja Szybkości +%d 
승마 수련서 이해에 실패하였습니다.	Nie zrozumiałeś Przewodnika Jeździectwa. 
승마 수련서를 읽어 승마 스킬 포인트를 얻었습니다.	Otrzymałeś punkt jeździectwa po przeczytaniu przewodnika jeździectwa. 
시체류 타격치 +%d%%	Wzmocnienie ataku przeciwko Nieumarłym + %d%% 
신수국	Królestwo Shinsoo 
쓰러진 상태에서는 말에 탈 수 없습니다.	Nie możesz wsiąść na Konia gdy leżysz na ziemi. 
쓰러진 상태에서는 할 수 없습니다.	Nie możesz wykonać tej akcji leżąc na ziemi. 
아니 어떻게 된 게 종일 읽어도 머리에 안 들어오냐.	Czytam tą samą linię ponownie. 
아무것도 얻을 수 없었습니다.	Nic nie dostałeś. 
아이템 개량후 %d초 이내에는 귀환부,귀환기억부를 사용할 수 없습니다.	Nie możesz użyć Zwoju przez %d sek. po handlu. 
아이템 드롭률  %d%% 추가 이벤트 중입니다.	Aktualnie szansa na wypadnięcie przedmiotu to: +%d%% 
아이템 드롭율 %.1f배	Szansa na znalezienie przedmiotu %.1f 
아이템 룰렛 시작.	Rozpocznij Ruletkę Przedmiotów. 
아이템 전달: %s 님에게 %s	%s otrzymał: %s 
아이템 획득: %s	Otrzymałeś %s. 
아이템 획득: %s 님으로부터 %s	Otrzymałeś %s, %s sztuk 
아이템로그가 syslog 에 남았습니다	Log przedmiotów umieszczony w logu systemowym. 
아이템을 건네줄 수 없습니다.	Nie możesz sprzedać tego przedmiotu. 
아이템의 레벨 제한보다 레벨이 낮습니다.	Twój poziom jest niższy od poziomu przedmiotu po ulepszeniu. 
아이템이 나올 확률	Częstotliwość wypadania przedmiotów 
아직 골드를 버릴 수 없습니다.	Nie możesz wyrzucić złota. 
아직 마을에서 재시작 할 수 없습니다. (%d 초 남음)	Wznowienie w mieście jeszcze nie jest możliwe. Odczekaj %d sekund. 
아직 사용할 수 없습니다.	Nie można użyć. 
아직 승마 스킬을 수련할 수 있는 레벨이 아닙니다.	Trening Jeździectwa jest dostępny dopiero od poziomu 50. 
아직 이 머리를 사용할 수 없는 레벨입니다.	Twój poziom jest za niski, aby móc nosić tą fryzurę. 
아직 재시작 할 수 없습니다. (%d초 남음)	Wznowienie jeszcze nie jest możliwe. Odczekaj %d sekund. 
아직 재시작 할 수 없습니다.(%d초 남음 )	Wznowienie jeszcze nie jest możliwe. Odczekaj %d sekund. 
아직 재시작 할 수 없습니다.(%d초 남음)	Wznowienie jeszcze nie jest możliwe. Odczekaj %d sekund. 
악마류 타격치 +%d%%	Wzmocnienie ataku przeciwko Diabłom + %d%% 
안녕하세요. 메틴2 입니다.	Witamy w Metin2. 
