ACCE_ABSORB_COST	Cena absorpcji: {}
DETAILS_TOOLTIP_64	Szansa na uniknięcie strzały: zwiększa szansę na uniknięcie strzały lub długodystansowego ataku potwora.
DETAILS_TOOLTIP_65	Szansa na odbicie ciosu: część obrażeń od ciosu jest odbijana do przeciwnika.
DETAILS_TOOLTIP_66	Regeneracja PŻ przy zabiciu: zabicie przeciwnika podwyższa twoje punkty życia.
DETAILS_TOOLTIP_67	Regeneracja PE przy zabiciu: zabicie przeciwnika podwyższa twoje punkty energii.
DETAILS_TOOLTIP_68	Szansa na otrzymanie podwójnego doświadczenia: zwiększa szansę na bonusowe PD po pokonaniu przeciwnika.
DETAILS_TOOLTIP_69	Szansa na drop podwójnej ilości Yang: zwiększa szansę na otrzymanie podwójnej ilości Yang.
DETAILS_TOOLTIP_7	Siła w walce ze Rathalos: zadaje większe obrażenia dzikim Rathalos.
DETAILS_TOOLTIP_70	Szansa na drop przedmiotów: zwiększa szansę na podwójny łup przedmiotów.
DETAILS_TOOLTIP_71	Zwiększa twoją siłę ataku.
DETAILS_TOOLTIP_72	Zwiększa twoją siłę obrony.
DETAILS_TOOLTIP_73	Zwiększa wzrost doświadczenia.
DETAILS_TOOLTIP_74	Szansa na drop przedmiotów: zwiększa szansę na zdobycie przedmiotów.
DETAILS_TOOLTIP_75	Szansa na drop Yang: zwiększa szansę na zdobycie więcej Yang.
DETAILS_TOOLTIP_76	Zmniejsza obrażenia odnoszone wskutek magicznych ataków.
DETAILS_TOOLTIP_77	Zmniejsza odporność na magię twojego przeciwnika.
DETAILS_TOOLTIP_8	Siła w walce z Gods: zadaje większe obrażenia Gods.
DETAILS_TOOLTIP_9	Siła w walce diabłami: zadaje większe obrażenia diabłom.
DETAILS_TOOLTIP_ATTBONUS_BELL	Złamanie Odporności na Dzwony: zmniejsza odporność na dzwony przeciwnika.
DETAILS_TOOLTIP_ATTBONUS_BOW	Złamanie Odporności na Strzały: zmniejsza odporność na strzały przeciwnika.
DETAILS_TOOLTIP_ATTBONUS_CLAW	Złamanie Odporności na Szpony: zmniejsza odporność na szpony przeciwnika.
DETAILS_TOOLTIP_ATTBONUS_DAGGER	Złamanie Odporności na Sztylety: zmniejsza odporność na sztylety przeciwnika.
DETAILS_TOOLTIP_ATTBONUS_FAN	Złamanie Odporności na Wachlarze: zmniejsza odporność na wachlarze przeciwnika.
DETAILS_TOOLTIP_ATTBONUS_SWORD	Złamanie Odporności na Miecze: zmniejsza odporność na miecze przeciwnika.
DETAILS_TOOLTIP_ATTBONUS_TWOHAND	Złamanie Odporności na Bronie oburęczne: zmniejsza odporność na bronie oburęczne przeciwnika.
DETAILS_TOOLTIP_RESIST_MOUNT_FALL	Odporność na Upadek: zmniejsza ryzyko upadku z wierzchowca.
DONT_USE_ITEM_WHEN_SHOW_CONFIRM	Nie możesz przemieszczać przedmiotów w trakcie zapytania.
DO_NOT_INSERT_UPBRINGING_PET	Nie można wybrać aktywnego zwierzaka.
DO_YOU_BUY_ITEM1	Czy chcesz kupić {} za {}?
DO_YOU_BUY_ITEM2	Czy chcesz kupić {} {}x za {}?
DO_YOU_BUY_ITEM3	Czy chcesz kupić przedmiot {} za {} i {}?
DO_YOU_BUY_ITEM4	Czy chcesz kupić przedmiot {} {}x za {} i {}?
DO_YOU_DROP_MONEY	Czy chcesz upuścić {} Yang?
DO_YOU_SELL_ITEM1	Czy chcesz sprzedać {} za {} Yang?
DO_YOU_SELL_ITEM2	Czy chcesz sprzedać {} ({} szt.) za {} Yang?
DRAGON_SOUL_CANNOT_REFINE	Nie możesz uszlachetnić tego Smoczego Kamienia.
DRAGON_SOUL_CANNOT_REFINE_MORE	Ten Smoczy Kamień osiągnął już najwyższy poziom.
DRAGON_SOUL_EQUIP_WARNING1	Usunięcie Smoczego Kamienia nie jest prostą sprawą.
DRAGON_SOUL_EQUIP_WARNING2	Chcesz mimo to kontynuować?
DRAGON_SOUL_EXPIRED	Wygasły Smoczy Kamień
DRAGON_SOUL_INVALID_DRAGON_SOUL	To nieprawidłowy Smoczy Kamień.
DRAGON_SOUL_IS_NOT_DRAGON_SOUL	To nie jest Smoczy Kamień.
DRAGON_SOUL_NOT_DRAGON_SOUL_REFINE_STONE	To nieprawidłowy Smoczy Kamień.
DRAGON_SOUL_NOT_ENOUGH_MATERIAL	Nie posiadasz wystarczająco materiału do uszlachetnienia.
DRAGON_SOUL_NOT_MATCHED_SLOT	Ten Smoczy Kamień nie pasuje do tego slotu.
DRAGON_SOUL_STEP_LEVEL1	Jakość: matowy,
DRAGON_SOUL_STEP_LEVEL2	Jakość: przejrzysty,
DRAGON_SOUL_STEP_LEVEL3	Jakość: bez skazy,
DRAGON_SOUL_STEP_LEVEL4	Jakość: znakomity,
DRAGON_SOUL_STEP_LEVEL5	Jakość: wyborny,
DRAGON_SOUL_STRENGTH	Poziom: +{}
DRAGON_SOUL_UNEQUIP_WARNING1	Smoczy Kamień może ulec zniszczeniu.
DRAGON_SOUL_UNEQUIP_WARNING2	Chcesz mimo to kontynuować?
DRAGON_SOUL_UNMATCHED_SLOT	To nieprawidłowy slot.
DRAGON_SOUL_UNQUALIFIED	Nie możesz jeszcze użyć alchemii Smoczych Kamieni.
DROP_ITEM_FAILURE_EQUIP_ITEM	Nie możesz upuścić założonych przedmiotów.
DROP_ITEM_FAILURE_PRIVATE_SHOP	Nie możesz upuścić Przedmiotu z ekwipunku jeśli otworzyłeś prywatny Magazyn.
DROP_MONEY_FAILURE_1000_OVER	Możesz upuścić maksimum 999 Yang.
EMOTION_ALCOHOL	Na zdrowie!
EMOTION_ANGRY	Denerwować
EMOTION_ATTRACTIVE	Uwodzić
EMOTION_BANTER	Drwić
EMOTION_BUSY	Stres
EMOTION_CALL	Rozmowa telefoniczna
EMOTION_CELEBRATION	Impreza
EMOTION_CHARGING	Doładowanie
EMOTION_CHEERS_1	Powitanie 1
EMOTION_CHEERS_2	Powitanie 2
EMOTION_CHEERUP	Rozweselać
EMOTION_CHOOSE_ONE	Wybierz cel
EMOTION_CLAP	Klaszcz
EMOTION_CLAP_KISS	Pocałunek
EMOTION_CONGRATULATION	Zgoda
EMOTION_DANCE_1	Taniec 1
EMOTION_DANCE_2	Taniec 2
EMOTION_DANCE_3	Taniec 3
EMOTION_DANCE_4	Taniec 4
EMOTION_DANCE_5	Taniec 5
EMOTION_DANCE_6	Gumsan Style
EMOTION_DANCE_7	Samba
EMOTION_DOZE	Drzemka
EMOTION_EXERCISE	Rozgrzewka
EMOTION_FORGIVE	Wybaczyć
EMOTION_FRENCH_KISS	Francuski pocałunek
EMOTION_HUNGRY	Głód
EMOTION_JOY	Radość
EMOTION_LETTER	List miłosny
EMOTION_NOSAY	Zaniemówić
EMOTION_PUSH_UP	Pompki
EMOTION_SAD	Smutek
EMOTION_SELFIE	Selfie
EMOTION_SHY	Odmowa
EMOTION_SIREN	Syrena
EMOTION_SLAP	Uderzenie
EMOTION_WEATHER_1	Słońce
EMOTION_WEATHER_2	Tęcza
EMOTION_WEATHER_3	Księżyc
EMOTION_WHIRL	Zamieszanie
EMPIRE_A	Królestwo Shinsoo
EMPIRE_B	Królestwo Chunjo
EMPIRE_C	Królestwo Jinno
EMPIRE_SELECT_MODE	Wybierz królestwo
EXCHANGE_CANNOT_GIVE	Nie możesz handlować tym przedmiotem.
EXCHANGE_CANT_EDIT_MONEY	Nie możesz teraz zmienić kwoty.
EXCHANGE_FAILURE_EQUIP_ITEM	Nie możesz wymienić ubranych przedmiotów.
EXCHANGE_MONEY	Kwota
EXCHANGE_TITLE	Handluj z {} ({})
EXINVEN_USE_ITEM_FAIL_FALL_SHORT	Potrzebujesz jeszcze Rozszerzenia Ekwipunku: {}
EXINVEN_USE_ITEM_FAIL_FOURTH_PAGE_STAGE_MAX	Twój ekwipunek posiada już maksymalną ilość rozszerzeń.
EXINVEN_USE_ITEM_QUESTION	Czy chcesz powiększyć swój ekwipunek używając {} Rozszerzeń Ekwipunku?
FISHING_FAILURE	Straciłeś przynętę.
FISHING_NOTIFY1	Wygląda na to, że na haczyku jest {}.
FISHING_NOTIFY2	Wyglądało na to, że {} wisi na haku.
FISHING_SUCCESS1	Zdobyłeś {}!
FISHING_SUCCESS2	Wyłowiłeś {}!
FISHING_UNKNOWN	Coś nadziało się na haczyk, ale nie widzisz, co to jest.
FISHING_WRONG_PLACE	Nie możesz tu łowić ryb.
FLOWER_EVENT_USE_ITEM_TEXT1	Czy chcesz wymienić aktywny efekt?
FLOWER_EVENT_USE_ITEM_TEXT2	Próba może zakończyć się niepowodzeniem i kwiat wtedy zwiędnie.
FOR_FEMALE	dla kobiet
FOR_MALE	dla mężczyzn
GAME_CANNOT_MINING	Nie możesz wydobywać surowców podczas jazdy konnej.
GAME_CANNOT_PICK_ITEM	Nie możesz podnieść tego Przedmiotu, nie ty go zdobyłeś.
GAME_GUILDWAR_NOW_JOIN	Czy chcesz dołączyć do wojny gildii?
GAME_INIT_ERROR_CURSOR	Kursor nie może zostać utworzony.
GAME_INIT_ERROR_DIRECTX	Aby gra mogła ruszyć musi być zainstalowany DirectX 8.1 .\nZainstaluj DirectX 8.1 lub nowszy.
GAME_INIT_ERROR_GRAPHICS_BAD_PERFORMANCE	Żadne graficzne urządzenie nie zostało znalezione.\nSprawdź, czy twoja karta VGA jest aktualnie zainstalowana.
GAME_INIT_ERROR_GRAPHICS_NOT_EXIST	Nie można było uruchomić karty graficznej.\nSprawdź czy masz kartę VGA.\nAlternatywniem możesz aktywować akcelerację sprzętową.\n(Ustaw suwak akceleracji sprzętowej na maks. \nPanel Sterowania->Ekran->Ustawienia->Zaawansowane->Rozwiązywanie Problemów)
GAME_INIT_ERROR_GRAPHICS_NOT_SUPPORT_32BIT	Karta graficzna w komputerze nie obsługuje trybu ekranowego w trybie 32bit.\nUstaw tryb 16 bitowy lub użyj trybu pełnoekranowego.
GAME_INIT_ERROR_ITEM_PROTO	Brak danych o Przedmiotach.\nZainstaluj grę jeszcze raz.
GAME_INIT_ERROR_MAIN_WINDOW	Gra nie mogła zostać uruchomiona w okienku
GAME_INIT_ERROR_MOB_PROTO	Brak danych o Potworach.\nZainstaluj grę jeszcze raz.
GAME_INIT_ERROR_NETWORK	Nie można było uruchomić urządzeń sieciowych.\nSprawdź swoje ustawienia internetowe.
GAME_PICK_MONEY	Otrzymałeś {}.
GEM_SYSTEM_ADD_SLOT	Wymagany przedmiot: {}.\nCzy chcesz użyć teraz {}, aby odblokować kolejny slot?
GEM_SYSTEM_BUY_ITEM	Czy chcesz kupić ten przedmiot?
GEM_SYSTEM_NAME	Gaya
GEM_SYSTEM_NOT_ENOUGHT_REFRESHITEM	[Gaya] Masz za mało 'Reset Sklepu Gaya'.
GEM_SYSTEM_NOT_ENOUGH_HP_GEM	[Gaya] Masz za mało Gaya.
GEM_SYSTEM_NO_MORE_ADDSLOT	[Gaya] Nie możesz dodać więcej slotów.
GEM_SYSTEM_OPEN_GEMSHOP	[Gaya] Otwórz najpierw Sklep Gaya.
GEM_SYSTEM_PICK_GEM	[Gaya] Ilość Gaya: {}
GEM_SYSTEM_REFRESH_SHOP_ITEMS	Czy chcesz zresetować?
GIVEUP_QUESTION	Czy naprawdę chcesz się poddać?
GUILDBANK_CLEARBANK	Uwaga: magazyn gildii musi zostać opróżniony!
GUILDBANK_DONT_MONEY_OUT	Nie masz Yang w banku gildii!
GUILDBANK_GOLD_IN	Wpłata
GUILDBANK_GOLD_OUT	Wypłata
GUILDBANK_ITEM_IN	Włóż
GUILDBANK_ITEM_OUT	Wyjmij
GUILDBANK_MONEYIN	Wpłać Yang
GUILDBANK_MONEYOUT	Wypłać Yang
GUILDBANK_NOTUSE	Nie masz uprawnień do tego.
GUILDBANK_NOT_ENOUGH_MONEY	Masz za mało Yang do wpłaty.
GUILDBANK_OVER_INCOME	Osiągnięto limit konta.
GUILDBANK_OVER_MONEY	Konto gildii jest pełne.
GUILDLAND_ABANDON	Zrezygnuj z obszaru gildii.
GUILDLAND_ABANDON_VOTE	Zrezygnuj z obszaru swojej gildii [{}].
GUILDLAND_ABANDON_VOTE_RESULT1	Zrezygnowano z obszaru twojej gildii [{}].
GUILDLAND_ABANDON_VOTE_RESULT2	Zrezygnowano z obszaru gildii.
GUILDLAND_ABANDON_VOTE_RESULT3	Wyniki ankiety:
GUILDLAND_ABANDON_VOTE_RESULT4	Ankieta jest nieprawidłowa.
GUILDLAND_ABANDON_VOTE_TEXT	Czy naprawdę chcesz rozpocząć ankietę?
GUILDLAND_ABANDON_VOTE_TEXT1	Zgadzasz się na zrezygnowanie z obszaru gildii?
GUILDLAND_ACCEPT	Tak
GUILDLAND_DEAL	Sprzedaj obszar gildii
GUILDLAND_DEAL_TEXT1	Gildia [{}] chce sprzedać
GUILDLAND_DEAL_TEXT2	swój obszar gildii za {} Yang.
GUILDLAND_DEAL_TEXT3	Akceptujesz ofertę?
GUILDLAND_DELA_VOTE	Gildia [{}] chce kupić nasz obszar gildii.
GUILDLAND_DELA_VOTE_RESULT1	Sprzedaż obszaru gildii dla gildii [{}]
GUILDLAND_DELA_VOTE_RESULT2	Ankieta zakończona.
GUILDLAND_DELA_VOTE_RESULT3	Wynik ankiety dotyczący sprzedaży obszaru gildii:
GUILDLAND_DELA_VOTE_RESULT4	Ankieta jest nieprawidłowa.
GUILDLAND_DELA_VOTE_TEXT	Której z gildii chcesz sprzedać swój obszar gildii?
GUILDLAND_DELA_VOTE_TEXT1	Zgadzasz się na sprzedaż obszaru gildii?
GUILDLAND_DONTHAVE_LAND	Nie posiadasz żadnego obszaru gildii.
GUILDLAND_NOT	Nie
GUILDLAND_VOTE_TEXT	Czy chcesz dać obszar: [{}]?
GUILDLIST_APPLICANT	Czy chcesz złość podanie?
GUILDMARK_UPLOADER_ERROR_128_HEIGHT	Wysokość nie ma 128px.
GUILDMARK_UPLOADER_ERROR_12_HEIGHT	Wysokość nie ma 12px.
GUILDMARK_UPLOADER_ERROR_16_WIDTH	Szerokość nie ma 16px.
GUILDMARK_UPLOADER_ERROR_64_WIDTH	Szerokość nie ma 64px.
GUILDMARK_UPLOADER_ERROR_FILE_FORMAT	Gra nie obsługuje tego obrazka.
GUILDMARK_UPLOADER_ERROR_PATH	Przenieś plik do folderu upload/ w głównym katalogu gry Metin2.
GUILDMARK_UPLOADER_ERROR_SELECT	Plik z obrazkiem nie został wybrany.
GUILDVOTE_CHANGEMASTER	Zmień lidera gildii
GUILDVOTE_CHANGEMASTER_RESULT1	Gildia został z powodzeniem przekazana.
GUILDVOTE_CHANGEMASTER_RESULT2	Przekazano ci gildię [{}].
GUILDVOTE_CHANGEMASTER_RESULT3	Przekazanie gildii członkowi: [{}]
GUILDVOTE_CHANGEMASTER_RESULT4	Ankieta jest nieprawidłowa.
GUILDVOTE_CHANGEMASTER_RESULT5	Nowy lider gildii: {}
GUILDVOTE_CHANGEMASTER_TEXT1	Czy chcesz przekazać gildię członkowi [{}]?
GUILDVOTE_CHANGEMASTER_TEXT2	
GUILDVOTE_CHANGEMASTER_TEXT3	Czy naprawdę chcesz przekazać dowodzenie gildią?
GUILDVOTE_CHANGEMASTER_TEXT4	
GUILDVOTE_CHANGEMASTER_VOTETEXT1	Przekazanie gildii członkowi: [{}]
GUILDVOTE_CHANGEMASTER_VOTETEXT2	Zgadzasz się z przekazaniem gildii?
GUILDVOTE_MEMBEROUT	Usuń członka gildii
GUILDVOTE_MEMBEROUT_AUTH	Nie masz uprawnień do tego.
GUILDVOTE_MEMBEROUT_NOMAL	Czy naprawdę chcesz usunąć członka gildii?
GUILDVOTE_MEMBEROUT_RESULT1	Usunięcie członka gildii: [{}]
GUILDVOTE_MEMBEROUT_RESULT2	Wynik ankiety
GUILDVOTE_MEMBEROUT_RESULT3	Zostałeś usunięty z gildii [{}].
GUILDVOTE_MEMBEROUT_RESULT4	Wynik ankiety
GUILDVOTE_MEMBEROUT_RESULT5	Ankieta jest nieprawidłowa.
GUILDVOTE_MEMBEROUT_TEXT1	Czy chcesz rozpocząć ankietę dotyczącą członka gildii [{}]?
GUILDVOTE_MEMBEROUT_TEXT2	Ankieta: czy usunąć członka gildii?
GUILDVOTE_MEMBEROUT_VOTETEXT1	Ankieta: czy gracz [{}] ma zostać usunięty z gildii?
GUILDVOTE_MEMBEROUT_VOTETEXT2	
GUILDVOTE_NO	Przeciw
GUILDVOTE_OK	Za
GUILDVOTE_RESULT_AGGRE_MEMBER	Za: {}
GUILDVOTE_RESULT_ALL_MEMBER	Biorący udział: {}
GUILDVOTE_RESULT_OPPESE_MEMBER	Przeciwko: {}
GUILDVOTE_RESULT_TIME	{} dni {} godz. {} min. {} sek.
GUILDVOTE_SELECT_ONE	Wybierz postać.
GUILDWAR_ALL	Walki (W)
GUILDWAR_CTF_TITLE	Walka o flagi
GUILDWAR_DRAW	Remis (R)
GUILDWAR_GAINSCORE_FIFTY	50 punktów
GUILDWAR_GAINSCORE_HUNDRED	100 punktów
GUILDWAR_GAINSCORE_THIRTY	30 punktów
GUILDWAR_GAMETIME_SIXTY	60 min.
GUILDWAR_GAMETIME_TEN	10 min.
GUILDWAR_GAMETIME_THIRTY	30 min.
GUILDWAR_INPUT_OTHERGUILD	Podaj gildię przeciwnika
GUILDWAR_LADDER	Punkty rangi
GUILDWAR_LIMIT_MEMBER_FIVE	Minimum uczestników wynosi 5.
GUILDWAR_LOSE	Porażki (P)
GUILDWAR_NORMAL_TITLE	Pole Bitwy
GUILDWAR_OVER_MEMBERCOUNT	Osiągnąłeś limit członków gildii.
GUILDWAR_QUESTION_LINE_1	Gildia {} wypowiedziała wojnę twojej Gildii.
GUILDWAR_QUESTION_LINE_2	Akceptujesz? ({})
GUILDWAR_RANKING	Ranga
GUILDWAR_RECODE_ALL	{} W, {} Z, {} P, {} R
GUILDWAR_SELECT_MEMBER_COUNT	Wybierz ilość uczestników
GUILDWAR_TYPE_DEFENSE	Tarcza bojowa
GUILDWAR_TYPE_TIGER	Zagłada
GUILDWAR_TYPE_TIME	Atak czasowy
GUILDWAR_UNKNOWN_TITLE	...
GUILDWAR_WARP_TITLE	Walka na arenie
GUILDWAR_WIN	Zwycięstwa (Z)
GUILDWAR_WIN_FIVE	Pięć rund
GUILDWAR_WIN_ONE	Jedna runda
GUILDWAR_WIN_THREE	Trzy rundy
GUILDWINDOW_BUTTON_BANKGOLDINFO	Log Magazynu Gildii
GUILDWINDOW_BUTTON_BASEABANDON	Zrezygnuj z obszaru gildii.
GUILDWINDOW_BUTTON_BASEDEAL	Sprzedaj obszar gildii
GUILDWINDOW_BUTTON_BASEDEALVOTE	Ankieta
GUILDWINDOW_BUTTON_BOARD	Notatka gildii
GUILDWINDOW_BUTTON_CHANGEMASTER	Zmień lidera gildii
GUILDWINDOW_BUTTON_DECLARE	Wypowiedzenie wojny
GUILDWINDOW_BUTTON_GOLDIN	Wpłata
GUILDWINDOW_BUTTON_GOLDOUT	Wypłata
GUILDWINDOW_BUTTON_GRADE	Zarządzanie prawami
GUILDWINDOW_BUTTON_GUILDLIST	Lista gildii
GUILDWINDOW_BUTTON_HEALGSP	Przywróć Moc Smoka
GUILDWINDOW_BUTTON_INFO	Informacje o gildii
GUILDWINDOW_BUTTON_LANDINFO	Informacje o obszarze
GUILDWINDOW_BUTTON_MARK	Wgraj logo gildii
GUILDWINDOW_BUTTON_MEMBER	Członkowie
GUILDWINDOW_BUTTON_OFFER	Wpłać PD
GUILDWINDOW_BUTTON_OUTMEMBER	Usuń członka gildii
GUILDWINDOW_BUTTON_SKILL	Umiejętności gildii
GUILDWINDOW_BUTTON_SYMBOL	Wgraj flagę gildii
GUILDWINDOW_BUTTON_VOTECHECK	Sprawdź ankietę
GUILDWINDOW_BUY_GUILD_LAND	Zakup obszaru
GUILDWINDOW_CHANGE_OBJECT	Przebudowa
GUILDWINDOW_CHANGE_SMELTER	Przebudowa pieca
GUILDWINDOW_CREATE_OBJECT	Budowa budynku
GUILDWINDOW_DEAL_GUILD_LAND	Sprzedaż obszaru
GUILDWINDOW_GRADE_BANK	Może używać banku gildii oraz magazynu gildii
GUILDWINDOW_GRADE_DRIVEOUTAUTHORITY	Może usuwać członków gildii z gildii
GUILDWINDOW_GRADE_GRADENAME	Nazwa rangi
GUILDWINDOW_GRADE_GRADENUMBER	Numer rangi
GUILDWINDOW_GRADE_GUILDWAR	Może wybierać członków gildii, którzy mogą wziąć udział w wojnie jako wojownicy
GUILDWINDOW_GRADE_INVITEAUTHORITY	Może przyjąć gracza do gildii
GUILDWINDOW_GRADE_NOTICEAUTHORITY	Może przypiąć notatkę gildii
GUILDWINDOW_GRADE_SKILLAUTHORITY	Może używać umiejętności gildii
GUILDWINDOW_INFO_LEVEL10	Zwięk. maks. licz. członków
GUILDWINDOW_INFO_LEVEL15	Taniej: Moc Smoka
GUILDWINDOW_INFO_LEVEL20	Bank: Zwolnienie od podatku
GUILDWINDOW_INFO_LEVEL5	+5% PD na dotację gildii
GUILDWINDOW_LIST_ALL	Wszystkie Królestwa
GUILDWINDOW_LIST_ALREADY_REGISTER	[Gildia] Złożyłeś już podanie.
GUILDWINDOW_LIST_APPLICANT_LIST	Lista kandydatów
GUILDWINDOW_LIST_CHRACTER_JOB	Klasa
GUILDWINDOW_LIST_CHRACTER_LV	Poziom
GUILDWINDOW_LIST_CHRACTER_NAME	Nazwa postaci
GUILDWINDOW_LIST_CHRACTER_SUB_JOB	Profesja
GUILDWINDOW_LIST_EMPIRE_A	Shinsoo
GUILDWINDOW_LIST_EMPIRE_B	Chunjo
GUILDWINDOW_LIST_EMPIRE_C	Jinno
GUILDWINDOW_LIST_GUILDMEMBER	Członek
GUILDWINDOW_LIST_GUILD_LIST	Lista gildii
GUILDWINDOW_LIST_GUILD_LV	Poziom
GUILDWINDOW_LIST_GUILD_NAME	Gildia
GUILDWINDOW_LIST_INPUT_GUILDNAME	[Gilda] Wpisz nazwę gildii
GUILDWINDOW_LIST_LADDER	Punkty rangi
GUILDWINDOW_LIST_NOTPROMOTEGUILD	[Gildia] Ta gildia nie przeprowadza naboru.
GUILDWINDOW_LIST_PROMOTE_GUILD	Podanie
GUILDWINDOW_LIST_PROMOTE_GUILD_LIST	Lista gildii
GUILDWINDOW_LIST_RANKING	Pozycja
GUILDWINDOW_LIST_RANKING_COUNT	Pozycja
GUILDWINDOW_LIST_REGISTER	Podania
GUILDWINDOW_LIST_REGISTER_GUILD	Złóż podanie do gildii
GUILDWINDOW_LIST_SEARCH	Szukaj
GUILDWINDOW_LIST_SELECT_GUILD	[Gildia] Wybierz gildię, aby złoży do niej podanie.
GUILDWINDOW_PROMOTE_REFRESH	Werbowanie
GUILDWINDOW_PROMOTE_REGISTER	Werbowanie
GUILDWINDOW_SP_RECOVER	Moc Smoka
GUILDWINDOW_UPGRADE_ALTEROFPOWER	Rozbudowa ołtarza
GUILDWINDOW_UPGRADE_GUILDBANK	Rozbudowa banku
GUILD_BANKINFO_CLOSE	Zamknij
GUILD_BANKINFO_NAME	Członek gildii
GUILD_BANKINFO_TYPE	Przedmiot/Waluta
GUILD_BANKINFO_USETYPE	Akcja
GUILD_BANK_CLOSE	Zamknij
GUILD_BANK_INFO	Log Magazynu Gildii
GUILD_BOARD_ID	Członek gildii
GUILD_BOARD_TEXT	Wiadomość
GUILD_BUILDING_FIX_CHANGE	Czy naprawdę chcesz zmienić pozycję?
GUILD_BUILDING_FIX_CHANGE_GOLD	Koszt: 1 000 000 Yang
GUILD_BUILDING_FIX_DELETE	Czy naprawdę chcesz skasować obiekt?
GUILD_BUILDING_FIX_NEED_BUILDING	Brak budynku.
GUILD_BUILDING_GRADE	Ranga
GUILD_BUILDING_NAME	Nazwa Budynku
GUILD_CANNOT_HEAL_GSP_ANYMORE	Energia Ducha Smoka jest już w pełni zregenerowana.
GUILD_COMMENT	Napisz
GUILD_CREATE_ERROR_INSULT_NAME	Nazwa Gildii jest niepoprawna.
GUILD_DEFAULT_GRADE	Członkowie Gildii
GUILD_DELETE	Usuń
GUILD_DEPOSIT	Depozyt
GUILD_DO_YOU_HEAL_GSP	Czy chcesz odnowić za {} Yang {} Ducha Smoka?
GUILD_DO_YOU_JOIN	  zaprasza Cię do swojej Gildii. Chcesz do niej dołączyć?
GUILD_DRAGONLAIR_MIN	Min.
GUILD_DRAGONLAIR_PARTY_ALL	Ogólna lista najlepszych
GUILD_DRAGONLAIR_PARTY_LINE_FOUR	od 11. miejsca: 100 Gaya
GUILD_DRAGONLAIR_PARTY_LINE_HELP	Pomoc
GUILD_DRAGONLAIR_PARTY_LINE_ONE	1. miejsce: 400 Gaya
GUILD_DRAGONLAIR_PARTY_LINE_THREE	4. - 10. miejsce: 200 Gaya
GUILD_DRAGONLAIR_PARTY_LINE_TWO	2. - 3. miejsce: 300 Gaya
GUILD_DRAGONLAIR_PARTY_MEMBER	Członek
GUILD_DRAGONLAIR_PARTY_NOW	Tygodniowa lista najlepszych
GUILD_DRAGONLAIR_PARTY_PAST	Poprzednia lista najlepszych
GUILD_DRAGONLAIR_PARTY_TIME	Czas
GUILD_DRAGONLAIR_PARTY_TOOLTIP_TITLE	Nagroda
GUILD_DRAGONLAIR_RANKING_FAIL	PORAŻKA
GUILD_DRAGONLAIR_RANKING_NONE	NOWOŚĆ
GUILD_DRAGONLAIR_RANKING_SUCCESS	SUKCES
GUILD_DRAGONLAIR_SECOND	Sek.
GUILD_EMPTY_AREA	Wolna Ziemia
GUILD_ENEMY_GUILD_NAME	Nazwa Gildii wroga
GUILD_FACILITY	Przybudówka
GUILD_GEM	Klejnot
GUILD_HEADQUARTER	Budynek Główny
GUILD_HEAL_GSP	Regeneracja Ducha Smoka
GUILD_INFO_ENEMY_GUILD_EMPTY	Nikt
GUILD_MARK_NOT_ENOUGH_LEVEL	Potrzebny przynajmniej 3 poziom
GUILD_MARK_UPLOAD_NOTICE	Poczekaj, aby zarejestrować logo gildii.
GUILD_MEMBER_JOB	Klasa
GUILD_MEMBER_KNIGHT	Wojownik
GUILD_MEMBER_LEVEL	Pozi
GUILD_MEMBER_NAME	Członek gildii
GUILD_MEMBER_RANK	Ranga
GUILD_MEMBER_SPECIFIC_GRAVITY	Wpłacone PD
GUILD_NAME	Nazwa Gildii
GUILD_NOT_ENOUGH_MATERIAL	Nie masz wystarczającej ilości surowców na tą budowlę.
GUILD_NOT_ENOUGH_MONEY	Nie masz wystarczającej ilości Yang na tą budowlę.
GUILD_NO_NOTICE_PERMISSION	Nie masz praw do tworzenia ogłoszeń.
GUILD_OBJECT	Obiekty
GUILD_OFFER_EXP	PD do przekazania
GUILD_SHORT_EXP	Za mało Punktów Doświadczenia.
GUILD_TILE_BASEINFO	Informacje o obszarze
GUILD_TILE_BOARD	Notatka gildii
GUILD_TILE_GRADE	Zarządzanie Prawami
GUILD_TILE_INFO	Informacje o Gildii
GUILD_TILE_MEMBER	Członek
GUILD_TILE_SKILL	Umiejętności Gildii
GUILD_USE_MASTER_ONLY	Tylko lider gildii ma takie prawo.
GUILD_VILLAGE_01	Miryang
GUILD_VILLAGE_02	Songpa
GUILD_VILLAGE_03	Daeyami
GUILD_WAR1	Obszar Wojny Gildii
GUILD_WAR2	Obszar Wojny Gildii
GUILD_WAR3	Obszar Wojny Gildii
GUILD_WAR4	Obszar Wojny Gildii
GUILD_WAR_GAINSCORE_FIFTY	50 punktów
GUILD_WAR_GAINSCORE_HUNDRED	100 punktów
GUILD_WAR_GAINSCORE_THIRTY	30 punktów
GUILD_WAR_GAMETIME_SIXTY	60 min.
GUILD_WAR_GAMETIME_TEN	10 min.
GUILD_WAR_GAMETIME_THIRTY	30 min.
GUILD_WAR_LIMIT_30MIN	Czas: 30 Minut
GUILD_WAR_REWARD_POTION	Nagroda: Zwycięzca otrzymuje Miksturę
