%d 권을 더 읽어야 수련을 완료 할 수 있습니다.	Per migliorare questa abilità devi leggere ancora %d Libri dell'Abilità. 
%d 냥을 투자하셨습니다.	Hai investito %d Yang. 
%d 냥을 획득하셨습니다.	Hai vinto %d Yang. 
%d 레벨이 되어야 다시 염색하실 수 있습니다.	Devi raggiungere il livello %d per poter ricolorare i tuoi capelli. 
%d 분 %d 초 동안 채팅금지 상태입니다	La tua chat resterà bloccata ancora per %d minuti %d secondi 
%d 시간 %d 분 %d 초 동안 채팅금지 상태입니다	La tua chat resterà bloccata ancora per %d ore %d minuti %d secondi 
%d 시간 %d 초 동안 채팅금지 상태입니다	La tua chat resterà bloccata ancora per %d ore %d secondi 
%d 종류 %d 마리 낚음	Ne hai catturati %d di %d. 
%d 초 동안 채팅금지 상태입니다	Il tuo blocco chat durerà ancora %d secondi 
%d 초 후에 군주의 축복을 사용할 수 있습니다	La Benedizione dell'Imperatore può essere utilizzata dopo %d sec. 
%d 초간 쿨타임이 적용중입니다.	Tempo d'attesa circa %d sec. 
%d 초후 목적지로 이동됩니다.	%d secondi dopo averlo usato arrivi nel luogo desiderato. 
%d%% 확률로 관통 공격	Attacco perforante con una probabilità di %d%%. 
%d%% 확률로 적퇴치시 경험치 추가 상승	Aumento dell'esperienza %d%% in caso di vittoria sull'avversario. 
%d%% 확률로 적퇴치시 돈 2배 드롭	Aumento degli Yang saccheggiati di %d%% in caso di vittoria sull'avversario. 
%d%% 확률로 적퇴치시 생명력 회복	%d%% di possibilità di rigenerare i tuoi HP dopo un vittoria sull'avversario. 
%d%% 확률로 적퇴치시 아이템 2배 드롭	Aumento degli oggetti saccheggiati di %d%% in caso di vittoria sull'avversario. 
%d%% 확률로 적퇴치시 정신력 회복	Aumento della mana di %d%% in caso di vittoria sull'avversario. 
%d%% 확률로 치명타 공격	Attacco critico con una probabilità di %d%%. 
%d%% 확률로 타격시 상대 전신력 소모	Con una probabilità di %d%% la mana dell'avversario sarà presa. 
%d%% 확률로 피해시 정신력 회복	Probabilità di assorbimento di %d%% Mana. 
%d분의 결제시간이 추가 되었습니다. (결제번호 %d)	%d Tempo di gioco viene aggiunto al tuo account. (Nr. di pagamento %d) 
%d의 경험치를 획득했습니다.	Hai ricevuto %d esperienza. 
%d초 남았습니다.	%d secondi al logout. 
%d초 만큼 충전되었습니다.	%d secondi sono stati caricati. 
%d초 후 게임이 셧다운 됩니다.	Tra %d secondi il gioco sarà concluso. 
%s : %d 마리	%s: %d 
%s SP소모: %d	%s Consumo SP: %d. 
%s killcount %d mobkillcount %d bosskillcount %d 성지 진입수 %d	%s killcount %d mobkillcount %d bosskillcount %d Numero della Terra Santa %d. 
%s 군주 후보에서 삭제하였습니다	%s è cancellato come candidato alla carica di imperatore. 
%s 군주로 입명 했습니다.	%s è nominato Imperatore. 
%s 군주르 제거 하였습니다..	L'Imperatore %s è stato destituito. 
%s 군주를 제거 할수 없습니다.	L'Imperatore %s non può essere destituito. 
%s 길드가 %s 길드에 선전포고를 하였습니다!	La Gilda %s ha dichiarato guerra alla Gilda %s! 
%s 길드가 %s 길드와의 전쟁에서 승리 했습니다.	%s ha vinto la guerra tra Gilde contro %s. 
%s 길드가 %s 길드의 깃발을 빼앗았습니다!	%s ha conquistato la bandiera della %s! 
%s 길드와 %s 길드 사이의 전쟁이 무승부로 끝났습니다.	La guerra tra Gilde di %s e %s è finita in parità. 
%s 길드와 %s 길드 사이의 전쟁이 취소되었습니다.	La guerra tra Gilde di %s e %s è stata interrotta. 
%s 길드와 %s 길드가 잠시 후 전쟁을 시작합니다!	La guerra tra Gilde di %s e %s comincerà tra pochi minuti! 
%s 길드와 %s 길드가 전쟁을 시작하였습니다!	La guerra tra Gilde di %s e %s è cominciata! 
%s 길드의 %s이 %d%% 증가했습니다!	%s della Gilda %s è salito di %d%%! 
%s 길드의 %s이 정상으로 돌아왔습니다.	%s della Gilda %s si è normalizzato. 
%s 길드의 깃발을 %s 님이 획득하였습니다.	La bandiera della Gilda %s è stata rubata dal giocatore %s. 
%s 는 군주 후보가 아닙니다.	%s non è un candidato alla carica di Imperatore. 
%s 는 군주로 입명할수 없습니다 .	%s Non può essere nominato Imperatore. 
%s 님과의 교환이 성사 되었습니다.	Il commercio con %s è riuscito. 
%s 님에게 파티가입 신청을 했습니다.	Desideri entrare nel gruppo di %s. 
%s 님으로 부터 친구 등록을 거부 당했습니다.	%s ha rifiutato l'invito. 
%s 님은 %d 채널에 접속 중 입니다. (현재 채널: %d)	Il giocatore %s è nel canale %d. (Il tuo canale è %d) 
%s 님은 접속되 있지 않습니다.	%s non è online. 
%s 님은 정상적으로 출마를 하였습니다.	%s Il giocatore è già nella votazione. 
%s 님을 소환하였습니다.	Hai reclutato il giocatore %s. 
%s 님이 대련에서 승리하였습니다.	%s ha vinto il duello. 
%s 님이 승리하였습니다.	%s ha vinto. 
%s 블럭! (%d%%)	%s blocca! (%d%%). 
%s 아이템 을 획득하셨습니다	Hai vinto %s oggetto. 
%s 아이템이 필요합니다	Ti serve %s. 
%s 에게로 이동합니다	Teleportare dal giocatore %s. 
%s 회피! (%d%%)	%s eludi! (%d%%) 
%s: 존재하지 않는 길드 입니다.	%s: questa Gilda non esiste. 
%s[%d]가 공격 위치: %d %d	Posizione d'attacco di %s[%d]: %d %d 
%s님과의 대결 시작!	La lotta con %s è iniziata! 
%s님이 대결신청을 했습니다. 승낙하려면 대결동의를 하세요.	%s ti ha sfidato alla lotta! 
%s님이 주사위를 굴려 %d가 나왔습니다. (%d-%d)	%s ha lanciato i dadi. Lui/lei ha ottenuto %d (%d-%d). 
%s를 구웠습니다.	Arrostisci %s sul fuoco. 
%s에 박혀있던 보석이 사라집니다.	Una pietra preziosa di %s è sparita. 
%s에 전쟁의 시작을 알리는 봉화가 나타났습니다.	Un fuoco di vedetta è stato acceso a %s per avvertire di una battaglia. 
%s에게 대결신청을 했습니다.	Hai sfidato alla lotta %s. 
%s에서 봉화를 둘러싸고 전투가 진행중입니다.	A %s c'è una guerra per accendere i fuochi di vedetta. 
%s에서 소켓 빠질때까지 남은 시간 %d	Alla rimozione della montatura di %s rimangono: %d 
%s의 %s이 %d%% 증가했습니다!	%s: %s è salito di %d%%! 
%s의 %s이 정상으로 돌아왔습니다.	%s di %s si è normalizzato. 
%s의 군주가 %s 님으로 교체되었습니다.	L'imperatore di %s è stato modificato in %s. 
%s이 모든 봉화를 파괴하였습니다.	%s ha distrutto tutti i fuochi di vedetta. 
%s이 봉화를 파괴했습니다.	%s ha distrutto il fuoco di vedetta. 
%s이 수성에 성공했습니다.	A %s è riuscita la difesa. 
%s이 수성에 실패하여 전쟁에 패배하였습니다..	%s ha perso la guerra perchè non sono riusciti a difendere il castello. 
%s이 필요합니다.	Per fare questo ti serve: %s 
<파티> 파티의 인원제한이 초과하여 파티에 참가할 수 없습니다.	<Gruppo> Non puoi entrare nel gruppo, perchè è pieno. 
O 입니다	Sì (O) 
OX 문제 스크립트 로딩 성공	OX Quiz Script è stato caricato. 
OX 문제 스크립트 로딩 실패	Non è stato possibile avviare il OX Quiz Script. 
OX 상품을 지급하였습니다. ID: %d 수량: %d	OX Il premio è stato consegnato. ID: %d quantità: %d 
OX 이벤트가 시작되었습니다.	OX Event è iniziato. 
OX 이벤트가 이미 진행중입니다(flag: %d)	L'evento è già iniziato (flag: %d) 
OX 이벤트를 마치겟습니다.	OX Event è terminato. 
OX이벤트 맵을 먼저 닫아 주세요.(Flag: %d)	Per prima cosa chiudi la finestra di OX Event. (Flag: %d) 
OX이벤트가 닫히지 않았거나, 퀴즈 출제중입니다.(flag: %d)	OX Event non è terminato, si sono verificati degli errori. (flag: %d). 
OX이벤트가 열려 있지 않거나 문제 출제중입니다.(Flag: %d)	OX Event è concluso, non ci sono stati errori. (Flag: %d) 
OX이벤트를 강제 종료 시킵니다.	OX Event è concluso. 
OX이벤트의 나머지 인원 기록을 실패했습니다.	OX Event gli altri partecipanti non saranno annotati. 
OX이벤트의 나머지 인원을 기록하였습니다.	OX Event gli altri partecipanti saranno annotati. 
TEST : 현재 국고 : %d	TEST: Nella cassaforte del tuo regno ci sono: %d 
TEST : 황금두꺼비가 국고로 환원되었습니다.	TEST: I lingotti d'oro sono stati rimborsati nella cassaforte del tuo Regno. 
TEST : 황금두꺼비를 국고로 환원할 수 없습니다.	TEST: Non puoi ripagare nella cassaforte del tuo regno i lingotti d'oro. 
X 입니다	No (X) 
[%s군주] : %s	[%smonarca] : %s 
[%s군주] : %s  보유금액 %lld	[%smonarca] : %s Yang possiede %lld 
[TEST_ONLY]현재 국고 : %d	[TEST_ONLY]Livello delle tasse : %d 
가만히 있을 때만 착용할 수 있습니다.	Devi stare fermo per indossare l'oggetto. 
각제국 진행 정보	Informazioni dei successi dei Regni. 
감지기를 작용하였으나 감지되는 영석이 없습니다.	Questa mappa non contiene al momento pietre Metin. 
갑옷을 벗어야 개인 상점을 열 수 있습니다.	Puoi aprire il negozio solo se togli l'armatura. 
값을 잘못 입력하였습니다.	Hai inserito un valore errato. 
강화에 성공했습니다.	Il rafforzamento è avvenuto con successo. 
강화에 실패했습니다.	Il rafforzamento è fallito 
강화에 필요한 재료가 아닙니다.	Non possiedi i materiali necessari per il rafforzamento della Pietra del drago. 
강화창을 연 상태에서는 아이템을 옮길 수 없습니다.	Non puoi spostare l'oggetto all'interno della finestra del raffinamento. 
강화할 수 없는 용혼석입니다.	Questa Pietra del drago non può essere utilizzata per il rafforzamento. 
같은 개량서를 합칠 수는 없습니다.	Non puoi unire due papiri del miglioramento identici. 
같은 종류의 메틴석은 여러개 부착할 수 없습니다.	Non puoi applicare più Pietre Spirituali dello stesso tipo. 
같은 종류의 유니크 아이템 두 개를 동시에 장착할 수 없습니다.	Non puoi indossare due volte questo oggetto. 
같이 지을 수 없는 종류의 건물이 지어져 있습니다.	Questo tipo di edificio può essere costruito una volta sola. 
개량된 후 아이템의 레벨 제한보다 레벨이 낮습니다.	Il tuo livello è minore del livello dell'oggetto dopo il miglioramento. 
개량을 하기 위한 돈이 부족합니다.	Non hai Yang a sufficienza. 
개량을 하기 위한 재료가 부족합니다.	Non hai il materiale giusto per produrla. 
개인상점 사용후 %d초 이내에는 귀환부,귀환기억부를 사용할 수 없습니다.	Dopo che avrai aperto il magazzino non potrai usare i papiri Torna Indietro per %d sec. 
거래 후 %d초 이내에 창고를 열수 없습니다.	Dopo il commercio devi aspettare %d sec. prima di poter aprire un negozio. 
거래 후 %d초 이내에는 귀환부,귀환기억부등을 사용할 수 없습니다.	Dopo aver commerciato non potrai usare il papiro Torna Indietro per %d sec. 
거래 후 %d초 이내에는 다른지역으로 이동 할 수 없습니다.	%d secondi dopo il commercio non puoi andare altrove. 
거래창,창고 등을 연 상태에서는 귀환부,귀환기억부 를 사용할수 없습니다.	Non puoi usare il papiro Torna Indietro mentre hai un'altra finestra aperta. 
거래창,창고 등을 연 상태에서는 다른곳으로 이동,종료 할수 없습니다	Dopo il commercio non puoi andare altrove. 
거래창,창고 등을 연 상태에서는 보따리,비단보따리를 사용할수 없습니다.	Non puoi aprire nessun magazzino fino a quando avrai aperta un altra finestra. 
거짓	FALSO. 
건물 비용 정보 이상으로 건설 작업에 실패했습니다.	Costruzione fallita a causa di un errato costo di costruzione. 
건물을 지을 수 없는 위치입니다.	In questo posto non puoi erigere costruzioni. 
건설 비용이 부족합니다.	Non hai abbastanza Yang per costruire l'edificio. 
건설에 필요한 건물이 지어져 있지 않습니다.	Prima deve essere costruito l'edificio base. 
게임을 종료 합니다. 잠시만 기다리세요.	Stai per essere sconnesso dal server. Aspetta. 
결재기간이 %d분 후 만료 됩니다.	Il tuo tempo di gioco scade tra %d minuti. 
결혼 상태가 아니면 결혼반지를 사용할 수 없습니다.	Non puoi portare la fede se non sei sposato. 
결혼식이 종료됩니다.	Il matrimonio terminerà presto. 
결혼하지 않은 상태에서 예물을 착용할 수 없습니다.	Non puoi usare questo oggetto perché non sei sposato. 
경험치 %d%%	Esperienza %d%%. 
경험치 %d%% 추가 획득 이벤트 중입니다.	Attualmente il bonus esperienza ammonta a un %d%% in più. 
경험치 배율	Percentuale di esperienza 
경험치가 부족하여 책을 읽을 수 없습니다.	Non lo puoi leggere per mancanza di esperienza. 
고기가 미끼만 빼먹고 잽싸게 도망칩니다.	L'esca è stata mangiata dal pesce. 
고기가 잡혔습니다! (%s)	Hai catturato un pesce! (%s). 
고기가 흔적도 없이 사라집니다.	Il pesce è sparito nell'acqua profonda. 
곡괭이 수련도가 최대(%d)가 되었습니다.	I tuoi punti estrazione sono arrivati al massimo (%d). 
곡괭이가 최대 수련도에 도달하였습니다.	I tuoi punti estrazione sono arrivati al massimo livello. 
곡괭이를 들고 있지 않아서 캘 수 없습니다.	Senza piccone non puoi estrarre. 
곡괭이를 장착하세요.	Ti serve un piccone per estrarre i minerali! 
곡괭이의 수련도가 증가하였습니다! (%d/%d)	I tuoi punti estrazione sono saliti! (%d/%d). 
골드 드롭률 %d%% 추가 이벤트 중입니다.	La quota dei drop degli Yang è in lavorazione o attuale è di %d%%. 
공격력 +%d	Forza d'attacco + %d 
공격력 +%d%%	Attacco + %d%% 
공격속도 +%d	Velocità d'attacco +%d 
공부하기 싫어지네.	Voglio continuare ad imparare. 
관전 모드로 길드전에 참가하셨습니다.	Puoi partecipare alla guerra tra Gilde in modalità spettatore. 
관전 상태에서는 교환을 할 수 없습니다.	Se osservi non puoi commerciare. 
관통 추가 데미지 %d	Ulteriori danni da armi di penetrazione  %d. 
국고에 돈이 부족하거나 돈을 가져올수 없는 상황입니다	Non hai abbastanza Yang. 
국고에 돈이 부족합니다. 현재 : %u 필요금액 : %u	Mancano tasse. Capitale attuale : %u capitale mancante : %u 
국고에 자금이 모자랍니다 국고 : %d	Non ci sono abbastanza tasse : %d 
군주 정보	Informazioni Imperatore. 
군주가 내린 축복으로 모든 에너지가 가득 채워집니다	A causa della Benedizione dell'Imperatore l'energia viene riflessa. 
군주만이 사용 가능한 기능입니다	Questa funzione può essere utilizzata solo dall'imperatore. 
군주만이 사용가능 한 기능입니다	Solo l'imperatore può usarlo. 
군주만이 사용할수 있는 기능입니다	Solo un imperatore può utilizzarlo. 
군주의 금강권 영향으로 이지역 %s 유저는 3분간 10 %% 의 방어력이  증가됩니다	Attraverso l'Imperatore Geum-Gang-Gwon, al giocatore %s sarà aumentata l'armatura di 10 %% per 3 minuti in questa zona. 
군주의 사자후 영향으로 이지역 %s 유저는 3분간 10 %% 의 공격력이  증가됩니다	Attraverso l'Imperatore Sa-Za-Hu, al giocatore %s sarà aumentata la forza d'attacco di 10 %% per 3 minuti in questa zona. 
군주의 자격을 가지고 있지 않습니다	Non ha le qualità per essere imperatore. 
군주의 축복으로 이지역 %s 유저는 HP,SP가 모두 채워집니다.	Utilizzando la Benedizione dell'Imperatore %s vengono rigenerati gli HP e gli MP. 
군주의 축복을 사용하였습니다.	La Benedizione dell'Imperatore è attiva. 
군직이 맞지않아 이 아이템을 사용할 수 없습니다.	Non puoi usare questo item perchè non hai i requisiti necessari. 
귀환에 실패하였습니다.	Teleportazione fallita. 
그것으로 수련은 끝난 거야!	L'allenamento è concluso. 
그래, 이 느낌이야. 체내에 기가 아주 충만해.	Sì, è piacevole. Il mio corpo è pieno di Chi. 
그래, 천천히. 좀더 천천히, 그러나 막힘 없이 빠르게!	Più piano... ma duraturo... senza fermarti! 
그랜드 마스터 수련을 할 수 없는 스킬입니다.	Non puoi allenare questa abilità fino al gran maestro. 
그런 명령어는 없습니다	Questo comando non esiste. 
그런 사람이 없습니다.	Questa persona non esiste. 
그런 이름 또는 번호의 길드가 없습니다.	Una Gilda con questo nome o numero non esiste. 
근력 +%d	Forza +%d. 
근력이 낮아 착용할 수 없습니다.	Non sei forte abbastanza per indossarlo. 
금액이 부족합니다.	Yang insufficienti. 
기억된 위치가 타제국에 속해 있어서 귀환할 수 없습니다.	Non puoi teleportarti in un altro Regno in un luogo sicuro. 
기억해 둘 수 없는 위치 입니다.	Non puoi salvare questa posizione. 
기절하지 않음 %d%%	Nessuno stordimento %d%%. 
길드에 가입하지 않았습니다.	Non sei entrato nella Gilda. 
길드원	Membro. 
길드장	Capo. 
길드전에 참가한 상대방 길드원이 아무도 없습니다.	Non ci sono avversari. 
길드전이 일찍 종료되어 무승부로 판정 되었습니다. (5분이 지나지 않음)	Siccome la guerra tra Gilde è terminata anticipatamente, il risultato è di parità. 
꿈속에서 어떻게요?	Nei miei sogni? Come? 
나무꾼를 통해 다음 레벨의 곡괭이로 업그레이드 할 수 있습니다.	Puoi migliorare il tuo piccone dal taglialegna Deokbae. 
나무에서 부터 신비한 빛이 나옵니다.	Una luce mistica appare dall'albero. 
나보다 너무 높은 레벨의 몬스터로는 변신 할 수 없습니다.	Non puoi trasformarti in un mostro che ha un livello più alto del tuo. 
나의 군주 정보	Le mie informazioni Imperatore. 
나의 삼거리 진행정보	Informazioni sui progressi dei Regni 
낚시 중에 미끼를 갈아끼울 수 없습니다.	Mentre stai pescando non puoi cambiare l´esca. 
낚시대가 아닌 물건으로 낚시를 할 수 없습니다!	Non puoi pescare senza canna! 
낚시대가 최대 수련도에 도달하였습니다.	Hai raggiunto il massimo di punti canna da pesca. 
낚시대를 장착 하세요.	Scegli una canna da pesca. 
낚시대에 %s를 미끼로 끼웁니다.	Hai fissato %s come esca all'amo. 
낚시대의 수련도가 증가하였습니다! (%d/%d)	I tuoi punti pesca sono saliti! (%d/%d). 
낚시를 할 수 있는 곳이 아닙니다	Qui non puoi pescare. 
낚시이벤트월척붕어	L'evento di pesca Il grande luccio cattivo 
낚시이벤트잉어	L'evento di pesca Carpe 
남은 생명력 양이 모자라 사용할 수 없습니다.	Non hai abbastanza HP. 
남은 스탯 포인트가 없습니다.	Non ci sono punti status disponibili. 
남은 스탯 포인트가 적습니다.	I punti status disponibili sono troppo bassi. 
남은 정신력 양이 모자라 사용할 수 없습니다.	Non hai abbastanza mana per usarlo. 
너무 가까이 있습니다.	Sei troppo vicino. 
너무 멀리 있습니다	Sei troppo lontano. 
넘어지지 않음 %d%%	Nessuna caduta %d%%. 
녀석들은 이곳 성지에 있을 자격을 잃었다. 모두 성지에서 물러나거라~~[ENTER][ENTER] 10초 후에 모두 마을로 이동하게 됩니다.	Non hai il diritto di essere qui. Questo è un posto benedetto: Saprisci! Tra 10 secondo sarai ritrasportato al villaggio. 
느려지지 않음 %d%%	Nessun rallentamento %d%%. 
님의 말	Cavallo. 
다 읽었다! 이제 비급에 적혀있는 대로 전신에 기를 돌리기만 하면,	L'ho letto! Ora devo distribuire il Chi nel mio corpo. 
다른 거래중(창고,교환,상점)에는 개인상점을 사용할 수 없습니다.	Non puoi usare il negozio privato. 
다른 거래중(창고,교환,상점)에는 사용할 수 없습니다.	Non puoi produrre se hai il magazzino o il commercio aperto. 
다른 거래중일경우 개인상점을 열수가 없습니다.	Non puoi aprire un negozio privato fino a che commerci con qualcun altro. 
다른 거래창이 열려있을경우 거래를 할수 없습니다.	Se la finestra del commercio è aperta non puoi commerciare con altri. 
다른 거래창이 열린상태에서는 상점거래를 할수 가 없습니다.	Non puoi commerciare nel negozio, se hai un altra finestra di commercio aperta. 
다른 제국 유저는 소환할 수 없습니다.	Non puoi reclutare giocatori di altri regni. 
다른 컴퓨터에서 로그인 하여 접속을 종료 합니다.	Qualcuno si è loggato nel tuo account. Vieni sloggato dal server. 
다른거래창이 열린상태에서는 창고를 열수가 없습니다.	Non puoi aprire nessun magazzino fino a quando un altra finestra di commercio è aperta. 
다음 문제 준비해주세요.	Pronto per la prossima domanda? 
다이아몬드로 소켓을 추가해야합니다.	Devi aggiungere una montatura se vuoi metterci un diamante. 
단계 개량에 성공했습니다.	Il miglioramento del grado di purezza è avvenuto con successo. 
단계 개량에 실패했습니다.	Il miglioramento del grado di purezza è fallito. 
단계 개량에 필요한 재료가 아닙니다.	Questo oggetto non serve per il raffinamento. 
단계 개량할 수 없는 용혼석입니다.	Questa Pietra del Drago non può essere utilizzata per il raffinamento. 
닫기	Chiudi. 
당신이 주사위를 굴려 %d가 나왔습니다. (%d-%d)	Hai lanciato i dadi. Hai ottenuto %d (%d-%d). 
대련 강제 종료 성공	Il duello è stato interrotto con successo. 
대련 강제 종료 실패	Il duello è stato interrotto senza successo. 
대련 상대가 사라져 대련을 종료합니다.	Siccome il tuo avversario è sparito, il duello è terminato. 
대련 시간 초과로 대련을 중단합니다.	Il duello sarà conluso perchè è stato superato il tempo massimo. 
대련 시작에 문제가 있습니다.	C'è un problema con l'inizio del duello. 
대련 중에는 이용할 수 없는 물품입니다.	Non puoi usare questo oggetto durante il duello. 
대련이 성공적으로 시작 되었습니다.	L'inizio del duello è avvenuto con successo. 
대련이 시작되었습니다.	Il duello è iniziato. 
대련자 문제로 인하여 대련을 종료합니다.	Il duello viene cocluso a cauda ti problemi con i duellanti. 
대련자 문제로 인하여 대련을 중단합니다.	Il duello è stato fermato perché c'è un problema con l'arena. 
대련자가 없습니다.	Non ci sono duellanti. 
대련장 문제로 인하여 대련을 종료합니다.	Il duello si conclude perché c'è un problema con l'arena. 
대련장에서 사용하실 수 없습니다.	Non lo puoi utilizzare nell'arena dei duelli. 
대박골드 드롭률 %d%% 추가 이벤트 중입니다.	La quota dei drop degli Yang è in lavorazione o attuale è in più di %d%%. 
더 높은 경지의 수련을 성공적으로 끝내셨습니다.	Hai svolto con successo il tuo allenamento con il libro. 
더 이상 OX이벤트 참가자를 받지 않습니다.	OX Event non accetta altri partecipanti. 
더 이상 개량할 수 없습니다.	Un ulteriore miglioramento non è possibile. 
더 이상 수련할 수 없습니다.	Non puoi aumentare ulteriormente la tua abilità. 
더 이상 승마 수련서를 읽을 수 없습니다.	Non puoi leggere altre istruzioni di equitazione. 
더 이상 이 아이템을 이용하여 속성을 추가할 수 없습니다.	Questo oggetto non può essere migliorato. È già stato raggiunto il massimo numero massimo di bonus possibili. 
더이상 이 아이템을 이용하여 속성을 추가할 수 없습니다.	Puoi aggiungere un altro bonus a questo oggetto soltanto con la Sfera Benedetta. 
더이상 캐낼 수 없습니다.	Non c'è nulla da estrarre. 
던전 안에서는 %s%s 사용할 수 없습니다.	%s%s non può essere usato in un sotterraneo. 
독 저항 %d%%	Resistenza veleno %d%%. 
독공격 %d	Attacco velenoso %d. 
돈 %d 냥을 획득했습니다.	Hai ricevuto %d Yang. 
돈 대박이 나올 확률	Percentuale di drop della Bomba di Yang 
돈 드롭율 %.1f배	Probabilità di trovare Yang % 1f. 
돈이 나올 확률	Percentuale di drop Yang 
돈이 부족하거나 아이템이 제자리에 없습니다.	Non hai abbastanza Yang, o non c'è posto nell'inventario. 
동물류 몬스터 타격치 +%d%%	Forza d'attacco del cavallo contro i mostri +%d%% 
동일한 머리 스타일로는 교체할 수 없습니다.	Stai già usando questa pettinatura. 
두손검 방어 %d%%	Spadone-Difesa %d%%. 
둔갑 중에는 능력을 올릴 수 없습니다.	Non puoi modificare il tuo status fino a quando sei trasformato. 
둔갑 중에는 착용중인 장비를 변경할 수 없습니다.	Non puoi modificare il tuo equipaggiamento fino a quando sei trasformato. 
둔갑서 수련을 마첬습니다. 신선에게 찾아가세요.	Hai terminato d'imparare la Trasformazione. 
둔갑에 실패 하였습니다	Errore nella Trasformazione. 
둔갑할 수 없는 상태입니다.	Mentre stai cavalcando non ti puoi trasformare. 
드디어 끝이 보이는 건가...  이 기술은 이해하기가 너무 힘들어..	Queste istruzioni sono difficili da capire. Devo studiare ancora. 
등급 개량에 성공했습니다.	Il raffinamento di una classe più in alto è avvenuto con successo. 
등급 개량에 실패했습니다.	Il raffinamento di una classe più in alto è fallito. 
등급 개량에 필요한 재료가 아닙니다.	Questo oggetto non serve per il miglioramento del grado di purezza. 
떨어진 아이템은 %d분 후 사라집니다.	L'item lasciato cadere scompare dopo %d minuti. 
떨어진 아이템은 3분 후 사라집니다.	L'oggetto che hai lasciato cadere scomparirà tra 3 minuti. 
뜨거운 무엇이 계속 용솟음치고 있어! 이건, 이것은!	L'allenamento sembra già dare i suoi primi frutti. 
레벨 20 이하는 핸드폰 번호를 등록할 수 없습니다.	Il tuo livello deve essere maggiore di 20 per poter registrare un numero di cellulare. 
레벨 30이 되기 전에는 습득할 수 있을 것 같지 않습니다.	Devi avere il livello 30 per capire questo libro. 
레벨 50이 되기 전에는 습득할 수 있을 것 같지 않습니다.	Devi avere il livello 50 per capire questo libro. 
레벨이 낮아 착용할 수 없습니다.	Il tuo livello è troppo basso per indossarlo. 
로그인 화면으로 돌아 갑니다. 잠시만 기다리세요.	Stai per tornare alla finestra di login. Aspetta. 
룻렛을 돌립니다. 금액 %d	Gira la roulette per %d Yang. 
를	la 
마법 공격력 +%d	Attacco magico + %d 
마법 방어력 +%d	Difesa magica + %d. 
마법 저항 %d%%	Resistenza magia %d%%. 
마음이 맑아지는군. 가슴을 짓누르던 무언가가 좀 가벼워진 느낌이야.	Il tuo spirito è lucido. Ora ti puoi concentrare. 
많은 참여 부탁드립니다.	Chiediamo la partecipazione di molti giocatori. 
말 소환 아이템을 사용하세요.	Usa un oggetto per chiamare il cavallo. 
말 소환에 실패하였습니다.	La chiamata del cavallo è fallita. 
말에게 %s%s 주었습니다.	Hai nutrito il cavallo con %s%s. 
말에게 사료를 주었습니다.	Hai cibato il cavallo. 
말에게 선초를 주었습니다.	Hai cibato il cavallo con erbe. 
말에서 먼저 내려야 합니다.	Devi scendere. 
말을 돌려보냈습니다.	Hai mandato via il tuo cavallo. 
말을 먼저 소환해주세요.	Sei pregato di chiamare prima il tuo cavallo. 
말을 소유하고 있지 않습니다.	Non possiedi un cavallo. 
말을 탄 상대와 감정표현을 할 수 없습니다.	Non puoi usare le emozioni con un giocatore che è a cavallo. 
말을 탄 상태에서 감정표현을 할 수 없습니다.	Non puoi usare emozioni mentre cavalchi 
말을 탄 상태에서 예복을 입을 수 없습니다.	Non lo puoi utilizzare mentre stai cavalcando un cavallo. 
말을 탄 상태에서는 먹이를 줄 수 없습니다.	Non puoi cibare il tuo cavallo mentre sei in sella. 
말의 스테미너가 부족하여 말을 탈 수 없습니다.	La resistenza del tuo cavallo è troppo bassa. 
말이 없습니다. 마굿간 경비병을 찾아가세요.	Nessun cavallo disponibile. Chiedi allo stalliere. 
말이 죽어있는 상태 입니다.	Il tuo cavallo è morto. 
맞으면 O, 틀리면 X로 이동해주세요	Se corretto vai sul campo con O. Se falso vai sul campo con X. 
머니  룰렛 시작.	Avvia la roulette degli Yang. 
먼저 다이아몬드로 악세서리에 소켓을 추가해야합니다.	Devi prima aggiungere una montatura. Usa un diamante a tal scopo. 
먼저 용혼석 퀘스트를 완료하셔야 합니다.	Prima che tu apra il Cor draconis dovrai aver concluso la quest della Pietra del drago e attivato l'Alchimia delle Pietre del drago. 
먼저 일어 나세요.	Per prima cosa rialzati. 
먼저 재가비서를 이용하여 속성을 추가시켜 주세요.	Puoi usare la Sfera Benedetta su di un oggetto che ha già 4 bonus. 
메틴2인증번호: %s	Metin2 Nr. di conferma: %s. 
메틴석 부착에 성공하였습니다.	Hai applicato la Pietra Spirituale con successo. 
메틴석 부착에 실패하였습니다.	La Pietra Spirituale si è rotta durante l'applicazione. 
명령어를 모두 입력하세요.	Sei pregato di inserire l'ordine in tutta la sua lunghezza. 
명령어의 서브 커맨드가 잘못 되었습니다.	Il sottocomando del comando è errato. 
모닥불을 피울 수 없는 지점입니다.	Qui non puoi fare un falò. 
몬스터에게 강함 +%d%%	Forte contro mostri + %d%%. 
몸 속이 뜨겁군. 하지만 아주 편안해. 이대로 기를 안정시키자.	Brucio internamente, ma calma il mio corpo. Il mio Chi si deve stabilizzare. 
몸에서 뭔가 힘이 터져 나오는 기분이야!	Il mio corpo è pieno di forza! 
