ACCEPT	OK
MINI_GAME_CATCHKING_TITLE	Trova il re
MINI_GAME_FISH_HELP_TEXT	Aiuto
MINI_GAME_FISH_START_TEXT	Start
MINI_GAME_FISH_TITLE	Il Puzzle dei pesci
MINI_GAME_RUMI_DISCARD_TEXT	Modalità sicura
MINI_GAME_RUMI_EXIT	Termina
MINI_GAME_RUMI_LBUTTON_DESC	Inserisci la carta facendo clic con il tasto sinistro
MINI_GAME_RUMI_RBUTTON_DESC	Rimuovi la carta facendo clic con il tasto destro
MINI_GAME_RUMI_SCORE	Punti
MINI_GAME_RUMI_START_TEXT	Inizia
MINI_GAME_RUMI_TITLE	Gioco di carte Okey Metin2
MINI_GAME_YUTNORI_COM_TEXT	Computer
MINI_GAME_YUTNORI_PLAYER_TEXT	Giocatori
MINI_GAME_YUTNORI_PROBABILITY	Probabilità
MINI_GAME_YUTNORI_PROB_DESC	Seleziona un lancio Yut per aumentare la probabilità che esca.
MINI_GAME_YUTNORI_REMAIN_COUNT	Mosse
MINI_GAME_YUTNORI_REWARD_TEXT	Ricompensa
MINI_GAME_YUTNORI_SCORE	Punteggio
MINI_GAME_YUTNORI_START_TEXT	Start
MINI_GAME_YUTNORI_THROW	Lancia
MINI_GAME_YUTNORI_TITLE	Yutnori
MINI_GAME_YUTNORI_YUTSEM1	Do
MINI_GAME_YUTNORI_YUTSEM2	Ge
MINI_GAME_YUTNORI_YUTSEM3	Geol
MINI_GAME_YUTNORI_YUTSEM4	Yut
MINI_GAME_YUTNORI_YUTSEM5	Mo
MINI_GAME_YUTNORI_YUTSEM6	Back-do
MOUSEBUTTON_ATTACK	Attacca
MOUSEBUTTON_AUTO_ATTACK	Attacca automaticamente
MOUSEBUTTON_CAMERA	Videocamera
MOUSEBUTTON_SKILL	Abilità.
MUSICLIST_TITLE	Scelta della musica
MYSHOP_DECO_CANCEL	Chiudi.
MYSHOP_DECO_DEFAULT	Standard
MYSHOP_DECO_NEXT	Avanti
MYSHOP_DECO_OK	Chiudi
MYSHOP_DECO_PREV	Indietro
MYSHOP_DECO_SELECT_MODEL	Seleziona l'aspetto del tuo negozio.
MYSHOP_DECO_SELECT_TITLE	Seleziona l'aspetto del tuo titolo.
NO	No
OK	Ok
OPPOSITES	Rifiuta
OPTION_ALWAYS_SHOW_NAME	Nome
OPTION_ALWAYS_SHOW_NAME_OFF	Limitato
OPTION_ALWAYS_SHOW_NAME_ON	Sempre
OPTION_BLOCK	Blocca
OPTION_BLOCK_EXCHANGE	Commercio
OPTION_BLOCK_FRIEND	Amici
OPTION_BLOCK_GUILD	Gilda
OPTION_BLOCK_PARTY	Gruppo
OPTION_BLOCK_PARTY_REQUEST	Richiesta
OPTION_BLOCK_DUEL_REQUEST	Duel Re.
OPTION_BLOCK_WHISPER	Chat privata
OPTION_CAMERA_DISTANCE	Videocamera
OPTION_CAMERA_DISTANCE_LONG	Lontano
OPTION_CAMERA_DISTANCE_SHORT	Vicino
OPTION_DELETE_MOBILE_BUTTON	Cancella numero di cellulare
OPTION_EFFECT	Visualizzatore dei bersagli
OPTION_ENV_EFFECT	Ambiente
OPTION_ENV_EFFECT_OFF	Off
OPTION_ENV_EFFECT_ON	On
OPTION_FOG	Nebbia
OPTION_FOG_DENSE	Molto
OPTION_FOG_LIGHT	Poco
OPTION_FOG_MIDDLE	Media
OPTION_FOG_OFF	Off
OPTION_FOG_ON	On
OPTION_INPUT_MOBILE_BUTTON	Inserisci il numero di cellulare
OPTION_KEY_SETTING	Tastiera
OPTION_LANGUAGE_CHANGE	Usa
OPTION_LANGUAGE_SELECT	Lingua
OPTION_MOBILE	Cellulare
OPTION_MOB_INFO	Info mostri
OPTION_MOB_INFO_AGGR	Aggressivo
OPTION_MOB_INFO_LEVEL	Livello
OPTION_MUSIC	Musica
OPTION_MUSIC_CHANGE	Cambia
OPTION_MUSIC_DEFAULT_THEMA	Titolo standard di Metin2
OPTION_NAME_COLOR	Colore Nome
OPTION_NAME_COLOR_EMPIRE	Nome del regno
OPTION_NAME_COLOR_NORMAL	Normale
OPTION_NIGHT_MODE	Notte
OPTION_NIGHT_MODE_OFF	Off
OPTION_NIGHT_MODE_ON	On
OPTION_PVPMODE	Modo PvP
OPTION_PVPMODE_FREE	Libero
OPTION_PVPMODE_FREE_TOOLTIP	Puoi attaccare tutti i giocatori.
OPTION_PVPMODE_GUILD	Gilda
OPTION_PVPMODE_GUILD_TOOLTIP	Puoi attaccare tutti i giocatori esclusi membri della Gilda.
OPTION_PVPMODE_PEACE	Pace
OPTION_PVPMODE_PEACE_TOOLTIP	Non puoi attaccare i giocatori del tuo regno.
OPTION_PVPMODE_REVENGE	Ostile
OPTION_PVPMODE_REVENGE_TOOLTIP	Puoi attaccare solo giocatori con gradi diversi dal tuo.
OPTION_SALESTEXT	Nome del negozio
OPTION_SALESTEXT_VIEW_OFF	nascondi
OPTION_SALESTEXT_VIEW_ON	visualizza
OPTION_SETTING	Apri
OPTION_SNOW_MODE	Nevicata
OPTION_SNOW_MODE_OFF	Off
OPTION_SNOW_MODE_ON	On
OPTION_SNOW_TEXTURE_MODE	Neve
OPTION_SNOW_TEXTURE_MODE_OFF	Off
OPTION_SNOW_TEXTURE_MODE_ON	On
OPTION_SOUND	Effetti
OPTION_TARGET_BOARD	Menù bersaglio
OPTION_TARGET_BOARD_NO_VIEW	Chiudi
OPTION_TARGET_BOARD_VIEW	Visualizza
OPTION_TILING	Memoria video
OPTION_TILING_APPLY	Usa
OPTION_TILING_CPU	CPU
OPTION_TILING_GPU	GPU
OPTION_TITLE	Opzioni
OPTION_VIEW_CHAT	Righe di Chat
OPTION_VIEW_CHAT_OFF	nascondi
OPTION_VIEW_CHAT_ON	visualizza
PARTY_MATCH_TEXT_DUNGEON_NAME	Dungeon
PARTY_MATCH_TEXT_DUNGEON_SELECT	Scegli Dungeon
PARTY_MATCH_TEXT_ENTREE_LEVEL	Livello: %d
PARTY_MATCH_TEXT_LEVEL_LIMIT	Livello richiesto
PARTY_MATCH_TEXT_REQUEST_MATCH	Cerca
PARTY_MATCH_TEXT_REQUEST_MATCH_CANCEL	Interrompi
PARTY_MATCH_TEXT_REQUIRED_ITEMS	Item richiesto/i
PARTY_MEMBER_INFO_NAME	Nome dei membri del gruppo
PASSWORD_DESC_1	Digita una password,
PASSWORD_DESC_2	per aprire il magazzino.
PASSWORD_DESC_3	Hai già cambiato la password?
PASSWORD_DESC_4	In caso non l'avessi fatto, la tua password è: "000000".
PASSWORD_DESC_5	Cambia la tua password nel magazzino.
PASSWORD_TITLE	Salva-PW
PET_ATTR_CHANGE_ITEM_TEXT	Incanta pet
PET_ATTR_CHANGE_TITLE	Modifica tipo di pet
PET_ATTR_CONFIRMATION	Modifica
PET_ATTR_DETERMINE_TITLE	Nuovo tipo di pet
PET_ATTR_OK	Chiudi
PET_CHANGE_TEXT	Pet
PET_FEED_TITLE	Nutri
PET_FFED_BUTTON_TEXT	Nutri
PET_HATCHING_BUTTON	Fai schiudere
PET_HATCHING_NIK	Nome del pet
PET_HATCHING_WINDOW_TITLE	Incubatrice
PET_INFORMATION_ABILITIES	Bonus
PET_INFORMATION_AGE	Età
PET_INFORMATION_COSTUME_BONUS	Bonus costume
PET_INFORMATION_DEFENCE	Difesa
PET_INFORMATION_EVOL_BUTTON	Sviluppo
PET_INFORMATION_EXP	Esperienza
PET_INFORMATION_EXP_BUTTON	Item EXP
PET_INFORMATION_HP	HP
PET_INFORMATION_LEVEL	Livello
PET_INFORMATION_LIFE	Durata
PET_INFORMATION_LIFETIME_BUTTON	Nutri
PET_INFORMATION_LIFE_TIME	Ore
PET_INFORMATION_SKILL	Abilità
PET_INFORMATION_SP	MP
PET_INFORMATION_TITLE	Pet
PET_NAME_CHANGE_BUTTON	Modifica
PET_NAME_CHANGE_WINDOW_TITLE	Modifica nome
PICK_MONEY_TITLE	Dividi
PRIVATESHOPSEARCH_BUY	Compra
PRIVATESHOPSEARCH_COUNT	Quantità
PRIVATESHOPSEARCH_ITEMNAME	Nome
PRIVATESHOPSEARCH_ITEMTYPE	Oggetti
PRIVATESHOPSEARCH_JOB	Classe
PRIVATESHOPSEARCH_LEVEL	Livello
PRIVATESHOPSEARCH_PRICE	Prezzo
PRIVATESHOPSEARCH_REFINE	Livello dell'oggetto
PRIVATESHOPSEARCH_SEARCH	Cerca
PRIVATESHOPSEARCH_SEARCH_BAR	Cerca
PRIVATESHOPSEARCH_SELECT	Scegli
PRIVATESHOPSEARCH_SELLER	Venditore
PRIVATE_SHOP_CLOSE_BUTTON	Chiudi negozio
PRIVATE_SHOP_NAME	Nome del negozio
PRIVATE_SHOP_TITLE	Crea un negozio privato
QUEST_UI_TEXT_COLLECTION	Missioni del biologo
QUEST_UI_TEXT_EVENT	Missioni dell'evento
QUEST_UI_TEXT_LEVELUP	Missione di caccia
QUEST_UI_TEXT_MAIN	Missioni principali
QUEST_UI_TEXT_SCROLL	Missioni dei Libri missione
QUEST_UI_TEXT_SUB	Missioni secondarie
QUEST_UI_TEXT_SYSTEM	Missioni di gioco
REFINE_COST	Costi di miglioramento: 0 Yang
REFINE_INFO	Probabilità di successo del miglioramento: 100%
REFINE_MONEY	Tassa sul raffinamento
REFINE_SELECT	Raffinamento
REFINE_TTILE	Miglioramenti
REPORT_VIOLENT_WHISPER	
RESTART_GIVEUP	Arrenditi
RESTART_HERE	Ricomincia qui
RESTART_IMMEDIATE	Reincarnazione
RESTART_TOWN	Ricomincia nella città.
SAFE_CHANGE_PASSWORD	Modifica password
SAFE_TITLE	Magazzino
SELECT_ATTR_CHANGED	Nuovi
SELECT_ATTR_CURRENT	Vecchi
SELECT_ATTR_SELECT	Scegli
SELECT_ATTR_TITLE	Incanta oggetto+
SELECT_ATT_GRADE	STR
SELECT_CREATE	Crea
SELECT_DELETE	Cancella
SELECT_DEX_GRADE	DEX
SELECT_EMPIRE_NAME	Nome del Regno
SELECT_EXIT	Termina
SELECT_HP	VIT
SELECT_LEVEL	Livello
SELECT_METIN_STONE_TITLE	Scegli pietra spirituale
SELECT_NAME	Nome
SELECT_NO_GUILD	Nessuna Gilda
SELECT_PLAYTIME	Tempo di gioco
SELECT_SELECT	Start
SELECT_SP	INT
SELECT_TITLE	Scegli titolo
SHOP_BUY	Compra
SHOP_SELL	Vendi
SHOP_TITLE	Negozio
SKILL_SUPPORT_TITLE	Abilità standard
STEP	Grado di chiarezza
STEP_SELECT	Grado di purezza
STRENGTH	Rinforza
STRENGTH_SELECT	Livello
STRUCTURE_VIEW_MODE	Decorazione
STRUCTURE_VIEW_TYPE_STRUCTURE	Nascondi
SYSTEMOPTION_TITLE	Opzioni di sistema
SYSTEM_CHANGE	Cambia personaggio
SYSTEM_EXIT	Termina gioco
SYSTEM_HELP	Aiuto
SYSTEM_LOGOUT	Sconnetti
SYSTEM_MALL	Ingame-Webbrowser
SYSTEM_MOVE_CHANNEL	Cambia canale
SYSTEM_OPTION	Opzioni di sistema
TASKBAR_CHARACTER	Personaggio [C/V/B/N]
TASKBAR_CHAT	Finestra di Chat [Invio]
TASKBAR_DISABLE	Disattiva
TASKBAR_DRAGON_SOUL	Alchimia delle Pietre del drago
TASKBAR_EXPAND	Ingrandisci la finestra
TASKBAR_INVENTORY	Inventario [I]
TASKBAR_MESSENGER	Amici [Alt+M]
TASKBAR_MONEY_EXPAND	Capitale
TASKBAR_NEXT_QUICKSLOT	Prossimo campo di utilizzo veloce [MAIUSC + Numero, Alt]
TASKBAR_PET_INFO	Informazioni sul pet
TASKBAR_PREV_QUICKSLOT	Precedente campo di utilizzo veloce [MAIUSC + Numero]
TASKBAR_SYSTEM	Opzioni[ESC]
TOTAL_RANKING	Classifica complessiva
WEEKLY_RANKING	Classifica settimanale
WHISPER_BAN	Blocca
WHISPER_NAME	Sussurra
WHISPER_REPORT	
WHISPER_SEND	Invia
YES	Sì.
ZONE_MAP	Mappa grande

COLOR_PICKER_TITLE	Choose your color..
COLOR_PICKER_TITLE2	Color
CONTINUE	Continue
CUBE_RESULT_TITLE	Result
DESTROY	Destroy
DESTROYER	Destroy
DO_REFINE_ALL	Upgrade all
DRAGONSOUL_PAGE_BUTTON_6	Mystical
DRAGONSOUL_REFINE_MOBIL	Refine
EMPTY_SLOT	Empty
FAST_EQUIP	Equipmentchanger
GUILDSTORAGE_ACTION	Action:
GUILDSTORAGE_ACTION_0	%d: -
GUILDSTORAGE_ACTION_BOTH	%d: Both
GUILDSTORAGE_ACTION_PUT	%d: Put
GUILDSTORAGE_ACTION_TAKE	%d: Take
GUILDSTORAGE_ALL	All
GUILDSTORAGE_CAN_SEE_LOG	LOG (History) observe
GUILDSTORAGE_CAN_USE_PERMISSION_BOARD	USER Storage Management
GUILDSTORAGE_FILTER	FILTER:
GUILDSTORAGE_LOG_BUTTON	Logs
GUILDSTORAGE_LOG_TITLE	Guildstorage Logsystem
GUILDSTORAGE_NEW	Newest at first
GUILDSTORAGE_OLD	Oldest at first
GUILDSTORAGE_OPTIONS_BUTTON	Options
GUILDSTORAGE_PAGE_01	1. Guildstoragepage
GUILDSTORAGE_PAGE_02	2. Guildstoragepage
GUILDSTORAGE_PAGE_03	3. Guildstoragepage
GUILDSTORAGE_PAGE_04	4. Guildstoragepage
GUILDSTORAGE_PAGE_05	5. Guildstoragepage
GUILDSTORAGE_PAGE_06	6. Guildstoragepage
GUILDSTORAGE_PAGE_07	7. Guildstoragepage
GUILDSTORAGE_PAGE_08	8. Guildstoragepage
GUILDSTORAGE_PAGE_09	9. Guildstoragepage
GUILDSTORAGE_PAGE_10	10. Guildstoragepage
GUILDSTORAGE_PAGE_BIG1	[PAGE 
GUILDSTORAGE_PAGE_BIG2	]:
GUILDSTORAGE_PERMISSION_PAGE	Page 
GUILDSTORAGE_PERMISSION_TITLE	Guildstorage Permission Management
GUILDSTORAGE_PERMISSION_TITLE1	Management for every Storagepage: 
GUILDSTORAGE_PERMISSION_TITLE2	Guildstorage Management for every User: 
GUILDSTORAGE_PERMISSION_TITLE3	Global Permission Management: 
GUILDSTORAGE_PERMISSION_TITLE4	Overview - Permission for Storagepages: 
GUILDSTORAGE_PUT	Put in
GUILDSTORAGE_PUT_BIG	PUT IN
GUILDSTORAGE_PUT_GOLD	Deposit Yang
GUILDSTORAGE_PUT_GOLD_BIG	DEPOSIT
GUILDSTORAGE_TAKE	Take out
GUILDSTORAGE_TAKE_BIG	TAKE OFF
GUILDSTORAGE_TAKE_GOLD	Pay off Yang
GUILDSTORAGE_TAKE_GOLD_BIG	PAY OFF
GUILDSTORAGE_TITLE	Guildstorage
GUILDSTORAGE_USER	User:
GUILD_SKILL_HEAL_GSP	Power charge
INVENTORY_PAGE_BUTTON_TOOLTIP_5	5th Inventory
INVENTORY_SEPARATE	Sistema Inventario
LANGUAGE	Select language
MAINTENANCE_LEFT_TIME	Maintenance in {} for {}
MESSENGER_ADD_BLOCK	Block Player
OPTION_ACCE	Sash
OPTION_ACCE_DESC	With this option you can hide the sashes.
OPTION_ACCE_VIEW_OFF	Off
OPTION_ACCE_VIEW_ON	On
OPTION_ALWAYS_SHOW_NAME_DESC	With this option you can hide the names.
OPTION_BLOCK_DESC	With this option you can block any activities.
OPTION_COLLECT_EQUIP	Equipment
OPTION_COLLECT_EQUIP_DESC	With this option you can change the equipment-pick-up.
OPTION_COLLECT_EQUIP_OFF	Leave
OPTION_COLLECT_EQUIP_ON	Pickup
OPTION_COLLECT_EQUIP_USEABLE	Useable
OPTION_COSTUME	Costume
OPTION_COSTUME_DESC	With this option you can hide your costumes.
OPTION_COSTUME_VIEW_APPLY	Apply
OPTION_COSTUME_VIEW_OFF	Off
OPTION_COSTUME_VIEW_ON	On
OPTION_COUNTRY_FLAGS	Country Flags
OPTION_COUNTRY_FLAGS_DESC	With this option you can hide the flags.
OPTION_COUNTRY_FLAGS_OFF	Off
OPTION_COUNTRY_FLAGS_ON	On
OPTION_DISPLAYED_AROUND	Shoprange
OPTION_DISPLAYED_AROUND_DESC	With this option you can change the shoprange.
OPTION_EFFECT_DESC	With this option you can hide the hit-information.
OPTION_EMOJI	Emoticon
OPTION_EMOJI_DESC	With this option you can hide the emonjis.
OPTION_EMOJI_OFF	Off
OPTION_EMOJI_ON	On
OPTION_ITEM_HIGHLIGHT	Mark Object
OPTION_ITEM_HIGHLIGHT_DESC	With this option you can hide the highlight-effect.
OPTION_ITEM_HIGHLIGHT_OFF	Off
OPTION_ITEM_HIGHLIGHT_ON	On
OPTION_MOB_INFO_DESC	With this option you can hide the monster-level and monster-aggressiveness.
OPTION_NAME_COLOR_DESC	With this option you can change your kingdom color.
OPTION_PVPMODE_DESC	With this option you can change your playermode.
OPTION_SALESTEXT_DESC	With this option you can hide the shopnames.
OPTION_SHADOW	Shadow
OPTION_SHOW_COMPANIONS	Hide NPCs
OPTION_SHOW_COMPANIONS_DESC	With this option you can hide the Pets/Mounts/shops.
OPTION_SHOW_COMPANIONS_MOUNTS	Mounts
OPTION_SHOW_COMPANIONS_PETS	Pets
OPTION_SHOW_NEW_SHOPS	New Shops
OPTION_SHOW_NPC_SHOPS	Shops
OPTION_SHOW_SHOPS	Shops
OPTION_SKILL_STYLE	Skills
OPTION_SKILL_STYLE_OFF	Old
OPTION_SKILL_STYLE_ON	New S.
OPTION_SPECULAR	Effects
OPTION_SPECULAR_DESC	With this option you can hide a lot of effects. Attention: Player-Effects are not included.
OPTION_SPECULAR_NPC	Gleam
OPTION_SPECULAR_NPC_DESC	With this option you can hide the gleam from Pets, Mounts, NPC's and monsters.
OPTION_SPECULAR_NPC_VIEW_OFF	Off
OPTION_SPECULAR_NPC_VIEW_ON	On
OPTION_SPECULAR_VIEW_OFF	Off
OPTION_SPECULAR_VIEW_ON	On
OPTION_TARGET_BOARD_DESC	With this option you can hide the target-menu.
OPTION_VIEW_CHAT_DESC	With this option you can hide the chat.
OPTION_YANG_SHOW	Yangdisplay
OPTION_YANG_SHOW_DESC	With this option you can hide the yangdisplay.
OPTION_YANG_SHOW_OFF	Off
OPTION_YANG_SHOW_ON	On
PRIVATE_SHOP_EDIT_CLOSE	close
PRIVATE_SHOP_EDIT_OPEN	open
PRIVATE_SHOP_EDIT_SEARCH	search
PRIVATE_SHOP_EDIT_TITLE	Edit your shop
PRIVATE_SHOP_EMPTY	Nessun Negozio Aperto.
PRIVATE_SHOP_LEFT_TIME	{} Tempo
PRIVATE_SHOP_LEFT_PREMIUM_TIME	{} Premium Tempo
PRIVATE_SHOP_TIME	Negozio Offline Tempo
PRIVATE_SHOP_CREATE_BUTTON	Crea un Negozio
PRIVATE_SHOP_WARP_BUTTON	To Shop
PRIVATE_SHOP_EARNED_GOLD	Yang Guadagnati
PRIVATE_SHOP_WITHDRAW	Preleva
PRIVATE_SHOP_LOCATION	Location
QUEST_CATEGORY_00	main task
QUEST_CATEGORY_01	second task
QUEST_CATEGORY_02	Biologist quests
QUEST_CATEGORY_03	Hunting quests
QUEST_CATEGORY_04	Warning
QUEST_CATEGORY_05	Events
QUEST_CATEGORY_06	Systemquests
SELECT_YES_GUILD	Guildname : %s
SENTRY_CODE_CANCEL	Cancel
SENTRY_CODE_SEND	Send
SENTRY_DESC_FIRSTLINE	It looks like it's been a while since you last logged into your account from
SENTRY_DESC_SECONDLINE	this computer! To verify it's really you, please enter below the code we've
SENTRY_DESC_THIRDLINE	sent to your email address. You'll only have to do this once.
SPECIAL_SETTINGS	Special Settings
STANDARD_SETTINGS	Standard Settings
SWITCHBOT_ABORT_DUE_ITEM_CHANGE	The changing of the item bonus was aborted tue to a item change.7
SWITCHBOT_ALREADY_REGISTRED	This item is already registered in another switch window
SWITCHBOT_ALREADY_SWITCHING	You are already switching this item
SWITCHBOT_ALTERNATE	ALTERNATE
SWITCHBOT_ATTR_NONE	: no Attribute
SWITCHBOT_ATTR_SET	Set Attribute
SWITCHBOT_ATTR_STRENGHT	Attribut Value
SWITCHBOT_BONUS	Bonus 
SWITCHBOT_CHOOSE_ATTR	Choose Attribute
SWITCHBOT_CHOSEN_ITEM	Choosen Item
SWITCHBOT_CLEAR_ITEM	Clear the current switchbot instance
SWITCHBOT_CLOSE	Close Switchbot
SWITCHBOT_INFO_STOP_BOT_FIRST	You need to stop switching first.
SWITCHBOT_INVALID_ATTR	You did not select a bonus or the bonus is invalid
SWITCHBOT_MAX_ATTR	The maximum value for the attribute is 
SWITCHBOT_MIN_ATTR_1	The minimum value for a bonus is 1
SWITCHBOT_MUST_BE_EQ	The item must be a switchable piece of equipment.
SWITCHBOT_NORMAL	NORMAL
SWITCHBOT_NOT_ENOUGH_SWITCHER	You do not have enough bonus changers
SWITCHBOT_NOT_SET_ATTR	You did not set any attribute
SWITCHBOT_NO_BONUS	no Attribute
SWITCHBOT_START	Start Switchbot
SWITCHBOT_STOP	Stop Switchbot
SWITCHBOT_SWITCH_ALTERNATE	Switch to the alternate page
SWITCHBOT_SWITCH_NORMAL	Switch to normal page
SWITCHBOT_TITLE	Switchbot
SWITCH_CHANNEL	Scegli il Canale
SYSTEM_SWITCH_CHANNEL	Interruttore Canale
SYSTEM_UNSTUCK	Debug Character from Wall
TASKBAR_SHOP	Shop
PIN_TITLE	PIN
PIN_INPUT_DESCRIPTION	Il tuo account è protetto da un PIN confermalo.
PIN_SET_INPUT_DESCRIPTION	Imposta un PIN per proteggere il tuo account.
LOGIN_INTERFAE_TITLE_BOARD	Login
SAVE_EMPTY	Slot libero
LOGIN_INTERFACE_SAVE_EMPTY	Slot libero
LOGIN_INTERFACE_SAVE_SUCCES	Le informazioni sono state salvate
LOGIN_INTERFACE_SAVE_FAIL	Le informazioni non sono state salvate
LOGIN_INTERFACE_SAVE_SLOT_EMPTY	Mi dispiace, devi salvare un account per accedere.
LOGIN_INTERFACE_DELETE_FAIL	Le informazioni non sono state cancellate
LOGIN_INTERFACE_SAVE_BUTTON	Le informazioni non sono state cancellate
LOGIN_INTERFACE_DELETE_BUTTON	Se vuoi fare spazio per un altro account, clicca su questo pulsante.
LOGIN_INTERFACE_LOGIN_SAVE_BUTTON	Clicca per accedere al tuo account o da F1 a F6.
LOGIN_INTERFACE_SELECT_CHANNEL	Seleziona il canale
LOGIN_INTERFACE_SAVED_ACCOUNT	Conti di risparmio
LOGIN_INTERFACE_USERNAME	Nome utente
LOGIN_INTERFACE_PASSWORD	Password
LOGIN_INTERFACE_TEXT_INPUT_ID	Inserisci il tuo nome utente...
LOGIN_INTERFACE_TEXT_INPUT_PASS	Inserisci la tua password.
LOGIN_INTERFACE_PW_LOST	Hai dimenticato la tua password?
LOGIN_INTERFACE_CHANNEL_SELECTED	Canale selezionato:
NAME_CHARACTER	Name
LEVEL_CHARACTER	Level
NO_NAME_DESC	No name
NO_GUILD_DESC	No guild
NO_CLASS_DESC	No class
HELPTEXT1	-
HELPTEXT2	-
HELPTEXT3	-
HELPTEXT4	-
HELPTEXT5	-
HELPTEXT6	-
HELPTEXT7	-
HELPTEXT8	-
HELPTEXT9	-
HELPTEXT10	-
HELPTEXT11	-
HELPTEXT12	-
HELPTEXT13	-
HELPTEXT14	-
HELPTEXT15	-
HELPTEXT16	-
HELPTEXT17	-
HELPTEXT18	-
HELPTEXT19	-
HELPTEXT20	-
HELPTEXT21	-
HELPTEXT22	-
HELPTEXT23	-
HELPTEXT24	-
HELPTEXT25	-
HELPTEXT26	-
HELPTEXT27	-
HELPTEXT28	-
HELPTEXT29	-
HELPTEXT30	-
HELPTEXT31	-
HELPTEXT32	-
HELPTEXT33	-
HELPTEXT34	-
HELPTEXT35	-
HELPTEXT36	-
HELPTEXT37	-
MINI_GAME_FINDM_TITLE	Tri-Monster Memo
ADMIN_MANAGER_BAN_ACCOUNT_SEARCH_BUTTON	Suchen
ADMIN_MANAGER_OBSERVER_STOP_BTN	Stoppen
NEW_OPTIONS_WINDOW_SHOW_CHAT_LINKS_CHECK_BOX	Chatlinks anzeigen
NEW_OPTIONS_WINDOW_PAGE0_LEFTBTN1_NAME	Benutzeroberfläche
ADMIN_MANAGER_ITEM_MAIN_TABLE_IGMITEM	GM-Item
NEW_OPTIONS_WINDOW_WHISPER_TP_OTHER_CHECK_BOX	Andere
NEW_OPTIONS_WINDOW_SHOW_PLAYER_SASHES_CHECK_BOX	Zeige Schulterbänder
NEW_OPTIONS_WINDOW_IGNORE_GUILD_INVITE_CHECK_BOX	Gildeneinladung
ADMIN_MANAGER_BAN_LOG_DATA_TITLE_DATE	Datum
ADMIN_MANAGER_BAN_CHAT_SEARCH_FAIL_TEXT	Der Spieler wurde nicht gefunden.
ADMIN_MANAGER_GENERAL_TABLE_EMPIRE	Reich
ADMIN_MANAGER_OBSERVER_NAVI_TITLE	Seitenwahl
NEW_OPTIONS_WINDOW_PVP_MODE_BIG_LABEL	Modalità di PvP
NEW_OPTIONS_WINDOW_PAGE1_LEFTBTN0_NAME	Anzeige
MINI_BOSS_DUNGEON_TOOTIP_08	My Reward
ADMIN_MANAGER_BAN_ACCOUNT_RESULT_BACK_BUTTON	Zurück
MOVE_CHANNEL_TITLE	Channel wählen
ADMIN_MANAGER_BAN_ACCOUNT_SEARCH_FAIL_TEXT_ACCOUNT	Der Account wurde nicht gefunden.
MINI_BOSS_DUNGEON_TOOTIP_02	Apocalypse for Level 40-80
MINI_BOSS_DUNGEON_TOOTIP_03	Apocalypse for Level 81+
MINI_BOSS_DUNGEON_TOOTIP_01	Dungeon Overview
MINI_BOSS_DUNGEON_TOOTIP_06	My Apocalypse Points
NEW_OPTIONS_WINDOW_SHOW_NPC_SHOPS_CHECK_BOX	Zeige Shops
MINI_BOSS_DUNGEON_TOOTIP_04	Enter
MINI_BOSS_DUNGEON_TOOTIP_05	Time Remaining
ADMIN_MANAGER_GENERAL_SKILL_TITLE	Fertigkeiten
ADMIN_MANAGER_BAN_CHAT_SEARCH_FAIL_BUTTON	OK
ROULETTE_SPECIAL_TITLE	Rewards ({})
NEW_OPTIONS_WINDOW_GENERAL_EFFECTS_LABEL	Generelle Effekte
NEW_OPTIONS_WINDOW_IGNORE_REQUESTS_BIG_LABEL	Anfrage Einstellungen
ADMIN_MANAGER_OBSERVER_STOPPED_TITLE	Gebe einen Spielernamen zum Überwachen ein:
NEW_OPTIONS_WINDOW_SHOW_CHAT_CHECK_BOX	Chat anzeigen
MINI_GAME_BLACK_AND_WHITE_RANK_BUTTON	Rankings
NEW_OPTIONS_WINDOW_VIEW_DIST_FAR	Fern
ADMIN_MANAGER_ITEM_MAIN_TABLE_IPOS	Position
ADMIN_MANAGER_BAN_LOG_DATA_TITLE_REASON	Grund
ADMIN_MANAGER_ITEM_MAIN_TITLE	Items
ADMIN_MANAGER_GENERAL_TABLE_MAP_INDEX	Karte
NEW_OPTIONS_WINDOW_PVP_MODE_FREE_RADIOBTN	Frei
MINI_BOSS_DUNGEON_TITLE_NAME	Name
NEW_OPTIONS_WINDOW_SHOW_NPC_NEW_SHOPS_CHECK_BOX	Zeige Offline Shops
NEW_OPTIONS_WINDOW_GUILD_NOTIFY_CHECK_BOX	Gildenmitglied Online Benachrichtigung
MINI_GAME_BLACK_AND_WHITE_DONATE	Donate
ADMIN_MANAGER_ITEM_MAIN_TABLE_IWINDOW	Fenster
ADMIN_MANAGER_MAPVIEWER_SELECT_TITLE	Kartenwahl
ADMIN_MANAGER_TITLE	GM Panel
ADMIN_MANAGER_OBSERVER_ACCOUNTBAN_TITLE	Account-Sperre
NEW_OPTIONS_WINDOW_IGNORE_FRIEND_ADD_CHECK_BOX	Freundschaftsanfrage
NEW_OPTIONS_WINDOW_IGNORE_PARTY_JOIN_REQ_CHECK_BOX	Gruppenbeitritt
NEW_OPTIONS_WINDOW_OTHER_BIG_LABEL	Andere
ADMIN_MANAGER_MAPVIEWER_PLAYER_OPTION	Spieler anzeigen
