ACCE_ABSORB_COST	Abszorpció ára: {}
DETAILS_TOOLTIP_68	Esély dupla tapasztalati pont szerzésére: Növeli az EXP bónusz esélyét, amikor legyőzöl egy ellenfelet.
DETAILS_TOOLTIP_69	Esély dupla mennyiségű Yang eldobására: Növeli az esélyét, hogy kétszer annyi Yangot kapj.
DETAILS_TOOLTIP_7	Nagyobb sebzést okozol a Rathalos.
DETAILS_TOOLTIP_70	Esély tárgy dobásra: Növeli az esélyét, hogy kétszer annyi tárgyat zsákmányolj.
DETAILS_TOOLTIP_71	Megnöveli támadóértéked.
DETAILS_TOOLTIP_72	Megnöveli védelmi értéked.
DETAILS_TOOLTIP_73	Megnöveli a tapasztalat gyűjtését.
DETAILS_TOOLTIP_74	Tárgydobási esély: Növeli a tárgyak zsákmányolásának esélyét.
DETAILS_TOOLTIP_75	Yang eldobási esély: Növeli az esélyét, hogy több Yangot zsákmányolj.
DETAILS_TOOLTIP_76	Csökkenti a mágikus támadásoktól elszenvedett sebzést.
DETAILS_TOOLTIP_77	Csökkenti az ellenfeled mágia ellenállását.
DETAILS_TOOLTIP_8	Nagyobb sebzést okozol az Gods.
DETAILS_TOOLTIP_9	Nagyobb sebzést okozol az ördögöknek.
DETAILS_TOOLTIP_ATTBONUS_BELL	Harang védelem áttörés: Csökkenti ellenfeled harang védelmét.
DETAILS_TOOLTIP_ATTBONUS_BOW	Nyíl védelem áttörés: Csökkenti ellenfeled nyíl védelmét.
DETAILS_TOOLTIP_ATTBONUS_CLAW	Karom védelem áttörés: Csökkenti ellenfeled karom védelmét.
DETAILS_TOOLTIP_ATTBONUS_DAGGER	Tőr védelem áttörés: Csökkenti ellenfeled tőr védelmét.
DETAILS_TOOLTIP_ATTBONUS_FAN	Legyező védelem áttörés: Csökkenti ellenfeled legyező védelmét.
DETAILS_TOOLTIP_ATTBONUS_SWORD	Kard védelem áttörés: Csökkenti ellenfeled kard védelmét.
DETAILS_TOOLTIP_ATTBONUS_TWOHAND	Kétkezes védelem áttörés: Csökkenti ellenfeled kétkezes védelmét.
DETAILS_TOOLTIP_RESIST_MOUNT_FALL	Esés ellenállás: Csökkenti az esélyét, hogy leess a hátasodról.
DONT_USE_ITEM_WHEN_SHOW_CONFIRM	Nem mozgathatsz tárgyakat, amikor egy kérelem folyamatban van.
DO_NOT_INSERT_UPBRINGING_PET	Az előhívott házikedvenc nem választható ki.
DO_YOU_BUY_ITEM1	Szeretnél {}-t vásárolni {}?
DO_YOU_BUY_ITEM2	Szeretnél {}-t {}x vásárolni {}?
DO_YOU_BUY_ITEM3	Szeretnél vásárolni {}-t {} és {}?
DO_YOU_BUY_ITEM4	Szeretnél vásárolni {}-t {}x {} és {}?
DO_YOU_DROP_MONEY	Szeretnél {} Yangot eldobni?
DO_YOU_SELL_ITEM1	Szeretnél {}-t {} Yangért eladni?
DO_YOU_SELL_ITEM2	Szeretnél {}-t ({} darabot) {} Yangért eladni?
DRAGON_SOUL_CANNOT_REFINE	Ezt a Sárkánykövet nem lehet finomítani.
DRAGON_SOUL_CANNOT_REFINE_MORE	Ez a Sárkánykő már elérte a legmagasabb szintet.
DRAGON_SOUL_EQUIP_WARNING1	Nehéz eltávolítani a Sárkánykövet, ha már egyszer csatolva lett.
DRAGON_SOUL_EQUIP_WARNING2	Még mindig folytatni szeretnéd?
DRAGON_SOUL_EXPIRED	Lejárt Sárkánykő
DRAGON_SOUL_INVALID_DRAGON_SOUL	Itt a rossz Sárkánykő.
DRAGON_SOUL_IS_NOT_DRAGON_SOUL	Ez nem Sárkánykő.
DRAGON_SOUL_NOT_DRAGON_SOUL_REFINE_STONE	Ez nem a megfelelő Sárkánykő.
DRAGON_SOUL_NOT_ENOUGH_MATERIAL	Nincs elegendő anyagod a nemesítéshez.
DRAGON_SOUL_NOT_MATCHED_SLOT	A Sárkánykő nem illik ebbe a foglalatba.
DRAGON_SOUL_STEP_LEVEL1	Tisztaság: matt,
DRAGON_SOUL_STEP_LEVEL2	Tisztaság: tiszta,
DRAGON_SOUL_STEP_LEVEL3	Tisztaság: hibátlan,
DRAGON_SOUL_STEP_LEVEL4	Tisztaság: ragyogó,
DRAGON_SOUL_STEP_LEVEL5	Tisztaság: kiváló,
DRAGON_SOUL_STRENGTH	Szint: +{}
DRAGON_SOUL_UNEQUIP_WARNING1	A Sárkánykő megsemmisülhet az eljárás során.
DRAGON_SOUL_UNEQUIP_WARNING2	Még mindig folytatni szeretnéd?
DRAGON_SOUL_UNMATCHED_SLOT	Az rossz foglalat.
DRAGON_SOUL_UNQUALIFIED	Még nem használhatsz Sárkánykő-alkímiát.
DROP_ITEM_FAILURE_EQUIP_ITEM	Nem dobhatsz el egy felszerelt tárgyat.
DROP_ITEM_FAILURE_PRIVATE_SHOP	Nem dobhatsz el tárgyat, amíg a magán boltot nyitva van.
DROP_MONEY_FAILURE_1000_OVER	Maximum 999 Yangot dobhatsz el.
EMOTION_ALCOHOL	Egészségedre!
EMOTION_ANGRY	Mérges
EMOTION_ATTRACTIVE	Csábítás
EMOTION_BANTER	Gúnyos
EMOTION_BUSY	Stressz
EMOTION_CALL	Hívás
EMOTION_CELEBRATION	Parti
EMOTION_CHARGING	Töltés
EMOTION_CHEERS_1	Ünnepel 1
EMOTION_CHEERS_2	Ünnepel 2
EMOTION_CHEERUP	Ünnepel
EMOTION_CHOOSE_ONE	Válassz célt
EMOTION_CLAP	Taps
EMOTION_CLAP_KISS	Csók
EMOTION_CONGRATULATION	Gratuláció
EMOTION_DANCE_1	Tánc 1
EMOTION_DANCE_2	Tánc 2
EMOTION_DANCE_3	Tánc 3
EMOTION_DANCE_4	Tánc 4
EMOTION_DANCE_5	Tánc 5
EMOTION_DANCE_6	Gungnam Style
EMOTION_DANCE_7	Szamba
EMOTION_DOZE	Elbóbiskol
EMOTION_EXERCISE	Bemelegítés
EMOTION_FORGIVE	Megbocsátás
EMOTION_FRENCH_KISS	Nyelves csók
EMOTION_HUNGRY	Éhes
EMOTION_JOY	Öröm
EMOTION_LETTER	Szerelmes levél
EMOTION_NOSAY	Szóhoz sem jut
EMOTION_PUSH_UP	Fekvőtámasz
EMOTION_SAD	Szomorú
EMOTION_SELFIE	Szelfi
EMOTION_SHY	Elutasítás
EMOTION_SIREN	Sziréna
EMOTION_SLAP	Ütés
EMOTION_WEATHER_1	Napsugár
EMOTION_WEATHER_2	Szivárvány
EMOTION_WEATHER_3	Hold
EMOTION_WHIRL	Zavarodott
EMPIRE_A	Shinsoo birodalom
EMPIRE_B	Chunjo birodalom
EMPIRE_C	Jinno birodalom
EMPIRE_SELECT_MODE	Birodalom-választás
EXCHANGE_CANNOT_GIVE	Ezzel a tárggyal nem lehet kereskedni.
EXCHANGE_CANT_EDIT_MONEY	Most nem változtathatod meg az összeget.
EXCHANGE_FAILURE_EQUIP_ITEM	Felszerelt tárgyakat nem cserélhetsz el.
EXCHANGE_MONEY	Összeg
EXCHANGE_TITLE	Kereskedés vele: {} ({})
EXINVEN_USE_ITEM_FAIL_FALL_SHORT	Még mindig szükséges {} Leltár bővítő.
EXINVEN_USE_ITEM_FAIL_FOURTH_PAGE_STAGE_MAX	Leltárad elérte a bővítések maximális számát.
EXINVEN_USE_ITEM_QUESTION	Akarod bővíteni a leltárad a {} Leltár bővítés használatával?
FISHING_FAILURE	Elveszítetted a csalit.
FISHING_NOTIFY1	Úgy tűnik a {} ráharapott.
FISHING_NOTIFY2	Úgy tűnik, megfogtál egy {}-t.
FISHING_SUCCESS1	{}-t fogtál!
FISHING_SUCCESS2	{}-t húztál ki a vízből!
FISHING_UNKNOWN	Valami elvette a csalit, de nem tudom, mi ez.
FISHING_WRONG_PLACE	Itt nem tudsz horgászni.
FLOWER_EVENT_USE_ITEM_TEXT1	Szeretnéd lecserélni az aktív hatást?
FLOWER_EVENT_USE_ITEM_TEXT2	A próbálkozás lehet sikertelen, és ekkor a virág elhervad.
FOR_FEMALE	Hölgyeknek
FOR_MALE	Uraknak
GAME_CANNOT_MINING	Nem tudsz érceket bányászni, amíg lovagolsz.
GAME_CANNOT_PICK_ITEM	Nem gyűjtheted be a tárgyat, mert nem te zsákmányoltad.
GAME_GUILDWAR_NOW_JOIN	Csatlakozni akarsz a céhháborúhoz?
GAME_INIT_ERROR_CURSOR	Az egér kurzor nem hozható létre.
GAME_INIT_ERROR_DIRECTX	A játékhoz szükséges a DirectX 8.1 installálása.\nInstalláld a DirectX 8.1-at vagy újabb verzióját.
GAME_INIT_ERROR_GRAPHICS_BAD_PERFORMANCE	Nem talált videokártyát a játék indításához.\nEllenőrizd, hogy jól van-e installálva a VGA-kártya.
GAME_INIT_ERROR_GRAPHICS_NOT_EXIST	Grafikus eszköz nem hozható létre. \nEllenőrizd, hogy van-e VGA kártyád. \nEsetleg aktiválhatod a hardver gyorsítót.\n(Állítsd a hardver gyorsítót a maximura \nRendszer eszközök->Képernyő->Beállítások->Haladó->Hibaelhárítás)
GAME_INIT_ERROR_GRAPHICS_NOT_SUPPORT_32BIT	A video kártya nem támogatja az ablak kezelést 32bites üzemmódban.\nVálts 16bites üzemmódra vagy használd a teljes képernyő módot.
GAME_INIT_ERROR_ITEM_PROTO	Nincsenek adatok a tárgyakról.\nInstalláld újra a játékot.
GAME_INIT_ERROR_MAIN_WINDOW	Nem nyitható meg a főablak.
GAME_INIT_ERROR_MOB_PROTO	Nincsenek adatok a szörnyekről.\nInstalláld újra a játékot.
GAME_INIT_ERROR_NETWORK	A hálózati eszköz nem indítható.\nEllenőrizd az internet kapcsolatot.
GAME_PICK_MONEY	{} kaptál.
GEM_SYSTEM_ADD_SLOT	Szükséges tárgy: {}.\nSzeretnél felhasználni {} ilyet egy további hely feloldásához?
GEM_SYSTEM_BUY_ITEM	Szeretnéd megvásárolni ezt a tárgyat?
GEM_SYSTEM_NAME	Gaya
GEM_SYSTEM_NOT_ENOUGHT_REFRESHITEM	[Gaya] Nincs nálad elég Gaya piac frissítő.
GEM_SYSTEM_NOT_ENOUGH_HP_GEM	[Gaya] Nincs nálad elég Gaya.
GEM_SYSTEM_NO_MORE_ADDSLOT	[Gaya] Nem oldható fel több hely.
GEM_SYSTEM_OPEN_GEMSHOP	[Gaya] Előbb nyisd meg a Gaya piacot.
GEM_SYSTEM_PICK_GEM	[Gaya] Gaya mennyisége: {}
GEM_SYSTEM_REFRESH_SHOP_ITEMS	Szeretnéd frissíteni a piacot?
GIVEUP_QUESTION	Biztosan fel akarod adni?
GUILDBANK_CLEARBANK	Figyelem: A Céhraktárat ki kell üríteni!
GUILDBANK_DONT_MONEY_OUT	Nincs Yangod a céhbankban!
GUILDBANK_GOLD_IN	Betét
GUILDBANK_GOLD_OUT	Kivét
GUILDBANK_ITEM_IN	Tárol
GUILDBANK_ITEM_OUT	Eltávolít
GUILDBANK_MONEYIN	Yang betét
GUILDBANK_MONEYOUT	Yang kivét
GUILDBANK_NOTUSE	Nincs meg a szükséges jogosultságod.
GUILDBANK_NOT_ENOUGH_MONEY	Nincs elég Yangod a befizetéshez.
GUILDBANK_OVER_INCOME	Számlakorlát elérve.
GUILDBANK_OVER_MONEY	A céhszámla megtelt.
GUILDLAND_ABANDON	Céhterület elhagyása
GUILDLAND_ABANDON_VOTE	[{}] Céh területének elhagyása.
GUILDLAND_ABANDON_VOTE_RESULT1	[{}] Céh területe elhagyva.
GUILDLAND_ABANDON_VOTE_RESULT2	A céhterület el lett hagyva.
GUILDLAND_ABANDON_VOTE_RESULT3	Szavazás eredménye:
GUILDLAND_ABANDON_VOTE_RESULT4	Érvénytelen szavazás.
GUILDLAND_ABANDON_VOTE_TEXT	Tényleg el akarod indítani a szavazást?
GUILDLAND_ABANDON_VOTE_TEXT1	Egyetértesz a céhterület elhagyásával?
GUILDLAND_ACCEPT	Igen
GUILDLAND_DEAL	Céhterület eladása
GUILDLAND_DEAL_TEXT1	[{}] Céh el akarja adni
GUILDLAND_DEAL_TEXT2	a területét [{}] Yangért.
GUILDLAND_DEAL_TEXT3	Elfogadod az ajánlatot?
GUILDLAND_DELA_VOTE	A(z) [{}] céh meg akarja venni a céhterületünket.
GUILDLAND_DELA_VOTE_RESULT1	Céhterület eladva [{}] céhnek
GUILDLAND_DELA_VOTE_RESULT2	Befejeződött a szavazás.
GUILDLAND_DELA_VOTE_RESULT3	Céhterület eladásáért történő szavazás eredménye:
GUILDLAND_DELA_VOTE_RESULT4	Érvénytelen szavazás.
GUILDLAND_DELA_VOTE_TEXT	Melyik céhnek akarod eladni a területed?
GUILDLAND_DELA_VOTE_TEXT1	Egyetértesz a céhterület eladásával?
GUILDLAND_DONTHAVE_LAND	Nincs semmilyen céhterületed.
GUILDLAND_NOT	Nem
GUILDLAND_VOTE_TEXT	Oda akarod adni neki: [{}] a területet?
GUILDLIST_APPLICANT	Szeretnél jelentkezni?
GUILDMARK_UPLOADER_ERROR_128_HEIGHT	A magasság nem 128 pixel.
GUILDMARK_UPLOADER_ERROR_12_HEIGHT	A magasság nem 12 pixel
GUILDMARK_UPLOADER_ERROR_16_WIDTH	A szélesség nem 16 pixel
GUILDMARK_UPLOADER_ERROR_64_WIDTH	A szélesség nem 64 pixel
GUILDMARK_UPLOADER_ERROR_FILE_FORMAT	A játék nem támogatja ezt a képernyőt.
GUILDMARK_UPLOADER_ERROR_PATH	Helyezd át a fájlokat a metin2/upload könyvtárba.
GUILDMARK_UPLOADER_ERROR_SELECT	Nincsenek kép fájlok kiválasztva.
GUILDVOTE_CHANGEMASTER	Céhvezér-váltás
GUILDVOTE_CHANGEMASTER_RESULT1	A céh sikeresen át lett adva.
GUILDVOTE_CHANGEMASTER_RESULT2	A(z) [{}] céh sikeresen át lett adva.
GUILDVOTE_CHANGEMASTER_RESULT3	Céh átadása [{}] tagnak
GUILDVOTE_CHANGEMASTER_RESULT4	Érvénytelen szavazás.
GUILDVOTE_CHANGEMASTER_RESULT5	Új céhvezér: [{}]
GUILDVOTE_CHANGEMASTER_TEXT1	Át akarod adni a céhet neki: [{}]?
GUILDVOTE_CHANGEMASTER_TEXT2	
GUILDVOTE_CHANGEMASTER_TEXT3	Tényleg fel akarod adni a céh vezetését?
GUILDVOTE_CHANGEMASTER_TEXT4	
GUILDVOTE_CHANGEMASTER_VOTETEXT1	Céh átadása [{}] tagnak
GUILDVOTE_CHANGEMASTER_VOTETEXT2	Egyetértesz a céh vezetésének átadásával?
GUILDVOTE_MEMBEROUT	Tag eltávolítása
GUILDVOTE_MEMBEROUT_AUTH	Nincs meg a szükséges jogosultságod.
GUILDVOTE_MEMBEROUT_NOMAL	Tényleg el akarod távolítani ezt a tagot?
GUILDVOTE_MEMBEROUT_RESULT1	Tag eltávolítása: [{}]
GUILDVOTE_MEMBEROUT_RESULT2	Szavazás eredménye
GUILDVOTE_MEMBEROUT_RESULT3	El lettél távolítva a(z) [{}] céhből.
GUILDVOTE_MEMBEROUT_RESULT4	Szavazás eredménye
GUILDVOTE_MEMBEROUT_RESULT5	Érvénytelen szavazás.
GUILDVOTE_MEMBEROUT_TEXT1	Szavazást akarsz indítani [{}] ellen?
GUILDVOTE_MEMBEROUT_TEXT2	Szavazás: Tag eltávolítása a céhből?
GUILDVOTE_MEMBEROUT_VOTETEXT1	Szavazás: El kell távolítani [{}]-t a céhből?
GUILDVOTE_MEMBEROUT_VOTETEXT2	
GUILDVOTE_NO	Ellene
GUILDVOTE_OK	Érte
GUILDVOTE_RESULT_AGGRE_MEMBER	Érte: {}
GUILDVOTE_RESULT_ALL_MEMBER	Résztvevők: {}
GUILDVOTE_RESULT_OPPESE_MEMBER	Ellene: {}
GUILDVOTE_RESULT_TIME	{} nap {} óra {} perc {} másodperc
GUILDVOTE_SELECT_ONE	Válassz egy karaktert!
GUILDWAR_ALL	Csaták (Cs)
GUILDWAR_CTF_TITLE	Kapd el a zászlót
GUILDWAR_DRAW	Döntetlenek (D)
GUILDWAR_GAINSCORE_FIFTY	50 pont
GUILDWAR_GAINSCORE_HUNDRED	100 pont
GUILDWAR_GAINSCORE_THIRTY	30 pont
GUILDWAR_GAMETIME_SIXTY	60 perc
GUILDWAR_GAMETIME_TEN	10 perc
GUILDWAR_GAMETIME_THIRTY	30 perc
GUILDWAR_INPUT_OTHERGUILD	Add meg az ellenfél céhet!
GUILDWAR_LADDER	Rangpontok
GUILDWAR_LIMIT_MEMBER_FIVE	Minimum 5 résztvevő.
GUILDWAR_LOSE	Vereségek (V)
GUILDWAR_NORMAL_TITLE	Mezei harc
GUILDWAR_OVER_MEMBERCOUNT	Elérted a tagi létszámkorlátot.
GUILDWAR_QUESTION_LINE_1	A {} céh hadat üzent a céhednek.
GUILDWAR_QUESTION_LINE_2	elfogadod? ({})
GUILDWAR_RANKING	Helyezés
GUILDWAR_RECODE_ALL	{} Cs, {} Gy, {} V, {} D
GUILDWAR_SELECT_MEMBER_COUNT	Válaszd ki a résztvevők számát!
GUILDWAR_TYPE_DEFENSE	Pajzs-harc
GUILDWAR_TYPE_TIGER	Megsemmisítés
GUILDWAR_TYPE_TIME	Támadás időre
GUILDWAR_UNKNOWN_TITLE	...
GUILDWAR_WARP_TITLE	Aréna harc
GUILDWAR_WIN	Győzelmek (Gy)
GUILDWAR_WIN_FIVE	5 menet
GUILDWAR_WIN_ONE	1 menet
GUILDWAR_WIN_THREE	3 menet
GUILDWINDOW_BUTTON_BANKGOLDINFO	Céhraktár log
GUILDWINDOW_BUTTON_BASEABANDON	Céhterület elhagyása
GUILDWINDOW_BUTTON_BASEDEAL	Céhterület eladása
GUILDWINDOW_BUTTON_BASEDEALVOTE	Szavazás
GUILDWINDOW_BUTTON_BOARD	Céh-üzenetek
GUILDWINDOW_BUTTON_CHANGEMASTER	Céhvezér-váltás
GUILDWINDOW_BUTTON_DECLARE	Hadat üzenni
GUILDWINDOW_BUTTON_GOLDIN	Betét
GUILDWINDOW_BUTTON_GOLDOUT	Kivét
GUILDWINDOW_BUTTON_GRADE	Jogosultságok kezelése
GUILDWINDOW_BUTTON_GUILDLIST	Céhlista
GUILDWINDOW_BUTTON_HEALGSP	Sárkányisten-erő helyreállítása
GUILDWINDOW_BUTTON_INFO	Céh-információ
GUILDWINDOW_BUTTON_LANDINFO	Terület-információ
GUILDWINDOW_BUTTON_MARK	Céhjel feltöltése
GUILDWINDOW_BUTTON_MEMBER	Tag
GUILDWINDOW_BUTTON_OFFER	EXP adományozása
GUILDWINDOW_BUTTON_OUTMEMBER	Tag eltávolítása
GUILDWINDOW_BUTTON_SKILL	Céh-készségek
GUILDWINDOW_BUTTON_SYMBOL	Céhzászló feltöltése
GUILDWINDOW_BUTTON_VOTECHECK	Szavazatok ellenőrzése
GUILDWINDOW_BUY_GUILD_LAND	Földterület vásárlása
GUILDWINDOW_CHANGE_OBJECT	Újjáépítés
GUILDWINDOW_CHANGE_SMELTER	Kohó változtatás
GUILDWINDOW_CREATE_OBJECT	Építés
GUILDWINDOW_DEAL_GUILD_LAND	Földterület eladása
GUILDWINDOW_GRADE_BANK	Használhatja a céhbankot és -raktárt
GUILDWINDOW_GRADE_DRIVEOUTAUTHORITY	Eltávolíthat tagot a céhből
GUILDWINDOW_GRADE_GRADENAME	Rangnév
GUILDWINDOW_GRADE_GRADENUMBER	Rangszám
GUILDWINDOW_GRADE_GUILDWAR	Kiválaszthat tagokat bajtársaknak
GUILDWINDOW_GRADE_INVITEAUTHORITY	Felvehet játékost a céhbe
GUILDWINDOW_GRADE_NOTICEAUTHORITY	Írhat céhüzenetet
GUILDWINDOW_GRADE_SKILLAUTHORITY	Használhatja a céh-készségeket
GUILDWINDOW_INFO_LEVEL10	Megnövelt max. tagszám
GUILDWINDOW_INFO_LEVEL15	Ár csökk.: Sárkányisten-erő
GUILDWINDOW_INFO_LEVEL20	Bank: Adómentesség
GUILDWINDOW_INFO_LEVEL5	+5% EXP a céhadományokhoz
GUILDWINDOW_LIST_ALL	Minden birodalom
GUILDWINDOW_LIST_ALREADY_REGISTER	[Céh] Már jelentkeztél.
GUILDWINDOW_LIST_APPLICANT_LIST	Jelentkezők listája
GUILDWINDOW_LIST_CHRACTER_JOB	Osztály
GUILDWINDOW_LIST_CHRACTER_LV	Szint
GUILDWINDOW_LIST_CHRACTER_NAME	Karakternév
GUILDWINDOW_LIST_CHRACTER_SUB_JOB	Alosztály
GUILDWINDOW_LIST_EMPIRE_A	Shinsoo
GUILDWINDOW_LIST_EMPIRE_B	Chunjo
GUILDWINDOW_LIST_EMPIRE_C	Jinno
GUILDWINDOW_LIST_GUILDMEMBER	Tag
GUILDWINDOW_LIST_GUILD_LIST	Céhlista
GUILDWINDOW_LIST_GUILD_LV	Szint
GUILDWINDOW_LIST_GUILD_NAME	Céh
GUILDWINDOW_LIST_INPUT_GUILDNAME	[Céh] Adj meg egy céhnevet!
GUILDWINDOW_LIST_LADDER	Rangpontok
GUILDWINDOW_LIST_NOTPROMOTEGUILD	[Céh] Ez a céh nem hirdet.
GUILDWINDOW_LIST_PROMOTE_GUILD	Jelentkezés
GUILDWINDOW_LIST_PROMOTE_GUILD_LIST	Céhlista
GUILDWINDOW_LIST_RANKING	Pozíció
GUILDWINDOW_LIST_RANKING_COUNT	Pozíció
GUILDWINDOW_LIST_REGISTER	Jelentkezések
GUILDWINDOW_LIST_REGISTER_GUILD	Jelentkezés céhbe
GUILDWINDOW_LIST_SEARCH	Keresés
GUILDWINDOW_LIST_SELECT_GUILD	[Céh] Válassz céhet, ahova jelentkezel!
GUILDWINDOW_PROMOTE_REFRESH	Hirdetés
GUILDWINDOW_PROMOTE_REGISTER	Hirdetés
GUILDWINDOW_SP_RECOVER	Sárkányisten-erő
GUILDWINDOW_UPGRADE_ALTEROFPOWER	Oltár fejlesztése
GUILDWINDOW_UPGRADE_GUILDBANK	Bank fejlesztése
GUILD_BANKINFO_CLOSE	Bezár
GUILD_BANKINFO_NAME	Tag
GUILD_BANKINFO_TYPE	Tárgy/Fizetőeszköz
GUILD_BANKINFO_USETYPE	Akció
GUILD_BANK_CLOSE	Bezár
GUILD_BANK_INFO	Céhraktár log
GUILD_BOARD_ID	Tag
GUILD_BOARD_TEXT	Üzenet
GUILD_BUILDING_FIX_CHANGE	Biztosan meg akarod változtatni a pozíciót?
GUILD_BUILDING_FIX_CHANGE_GOLD	Ára: 1.000.000 Yang
GUILD_BUILDING_FIX_DELETE	Biztosan törölni akarod a tárgyat?
GUILD_BUILDING_FIX_NEED_BUILDING	Nincs jelen épület.
GUILD_BUILDING_GRADE	Rang
GUILD_BUILDING_NAME	Épület név
GUILD_CANNOT_HEAL_GSP_ANYMORE	A Sárkányszellem-energia már teljesen fel lett töltve.
GUILD_COMMENT	Írni
GUILD_CREATE_ERROR_INSULT_NAME	Nem érvényes céh név.
GUILD_DEFAULT_GRADE	Céh tagok
GUILD_DELETE	Töröl
GUILD_DEPOSIT	Letétbe helyez
GUILD_DO_YOU_HEAL_GSP	Szeretnél {} Yangot felhasználni {} egység Sárkányszellem visszaállítására?
GUILD_DO_YOU_JOIN	 meghívott. Csatlakozni akarsz a céhhez?
GUILD_DRAGONLAIR_MIN	min.
GUILD_DRAGONLAIR_PARTY_ALL	Összesített rangsor
GUILD_DRAGONLAIR_PARTY_LINE_FOUR	11. hely és alatta: 100 Gaya
GUILD_DRAGONLAIR_PARTY_LINE_HELP	Súgó
GUILD_DRAGONLAIR_PARTY_LINE_ONE	1. hely: 400 Gaya
GUILD_DRAGONLAIR_PARTY_LINE_THREE	4-10. hely: 200 Gaya
GUILD_DRAGONLAIR_PARTY_LINE_TWO	2-3. hely: 300 Gaya
GUILD_DRAGONLAIR_PARTY_MEMBER	Tagok
GUILD_DRAGONLAIR_PARTY_NOW	Heti rangsor
GUILD_DRAGONLAIR_PARTY_PAST	Előző rangsor
GUILD_DRAGONLAIR_PARTY_TIME	Idő
GUILD_DRAGONLAIR_PARTY_TOOLTIP_TITLE	Jutalom
GUILD_DRAGONLAIR_RANKING_FAIL	SIKERTELEN
GUILD_DRAGONLAIR_RANKING_NONE	ÚJ
GUILD_DRAGONLAIR_RANKING_SUCCESS	SIKERES
GUILD_DRAGONLAIR_SECOND	mp.
GUILD_EMPTY_AREA	Üres táj.
GUILD_ENEMY_GUILD_NAME	Az ellenség céh neve
GUILD_FACILITY	Melléképület
GUILD_GEM	Drágakő
GUILD_HEADQUARTER	Főépület
GUILD_HEAL_GSP	Sárkányszellem visszaállítás
GUILD_INFO_ENEMY_GUILD_EMPTY	Semennyi
GUILD_MARK_NOT_ENOUGH_LEVEL	Legalább 3-as szint szükséges
GUILD_MARK_UPLOAD_NOTICE	Várj egy kicsit, hogy hozzáadhass céhlogókat.
GUILD_MEMBER_JOB	Osztály
GUILD_MEMBER_KNIGHT	Bajtárs
GUILD_MEMBER_LEVEL	Szint
GUILD_MEMBER_NAME	Tag
GUILD_MEMBER_RANK	Helyezés
GUILD_MEMBER_SPECIFIC_GRAVITY	Beadott EXP
GUILD_NAME	Céh név
GUILD_NOT_ENOUGH_MATERIAL	Nincs elég építőanyag ehhez az épülethez.
GUILD_NOT_ENOUGH_MONEY	Nincs elég Yang ehhez az épülethez.
GUILD_NO_NOTICE_PERMISSION	Nincs jogosultságod bejelentést tenni.
GUILD_OBJECT	Tárgy
GUILD_OFFER_EXP	Tapasztalat befektetés
GUILD_SHORT_EXP	Nincs elég tapasztalat pont.
GUILD_TILE_BASEINFO	Terület-információ
GUILD_TILE_BOARD	Céh-üzenetek
GUILD_TILE_GRADE	Jogok Kezelése
GUILD_TILE_INFO	Céh információ
GUILD_TILE_MEMBER	Tag
GUILD_TILE_SKILL	Céh készség
GUILD_USE_MASTER_ONLY	Ezt csak a céhvezér használhatja.
GUILD_VILLAGE_01	Miryang
GUILD_VILLAGE_02	Songpa
GUILD_VILLAGE_03	Daeyami
GUILD_WAR1	Céhháború terület
GUILD_WAR2	Céhháború terület
GUILD_WAR3	Céhháború terület
GUILD_WAR4	Céhháború terület
GUILD_WAR_GAINSCORE_FIFTY	50 pont
GUILD_WAR_GAINSCORE_HUNDRED	100 pont
GUILD_WAR_GAINSCORE_THIRTY	30 pont
GUILD_WAR_GAMETIME_SIXTY	60 perc
GUILD_WAR_GAMETIME_TEN	10 perc
GUILD_WAR_GAMETIME_THIRTY	30 perc
GUILD_WAR_LIMIT_30MIN	Idő: 30 perc
GUILD_WAR_REWARD_POTION	Jutalom: a győztes italokat kap
GUILD_WAR_SELECT_WAR	Válassz típust
GUILD_WAR_TYPE_DEFENSE	Pajzs-harc
GUILD_WAR_TYPE_DIE	Aréna-harc
GUILD_WAR_TYPE_FLAG	Kapd el a zászlót
GUILD_WAR_TYPE_NORMAL	Mezei harc
GUILD_WAR_TYPE_TIGER	Megsemmisítés
GUILD_WAR_TYPE_TIME	Támadás időre
GUILD_WAR_USE_BATTLE_MAP	Helyszín: Céhháború Aréna
GUILD_WAR_USE_NORMAL_MAP	Helyszín: Normál Térkép
GUILD_WAR_WIN_CHECK_SCORE	Legmagasabb eredmény háborút nyer.
GUILD_WAR_WIN_FIVE	5 menet
GUILD_WAR_WIN_ONE	1 menet
GUILD_WAR_WIN_TAKE_AWAY_FLAG1	Szerezd meg az ellenség zászlaját,
GUILD_WAR_WIN_TAKE_AWAY_FLAG2	és vidd el a bázisodra.
GUILD_WAR_WIN_THREE	3 menet
GUILD_WAR_WIN_WIPE_OUT_GUILD	Győzz le minden ellenséget a győzelemért.
GUILD_WITHDRAW	Visszavonás
GUILD_YOU_DO_NOT_JOIN	Nem tartozol céhhez.
HORSE_HEALTH0	Halott
HORSE_HEALTH1	Éhező
HORSE_HEALTH2	Éhes
HORSE_HEALTH3	Tele
HORSE_LEVEL1	Normál ló
HORSE_LEVEL2	Csataló
HORSE_LEVEL3	Katonai ló
HOUR	Óra
