SWITCHBOT_CHECKBOX1	6/7 einblenden
DETAILS_TOOLTIP_43	Abwehrchance gegen Suraangriffe: Verringert den Schaden, den man durch Sura erleidet.
DETAILS_TOOLTIP_44	Abwehrchance gegen Schamanenangriffe: Verringert den Schaden, den man durch Schamanen erleidet.
DETAILS_TOOLTIP_45	Abwehrchance gegen Lykanerangriffe: Verringert den Schaden, den man durch Lykaner erleidet.
DETAILS_TOOLTIP_46	Verringert den Schaden, der durch ein Schwert verursacht wird.
DETAILS_TOOLTIP_47	Verringert den Schaden, der durch eine Zweihandwaffe verursacht wird.
DETAILS_TOOLTIP_48	Verringert den Schaden, der durch einen Dolch verursacht wird.
DETAILS_TOOLTIP_49	Verringert den Schaden, der durch eine Kralle verursacht wird.
DETAILS_TOOLTIP_5	Stark gegen Monster: Fügt Monstern größeren Schaden zu.
DETAILS_TOOLTIP_50	Verringert den Schaden, der durch eine Glocke/Fächer verursacht wird.
DETAILS_TOOLTIP_51	Verringert den Schaden, der durch einen Fächer verursacht wird.
DETAILS_TOOLTIP_52	Verringert den Schaden, der durch Pfeil und Bogen verursacht wird.
DETAILS_TOOLTIP_53	Steigert die Chance, einen Gegner in Ohnmacht zu versetzen.
DETAILS_TOOLTIP_54	Steigert die Chance, einen Gegner zu verlangsamen.
DETAILS_TOOLTIP_55	Steigert die Chance, einen Gegner zu vergiften.
DETAILS_TOOLTIP_56	Verringert den Schaden, der durch Gift verursacht wird.
DETAILS_TOOLTIP_57	Steigert die Chance, einen Blutungsangriff zu erwirken.
DETAILS_TOOLTIP_58	Widerstand gegen Blutungsangriff: Verringert den Schaden, der durch einen Blutungsangriff verursacht wird.
DETAILS_TOOLTIP_59	Entzieht deinem Gegner TP, wenn du ihn triffst.
DETAILS_TOOLTIP_6	Stark gegen Zodiak-Monster: Fügt Zodiak-Monstern größeren Schaden zu.
DETAILS_TOOLTIP_60	Entzieht deinem Gegner MP, wenn du ihn triffst.
DETAILS_TOOLTIP_61	Beschleunigt die Regeneration deiner Trefferpunkte.
DETAILS_TOOLTIP_62	Beschleunigt die Regeneration deiner Manapunkte.
DETAILS_TOOLTIP_63	Chance, Nahkampfangriff abzublocken: Steigert die Chance, einem Nahkampfangriff auszuweichen.
DETAILS_TOOLTIP_64	Chance, Pfeilangriff auszuweichen: Steigert die Chance, einem Pfeil- oder Fernangriff eines Monsters auszuweichen.
DETAILS_TOOLTIP_65	Chance, Nahkampftreffer zu reflektieren: Ein Teil des Nahkampfschadens wird auf den Gegner zurückgeworfen.
DETAILS_TOOLTIP_66	TP-Wiederherstellung beim Töten: Wenn du einen Gegner tötest, erhöhen sich deine Trefferpunkte.
DETAILS_TOOLTIP_67	MP-Wiederherstellung beim Töten: Wenn du einen Gegner tötest, erhöhen sich deine Manapunkte.
DETAILS_TOOLTIP_68	Chance, doppelte Erfahrung zu bekommen: Steigert die Chance auf einen EXP-Bonus, wenn du deinen Gegner besiegt hast.
DETAILS_TOOLTIP_69	Chance, eine doppelte Menge Yang fallen zu lassen: Steigert deine Chance, die doppelte Menge Yang zu erhalten.
DETAILS_TOOLTIP_7	Stark gegen Rathalos: Fügt Rathalos größeren Schaden zu.
DETAILS_TOOLTIP_70	Chance, Gegenstände fallen zu lassen: Steigert die Chance, Gegenstände doppelt zu erbeuten.
DETAILS_TOOLTIP_71	Erhöht deinen Angriffswert.
DETAILS_TOOLTIP_72	Erhöht deinen Verteidigungswert.
DETAILS_TOOLTIP_73	Erhöht das Sammeln von Erfahrung.
DETAILS_TOOLTIP_74	Dropchance von Gegenständen: Steigert deine Chance, Gegenstände zu erbeuten.
DETAILS_TOOLTIP_75	Dropchance Yang: Steigert deine Chance, mehr Yang zu erbeuten.
DETAILS_TOOLTIP_76	Verringert den Schaden, den du durch einen magischen Angriff erleidest.
DETAILS_TOOLTIP_77	Verringert den Magiewiderstand deines Gegners.
DETAILS_TOOLTIP_78	Stark gegen Kreaturen: Fügt Kreaturen größeren Schaden zu.
DETAILS_TOOLTIP_79	Stark gegen Bosse: Fügt Boss Gegnern größeren Schaden zu.
DETAILS_TOOLTIP_80	Stark gegen Metinsteine: Fügt Metinsteinen größeren Schaden zu.
DETAILS_TOOLTIP_8	Stark gegen Götter: Fügt Götter größeren Schaden zu.
DETAILS_TOOLTIP_9	Stark gegen Teufel: Fügt Teufel größeren Schaden zu.
DETAILS_TOOLTIP_ATTBONUS_BELL	Bruch von Glockenverteidigung: Reduziert die Glockenverteidigung deines Gegners.
DETAILS_TOOLTIP_ATTBONUS_BOW	Bruch von Pfeilverteidigung: Reduziert die Pfeilverteidigung deines Gegners.
DETAILS_TOOLTIP_ATTBONUS_CLAW	Bruch von Krallenverteidigung: Reduziert die Krallenverteidigung deines Gegners.
DETAILS_TOOLTIP_ATTBONUS_DAGGER	Bruch von Dolchverteidigung: Reduziert die Dolchverteidigung deines Gegners.
DETAILS_TOOLTIP_ATTBONUS_FAN	Bruch von Fächerverteidigung: Reduziert die Fächerverteidigung deines Gegners.
DETAILS_TOOLTIP_ATTBONUS_SWORD	Bruch von Schwertverteidigung: Reduziert die Schwertverteidigung deines Gegners.
DETAILS_TOOLTIP_ATTBONUS_TWOHAND	Bruch von Zweihandverteidigung: Reduziert die Zweihandverteidigung deines Gegners.
DETAILS_TOOLTIP_RESIST_MOUNT_FALL	Widerstand gegen Sturz: Verringert die Wahrscheinlichkeit, dass du von deinem Reittier stürzt.
DESTROY	Zerstören
DONT_USE_ITEM_WHEN_SHOW_CONFIRM	Du kannst während einer Abfrage keine Gegenstände bewegen.
DO_YOU_BUY_ITEM1	Möchtest du {} für {} kaufen?
DO_YOU_BUY_ITEM2	Möchtest du {} {}x für {} kaufen?
DO_YOU_BUY_ITEM3	Möchtest du {} für {} kaufen?
DO_YOU_BUY_ITEM4	Möchtest du {} {}x für {} kaufen?
DO_YOU_DESTROY_ITEM	Möchtest du diesen Gegenstand wirklich ZERSTÖREN?
DO_YOU_DROP_MONEY	Möchtest du {} Yang fallen lassen?
DO_YOU_SELL_ITEM1	Möchtest du {} für {} Yang verkaufen?
DO_YOU_SELL_ITEM2	Möchtest du {} ({} Stück) für {} Yang verkaufen?
DRAGON_SOUL_CANNOT_REFINE	Diesen Drachenstein kannst du nicht veredeln.
DRAGON_SOUL_CANNOT_REFINE_MORE	Dieser Drachenstein hat die höchste Stufe bereits erreicht.
DRAGON_SOUL_EQUIP_WARNING1	Du fügst nun einen Drachenstein ein.
DRAGON_SOUL_EQUIP_WARNING2	Bist du dir sicher, dass du ihn einfügen möchtest?
DRAGON_SOUL_EXPIRED	Abgelaufener Drachenstein
DRAGON_SOUL_INVALID_DRAGON_SOUL	Das ist der falsche Drachenstein.
DRAGON_SOUL_IS_NOT_DRAGON_SOUL	Das ist kein Drachenstein.
DRAGON_SOUL_NOT_DRAGON_SOUL_REFINE_STONE	Das ist nicht der richtige Drachenstein.
DRAGON_SOUL_NOT_ENOUGH_MATERIAL	Du hast nicht genug Material zum Veredeln.
DRAGON_SOUL_NOT_MATCHED_SLOT	Der Drachenstein passt nicht in diesen Slot.
DRAGON_SOUL_STEP_LEVEL1	Reinheit: matt,
DRAGON_SOUL_STEP_LEVEL2	Reinheit: klar,
DRAGON_SOUL_STEP_LEVEL3	Reinheit: lupenrein,
DRAGON_SOUL_STEP_LEVEL4	Reinheit: brillant,
DRAGON_SOUL_STEP_LEVEL5	Reinheit: exzellent,
DRAGON_SOUL_STRENGTH	Stufe: +{}
DRAGON_SOUL_UNEQUIP_WARNING1	Der Drachenstein kann beim entfernen nicht zerstört werden.
DRAGON_SOUL_UNEQUIP_WARNING2	Möchtest du ihn entfernen?
DRAGON_SOUL_UNMATCHED_SLOT	Das ist der falsche Slot.
DRAGON_SOUL_UNQUALIFIED	Du kannst die Drachensteinalchemie noch nicht anwenden.
DROP_ITEM_FAILURE_EQUIP_ITEM	Du kannst keine ausgerüsteten Gegenstände fallen lassen.
DROP_ITEM_FAILURE_PRIVATE_SHOP	Du kannst keine Gegenstände fallen lassen, solange du einen privaten Laden geöffnet hast.
DROP_MONEY_FAILURE_1000_OVER	Du kannst nur maximal 999 Yang fallen lassen.
EMOTION_ALCOHOL	Prost!
EMOTION_ANGRY	Ärgerlich
EMOTION_ATTRACTIVE	Verführung
EMOTION_BANTER	Spöttisch
EMOTION_BUSY	Stress
EMOTION_CALL	Anruf
EMOTION_CELEBRATION	Party
EMOTION_CHARGING	Akku
EMOTION_CHEERS_1	Jubel 1
EMOTION_CHEERS_2	Jubel 2
EMOTION_CHEERUP	Jubeln
EMOTION_CHOOSE_ONE	Wähle ein Ziel.
EMOTION_CLAP	Applaus
EMOTION_CLAP_KISS	Kuss
EMOTION_CONGRATULATION	Zuspruch
EMOTION_DANCE_1	Tanz 1
EMOTION_DANCE_2	Tanz 2
EMOTION_DANCE_3	Tanz 3
EMOTION_DANCE_4	Tanz 4
EMOTION_DANCE_5	Tanz 5
EMOTION_DANCE_6	Gumsan Style
EMOTION_DANCE_7	Samba
EMOTION_DOZE	Sekundenschlaf
EMOTION_EXERCISE	Aufwärmen
EMOTION_FORGIVE	Vergebung
EMOTION_FRENCH_KISS	Zungenkuss
EMOTION_HUNGRY	Hunger
EMOTION_JOY	Freude
EMOTION_LETTER	Liebesbrief
EMOTION_NOSAY	Sprachlos
EMOTION_PUSH_UP	Liegestütze
EMOTION_SAD	Traurig
EMOTION_SELFIE	Selfie
EMOTION_SHY	Ablehnung
EMOTION_SIREN	Sirene
EMOTION_SLAP	Schlag
EMOTION_WEATHER_1	Sonne
EMOTION_WEATHER_2	Regenbogen
EMOTION_WEATHER_3	Mond
EMOTION_WHIRL	Verwirrung
EMOTION_THROW_MONEY	Reich
EMPIRE_A	Shinsoo-Reich
EMPIRE_B	Chunjo-Reich
EMPIRE_C	Jinno-Reich
EMPIRE_SELECT_MODE	Reich auswählen
EXCHANGE_CANNOT_GIVE	Dieser Gegenstand kann nicht gehandelt werden.
EXCHANGE_CANT_EDIT_MONEY	Du kannst den Betrag jetzt nicht ändern.
EXCHANGE_FAILURE_EQUIP_ITEM	Du kannst ausgerüstete Gegenstände nicht austauschen.
EXCHANGE_MONEY	Betrag
EXCHANGE_TITLE	Mit {} ({}) handeln
EXINVEN_USE_ITEM_FAIL_FALL_SHORT	Du benötigst noch {} Inventarerweiterung(en).
EXINVEN_USE_ITEM_FAIL_FOURTH_PAGE_STAGE_MAX	Dein Inventar hat bereits die maximale Anzahl an Erweiterungen erreicht.
EXINVEN_USE_ITEM_QUESTION	Möchtest du dein Inventar mit {} Inventarerweiterungen vergrößern?
FISHING_FAILURE	Du hast den Fischköder verloren.
FISHING_NOTIFY1	Es sieht aus, als hätte {} angebissen.
FISHING_NOTIFY2	Es sieht aus, als hinge {} am Haken.
FISHING_SUCCESS1	Du hast {} gefangen!
FISHING_SUCCESS2	Du hast {} aus dem Wasser gezogen!
FISHING_UNKNOWN	Etwas hat angebissen, aber du kannst nicht erkennen, was es ist.
FISHING_WRONG_PLACE	Du kannst hier nicht fischen.
FOR_FEMALE	Für Frauen
FOR_MALE	Für Männer
GAME_CANNOT_MINING	Du kannst kein Erz abbauen, während du reitest.
GAME_CANNOT_PICK_ITEM	Du kannst den Gegenstand nicht einsammeln, da er nicht von dir erbeutet wurde.
GAME_GUILDWAR_NOW_JOIN	Möchtest du dem Gildenkrieg beitreten?
GAME_INIT_ERROR_CURSOR	Mauszeiger konnte nicht erstellt werden.
GAME_INIT_ERROR_DIRECTX	DirectX 8.1 muss installiert sein, damit das Spiel ausgeführt werden kann.\r\r\nInstalliere DirectX 8.1 oder höher.
GAME_INIT_ERROR_GRAPHICS_BAD_PERFORMANCE	Kein Grafikgerät für das Ausführen des Spiels gefunden. \r\r\nÜberprüfe, ob deine VGA-Karte korrekt installiert ist.
GAME_INIT_ERROR_GRAPHICS_NOT_EXIST	Grafikgerät konnte nicht erstellt werden.\r\r\nÜberprüfe, ob du über eine VGA-Karte verfügst.\r\r\nAlternativ kannst du die Hardware-Beschleunigung aktivieren.\r\r\n(Setze die Hardware-Beschleunigung auf Maximum \r\r\nSystemsteuerung->Anzeige->Einstellungen->Erweitert->Registerkarte Problembehandlung)
GAME_INIT_ERROR_GRAPHICS_NOT_SUPPORT_32BIT	Die Grafikkarte des PCs unterstützt keinen Fenstermodus im 32bit-Modus.\r\r\nWechsel zum 16bit-Modus oder verwende den Vollbildmodus.
GAME_INIT_ERROR_ITEM_PROTO	Keine Gegenstandsdaten vorhanden.\r\r\nInstalliere das Spiel neu.
GAME_INIT_ERROR_MAIN_WINDOW	Hauptfenster konnte nicht erstellt werden.
GAME_INIT_ERROR_MOB_PROTO	Keine Monsterdaten vorhanden.\r\r\nInstalliere das Spiel neu.
GAME_INIT_ERROR_NETWORK	Netzwerkgerät konnte nicht erstellt werden.\r\r\nÜberprüfe die Internet-Verbindung.
GAME_PICK_MONEY	Du hast {} erhalten.
GAME_PICK_ITEM	Du hast {} ({}) erhalten.
GUILDBANK_CLEARBANK	Achtung: Das Gildenlager muss geleert sein!
GUILDBANK_DONT_MONEY_OUT	Du hast kein Yang in der Gildenbank!
GUILDBANK_GOLD_IN	Einzahlung
GUILDBANK_GOLD_OUT	Auszahlung
GUILDBANK_ITEM_IN	Einlagern
GUILDBANK_ITEM_OUT	Auslagern
GUILDBANK_MONEYIN	Yang einzahlen
GUILDBANK_MONEYOUT	Yang auszahlen
GUILDBANK_NOTUSE	Dir fehlen die Rechte dazu.
GUILDBANK_NOT_ENOUGH_MONEY	Du hast nicht so viel Yang zum Einzahlen.
GUILDBANK_OVER_INCOME	Kontolimit erreicht.
GUILDBANK_OVER_MONEY	Das Gildenkonto ist voll.
GUILDLAND_ABANDON	Gildenland aufgeben
GUILDLAND_ABANDON_VOTE	Gildenland deiner Gilde [{}] aufgeben.
GUILDLAND_ABANDON_VOTE_RESULT1	Gildenland der Gilde [{}] wurde aufgegeben.
GUILDLAND_ABANDON_VOTE_RESULT2	Das Gildenland wurde aufgegeben.
GUILDLAND_ABANDON_VOTE_RESULT3	Ergebnis der Umfrage:
GUILDLAND_ABANDON_VOTE_RESULT4	Umfrage ist ungültig.
GUILDLAND_ABANDON_VOTE_TEXT	Möchtest du die Umfrage wirklich starten?
GUILDLAND_ABANDON_VOTE_TEXT1	Stimmst du dafür, das Gildenland aufzugeben?
GUILDLAND_ACCEPT	Ja
GUILDLAND_DEAL	Gildenland verkaufen
GUILDLAND_DEAL_TEXT1	Gilde [{}] möchte ihr Gildenland
GUILDLAND_DEAL_TEXT2	für [{}] Yang verkaufen.
GUILDLAND_DEAL_TEXT3	Akzeptierst du das Angebot?
GUILDLAND_DELA_VOTE	Die Gilde [{}] möchte unser Gildenland kaufen.
GUILDLAND_DELA_VOTE_RESULT1	Gildenlandverkauf an Gilde [{}]
GUILDLAND_DELA_VOTE_RESULT2	Die Umfrage ist vorbei.
GUILDLAND_DELA_VOTE_RESULT3	Umfrageergebnis für Gildenlandverkauf:
GUILDLAND_DELA_VOTE_RESULT4	Umfrage ist ungültig.
GUILDLAND_DELA_VOTE_TEXT	An welche Gilde möchtest du dein Gildenland verkaufen?
GUILDLAND_DELA_VOTE_TEXT1	Stimmst du dafür, das Gildenland zu verkaufen?
GUILDLAND_DONTHAVE_LAND	Du besitzt kein Gildenland.
GUILDLAND_NOT	Nein
GUILDLAND_VOTE_TEXT	Möchtest du [{}] das Land geben?
GUILDLIST_APPLICANT	Möchtest du dich bewerben?
GUILDMARK_UPLOADER_ERROR_128_HEIGHT	Höhe beträgt nicht 128 Pixel
GUILDMARK_UPLOADER_ERROR_12_HEIGHT	Höhe beträgt nicht 12 Pixel
GUILDMARK_UPLOADER_ERROR_16_WIDTH	Breite beträgt nicht 16 Pixel
GUILDMARK_UPLOADER_ERROR_64_WIDTH	Breite beträgt nicht 64 Pixel
GUILDMARK_UPLOADER_ERROR_FILE_FORMAT	Das Spiel unterstützt dieses Bild nicht.
GUILDMARK_UPLOADER_ERROR_PATH	Verschiebe die Dateien in den Ordner metin2/upload.
GUILDMARK_UPLOADER_ERROR_SELECT	Keine Bilddatei ausgewählt.
GUILDSTORAGE_NEXT_LOG_OPEN_TIME	Du kannst die Logs erst wieder in 30 Sekunden anfordern.
GUILDVOTE_CHANGEMASTER	Gildenleiter wechseln
GUILDVOTE_CHANGEMASTER_RESULT1	Die Gilde wurde erfolgreich übertragen.
GUILDVOTE_CHANGEMASTER_RESULT2	Du hast die Gilde [{}] übertragen bekommen.
GUILDVOTE_CHANGEMASTER_RESULT3	Übertragen der Gilde an Mitglied [{}]
GUILDVOTE_CHANGEMASTER_RESULT4	Umfrage ist ungültig.
GUILDVOTE_CHANGEMASTER_RESULT5	Neuer Gildenleiter: {}
GUILDVOTE_CHANGEMASTER_TEXT1	Möchtest du die Gilde an [{}] abgeben?
GUILDVOTE_CHANGEMASTER_TEXT2	
GUILDVOTE_CHANGEMASTER_TEXT3	Möchtest du die Gildenführung wirklich abgeben?
GUILDVOTE_CHANGEMASTER_TEXT4	
GUILDVOTE_CHANGEMASTER_VOTETEXT1	Übertragen der Gilde an Mitglied [{}]
GUILDVOTE_CHANGEMASTER_VOTETEXT2	Stimmst du dafür, dass die Gilde übertragen wird?
GUILDVOTE_MEMBEROUT	Mitglied entfernen
GUILDVOTE_MEMBEROUT_AUTH	Dir fehlen die Rechte dazu.
GUILDVOTE_MEMBEROUT_NOMAL	Möchtest du das Mitglied wirklich entfernen?
GUILDVOTE_MEMBEROUT_RESULT1	Entfernen von Mitglied: [{}]
GUILDVOTE_MEMBEROUT_RESULT2	Umfrageergebnis
GUILDVOTE_MEMBEROUT_RESULT3	Du wurdest aus der Gilde [{}] entfernt.
GUILDVOTE_MEMBEROUT_RESULT4	Umfrageergebnis
GUILDVOTE_MEMBEROUT_RESULT5	Umfrage ist ungültig.
GUILDVOTE_MEMBEROUT_TEXT1	Möchtest du die Umfrage gegen [{}] starten?
GUILDVOTE_MEMBEROUT_TEXT2	Umfrage: Mitglied aus der Gilde entfernen?
GUILDVOTE_MEMBEROUT_VOTETEXT1	Umfrage: Soll [{}] aus der Gilde entfernt werden?
GUILDVOTE_MEMBEROUT_VOTETEXT2	
GUILDVOTE_NO	Dagegen
GUILDVOTE_OK	Dafür
GUILDVOTE_RESULT_AGGRE_MEMBER	Dafür: {}
GUILDVOTE_RESULT_ALL_MEMBER	Teilnehmer: {}
GUILDVOTE_RESULT_OPPESE_MEMBER	Dagegen: {}
GUILDVOTE_RESULT_TIME	{} Tage {} Stunden {} Minuten {} Sekunden
GUILDVOTE_SELECT_ONE	Bitte wähle einen Charakter aus.
GUILDWAR_ALL	Kämpfe (K)
GUILDWAR_CTF_TITLE	Flaggenkampf
GUILDWAR_DRAW	Unentschieden (U)
GUILDWAR_GAINSCORE_FIFTY	50 Punkte
GUILDWAR_GAINSCORE_HUNDRED	100 Punkte
GUILDWAR_GAINSCORE_THIRTY	30 Punkte
GUILDWAR_GAMETIME_SIXTY	60 Minuten
GUILDWAR_GAMETIME_TEN	10 Minuten
GUILDWAR_GAMETIME_THIRTY	30 Minuten
GUILDWAR_INPUT_OTHERGUILD	Bitte gegnerische Gilde eintragen.
GUILDWAR_LADDER	Rangpunkte
GUILDWAR_LIMIT_MEMBER_FIVE	Mindestanzahl der Teilnehmer beträgt 5.
GUILDWAR_LOSE	Niederlagen (N)
GUILDWAR_NORMAL_TITLE	Feldschlacht
GUILDWAR_OVER_MEMBERCOUNT	Du hast das Mitgliederlimit erreicht.
GUILDWAR_QUESTION_LINE_1	Die Gilde {} hat deiner Gilde den Krieg erklärt.
GUILDWAR_QUESTION_LINE_2	Nimmst du an? ({})
GUILDWAR_RANKING	Rang
GUILDWAR_RECODE_ALL	{} K, {} S, {} N, {} U
GUILDWAR_SELECT_MEMBER_COUNT	Wähle die Anzahl der Teilnehmer.
GUILDWAR_TYPE_DEFENSE	Schildkampf
GUILDWAR_TYPE_TIGER	Vernichtungskampf
GUILDWAR_TYPE_TIME	Zeitangriff
GUILDWAR_UNKNOWN_TITLE	...
GUILDWAR_WARP_TITLE	Arenakampf
GUILDWAR_WIN	Siege (S)
GUILDWAR_WIN_FIVE	Fünf Runden
GUILDWAR_WIN_ONE	Eine Runde
GUILDWAR_WIN_THREE	Drei Runden
GUILDWINDOW_BUTTON_BANKGOLDINFO	Gildenlager-Log
GUILDWINDOW_BUTTON_BASEABANDON	Gildenland aufgeben
GUILDWINDOW_BUTTON_BASEDEAL	Gildenland verkaufen
GUILDWINDOW_BUTTON_BASEDEALVOTE	Umfrage
GUILDWINDOW_BUTTON_BOARD	Gildennotizen
GUILDWINDOW_BUTTON_CHANGEMASTER	Gildenleiter wechseln
GUILDWINDOW_BUTTON_DECLARE	Kriegserklärung
GUILDWINDOW_BUTTON_GOLDIN	Einzahlung
GUILDWINDOW_BUTTON_GOLDOUT	Auszahlung
GUILDWINDOW_BUTTON_GRADE	Rechteverwaltung
GUILDWINDOW_BUTTON_GUILDLIST	Gildenliste
GUILDWINDOW_BUTTON_HEALGSP	Drachenmacht wiederherstellen
GUILDWINDOW_BUTTON_INFO	Gildeninformationen
GUILDWINDOW_BUTTON_LANDINFO	Landinformationen
GUILDWINDOW_BUTTON_MARK	Gildenzeichen hochladen
GUILDWINDOW_BUTTON_MEMBER	Mitglieder
GUILDWINDOW_BUTTON_OFFER	EXP spenden
GUILDWINDOW_BUTTON_OUTMEMBER	Mitglied entfernen
GUILDWINDOW_BUTTON_SKILL	Gildenfertigkeiten
GUILDWINDOW_BUTTON_SYMBOL	Gildenflagge hochladen
GUILDWINDOW_BUTTON_VOTECHECK	Überprüfe Umfrage
GUILDWINDOW_BUY_GUILD_LAND	Landkauf
GUILDWINDOW_CHANGE_OBJECT	Umbau
GUILDWINDOW_CHANGE_SMELTER	Ofen-Umbau
GUILDWINDOW_CREATE_OBJECT	Gebäudebau
GUILDWINDOW_DEAL_GUILD_LAND	Landverkauf
GUILDWINDOW_GRADE_BANK	Darf die Gildenbank und das Gildenlager nutzen
GUILDWINDOW_GRADE_DRIVEOUTAUTHORITY	Darf Mitglieder aus der Gilde entfernen
GUILDWINDOW_GRADE_GRADENAME	Rangname
GUILDWINDOW_GRADE_GRADENUMBER	Rangnummer
GUILDWINDOW_GRADE_GUILDWAR	Darf Mitglieder auswählen, die als Kämpfer teilnehmen können
GUILDWINDOW_GRADE_INVITEAUTHORITY	Darf Spieler in die Gilde aufnehmen
GUILDWINDOW_GRADE_NOTICEAUTHORITY	Darf Gildennotizen anpinnen
GUILDWINDOW_GRADE_SKILLAUTHORITY	Darf Gildenfertigkeiten nutzen
GUILDWINDOW_INFO_LEVEL10	Erhöht max. Mitgliederzahl
GUILDWINDOW_INFO_LEVEL15	Preisnachlass: Drachenmacht
GUILDWINDOW_INFO_LEVEL20	Bank: Steuerbefreiung
GUILDWINDOW_INFO_LEVEL5	+5% EXP auf Gildenspende
GUILDWINDOW_LIST_ALL	Alle Reiche
GUILDWINDOW_LIST_ALREADY_REGISTER	[Gilde] Du hast dich bereits beworben.
GUILDWINDOW_LIST_APPLICANT_LIST	Bewerberliste
GUILDWINDOW_LIST_CHRACTER_JOB	Klasse
GUILDWINDOW_LIST_CHRACTER_LV	Level
GUILDWINDOW_LIST_CHRACTER_NAME	Charaktername
GUILDWINDOW_LIST_CHRACTER_SUB_JOB	Lehre
GUILDWINDOW_LIST_EMPIRE_A	Shinsoo
GUILDWINDOW_LIST_EMPIRE_B	Chunjo
GUILDWINDOW_LIST_EMPIRE_C	Jinno
GUILDWINDOW_LIST_GUILDMEMBER	Mitglieder
GUILDWINDOW_LIST_GUILD_LIST	Gildenliste
GUILDWINDOW_LIST_GUILD_LV	Level
GUILDWINDOW_LIST_GUILD_NAME	Gilde
GUILDWINDOW_LIST_INPUT_GUILDNAME	[Gilde] Bitte gib einen Gildennamen ein.
GUILDWINDOW_LIST_LADDER	Rangpunkte
GUILDWINDOW_LIST_NOTPROMOTEGUILD	[Gilde] Diese Gilde hat keine Ausschreibung.
GUILDWINDOW_LIST_PROMOTE_GUILD	Bewerbung
GUILDWINDOW_LIST_PROMOTE_GUILD_LIST	Gildenliste
GUILDWINDOW_LIST_RANKING	Position
GUILDWINDOW_LIST_RANKING_COUNT	Position
GUILDWINDOW_LIST_REGISTER	Bewerbungen
GUILDWINDOW_LIST_REGISTER_GUILD	Bei Gilde bewerben
GUILDWINDOW_LIST_SEARCH	Suchen
GUILDWINDOW_LIST_SELECT_GUILD	[Gilde] Bitte wähle eine Gilde, um dich zu bewerben.
GUILDWINDOW_PROMOTE_REFRESH	Werbung
GUILDWINDOW_PROMOTE_REGISTER	Werbung
GUILDWINDOW_SP_RECOVER	Drachenmacht
GUILDWINDOW_UPGRADE_ALTEROFPOWER	Altar-Ausbau
GUILDWINDOW_UPGRADE_GUILDBANK	Bank-Ausbau
GUILD_BANKINFO_CLOSE	Schließen
GUILD_BANKINFO_NAME	Mitglied
GUILD_BANKINFO_TYPE	Gegenstand/Währung
GUILD_BANKINFO_USETYPE	Aktion
GUILD_BANK_CLOSE	Schließen
GUILD_BANK_INFO	Gildenlager-Log
GUILD_BOARD_ID	Mitglied
GUILD_BOARD_TEXT	Nachricht
GUILD_BUILDING_FIX_CHANGE	Möchtest du die Position wirklich verändern?
GUILD_BUILDING_FIX_CHANGE_GOLD	Kosten: 1.000.000 Yang
GUILD_BUILDING_FIX_DELETE	Möchtest du das Objekt wirklich löschen?
GUILD_BUILDING_FIX_NEED_BUILDING	Kein Gebäude vorhanden.
GUILD_BUILDING_GRADE	Rang
GUILD_BUILDING_NAME	Gebäudename
GUILD_CANNOT_HEAL_GSP_ANYMORE	Energie ist vollständig aufgeladen.
GUILD_COMMENT	Schreiben
GUILD_CREATE_ERROR_INSULT_NAME	Gildenname ist nicht zulässig.
GUILD_DEFAULT_GRADE	Gildenmitglieder
GUILD_DELETE	Löschen
GUILD_DEPOSIT	Hinterlegen
GUILD_DO_YOU_HEAL_GSP	Möchtest du für {} Yang {} Drachengeist wiederherstellen?
GUILD_DO_YOU_JOIN	  hat dich eingeladen. Der Gilde beitreten?
GUILD_DRAGONLAIR_MIN	Min.
GUILD_DRAGONLAIR_SECOND	Sek.
GUILD_EMPTY_AREA	Leeres Land
GUILD_ENEMY_GUILD_NAME	Gildenname des Gegners
GUILD_FACILITY	Nebengebäude
GUILD_GEM	Edelstein
GUILD_HEADQUARTER	Hauptgebäude
GUILD_HEAL_GSP	Drachengeist aufladen
GUILD_INFO_ENEMY_GUILD_EMPTY	Keine
GUILD_MARK_NOT_ENOUGH_LEVEL	Mindestens Level 3 erforderlich
GUILD_MARK_UPLOAD_NOTICE	Bitte warte kurz, damit du Gildenlogos registrieren kannst.
GUILD_MEMBER_JOB	Klasse
GUILD_MEMBER_KNIGHT	Kämpfer
GUILD_MEMBER_LEVEL	Level
GUILD_MEMBER_NAME	Mitglied
GUILD_MEMBER_RANK	Rang
GUILD_MEMBER_SPECIFIC_GRAVITY	Gespendete EXP
GUILD_NAME	Gildenname
GUILD_NOT_ENOUGH_MATERIAL	Nicht genug Baumaterial für dieses Gebäude.
GUILD_NOT_ENOUGH_MONEY	Nicht genug Yang für dieses Gebäude.
GUILD_NO_NOTICE_PERMISSION	Du bist nicht berechtigt, eine Ankündigung zu machen.
GUILD_OBJECT	Objekte
GUILD_OFFER_EXP	Erfahrung investieren
GUILD_SHORT_EXP	Nicht genug Erfahrungspunkte.
GUILD_TILE_BASEINFO	Landinformationen
GUILD_TILE_BOARD	Gildennotizen
GUILD_TILE_GRADE	Rechteverwaltung
GUILD_TILE_INFO	Gildeninformationen
GUILD_TILE_MEMBER	Mitglieder
GUILD_TILE_SKILL	Gildenfertigkeiten
GUILD_USE_MASTER_ONLY	Nur der Gildenleiter hat dieses Recht.
