%d 권을 더 읽어야 수련을 완료 할 수 있습니다.	Trebuie sa citesti inca %d pentru a avea succes. 
%d 냥을 투자하셨습니다.	Ai investit %d Yang. 
%d 냥을 획득하셨습니다.	Ai cвєtigat %d Yang. 
%d 레벨이 되어야 다시 염색하실 수 있습니다.	Trebuie sг atingi nivelul %d pentru a-юi putea vopsi pгrul iar. 
%d 분 %d 초 동안 채팅금지 상태입니다	%d min %d sec ramase pana la expirarea MUTE-ului 
%d 시간 %d 분 %d 초 동안 채팅금지 상태입니다	%d ore %d min %d sec ramase pana la expirarea MUTE-ului. 
%d 시간 %d 초 동안 채팅금지 상태입니다	%d ore %d sec ramase pana la expirarea MUTE-ului. 
%d 종류 %d 마리 낚음	Ai prins %d de %d. 
%d 초 동안 채팅금지 상태입니다	%d secunde ramase pana la deblocarea chatului 
%d 초 후에 군주의 축복을 사용할 수 있습니다	Binecuvвntarea оmpгratului poate fi folositг dupг %d sec. 
%d 초간 쿨타임이 적용중입니다.	Timp de cooldown de aproximativ %d secunde 
%d 초후 목적지로 이동됩니다.	%d secunde de la executare ajungi la locul cu pricina. 
%d%% 확률로 관통 공격	Atac pгtrunzгtor cu єansa %d%% 
%d%% 확률로 적퇴치시 경험치 추가 상승	Creєterea experienюei cu %d%% оn cazul оnfrвngerii inamicului. 
%d%% 확률로 적퇴치시 돈 2배 드롭	Creєterea Yang-ului capturat cu %d%% оn cazul оnfrвngerii inamicului. 
%d%% 확률로 적퇴치시 생명력 회복	%d%% єansг de a-юi umple PV dupг o victorie. 
%d%% 확률로 적퇴치시 아이템 2배 드롭	Creєterea obiectelor capturate cu %d%% оn cazul оnfrвngerii inamicului. 
%d%% 확률로 적퇴치시 정신력 회복	Creєtere mana cu %d%% оn cazul оnfrвngerii inamicului. 
%d%% 확률로 치명타 공격	Atac critic cu єansa %d%% 
%d%% 확률로 타격시 상대 전신력 소모	Mana este luatг de la inamic cu o probabilitate de %d%%. 
%d%% 확률로 피해시 정신력 회복	Probabilitate de absorbire mana %d%%. 
%d분의 결제시간이 추가 되었습니다. (결제번호 %d)	Contului tгu оi este adгugat %d timp de joc. (Nr. platг %d) 
%d의 경험치를 획득했습니다.	Ai primit %d experienюг. 
%d초 남았습니다.	%d secunde pвnг la final. 
%d초 만큼 충전되었습니다.	%d de secunde au fost adaugate. 
%d초 후 게임이 셧다운 됩니다.	Jocul se sfвrєeєte оn %d secunde. 
%s : %d 마리	%s: %d 
%s SP소모: %d	%s Consum de FP: %d 
%s killcount %d mobkillcount %d bosskillcount %d 성지 진입수 %d	%s killcount %d mobkillcount %d bosskillcount %d Numгr Pгmвnt Sfвnt %d 
%s 군주 후보에서 삭제하였습니다	%s a fost єters ca єi candidat ca оmpгrat. 
%s 군주로 입명 했습니다.	%s este numit оmpгrat. 
%s 군주르 제거 하였습니다..	Оmpгratul %s este оnlгturat. 
%s 군주를 제거 할수 없습니다.	Оmpгratul %s nu paote fi оnlгturat. 
%s 길드가 %s 길드에 선전포고를 하였습니다!	Breasla %s a declarat rгzboi breslei %s! 
%s 길드가 %s 길드와의 전쟁에서 승리 했습니다.	Breasla %s a cвєtigat rгzboiul оmpotriva breslei %s. 
%s 길드가 %s 길드의 깃발을 빼앗았습니다!	%s a cucerit steagul %s! 
%s 길드와 %s 길드 사이의 전쟁이 무승부로 끝났습니다.	Rгzboiul dintre breslele %s єi %s s-a terminat la egalitate. 
%s 길드와 %s 길드 사이의 전쟁이 취소되었습니다.	Rгzboiul оntrebreslele  %s єi %s a fost оntrerupt. 
%s 길드와 %s 길드가 잠시 후 전쟁을 시작합니다!	Rгzboiul оntre %s єi %s оncepe оn cвteva minute. 
%s 길드와 %s 길드가 전쟁을 시작하였습니다!	Rгzboiul оntre breslele %s єi %s a оnceput! 
%s 길드의 %s이 %d%% 증가했습니다!	%s al breslei %s a crescut cu %d%%! 
%s 길드의 %s이 정상으로 돌아왔습니다.	%s al breslei %s s-a normalizat. 
%s 길드의 깃발을 %s 님이 획득하였습니다.	Steagul breslei %s a fost furat de %s. 
%s 는 군주 후보가 아닙니다.	%s nu este candidat ca оmpгrat. 
%s 는 군주로 입명할수 없습니다 .	%s nu poate fi numit оmpгrat. 
%s 님과의 교환이 성사 되었습니다.	Negoюul cu %s a reuєit. 
%s 님에게 파티가입 신청을 했습니다.	Doreєti sг te alгturi grupei lui %s. 
%s 님으로 부터 친구 등록을 거부 당했습니다.	%s a refuzat invitaюia. 
%s 님은 %d 채널에 접속 중 입니다. (현재 채널: %d)	Jucгtorul %s se aflг оn canalul %d. (Canalul tгu: %d) 
%s 님은 접속되 있지 않습니다.	%s nu este online. 
%s 님은 정상적으로 출마를 하였습니다.	Jucгtorul %s este deja оn alegere. 
%s 님을 소환하였습니다.	Ai recrutat %s jucгtori. 
%s 님이 대련에서 승리하였습니다.	%s a cвєtigat duelul. 
%s 님이 승리하였습니다.	%s a cвєtigat. 
%s 블럭! (%d%%)	Blocheazг %s! (%d%%) 
%s 아이템 을 획득하셨습니다	Ai cгєtigat obiectul %s. 
%s 아이템이 필요합니다	Ai nevoie de %s. 
%s 에게로 이동합니다	Tragere la jucгtorul %s. 
%s 회피! (%d%%)	Eschiveazг %s! (%d%%) 
%s: 존재하지 않는 길드 입니다.	%s: Aceastг breaslг nu existг. 
%s[%d]가 공격 위치: %d %d	%s[%d] Pozitie de atac: %d %d 
%s님과의 대결 시작!	Lupta cu %s a оnceput! 
%s님이 대결신청을 했습니다. 승낙하려면 대결동의를 하세요.	%s te-a provocat la luptг! 
%s님이 주사위를 굴려 %d가 나왔습니다. (%d-%d)	%s zaruri aruncate. El/ea a primit %d (%d-%d). 
%s를 구웠습니다.	Prгjeєti %s deasupra focului. 
%s에 박혀있던 보석이 사라집니다.	Pietrele preюioase din %s au dispгrut. 
%s에 전쟁의 시작을 알리는 봉화가 나타났습니다.	La %s s-a aprins un foc de iluminare pentru a avertiza оn legгturг cu o luptг. 
%s에게 대결신청을 했습니다.	L-ai provocat pe %s la luptг. 
%s에서 봉화를 둘러싸고 전투가 진행중입니다.	Оn %s este rгzboi pentru a aprinde focurile de iluminare. 
%s에서 소켓 빠질때까지 남은 시간 %d	Timp ramas pana la inlaturarea soket-ului din %s: %d 
%s의 %s이 %d%% 증가했습니다!	%s: %s a crescut cu %d%%! 
%s의 %s이 정상으로 돌아왔습니다.	%s al lui %s s-a normalizat. 
%s의 군주가 %s 님으로 교체되었습니다.	Оmpгratul lui %s a fost schimbat оn %s. 
%s이 모든 봉화를 파괴하였습니다.	%s a distrus toate focurile de iluminare. 
%s이 봉화를 파괴했습니다.	%s a distrus focul de iluminare. 
%s이 수성에 성공했습니다.	Lui %s i-a reuєit apгrarea. 
%s이 수성에 실패하여 전쟁에 패배하였습니다..	%s a pierdut rгzboiul pentru ca nu au putut sг apere castelul. 
%s이 필요합니다.	Pentru aceasta actiune ai nevoie de: %s 
대련장에서 사용하실 수 없습니다.	Nu poюi folosi asta оn arena de duel. 
대박골드 드롭률 %d%% 추가 이벤트 중입니다.	Nivelul de drop Yang este оn momentul de faюг plus %d%% 
더 높은 경지의 수련을 성공적으로 끝내셨습니다.	Ai оncheiat cu succes antrenamentul cu cartea. 
더 이상 OX이벤트 참가자를 받지 않습니다.	OX Evenimentul nu mai acceptг participanюi. 
더 이상 개량할 수 없습니다.	Nicio alta imbunatatire posibila. 
더 이상 수련할 수 없습니다.	Nu оюi mai poюi creєte aceastг abilitate. 
더 이상 승마 수련서를 읽을 수 없습니다.	Nu poюi citi mai multe indicaюii de cгlгrie. 
더 이상 이 아이템을 이용하여 속성을 추가할 수 없습니다.	Acest item nu mai poate fi оmbunгtгюit. Numгrul maxim de bonusuri a fost atins. 
더이상 이 아이템을 이용하여 속성을 추가할 수 없습니다.	Trebuie sa foloseєti Marmura Binecuvantata ca sa poюi adгuga оncг un bonus acestui item. 
더이상 캐낼 수 없습니다.	Nu existг nimic de exploatat. 
던전 안에서는 %s%s 사용할 수 없습니다.	%s%s nu poate fi folosit оntr-o temniюг. 
독 저항 %d%%	Rezistenюг la otravг %d%% 
독공격 %d	Atac otrгvit %d 
돈 %d 냥을 획득했습니다.	Ai primit %d Yang. 
돈 대박이 나올 확률	Procent bombг Yang droprate 
돈 드롭율 %.1f배	Probabilitatea de a gгsi Yang %. 1f 
돈이 나올 확률	Procent Yang droprate 
돈이 부족하거나 아이템이 제자리에 없습니다.	Yang insuficient sau lipsг de loc оn inventar. 
동물류 몬스터 타격치 +%d%%	Puterea de atac a calului оmpotriva monєtrilor +%d%% 
동일한 머리 스타일로는 교체할 수 없습니다.	Porюi deja aceastг frizurг. 
두손검 방어 %d%%	Apгrare sabie-2-mвini %d%% 
둔갑 중에는 능력을 올릴 수 없습니다.	Nu оюi poюi schimba statusul atвta timp cвt eєti transformat. 
둔갑 중에는 착용중인 장비를 변경할 수 없습니다.	Nu poюi schimba obiectul echipat оn timp ce te transformi. 
둔갑서 수련을 마첬습니다. 신선에게 찾아가세요.	Ai оnvгюat transformarea. 
둔갑에 실패 하였습니다	Eroare la transformare 
둔갑할 수 없는 상태입니다.	Nu te poюi transforma cat timp cгlareєti. 
드디어 끝이 보이는 건가...  이 기술은 이해하기가 너무 힘들어..	Aceste instrucюiuni sunt greu de оnюeles. Am sг studiez оn continuare. 
등급 개량에 성공했습니다.	Rafinarea la nivelul urmator a fost cu succes. 
등급 개량에 실패했습니다.	Rafinarea la nivelul urmator a esuat. 
등급 개량에 필요한 재료가 아닙니다.	Acest obiect nu este necesar pentru imbunatatirea nivelului de claritate. 
떨어진 아이템은 %d분 후 사라집니다.	Obiectul aruncat va dispгrea dupг %d minute. 
떨어진 아이템은 3분 후 사라집니다.	Obiectul aruncat va dispгrea оn 3 minute. 
뜨거운 무엇이 계속 용솟음치고 있어! 이건, 이것은!	Antrenamentul pare sг funcюioneze deja... 
레벨 20 이하는 핸드폰 번호를 등록할 수 없습니다.	Nivelul tгu trebuie sг fie peste 20 pentru a putea оnregistra un numгr de mobil. 
레벨 30이 되기 전에는 습득할 수 있을 것 같지 않습니다.	Trebuie sг ai minim nivelul 30 pentru a оnюelege cartea asta. 
레벨 50이 되기 전에는 습득할 수 있을 것 같지 않습니다.	Trebuie sг ai minim nivelul 50 pentru a оnюelege cartea asta. 
레벨이 낮아 착용할 수 없습니다.	Nivelul tгu este prea scгzut pentru a echipa acest obiect. 
로그인 화면으로 돌아 갑니다. 잠시만 기다리세요.	Оnapoi la fereastra de login. Aєteaptг. 
룻렛을 돌립니다. 금액 %d	Оnvвrte ruleta pentru o sumг de %d Yang. 
를	pe 
마법 공격력 +%d	Atac magie + %d 
마법 방어력 +%d	Apгrare magie + %d 
마법 저항 %d%%	Rezistenюг la magie %d%% 
마음이 맑아지는군. 가슴을 짓누르던 무언가가 좀 가벼워진 느낌이야.	Spiritul оюi este limpede. Acum te poюi concentra. 
많은 참여 부탁드립니다.	Rugгm participarea multor jucгtori. 
말 소환 아이템을 사용하세요.	Foloseєte un obiect petru a striga un cal. 
말 소환에 실패하였습니다.	Strigarea calului eєuatг. 
말에게 %s%s 주었습니다.	Ai hrгnit un cal cu %s%s. 
말에게 사료를 주었습니다.	Ai hrгnit calul. 
말에게 선초를 주었습니다.	Ai hrгnit calul cu ierburi. 
말에서 먼저 내려야 합니다.	Trebuie sг cobori. 
말을 돌려보냈습니다.	Юi-ai trimis calul departe. 
말을 먼저 소환해주세요.	Strigг-юi оntвi calul. 
말을 소유하고 있지 않습니다.	Nu ai cal. 
말을 탄 상대와 감정표현을 할 수 없습니다.	Nu poti folosi emotiile pe un jucator care se afla pe cal. 
말을 탄 상태에서 감정표현을 할 수 없습니다.	Nu poti folosi emotiile in timp ce esti pe cal. 
말을 탄 상태에서 예복을 입을 수 없습니다.	Nu poti folosi asta in timpul calariei. 
말을 탄 상태에서는 먹이를 줄 수 없습니다.	Nu poюi hrгni calul оn timp ce cгlгreєti. 
말의 스테미너가 부족하여 말을 탈 수 없습니다.	Rezistenюa calului tгu este prea scгzutг. 
말이 없습니다. 마굿간 경비병을 찾아가세요.	Niciun cal. Оntreabг grгjdarul. 
말이 죽어있는 상태 입니다.	Calul tгu este mort. 
맞으면 O, 틀리면 X로 이동해주세요	Daca este corect: O, daca este gresit: X. 
머니  룰렛 시작.	Porneєte ruleta de Yang. 
먼저 다이아몬드로 악세서리에 소켓을 추가해야합니다.	Trebuie sг adaugi un suport оnainte. Foloseєte diamantul pentru a face asta. 
먼저 용혼석 퀘스트를 완료하셔야 합니다.	Inainte de a deschide Cor Draconis, trebuie sa termini misiunea Pietrelor Dragon si sa activezi Alchimia Piatra Dragon. 
먼저 일어 나세요.	Ridicг-te оntвi. 
먼저 재가비서를 이용하여 속성을 추가시켜 주세요.	Poюi folosi Marmura Binecuvantata numai cu un item care are deja 4 bonusuri. 
메틴2인증번호: %s	Cod de confirmare Metin2: %s 
메틴석 부착에 성공하였습니다.	Ai pus piatra cu succes. 
메틴석 부착에 실패하였습니다.	Piatra s-a spart оn timp ce оncercai s-o ataєezi. 
명령어를 모두 입력하세요.	Introdu comanda оntreagг. 
명령어의 서브 커맨드가 잘못 되었습니다.	Sub-comanda comenzii este greєitг. 
모닥불을 피울 수 없는 지점입니다.	Nu poюi face un foc de tabгrг aici. 
몬스터에게 강함 +%d%%	Puternic оmpotriva monєtrilor + %d%% 
몸 속이 뜨겁군. 하지만 아주 편안해. 이대로 기를 안정시키자.	Ard оn interior, dar оmi liniєteєte corpul. Chi-ul meu trebuie sг se stabilizeze. 
몸에서 뭔가 힘이 터져 나오는 기분이야!	Corpul meu este plin de putere. 
무기와 갑옷에만 사용 가능합니다.	Poate fi folosit doar pentru arme si armuri. 
무당공격에 %d%% 저항	Rezistenюг оmpotriva atacurilor єamanilor %d%% 
무당에게 강함 +%d%%	Puternic оmpotriva єamanilor + %d%% 
무료 개량 기회는 20 이하의 무기만 가능합니다	Imbunatatirea gratuita a obiectelor poate fi folosita pe arme pentru nivel maxim 20. 
무사공격에 %d%% 저항	Rezistenюг оmpotriva atacurilor rгzboinicilor %d%% 
무사에게 강함 +%d%%	Puternic оmpotriva rгzboinicilor + %d%% 
문자 메세지 전송에는 2000원이 필요 합니다.	Ai nevoie de 2000 DT pentru a trimite un SMS. 
문자 메세지 전송은 레벨 20부터 할 수 있습니다.	Trebuie sг fi cel puюin la nivelul 20 pentru a trimite un SMS. 
문자 메세지를 전송 했습니다.	SMS-ul a fost trimis. 
문제 입니다.	Оntrebare. 
문제를 출제하였습니다.	A intervenit o eroare. 
문제를 출제하지 못했습니다.	Nu a apгrut nicio eroare. 
물 속에 모닥불을 피울 수 없습니다.	Nu poюi face un foc de tabгrг оn apг. 
물리타격시 블럭 확률 %d%%	%d%% єansг de a bloca un atac corporal 
물약 사용시 %d%% 성능 증가	Creєterea eficienюei cu %d%% prin luarea porюiei 
물약 제조에 실패했습니다.	Producerea licorii a eєuat. 
물약 제한이 없습니다.	Nu existг limitг pentru licori. 
물약 조합을 위한 재료가 부족합니다.	Lipseєte material pentru amestecul licorii. 
물약을 %d 개 까지 사용 가능합니다.	Poюi folosi pвnг la %d licori. 
뭔가 몸 안에 힘이 생기는 기분인 걸.	Mг simt reоmprospгtat. 
미끼를 끼고 던져 주세요.	Fixeazг оntвi momeala оn cвrlig. 
민첩 +%d	Dexteritate +%d 
민첩이 낮아 착용할 수 없습니다.	Dexteritatea ta este prea scгzutг pentru a echipa acest obiect. 
밀교류 타격치 +%d%%	Оntгrirea atacului оmpotriva Milgyo + %d%% 
바람 저항 %d%%	Rezistenюг la vвnt %d%% 
방어력 +%d	Armurг + %d 
방어력 +%d%%	Apгrare + %d%% 
방울 방어 %d%%	Apгrare clopot %d%% 
배 속에서 조개가 나왔습니다.	Оn peєte se aflг o scoicг. 
배 속에서 지렁이가 나왔습니다.	Оn peєte se aflг o rвmг. 
버릴 수 없는 아이템입니다.	Nu poюi arunca acest obiect. 
변경할 속성이 없습니다.	Nu ai nicio imbunatatire care poate fi schimbata. 
변신 상태에서는 말에 탈 수 없습니다.	Nu poюi cгlгri atвta timp cвt eєti transformat. 
변신중에는 책을 읽을수 없습니다.	Nu poti citi o carte cat timp esti transformat. 
부착할 수 있는 슬롯이 없습니다.	Nu este niciun slot liber. 
부채 방어 %d%%	Apгrare evantai %d%% 
불법 프로그램이 감지 되어 게임이 종료 됩니다.	A fost descoperit software ilegal. Jocul va fi оnchis. 
비속어나 은어가 포함된 상점 이름으로 상점을 열 수 없습니다.	Nu poюi da magazinului tгu un nume care nu este valabil. 
빈 병이 모자릅니다.	Nu ai destule sticle goale. 
빼낼 수 있는 메틴석이 없습니다.	Nu existг piatrг de scos. 
빼낼 영석이 없습니다	Nicio piatra valabila pentru indepartare. 
사귀 타워 완료 보상은 한번까지 사용가능합니다.	Poюi fi rгsplгtit doar o datг pentru sarcina turnului demonilor. 
사용 제한량을 초과하였습니다.	Aceasta depгєeєte limita. 
사용법: transfer <name>	Foloseєte: transfer <name> 
사용법: warpto <character name>	Comandг: warpto <character name> 
사용할수 없습니다.	Aceastг funcюie nu poate fi folositг aici єi acum. 
삼거리 몹 리젠	Monєtri la lupta regatelor 
삼거리 전투 참가중에는 귀환부,귀환기억부를 사용할수 없습니다.	La participarea la lupta regatului nu poюi folosi pergamentul 'Оnapoi'. 
삼거리 전투에서 %s 국가가 가장먼저 탈락을 하였습니다	Regatul %s a fost infrant si este exclus din Lupta Regatelor. 
상대방 캐릭터가 접속을 종료하여 대련을 중지합니다.	Inamicul de duel a fost deconectat. Duelul este оntrerupt. 
상대방 캐릭터의 문제로 인하여 대련을 종료합니다.	Inamicul de duel are probleme. Duelul va fi оncheiat. 
상대방의 돈이 부족하거나 아이템이 제자리에 없습니다.	Cealaltг persoanг nu are destul Yang sau destul loc оn inventar. 
상대방의 소지품에 빈 공간이 없습니다.	Cealaltг persoanг nu are destul loc оn inventar. 
상대방의 총금액이 20억 냥을 초과하여 거래를 할수가 없습니다..	Jucгtorul are peste 2 Mrd. Yag. Nu poюi negocia cu el. 
상대방이 %d 채널에 있습니다. (현재 채널 %d)	Jucгtorul joacг оn canalul %d. (Tu eєti оn canalul %d). 
상대방이 교환 거부 상태입니다.	Cealaltг persoanг a оntrerupt negoюul. 
상대방이 다른 거래를 하고 있는 중입니다.	Jucгtorul negociazг cu altul. 
상대방이 다른 거래중이라 거래를 할수 없습니다.	Cealaltг persoanг tocmai negociazг, de aceea nu poюi sг negociezi. 
상대방이 대련중입니다.	Jucгtorul tocmai se dueleazг. 
상대방이 메신져 추가 거부 상태입니다.	Jucгtorul a refuzat cererea ta de a fi adгugat la lista de prieteni. 
상대방이 온라인 상태가 아닙니다.	Jucгtorul nu este online. 
상대방이 있는 곳으로 워프할 수 없습니다.	Nu te poюi teleporta la jucгtor. 
상대방이 친구 추가를 받을 수 없는 상태입니다.	Nu poюi adгuga persoana care stг оn faюa ta la lista de prieteni. 
상대방이 파티에 속해있지 않습니다.	Jucгtorul nu se aflг оn grupг. 
상자가 갑자기 폭발하였습니다! 생명력이 감소했습니다.	Cutia a explodat deodatг! PV юi-au scгzut. 
상자에서 %s 가 %d 개 나왔습니다.	Ai primit %s, %d unitгюi. 
상자에서 %s 가 나왔습니다.	Оn cutie este %s. 
상자에서 나온 녹색 연기를 들이마시자 독이 온몸으로 퍼집니다!	Dacг inhalezi fumul verde care iese din cutie, corpul tгu se va umple cu otravг. 
상자에서 나온 빨간 연기를 들이마시자 움직이는 속도가 느려졌습니다!	Dacг inhalezi fumul roєu din cutie оюi creєte repeziciunea. 
상자에서 몬스터가 나타났습니다!	Din cutie a ieєit un monstru! 
상자에서 부터 신비한 빛이 나옵니다.	Din cutie iese luminг misterioasг. 
상점과의 거리가 너무 멀어 물건을 살 수 없습니다.	Eєti prea departe de magazin pentru a cumpгra. 
상점과의 거리가 너무 멀어 물건을 팔 수 없습니다.	Eєti prea departe de magazin pentru a vinde. 
상품을 받을 인벤토리가 부족합니다. 인벤토리를 비워주세요!	Nu ai destul spaюiu оn inventar pentru a accepta recompensг. 
생각만큼 읽기가 쉽지가 않군. 이해도 어렵고 내용도 난해해.	E mai complicat єi mai greu de оnюeles decвt am crezut. 
생명력 회복 +%d	Odihna vieюii +%d 
서버에 치명적인 오류가 발생하여 자동으로 재부팅됩니다.	O eroare criticг de server a intervenit. Serverul va fi restartat automat. 
선악치가 %d 증가하였습니다.	Rangul tau a crescut cu %d puncte. 
선악치를 더 이상 올릴 수 없습니다.	Punctele abilitгюilor nu mai pot fi mгrite. 
선택 맵 정보 성지 %d 통로 %d %d %d	Alege informaюiile hгrюii Pгmвntului Sfвnt %d trecere %d %d %d 
성별이 맞지않아 이 아이템을 사용할 수 없습니다.	Nu poюi folosi acest obiect deoarece sexul tгu nu corespunde. 
성별이 맞지않아 이 아이템을 열 수 없습니다.	Obiectul poate fi deschis doar de cгtre celгlalt sex. 
성에서만 사용할 수 있는 기능입니다.	Aceastг funcюie poate fi folositг doar оn castel. 
성지에서 부활 기회를 모두 잃었습니다! 마을로 이동합니다!	Perioada de aєteptare a expirat. Vei re-оnvia оn oraє. 
성지의 마왕: 너희	Diavolul locului sfinюit. 
세금이 %d %로 설정되었습니다	Impozitul a fost stabilit la %d %. 
셧다운이 %d초 남았습니다.	%d sec pвnг la final. 
소유 돈이 20억냥을 넘어 거래를 핼수가 없습니다.	Ai mai mult de 2 Mrd. Yang la tine. Nu poюi negocia. 
소지금이 부족하여 이 아이템을 사용할 수 없습니다.	Nu ai destul Yang pentru a folosi obiectul. 
소지품에 빈 공간이 없습니다.	Nu este destul loc оn inventar. 
소지하고 있는 아이템이 너무 많습니다.	Porюi prea multe obiecte la tine. 
소켓 추가에 실패하였습니다.	Nici un suport adгugat. 
소켓이 성공적으로 추가되었습니다.	Suportul a fost adгugat cu succes. 
소환할수 없는 몬스터 입니다. 소환가능한 몬스터는 홈페이지를 참조하세요	Monstrul nu poate fi strigat. Verificг numгrul mob. 
속성 추가에 성공하였습니다.	Upgrade adaugat cu succes. 
속성 추가에 실패하였습니다.	Niciun upgrade adaugat. 
속성을 바꾼지 %d분 이내에는 다시 변경할 수 없습니다.(%d 분 남음)	Poti face asta dupa %d Minute de la upgrade. (%d Minute ramase) 
속성을 변경하였습니다.	Ai schimbat imbunatatirea. 
속성을 변경할 수 없는 아이템입니다.	Nu poti schimba upgradeul acestui obiect. 
수라공격에 %d%% 저항	Rezistenюг оmpotriva atacurilor sura %d%% 
수라에게 강함 +%d%%	Puternic оmpotriva sura + %d%% 
수련이 실패로 끝났습니다. 다시 도전해주시기 바랍니다.	Antrenament eєuat. Оncearcг mai tвrziu. 
수련할 수 없는 스킬입니다.	Nu poюi antrena aceastг competenюг. 
스킬 데미지 %d%%	Paguba competenюei %d%% 
스킬 데미지 저항 %d%%	Rezistenюг la paguba competenюei %d%% 
스킬 레벨을 내리는데 성공하였습니다.	Юi-a scгzut nivelul competenюei. 
스킬 레벨을 내릴 수 없습니다.	Nu оюi poate scade nivelul competenюei. 
스턴 +%d	Stea +%d 
슬로우 +%d	Reducerea vitezei +%d 
승마 수련서 이해에 실패하였습니다.	Nu ai оnюeles indicaюiile de cгlгrie. 
승마 수련서를 읽어 승마 스킬 포인트를 얻었습니다.	Ai citit Manualul de Cгlгrie єi ai primit un Punct de Cгlгrie. 
시체류 타격치 +%d%%	Оntгrirea atacului оmpotriva Zombie + %d%% 
신수국	Regatul Shinsoo 
쓰러진 상태에서는 말에 탈 수 없습니다.	Nu poюi urca pe cal atоt timp cоt stai оntins pe jos. 
쓰러진 상태에서는 할 수 없습니다.	Nu poюi face asta cвt timp eєti оntins pe jos. 
아니 어떻게 된 게 종일 읽어도 머리에 안 들어오냐.	Citesc оn continuu acelaєi rвnd. 
아무것도 얻을 수 없었습니다.	Nu ai primit nimic. 
아이템 개량후 %d초 이내에는 귀환부,귀환기억부를 사용할 수 없습니다.	Nu poti folosi Scroll-uri timp de %d dupa un schimb. 
아이템 드롭률  %d%% 추가 이벤트 중입니다.	Nivelul de drop item este оn momentul de faюг plus %d%% 
아이템 드롭율 %.1f배	Probabilitatea de a gгsi un obiect %. 1f 
아이템 룰렛 시작.	Porneєte ruleta obiectelor. 
아이템 전달: %s 님에게 %s	Negoю cu obiecte: %s, %s 
아이템 획득: %s	Ai primit %s. 
아이템 획득: %s 님으로부터 %s	%s primit, %s unitгюi 
아이템로그가 syslog 에 남았습니다	Itemlog a fost pun оn syslog. 
아이템을 건네줄 수 없습니다.	Nu poюi renunюa la acest obiect. 
아이템의 레벨 제한보다 레벨이 낮습니다.	Nivelul tгu este prea scгzut pentru a folosi acest obiect. 
아이템이 나올 확률	Procent item droprate 
아직 골드를 버릴 수 없습니다.	Оncг nu poюi arunca Aurul. 
아직 마을에서 재시작 할 수 없습니다. (%d 초 남음)	Оncг nu poti restarta оn oraє. Aєteaptг оncг %d secunde. 
아직 사용할 수 없습니다.	Nu poate fi folosit inca. 
아직 승마 스킬을 수련할 수 있는 레벨이 아닙니다.	Trebuie sг ai minim nivelul 50 pentru a оnvгюa sг cгlгreєti. 
아직 이 머리를 사용할 수 없는 레벨입니다.	Nivelul tгu este prea scгzut pentru a purta aceastг frizurг. 
아직 재시작 할 수 없습니다. (%d초 남음)	Оncг nu poюi restarta. Te rugгm aєteaptг оncг %d secunde. 
아직 재시작 할 수 없습니다.(%d초 남음 )	Un nou start nu e posibil оn acest moment.Te rugгm aєteaptг %d secunde. 
아직 재시작 할 수 없습니다.(%d초 남음)	Оncг nu poюi restarta. Te rugгm aєteaptг оncг %d secunde. 
악마류 타격치 +%d%%	Оntгrirea atacului оmpotriva diavolilor + %d%% 
안녕하세요. 메틴2 입니다.	Bun Venit оn Metin2. 
액수가 20억 냥을 초과하여 거래를 할수가 없습니다..	Ai mai mult de 2 Mrd. Yang. Nu poюi face negoю. 
양손검 방어 %d%%	Apгrare sabie-2-mвini %d%% 
어느정도 이 기술에 대해 이해가 되었지만 조금 부족한듯 한데..	Fac progrese, dar оncг nu am оnюeles tot. 
어부를 통해 다음 레벨의 낚시대로 업그레이드 할 수 있습니다.	Du-te la Pescar єi оmbunгtгюeєte-юi Undiюa! 
얻은 포인트로는 승마 스킬의 레벨을 올릴 수 있습니다.	Poti folosi acest punct pentru a perfectiona abilitatea de calarie. 
얼마 안 남았어! 조금만 더!	Aproape am reuєit! Оncг puюin! 
여자만 할 수 있습니다.	Doar femeile pot face asta. 
연계기는 더이상 수련할 수 없습니다.	Nu poюi antrena mai multe combo. 
열쇠가 맞지 않는 것 같다.	Se pare cг aceastг cheie nu funcюioneazг. 
열쇠는 맞으나 아이템 주는 부분 구현이 안되었습니다.	Aceasta este cheia corectг. 
열쇠로 여는 물건이 아닌것 같다.	Acest obiect nu poate fi deschis cu o cheie. 
열쇠로 잠겨 있어서 열리지 않는것 같다. 열쇠를 구해보자.	Оncuiat. Ar trebui sг cauюi cheia. 
열심히 하는 배움을 가지는 것만이 기술을 배울수 있는 유일한 길이다..	Am оnюeles acest capitol. Dar trebuie sг muncesc din greu оn continuare. 
열정의 가면을 착용시에만 할 수 있습니다.	Poюi face asta dacг porюi masca emoюiei. 
영석 감지기가 신비로운 빛을 내며 사라집니다.	Busola pentru Pietrele Metin a dispгrut cu lumina misterioasг. 
영석 감지기가 흔적도 없이 사라집니다.	Busola pentru Pietrele Metin a dispгrut. 
예복을 입은 상태에서 말을 탈 수 없습니다.	Nu poюi cгlгri atвta timp cвt porюi o rochie de mireasг sau un smoking. 
외치기는 레벨 %d 이상만 사용 가능 합니다.	Ai nevoie de un nivel minim de %d pentru a putea striga. 
외치기는 유료회원만 사용할수 있습니다	Ai nevoie de un nivel mai mare pentru a putea striga. 
