%d 권을 더 읽어야 수련을 완료 할 수 있습니다.	Sucesso! Já só preciso de mais %d Livros para o próximo nível. 
%d 냥을 투자하셨습니다.	Investiste %d Yang. 
%d 냥을 획득하셨습니다.	Ganhaste %d Yang. 
%d 레벨이 되어야 다시 염색하실 수 있습니다.	Tens de atingir o Nível %d para poderes pintar o teu cabelo novamente. 
%d 분 %d 초 동안 채팅금지 상태입니다	Faltam %d minutos e %d segundos para o teu bloqueio de chat passar. 
%d 시간 %d 분 %d 초 동안 채팅금지 상태입니다	Faltam %d horas, %d minutos e %d segundos para o bloqueio de chat passar. 
%d 시간 %d 초 동안 채팅금지 상태입니다	Faltam %d horas e %d segundos para o teu bloqueio de chat passar. 
%d 종류 %d 마리 낚음	Apanhaste %d de %d . 
%d 초 동안 채팅금지 상태입니다	Faltam %d segundos para o bloqueio do chat acabar. 
%d 초 후에 군주의 축복을 사용할 수 있습니다	Daqui a %d segundos poderás usar a Bênção dos Monarcas. 
%d 초간 쿨타임이 적용중입니다.	Tempo de Recuperação de aproximadamente %d segundos. 
%d 초후 목적지로 이동됩니다.	Irás chegar ao teu destino dentro de %d segundos. 
%d%% 확률로 관통 공격	%d%% de probabilidade de Ataque Perfurante. 
%d%% 확률로 적퇴치시 경험치 추가 상승	Se ganhares a tua Experiência será aumentada para %d%%. 
%d%% 확률로 적퇴치시 돈 2배 드롭	Se ganhares o teu Yang será aumentado para %d%%. 
%d%% 확률로 적퇴치시 생명력 회복	%d%% de probabilidade de encheres os Pontos de Vida depois de uma vitória. 
%d%% 확률로 적퇴치시 아이템 2배 드롭	Se ganhares a probabilidade de apanhares Itens será aumentada para %d%%. 
%d%% 확률로 적퇴치시 정신력 회복	Se ganhares a tua Mana (MN) será aumentada para %d%%. 
%d%% 확률로 치명타 공격	%d%% de probabilidade de Ataque Crítico. 
%d%% 확률로 타격시 상대 전신력 소모	Probabilidade de %d%% de Mana (Mana) ser roubada ao inimigo. 
%d%% 확률로 피해시 정신력 회복	%d%% de probabilidade de absorção de Mana (MN). 
%d분의 결제시간이 추가 되었습니다. (결제번호 %d)	%d de Tempo de Jogo acrescentado à tua conta. (número de pagamento %d) 
%d의 경험치를 획득했습니다.	Recebeste %d Pontos de Experiência. 
%d초 남았습니다.	%d segundos para o servidor desligar. 
%d초 만큼 충전되었습니다.	Foram adicionados %d segundos. 
%d초 후 게임이 셧다운 됩니다.	O jogo será fechado dentro de %d segundos. 
%s : %d 마리	%s: %d 
%s SP소모: %d	%s Utilização de FP: %d 
%s killcount %d mobkillcount %d bosskillcount %d 성지 진입수 %d	%s N.º Mortes %d N.º Mobs Mortos %d N.º Bosses Mortos %d N.º Terra Sagrada %d 
%s 군주 후보에서 삭제하였습니다	%s foi apagado da lista de Candidatos a Monarca. 
%s 군주로 입명 했습니다.	%s foi nomeado Monarca. 
%s 군주르 제거 하였습니다..	O Monarca do Reino %s foi exilado. 
%s 군주를 제거 할수 없습니다.	O Monarca do Reino %s não pode ser exilado. 
%s 길드가 %s 길드에 선전포고를 하였습니다!	A Guild %s declarou Guerra à Guild %s! 
%s 길드가 %s 길드와의 전쟁에서 승리 했습니다.	A Guild %s venceu a Guerra contra a Guild %s . 
%s 길드가 %s 길드의 깃발을 빼앗았습니다!	A Guild %s capturou a bandeira da Guild %s! 
%s 길드와 %s 길드 사이의 전쟁이 무승부로 끝났습니다.	A Guerra entre as Guilds %s e %s terminou com um empate. 
%s 길드와 %s 길드 사이의 전쟁이 취소되었습니다.	A Guerra entre as Guilds %s e %s foi cancelada. 
%s 길드와 %s 길드가 잠시 후 전쟁을 시작합니다!	A Guerra entre as Guilds %s e %s começará dentro de alguns minutos! 
%s 길드와 %s 길드가 전쟁을 시작하였습니다!	A Guerra entre as Guilds %s e %s começou! 
%s 길드의 %s이 %d%% 증가했습니다!	%s da Guild %s aumentou %d%% ! 
%s 길드의 %s이 정상으로 돌아왔습니다.	%s da Guild %s voltou ao normal. 
%s 길드의 깃발을 %s 님이 획득하였습니다.	A bandeira da Guild %s foi capturada pelo jogador %s. 
%s 는 군주 후보가 아닙니다.	%s não é um Candidato a Monarca. 
%s 는 군주로 입명할수 없습니다 .	%s não pode ser nomeado Monarca. 
%s 님과의 교환이 성사 되었습니다.	O negócio com %s foi bem sucedido. 
%s 님에게 파티가입 신청을 했습니다.	Queres juntar-te ao Grupo %s? 
%s 님으로 부터 친구 등록을 거부 당했습니다.	%s rejeitou o convite. 
%s 님은 %d 채널에 접속 중 입니다. (현재 채널: %d)	O jogador %s está neste momento no Canal %d (O teu Canal %d) 
%s 님은 접속되 있지 않습니다.	%s não está no jogo. 
%s 님은 정상적으로 출마를 하였습니다.	O jogador %s já está na votação. 
%s 님을 소환하였습니다.	Recrutaste %s jogadores. 
%s 님이 대련에서 승리하였습니다.	%s ganhou o Duelo. 
%s 님이 승리하였습니다.	%s ganhou. 
%s 블럭! (%d%%)	%s bloqueado! (%d%%) 
%s 아이템 을 획득하셨습니다	Ganhaste %s Itens. 
%s 아이템이 필요합니다	Precisas de %s. 
%s 에게로 이동합니다	Teleportar para %s. 
%s 회피! (%d%%)	%s evitado! (%d%%) 
%s: 존재하지 않는 길드 입니다.	%s: Esta Guild não existe. 
%s[%d]가 공격 위치: %d %d	%s[%d] Posição de Ataque: %d %d 
%s님과의 대결 시작!	A batalha com %s começou! 
%s님이 대결신청을 했습니다. 승낙하려면 대결동의를 하세요.	%s desafiou-te para uma batalha! 
%s님이 주사위를 굴려 %d가 나왔습니다. (%d-%d)	%s jogou os dados. Obteve %d (%d-%d). 
%s를 구웠습니다.	Colocaste %s na Fogueira. 
%s에 박혀있던 보석이 사라집니다.	Os minérios refinados de %s desaparecem. 
%s에 전쟁의 시작을 알리는 봉화가 나타났습니다.	Uma Tocha foi acesa em %s para anunciar uma batalha. 
%s에게 대결신청을 했습니다.	Desafiaste %s para uma batalha. 
%s에서 봉화를 둘러싸고 전투가 진행중입니다.	Estão a decorrer %s Guerras para acender as Tochas. 
%s에서 소켓 빠질때까지 남은 시간 %d	Tempo restante até à remoção do Socket de %s: %d 
%s의 %s이 %d%% 증가했습니다!	Os jogadores do Reino %s têm um aumento de %s em %d%% ! 
%s의 %s이 정상으로 돌아왔습니다.	Os jogadores do Reino %s têm %s normal de novo. 
%s의 군주가 %s 님으로 교체되었습니다.	O Monarca de %s mudou para %s 
%s이 모든 봉화를 파괴하였습니다.	%s destruiu a Tocha. 
%s이 봉화를 파괴했습니다.	%s destruiu a Tocha. 
%s이 수성에 성공했습니다.	%s conseguiu defender com sucesso. 
%s이 수성에 실패하여 전쟁에 패배하였습니다..	%s perderam a Guerra porque não conseguíram defender o Castelo. 
%s이 필요합니다.	Para fazer isto precisas de: %s 
OX 이벤트가 이미 진행중입니다(flag: %d)	O Evento já está a decorrer. (flag: %d) 
OX 이벤트를 마치겟습니다.	O Evento OX está a terminar. 
OX이벤트 맵을 먼저 닫아 주세요.(Flag: %d)	Primeiro fecha o mapa do Evento OX. (Flag: %d) 
OX이벤트가 닫히지 않았거나, 퀴즈 출제중입니다.(flag: %d)	O Evento OX ainda não terminou. Ocorreu um erro. (flag: %d) 
OX이벤트가 열려 있지 않거나 문제 출제중입니다.(Flag: %d)	O Evento OX terminou. Não ocorreu nenhum erro. (Flag: %d) 
OX이벤트를 강제 종료 시킵니다.	O Evento OX terminou. 
OX이벤트의 나머지 인원 기록을 실패했습니다.	OX Os outros participantes no Evento não estão listados. 
OX이벤트의 나머지 인원을 기록하였습니다.	OX Os outros participantes no Evento estão listados. 
TEST : 현재 국고 : %d	TEST: No Cofre do teu Reino estão: %d 
TEST : 황금두꺼비가 국고로 환원되었습니다.	TEST: A Barra de Ouro foi paga ao Cofre do Reino. 
TEST : 황금두꺼비를 국고로 환원할 수 없습니다.	TEST: Não podes pagar a Barra de Ouro ao Cofre do teu Reino. 
X 입니다	Não (X) 
[%s군주] : %s	[%s Monarca] : %s 
[%s군주] : %s  보유금액 %lld	[%s Monarca] : %s Yang em posse %lld 
[TEST_ONLY]현재 국고 : %d	[TEST_ONLY]Imposto : %d 
가만히 있을 때만 착용할 수 있습니다.	Tens de permanecer imóvel para equipar o Item. 
각제국 진행 정보	Informação para os Reinos 
감지기를 작용하였으나 감지되는 영석이 없습니다.	De momento não existe qualquer Pedra Metin neste mapa. 
갑옷을 벗어야 개인 상점을 열 수 있습니다.	Só podes abrir uma Loja Privada se desequipares a Armadura. 
값을 잘못 입력하였습니다.	Inseriste um valor incorrecto. 
강화에 성공했습니다.	O fortalecimento foi bem sucedido. 
강화에 실패했습니다.	O fortalecimento falhou. 
강화에 필요한 재료가 아닙니다.	Não tens os materiais necessários para fortalecer a Pedra do Dragão. 
강화창을 연 상태에서는 아이템을 옮길 수 없습니다.	Não podes mover o item na janela de refinamento. 
강화할 수 없는 용혼석입니다.	Esta Pedra do Dragão não pode ser usada para fortalecimento. 
같은 개량서를 합칠 수는 없습니다.	Não podes combinar Pergaminhos idênticos. 
같은 종류의 메틴석은 여러개 부착할 수 없습니다.	Não podes adicionar várias Pedras do mesmo tipo. 
같은 종류의 유니크 아이템 두 개를 동시에 장착할 수 없습니다.	Não podes equipar este Item duas vezes. 
같이 지을 수 없는 종류의 건물이 지어져 있습니다.	Este tipo de edifício apenas pode ser construído uma vez. 
개량된 후 아이템의 레벨 제한보다 레벨이 낮습니다.	O teu Nível é mais baixo que o Nível com que o Item ficará após o melhoramento. 
개량을 하기 위한 돈이 부족합니다.	Não tens Yang suficiente. 
개량을 하기 위한 재료가 부족합니다.	Não tens material suficiente para um melhoramento. 
개인상점 사용후 %d초 이내에는 귀환부,귀환기억부를 사용할 수 없습니다.	Não podes usar um Pergaminho do Retorno %d segundos depois de abrires um Armazém. 
거래 후 %d초 이내에 창고를 열수 없습니다.	Depois de negociares, terás de esperar %d segundos antes de abrires uma loja. 
거래 후 %d초 이내에는 귀환부,귀환기억부등을 사용할 수 없습니다.	Depois de negociares não podes usar um Pergaminho do Retorno durante %d segundos. 
거래 후 %d초 이내에는 다른지역으로 이동 할 수 없습니다.	Não podes ir a nenhum lado %d segundos depois de negociares. 
거래창,창고 등을 연 상태에서는 귀환부,귀환기억부 를 사용할수 없습니다.	Não podes usar o Pergaminho do Retorno enquanto estiver outra janela aberta. 
거래창,창고 등을 연 상태에서는 다른곳으로 이동,종료 할수 없습니다	Não podes ir a nenhum lado pouco depois de negociar. 
거래창,창고 등을 연 상태에서는 보따리,비단보따리를 사용할수 없습니다.	Não podes abrir o Armazém enquanto estiver outra janela aberta. 
거짓	FALSO 
건물 비용 정보 이상으로 건설 작업에 실패했습니다.	A construção do edifício não foi bem sucedida devido a um preço incorrecto. 
건물을 지을 수 없는 위치입니다.	Não podes construir um edifício neste local. 
건설 비용이 부족합니다.	Não possuis Yang suficiente para construir este edifício. 
건설에 필요한 건물이 지어져 있지 않습니다.	O Edifício Principal deverá ser construído antes. 
게임을 종료 합니다. 잠시만 기다리세요.	Estás a ser desligado do servidor. Por favor espera. 
결재기간이 %d분 후 만료 됩니다.	O teu Tempo de Jogo termina daqui a %d Minutos. 
결혼 상태가 아니면 결혼반지를 사용할 수 없습니다.	Não podes usar uma Aliança se não fores casado. 
결혼식이 종료됩니다.	O Casamento terminará em breve. 
결혼하지 않은 상태에서 예물을 착용할 수 없습니다.	Não podes usar este Item se não fores casado. 
경험치 %d%%	Experiência %d%% 
경험치 %d%% 추가 획득 이벤트 중입니다.	Actualmente o bónus de experiência é %d%%. 
경험치 배율	Percentagem de Experiência 
경험치가 부족하여 책을 읽을 수 없습니다.	Não podes ler isto porque tens pouca Experiência. 
고기가 미끼만 빼먹고 잽싸게 도망칩니다.	Perdeste o isco para o peixe. 
고기가 잡혔습니다! (%s)	Capturaste um peixe! (%s) 
고기가 흔적도 없이 사라집니다.	O peixe desapareceu nas águas profundas. 
곡괭이 수련도가 최대(%d)가 되었습니다.	Os teus Pontos de Garimpar atingiram o limite. (%d) 
곡괭이가 최대 수련도에 도달하였습니다.	Os teus Pontos de Garimpar foram aumentados para o valor mais alto possível. 
곡괭이를 들고 있지 않아서 캘 수 없습니다.	Não podes Garimpar sem uma Picareta. 
곡괭이를 장착하세요.	Precisas de uma Picareta para conseguires garimpar. 
곡괭이의 수련도가 증가하였습니다! (%d/%d)	Os teus Pontos de Garimpar aumentaram! (%d/%d) 
골드 드롭률 %d%% 추가 이벤트 중입니다.	A probabilidade de Cair Yang foi aumentada em %d%%! 
공격력 +%d	Poder de Ataque + %d 
공격력 +%d%%	Ataque + %d%% 
공격속도 +%d	Rapidez de Ataque +%d 
공부하기 싫어지네.	Não quero aprender mais. 
관전 모드로 길드전에 참가하셨습니다.	Podes participar na Guerra de Guilds em Modo Observador. 
관전 상태에서는 교환을 할 수 없습니다.	Não podes negociar enquanto estás no Modo de Observação. 
관통 추가 데미지 %d	Dano Adicional de Impacto %d 
국고에 돈이 부족하거나 돈을 가져올수 없는 상황입니다	Não tens Yang suficiente. 
국고에 돈이 부족합니다. 현재 : %u 필요금액 : %u	Fundos de Impostos insuficientes. Fundos Actuais : %u Fundos em Falta : %u 
국고에 자금이 모자랍니다 국고 : %d	Fundos de Imposto insuficientes: %d. 
군주 정보	Informação do Monarca 
군주가 내린 축복으로 모든 에너지가 가득 채워집니다	A energia é reflectida devido à Bênção dos Monarcas. 
군주만이 사용 가능한 기능입니다	Esta função apenas pode ser usada pelo Monarca. 
군주만이 사용가능 한 기능입니다	Apenas o Monarca pode usar isto. 
군주만이 사용할수 있는 기능입니다	Apenas um Monarca pode usar isto 
군주의 금강권 영향으로 이지역 %s 유저는 3분간 10 %% 의 방어력이  증가됩니다	Por ordem do Imperador Geum-Gang-Gwon o jogador %s recebe mais 10%% de Defesa durante 3 minutos. 
군주의 사자후 영향으로 이지역 %s 유저는 3분간 10 %% 의 공격력이  증가됩니다	Pelo Imperador Sa-Za-Hu o jogador %s recebe mais 10%% de força de ataque durante 3 minutos. 
군주의 자격을 가지고 있지 않습니다	Não tens as Qualificações necessárias para ser Monarca. 
군주의 축복으로 이지역 %s 유저는 HP,SP가 모두 채워집니다.	Quando a Bênção do Monarca é usada %s o teu VD e MN são restaurados novamente. 
군주의 축복을 사용하였습니다.	A Bênção do Monarca está activa. 
군직이 맞지않아 이 아이템을 사용할 수 없습니다.	Não podes usar esse Item porque não tens todas as qualificações. 
귀환에 실패하였습니다.	Teleportação falhada. 
그것으로 수련은 끝난 거야!	O treino está terminado. 
그래, 이 느낌이야. 체내에 기가 아주 충만해.	Sim, a sensação é óptima. O meu corpo está cheio de Chi. 
그래, 천천히. 좀더 천천히, 그러나 막힘 없이 빠르게!	Devagar, mas de forma segura... Sem paragens. 
그랜드 마스터 수련을 할 수 없는 스킬입니다.	Não podes treinar esta Habilidade até Grande Mestre. 
그런 명령어는 없습니다	Esta Ordem não existe. 
그런 사람이 없습니다.	Esta pessoa não existe. 
그런 이름 또는 번호의 길드가 없습니다.	Não existe uma Guild com este nome ou número. 
근력 +%d	Força +%d 
근력이 낮아 착용할 수 없습니다.	Não és suficientemente forte para equipares este item. 
금액이 부족합니다.	Yang inválido. 
기억된 위치가 타제국에 속해 있어서 귀환할 수 없습니다.	Não te podes teleportar para uma localização segura no interior de um Reino inimigo. 
기억해 둘 수 없는 위치 입니다.	Não podes marcar esta localização. 
기절하지 않음 %d%%	Não Atordoamento %d%% 
길드에 가입하지 않았습니다.	Não te juntaste a esta Guild. 
길드원	Membro 
길드장	Líder 
길드전에 참가한 상대방 길드원이 아무도 없습니다.	Não há Inimigos. 
길드전이 일찍 종료되어 무승부로 판정 되었습니다. (5분이 지나지 않음)	Uma vez que a Guerra de Guilds terminou antecipadamente, será decidida como um Empate. 
꿈속에서 어떻게요?	Nos meus sonhos? O quê? 
나무꾼를 통해 다음 레벨의 곡괭이로 업그레이드 할 수 있습니다.	Podes melhorar a tua Picareta com a ajuda do Lenhador Deokbae. 
나무에서 부터 신비한 빛이 나옵니다.	Uma luz misteriosa emerge da árvore. 
나보다 너무 높은 레벨의 몬스터로는 변신 할 수 없습니다.	Não te podes transformar num monstro que tenha um Nível acima do teu. 
나의 군주 정보	Informação de Monarca 
나의 삼거리 진행정보	Informação acerca da Guerras dos Reinos 
낚시 중에 미끼를 갈아끼울 수 없습니다.	Não podes mudar o isco enquanto pescas. 
낚시대가 아닌 물건으로 낚시를 할 수 없습니다!	Não podes pescar sem uma Cana de Pesca! 
낚시대가 최대 수련도에 도달하였습니다.	Tu já atingiste o máximo de pontos na Cana de Pesca. 
낚시대를 장착 하세요.	Por favor escolhe uma Cana de Pesca. 
낚시대에 %s를 미끼로 끼웁니다.	Prendeste um isco - %s - ao anzol. 
낚시대의 수련도가 증가하였습니다! (%d/%d)	Os teus Pontos de Pesca aumentaram! (%d/%d) 
낚시를 할 수 있는 곳이 아닙니다	Não consegues pescar neste local. 
낚시이벤트월척붕어	Evento de Pesca "Grande Zander" 
낚시이벤트잉어	'Carpa' do Evento de Pesca 
남은 생명력 양이 모자라 사용할 수 없습니다.	Não tens VD suficiente. 
남은 스탯 포인트가 없습니다.	Não restaram Pontos de Estado. 
남은 스탯 포인트가 적습니다.	O Pontos de Estado que restam são demasiado baixos. 
남은 정신력 양이 모자라 사용할 수 없습니다.	Não tens Mana (MN) suficiente para utilizar isto. 
너무 가까이 있습니다.	Estás demasiado próximo. 
너무 멀리 있습니다	Estás demasiado longe. 
넘어지지 않음 %d%%	Não Cair %d%% 
녀석들은 이곳 성지에 있을 자격을 잃었다. 모두 성지에서 물러나거라~~[ENTER][ENTER] 10초 후에 모두 마을로 이동하게 됩니다.	Não tens qualquer direito de estar aqui. Este é um lugar sagrado: Fora contigo! Irás regressar à tua Cidade dentro de 10 segundos. 
느려지지 않음 %d%%	Não Abrandamento %d%% 
님의 말	Cavalo 
다 읽었다! 이제 비급에 적혀있는 대로 전신에 기를 돌리기만 하면,	Eu li-o! Agora Chi irá correr pelo meu corpo. 
다른 거래중(창고,교환,상점)에는 개인상점을 사용할 수 없습니다.	Não podes abrir uma Loja Privada agora. 
다른 거래중(창고,교환,상점)에는 사용할 수 없습니다.	Não podes construir nada enquanto a Janela de Comércio/Armazém estiver aberta. 
다른 거래중일경우 개인상점을 열수가 없습니다.	Não podes abrir uma Loja Privada enquanto negoceias com outros. 
다른 거래창이 열려있을경우 거래를 할수 없습니다.	Se a Janela de Negociações estiver aberta não poderás negociar com outros. 
다른 거래창이 열린상태에서는 상점거래를 할수 가 없습니다.	Não podes negociar numa Loja Privada se tiveres outra Janela de Negociação aberta. 
다른 제국 유저는 소환할 수 없습니다.	Não podes recrutar jogadores de outros Reinos. 
다른 컴퓨터에서 로그인 하여 접속을 종료 합니다.	Alguém ligou-se na tua conta. Irás ser desconectado. 
다른거래창이 열린상태에서는 창고를 열수가 없습니다.	Não podes abrir um Armazém se tiveres outra janela aberta. 
다음 문제 준비해주세요.	Preparado(s) para a próxima questão? 
다이아몬드로 소켓을 추가해야합니다.	Tens de adicionar um Socket se quiseres usar um Diamante. 
단계 개량에 성공했습니다.	O melhoramento do nível de clareza foi bem sucedido. 
단계 개량에 실패했습니다.	O melhoramento do nível de clareza falhou. 
단계 개량에 필요한 재료가 아닙니다.	Este tem não é necessário para o refinamento. 
단계 개량할 수 없는 용혼석입니다.	Esta Pedra do Dragão não pode ser usada para refinamento. 
닫기	Fechar 
당신이 주사위를 굴려 %d가 나왔습니다. (%d-%d)	Jogaste os dados. Obtiveste %d (%d-%d) 
대련 강제 종료 성공	O cancelamento do Duelo foi bem sucedido. 
대련 강제 종료 실패	O Duelo não foi cancelado. 
대련 상대가 사라져 대련을 종료합니다.	Duelo terminado. O teu inimigo desapareceu. 
대련 시간 초과로 대련을 중단합니다.	O Duelo terminou porque acabou o tempo. 
대련 시작에 문제가 있습니다.	Existe um problema ao iniciar o Duelo. 
대련 중에는 이용할 수 없는 물품입니다.	Não podes usar este Item durante um Duelo. 
대련이 성공적으로 시작 되었습니다.	O Duelo foi iniciado com sucesso. 
대련이 시작되었습니다.	O Duelo começou. 
대련자 문제로 인하여 대련을 종료합니다.	O Duelo terminou porque existe um problema com o teu adversário. 
대련자 문제로 인하여 대련을 중단합니다.	O Duelo terminou porque existem problemas com a arena. 
대련자가 없습니다.	Não há inimigos disponíveis. 
대련장 문제로 인하여 대련을 종료합니다.	O Duelo terminou porque existe um problema com a arena. 
대련장에서 사용하실 수 없습니다.	Não podes usar isto na arena. 
대박골드 드롭률 %d%% 추가 이벤트 중입니다.	A probabilidade de Caírem Bolsas de Yang foi aumentada em %d%%! 
더 높은 경지의 수련을 성공적으로 끝내셨습니다.	Terminaste com sucesso o teu treino com o Livro. 
더 이상 OX이벤트 참가자를 받지 않습니다.	O Evento OX não aceita mais participantes. 
더 이상 개량할 수 없습니다.	Não é possível melhorar mais. 
더 이상 수련할 수 없습니다.	Não podes aumentar mais esta Habilidade. 
더 이상 승마 수련서를 읽을 수 없습니다.	Não podes ler mais Livros Arte de Equitação. 
더 이상 이 아이템을 이용하여 속성을 추가할 수 없습니다.	Este item já não pode ser melhorado. Já possui o número máximo de bónus possível. 
더이상 이 아이템을 이용하여 속성을 추가할 수 없습니다.	Terás de usar o Mármore da Bênção para adicionares outros bónus neste item. 
더이상 캐낼 수 없습니다.	Não há aqui nada para Garimpar. 
던전 안에서는 %s%s 사용할 수 없습니다.	%s%s não pode ser usado(a) numa Caverna. 
독 저항 %d%%	Resistência ao Veneno %d%% 
독공격 %d	Envenenar %d 
돈 %d 냥을 획득했습니다.	Recebeste %d Yang. 
돈 대박이 나올 확률	Rácio de Explosão de Yangs 
돈 드롭율 %.1f배	Probabilidade de encontrar Yang %. 1f 
돈이 나올 확률	Rácio de queda de Yang 
돈이 부족하거나 아이템이 제자리에 없습니다.	Não tens Yang suficiente ou tens pouco espaço no Inventário. 
동물류 몬스터 타격치 +%d%%	Poder de Ataque a Cavalo contra Monstros +%d%% 
동일한 머리 스타일로는 교체할 수 없습니다.	Tu já estás a usar este estilo de cabelo. 
두손검 방어 %d%%	Defesa de Espadas de 2 Mãos %d%% 
둔갑 중에는 능력을 올릴 수 없습니다.	Não podes alterar o teu estado enquanto estiveres transformado. 
둔갑 중에는 착용중인 장비를 변경할 수 없습니다.	Não podes mudar os Itens equipados enquanto estiveres transformado. 
둔갑서 수련을 마첬습니다. 신선에게 찾아가세요.	Aprendeste completamente a transformação. 
둔갑에 실패 하였습니다	Ocorreu um erro durante a transformação. 
둔갑할 수 없는 상태입니다.	Não te podes transformar enquanto estás montado. 
드디어 끝이 보이는 건가...  이 기술은 이해하기가 너무 힘들어..	Esta técnica é difícil de compreender. Tenho de continuar os estudos. 
등급 개량에 성공했습니다.	O refinamento de classe foi bem sucedido. 
등급 개량에 실패했습니다.	O refinamento de classe falhou. 
등급 개량에 필요한 재료가 아닙니다.	Este item não é necessário para melhorar o nível de clareza. 
떨어진 아이템은 %d분 후 사라집니다.	O item abandonado irá desaparecer daqui a %d minutos. 
떨어진 아이템은 3분 후 사라집니다.	O Item largado irá desaparecer dentro de 3 minutos. 
뜨거운 무엇이 계속 용솟음치고 있어! 이건, 이것은!	Parece que o treino já está a fazer efeito... 
레벨 20 이하는 핸드폰 번호를 등록할 수 없습니다.	O teu nível deve ser superior a 20 para registar um número de telemóvel. 
레벨 30이 되기 전에는 습득할 수 있을 것 같지 않습니다.	Precisas de ter pelo menos Nível 30 para compreenderes este livro. 
레벨 50이 되기 전에는 습득할 수 있을 것 같지 않습니다.	Precisas de ter pelo menos nível 50 para compreenderes este livro. 
레벨이 낮아 착용할 수 없습니다.	O teu Nível é demasiado baixo para equipares isto. 
로그인 화면으로 돌아 갑니다. 잠시만 기다리세요.	A voltar à página de login. Por favor espera. 
룻렛을 돌립니다. 금액 %d	Joga à Roleta por %d Yang. 
를	o 
마법 공격력 +%d	Ataque Mágico + %d 
마법 방어력 +%d	Defesa Mágica + %d 
마법 저항 %d%%	Resistência Mágica %d%% 
마음이 맑아지는군. 가슴을 짓누르던 무언가가 좀 가벼워진 느낌이야.	A tua mente está limpa. Podes agora concentrar-te. 
많은 참여 부탁드립니다.	Pedimos a participação de muitos jogadores. 
말 소환 아이템을 사용하세요.	Por favor utiliza um Item para chamar um Cavalo. 
말 소환에 실패하였습니다.	A tentativa de chamar o Cavalo falhou. 
말에게 %s%s 주었습니다.	Deste %s%s ao teu Cavalo. 
말에게 사료를 주었습니다.	Alimentaste o Cavalo. 
말에게 선초를 주었습니다.	Alimentaste o Cavalo com Ervas. 
말에서 먼저 내려야 합니다.	Tens de descer do teu Cavalo. 
말을 돌려보냈습니다.	Mandaste embora o teu Cavalo. 
말을 먼저 소환해주세요.	Por favor chama o teu Cavalo primeiro. 
말을 소유하고 있지 않습니다.	Não possuis um Cavalo. 
말을 탄 상대와 감정표현을 할 수 없습니다.	Não poderás usar emoções com um jogador que esteja a montar a cavalo. 
말을 탄 상태에서 감정표현을 할 수 없습니다.	Não poderás efectuar emoções enquanto estiveres a montar um cavalo. 
말을 탄 상태에서 예복을 입을 수 없습니다.	Não poderás usar isso enquanto montas um cavalo. 
말을 탄 상태에서는 먹이를 줄 수 없습니다.	Não podes alimentar o teu Cavalo montado nele. 
말의 스테미너가 부족하여 말을 탈 수 없습니다.	A resistência do teu Cavalo é demasiado baixa. 
말이 없습니다. 마굿간 경비병을 찾아가세요.	Não há Cavalo. Pergunta ao Rapaz dos Estábulos. 
말이 죽어있는 상태 입니다.	O teu Cavalo está morto. 
맞으면 O, 틀리면 X로 이동해주세요	Se estiver correcta dirige-te para o O, se estiver errada dirige-te para o X. 
머니  룰렛 시작.	Começar a Roleta de Yang. 
먼저 다이아몬드로 악세서리에 소켓을 추가해야합니다.	Precisas de usar um Diamante para adicionar um Socket. 
먼저 용혼석 퀘스트를 완료하셔야 합니다.	Antes de abrires o Cor Draconis tens de completar a missão da Pedra do Dragão e activar a Alquimia de Pedra do Dragão. 
먼저 일어 나세요.	Levanta-te primeiro. 
먼저 재가비서를 이용하여 속성을 추가시켜 주세요.	Só podes usar o Mármore da Bênção num item que já possua 4 bónus. 
메틴2인증번호: %s	Metin2 - Número de Confirmação: %s 
메틴석 부착에 성공하였습니다.	Adicionaste a Pedra com sucesso. 
메틴석 부착에 실패하였습니다.	Não adicionaste a Pedra com sucesso. 
명령어를 모두 입력하세요.	Por favor insere a Ordem completa. 
명령어의 서브 커맨드가 잘못 되었습니다.	A Subordem da Ordem está incorrecta. 
모닥불을 피울 수 없는 지점입니다.	Não podes acender uma Fogueira aqui. 
몬스터에게 강함 +%d%%	Forte contra Monstros + %d%% 
몸 속이 뜨겁군. 하지만 아주 편안해. 이대로 기를 안정시키자.	Estou a arder no meu interior, mas isso relaxa o meu corpo. 
몸에서 뭔가 힘이 터져 나오는 기분이야!	O meu corpo está cheio de energia! 
무기와 갑옷에만 사용 가능합니다.	Apenas pode ser usado em armas e armaduras. 
무당공격에 %d%% 저항	%d%% Resistência contra Ataques de Xamãs 
무당에게 강함 +%d%%	Forte contra Xamãs + %d%% 
무료 개량 기회는 20 이하의 무기만 가능합니다	As adições gratuitas a armas apenas podem ser usadas em armas até ao nível 20. 
무사공격에 %d%% 저항	%d%% Resistência contra Ataques de Guerreiros 
무사에게 강함 +%d%%	Forte contra Guerreiros + %d%% 
문자 메세지 전송에는 2000원이 필요 합니다.	Precisas de 2000 Yang para enviares uma mensagem. 
문자 메세지 전송은 레벨 20부터 할 수 있습니다.	Tens de estar pelo menos a nível 20 para poderes enviar mensagens de texto. 
문자 메세지를 전송 했습니다.	A tua mensagem de texto foi enviada. 
문제 입니다.	Questão. 
문제를 출제하였습니다.	Ocorreu um erro. 
문제를 출제하지 못했습니다.	Não ocorreram erros. 
