%d 권을 더 읽어야 수련을 완료 할 수 있습니다.	You have to read %d more skill books to improve this skill. 
%d 냥을 투자하셨습니다.	You have invested %d Yang. 
%d 냥을 획득하셨습니다.	You have won %d Yang. 
%d 레벨이 되어야 다시 염색하실 수 있습니다.	You need to have reached level %d to be able to dye your hair again. 
%d 분 %d 초 동안 채팅금지 상태입니다	%d minutes %d seconds left on your chat block 
%d 시간 %d 분 %d 초 동안 채팅금지 상태입니다	%d hours %d minutes %d seconds left on your chat block 
%d 시간 %d 초 동안 채팅금지 상태입니다	%d hours %d seconds left on your chat block 
%d 종류 %d 마리 낚음	You have caught %d of %d . 
%d 초 동안 채팅금지 상태입니다	%d seconds left on your chat block 
%d 초 후에 군주의 축복을 사용할 수 있습니다	After %d seconds you can use the Emperors Blessing. 
%d 초간 쿨타임이 적용중입니다.	Cooldown time for approximately %d seconds 
%d 초후 목적지로 이동됩니다.	You'll reach your destination in %d seconds. 
%d%% 확률로 관통 공격	Chance of a Speared Attack of %d%% 
%d%% 확률로 적퇴치시 경험치 추가 상승	Experience increases by %d%% if you win against an opponent. 
%d%% 확률로 적퇴치시 돈 2배 드롭	Increase of Yang up to %d%% if you win. 
%d%% 확률로 적퇴치시 생명력 회복	%d%% Chance of filling up Hit Points after a victory. 
%d%% 확률로 적퇴치시 아이템 2배 드롭	Increase of captured Items up to %d%% if you win. 
%d%% 확률로 적퇴치시 정신력 회복	Spell Points (SP) will be increased by %d%% if you win. 
%d%% 확률로 치명타 공격	Critical Attack with a chance of %d%% 
%d%% 확률로 타격시 상대 전신력 소모	With a chance of %d%% Spell Points (SP) will be taken from the enemy. 
%d%% 확률로 피해시 정신력 회복	Absorbing of Spell Points (SP) with a chance of %d%% 
%d분의 결제시간이 추가 되었습니다. (결제번호 %d)	%d Playtime added to your account. (Payment number %d) 
%d의 경험치를 획득했습니다.	You have received %d experience points. 
%d초 남았습니다.	%d seconds until Exit. 
%d초 만큼 충전되었습니다.	%d seconds have been added. 
%d초 후 게임이 셧다운 됩니다.	The game will be closed in %d seconds. 
%s : %d 마리	%s: %d 
%s SP소모: %d	%s FP-Consumption: %d 
%s killcount %d mobkillcount %d bosskillcount %d 성지 진입수 %d	%s killcount %d mobkillcount %d bosskillcount %d Number Holy Land %d 
%s 군주 후보에서 삭제하였습니다	%s is deleted as an Emperor Candidate. 
%s 군주로 입명 했습니다.	%s has been nominated as emperor. 
%s 군주르 제거 하였습니다..	The %s Emperor gets driven out. 
%s 군주를 제거 할수 없습니다.	The %s Emperor cannot be driven out. 
%s 길드가 %s 길드에 선전포고를 하였습니다!	The guild %s has declared war on %s! 
%s 길드가 %s 길드와의 전쟁에서 승리 했습니다.	%s has won the guild war against %s. 
%s 길드가 %s 길드의 깃발을 빼앗았습니다!	%s has captured the flag of %s! 
%s 길드와 %s 길드 사이의 전쟁이 무승부로 끝났습니다.	The guild war between %s and %s has ended in a draw. 
%s 길드와 %s 길드 사이의 전쟁이 취소되었습니다.	The guild war between %s and %s has been cancelled. 
%s 길드와 %s 길드가 잠시 후 전쟁을 시작합니다!	The guild war between %s and %s will start in a few minutes! 
%s 길드와 %s 길드가 전쟁을 시작하였습니다!	The guild war between %s and %s has begun! 
%s 길드의 %s이 %d%% 증가했습니다!	%s of the Guild %s raised up to %d%% ! 
%s 길드의 %s이 정상으로 돌아왔습니다.	%s of the Guild %s normal again. 
%s 길드의 깃발을 %s 님이 획득하였습니다.	The guild %s's flag has been stolen by player %s. 
%s 는 군주 후보가 아닙니다.	%s is not a candidate for the emperor elections. 
%s 는 군주로 입명할수 없습니다 .	%s cannot be nominated as emperor. 
%s 님과의 교환이 성사 되었습니다.	The trade with %s has been successful. 
%s 님에게 파티가입 신청을 했습니다.	You want to join %s's group. 
%s 님으로 부터 친구 등록을 거부 당했습니다.	%s declined the invitation. 
%s 님은 %d 채널에 접속 중 입니다. (현재 채널: %d)	The player %s is on channel %d at the moment. (Your channel: %d) 
%s 님은 접속되 있지 않습니다.	%s is not online. 
%s 님은 정상적으로 출마를 하였습니다.	%s player already in the vote. 
%s 님을 소환하였습니다.	You have recruited %s players. 
%s 님이 대련에서 승리하였습니다.	%s has won the duel. 
%s 님이 승리하였습니다.	%s has won. 
%s 블럭! (%d%%)	%s block! (%d%%) 
%s 아이템 을 획득하셨습니다	You have won %s items. 
%s 아이템이 필요합니다	You need %s. 
%s 에게로 이동합니다	Warp to player %s. 
%s 회피! (%d%%)	%s avoid! (%d%%) 
%s: 존재하지 않는 길드 입니다.	%s: This guild does not exist. 
%s[%d]가 공격 위치: %d %d	%s[%d]'s Attack Position: %d %d 
%s님과의 대결 시작!	The battle with %s has begun! 
%s님이 대결신청을 했습니다. 승낙하려면 대결동의를 하세요.	%s challenged you to a battle! 
%s님이 주사위를 굴려 %d가 나왔습니다. (%d-%d)	%s rolled dice. He/she got %d (%d-%d). 
%s를 구웠습니다.	You are roasting %s over the fire. 
%s에 박혀있던 보석이 사라집니다.	A gem made of %s has vanished. 
%s에 전쟁의 시작을 알리는 봉화가 나타났습니다.	A bonfire was inflamed at %s to warn because of a battle. 
%s에게 대결신청을 했습니다.	You have challenged %s to a battle. 
%s에서 봉화를 둘러싸고 전투가 진행중입니다.	There are %s wars to inflame the bonfires. 
%s에서 소켓 빠질때까지 남은 시간 %d	Time left until the removal of the socket of %s: %d 
%s의 %s이 %d%% 증가했습니다!	%s: %s has increased by %d%%! 
%s의 %s이 정상으로 돌아왔습니다.	%s 's %s normal again. 
%s의 군주가 %s 님으로 교체되었습니다.	The emperor of %s has changed to %s. 
%s이 모든 봉화를 파괴하였습니다.	%s has destroyed all the bonfires. 
%s이 봉화를 파괴했습니다.	%s has destroyed the bonfire. 
%s이 수성에 성공했습니다.	%s has successfully defended. 
%s이 수성에 실패하여 전쟁에 패배하였습니다..	%s lost the war as they have not been able to defend the castle. 
%s이 필요합니다.	For this action you need: %s 
건물을 지을 수 없는 위치입니다.	You cannot erect a building at this place. 
건설 비용이 부족합니다.	You do not have enough Yang to erect this building. 
건설에 필요한 건물이 지어져 있지 않습니다.	The Main Building has to be erected first. 
게임을 종료 합니다. 잠시만 기다리세요.	You have been disconnected from the server. Please wait. 
결재기간이 %d분 후 만료 됩니다.	Your playing time is going to run out in %d minutes. 
결혼 상태가 아니면 결혼반지를 사용할 수 없습니다.	You cannot wear a Wedding Ring if you are not married. 
결혼식이 종료됩니다.	The wedding is finishing soon. 
결혼하지 않은 상태에서 예물을 착용할 수 없습니다.	You cannot use this item because you are not married. 
경험치 %d%%	Experience %d%% 
경험치 %d%% 추가 획득 이벤트 중입니다.	The experience bonus is currently an additional %d%%. 
경험치 배율	Experience percentage 
경험치가 부족하여 책을 읽을 수 없습니다.	You cannot read this due to your lack of experience. 
고기가 미끼만 빼먹고 잽싸게 도망칩니다.	You lost your bait to the fish. 
고기가 잡혔습니다! (%s)	You have caught a fish! (%s) 
고기가 흔적도 없이 사라집니다.	The fish vanished in the depths of the water. 
곡괭이 수련도가 최대(%d)가 되었습니다.	Your mining points have reached their maximum. (%d) 
곡괭이가 최대 수련도에 도달하였습니다.	Your mining points have reached their maximum level. 
곡괭이를 들고 있지 않아서 캘 수 없습니다.	You cannot mine without a Pick. 
곡괭이를 장착하세요.	You need a Pickaxe in order to extract ore! 
곡괭이의 수련도가 증가하였습니다! (%d/%d)	Your Mining Points have increased! (%d/%d) 
골드 드롭률 %d%% 추가 이벤트 중입니다.	The quota of the Yang Drop is at the moment plus %d%% 
공격력 +%d	Attack Power + %d 
공격력 +%d%%	Attack + %d%% 
공격속도 +%d	Attack Speed +%d 
공부하기 싫어지네.	I do not want to learn any more. 
관전 모드로 길드전에 참가하셨습니다.	You can participate in the guild battle in viewer mode. 
관전 상태에서는 교환을 할 수 없습니다.	You cannot trade while observing. 
관통 추가 데미지 %d	Additional Stabbing Weapon Damage %d 
국고에 돈이 부족하거나 돈을 가져올수 없는 상황입니다	You do not have enough Yang. 
국고에 돈이 부족합니다. 현재 : %u 필요금액 : %u	Lack of Taxes. Current Capital : %u Missing Capital : %u 
국고에 자금이 모자랍니다 국고 : %d	Not enough tax income : %d. 
군주 정보	Information about the emperor 
군주가 내린 축복으로 모든 에너지가 가득 채워집니다	The energy is reflected because of the Emperors Blessing. 
군주만이 사용 가능한 기능입니다	This function can only be used by the emperor. 
군주만이 사용가능 한 기능입니다	Only the emperor can use this. 
군주만이 사용할수 있는 기능입니다	Only an emperor can use this. 
군주의 금강권 영향으로 이지역 %s 유저는 3분간 10 %% 의 방어력이  증가됩니다	By the Emperor Geum-Gang-Gwon the player %s gets 10 %% more armour for 3 minutes. 
군주의 사자후 영향으로 이지역 %s 유저는 3분간 10 %% 의 공격력이  증가됩니다	Due to Emperor Sa-Za-Hu, the player %s will receive an attack power increase of 10 %% for 3 minutes in this area. 
군주의 자격을 가지고 있지 않습니다	You do not have the emperor qualification. 
군주의 축복으로 이지역 %s 유저는 HP,SP가 모두 채워집니다.	When the Blessing of the Emperor is used %s the HP and SP are restored again. 
군주의 축복을 사용하였습니다.	The Emperor Blessing is activated. 
군직이 맞지않아 이 아이템을 사용할 수 없습니다.	You cannot use this item because you do not fulfil all the requirements. 
귀환에 실패하였습니다.	Teleportation has failed. 
그것으로 수련은 끝난 거야!	The training is completed. 
그래, 이 느낌이야. 체내에 기가 아주 충만해.	Yes, that feels great. My body is full of Chi. 
그래, 천천히. 좀더 천천히, 그러나 막힘 없이 빠르게!	A little slow, but steady... Without stopping! 
그랜드 마스터 수련을 할 수 없는 스킬입니다.	You cannot train this skill up to Grand Master level. 
그런 명령어는 없습니다	This command does not exist. 
그런 사람이 없습니다.	This person does not exist. 
그런 이름 또는 번호의 길드가 없습니다.	A guild with this name or number does not exist. 
근력 +%d	Strength +%d 
근력이 낮아 착용할 수 없습니다.	You are not strong enough to equip yourself with this item. 
금액이 부족합니다.	Invalid Yang. 
기억된 위치가 타제국에 속해 있어서 귀환할 수 없습니다.	You cannot teleport to a safe position in a foreign Kingdom. 
기억해 둘 수 없는 위치 입니다.	You cannot store this location. 
기절하지 않음 %d%%	No Dizziness %d%% 
길드에 가입하지 않았습니다.	You did not join this Guild. 
길드원	Member 
길드장	Leader 
길드전에 참가한 상대방 길드원이 아무도 없습니다.	There are no opponents. 
길드전이 일찍 종료되어 무승부로 판정 되었습니다. (5분이 지나지 않음)	Because the guild war finished early, the result will judged as a draw. 
꿈속에서 어떻게요?	In my Dreams? What? 
나무꾼를 통해 다음 레벨의 곡괭이로 업그레이드 할 수 있습니다.	You can get lumberjack Deokbae to upgrade your Pickaxe. 
나무에서 부터 신비한 빛이 나옵니다.	A mysterious light appears from the tree. 
나보다 너무 높은 레벨의 몬스터로는 변신 할 수 없습니다.	You cannot transform into a monster who has a higher level than you. 
나의 군주 정보	My information about the emperor 
나의 삼거리 진행정보	Information about the status of the kingdom battle 
낚시 중에 미끼를 갈아끼울 수 없습니다.	You cannot change the Bait whilst fishing. 
낚시대가 아닌 물건으로 낚시를 할 수 없습니다!	You can't go fishing without a fishing pole! 
낚시대가 최대 수련도에 도달하였습니다.	You have reached the maximum number of fishing points. 
낚시대를 장착 하세요.	Please choose a Fishing Pole. 
낚시대에 %s를 미끼로 끼웁니다.	You attached %s to the hook as bait. 
낚시대의 수련도가 증가하였습니다! (%d/%d)	Your fishing points have increased! (%d/%d) 
낚시를 할 수 있는 곳이 아닙니다	You cannot fish here. 
낚시이벤트월척붕어	Fishing Event 'Great Zander' 
낚시이벤트잉어	Fishing Event 'Carp' 
남은 생명력 양이 모자라 사용할 수 없습니다.	You don't have enough HP. 
남은 스탯 포인트가 없습니다.	No status points left. 
남은 스탯 포인트가 적습니다.	Remaining status points are too low. 
남은 정신력 양이 모자라 사용할 수 없습니다.	You don't have enough Spell Points (SP) to use this. 
너무 가까이 있습니다.	You are too near. 
너무 멀리 있습니다	You are too far away. 
넘어지지 않음 %d%%	No falling down %d%% 
녀석들은 이곳 성지에 있을 자격을 잃었다. 모두 성지에서 물러나거라~~[ENTER][ENTER] 10초 후에 모두 마을로 이동하게 됩니다.	You do not have the right to be here. Go away! You will sent back to your village in 10 seconds. 
느려지지 않음 %d%%	No Slowing Down %d%% 
님의 말	's Horse 
다 읽었다! 이제 비급에 적혀있는 대로 전신에 기를 돌리기만 하면,	I have read it! Now the Chi will spread through my body. 
다른 거래중(창고,교환,상점)에는 개인상점을 사용할 수 없습니다.	You can't use a private shop now. 
다른 거래중(창고,교환,상점)에는 사용할 수 없습니다.	You cannot build something while another trade/storeroom window is open. 
다른 거래중일경우 개인상점을 열수가 없습니다.	You cannot open a private shop while you are trading with others. 
다른 거래창이 열려있을경우 거래를 할수 없습니다.	If the trade window is open, you cannot trade with others. 
다른 거래창이 열린상태에서는 상점거래를 할수 가 없습니다.	You cannot trade in the shop if another trade window is open. 
다른 제국 유저는 소환할 수 없습니다.	You cannot recruit players from another kingdom. 
다른 컴퓨터에서 로그인 하여 접속을 종료 합니다.	Someone has logged into your account. You will be disconnected from the server. 
다른거래창이 열린상태에서는 창고를 열수가 없습니다.	You cannot open a Storeroom if another trade window is open. 
다음 문제 준비해주세요.	Ready for the next question? 
다이아몬드로 소켓을 추가해야합니다.	You have to add a Socket if you want to use a Diamond. 
단계 개량에 성공했습니다.	Improvement of the clarity level successful. 
단계 개량에 실패했습니다.	Improvement of the clarity level failed. 
단계 개량에 필요한 재료가 아닙니다.	This item is not required for refinement. 
단계 개량할 수 없는 용혼석입니다.	This Dragon Stone cannot be used for refinement. 
닫기	Close 
당신이 주사위를 굴려 %d가 나왔습니다. (%d-%d)	You rolled dice. You got %d (%d-%d). 
대련 강제 종료 성공	Duel cancelled successfully. 
대련 강제 종료 실패	Duel has not been successfully cancelled. 
대련 상대가 사라져 대련을 종료합니다.	The duel has finished, because your combatant vanished. 
대련 시간 초과로 대련을 중단합니다.	The duel has finished because of a timeout. 
대련 시작에 문제가 있습니다.	There is a problem with initiating the duel. 
대련 중에는 이용할 수 없는 물품입니다.	You cannot use this item in a duel. 
대련이 성공적으로 시작 되었습니다.	The duel has been successfully started. 
대련이 시작되었습니다.	The duel has begun. 
대련자 문제로 인하여 대련을 종료합니다.	The duel is being cancelled as there is a problem with the combatant. 
대련자 문제로 인하여 대련을 중단합니다.	The duel has been stopped because there is a problem in the arena. 
대련자가 없습니다.	There are no combatants. 
대련장 문제로 인하여 대련을 종료합니다.	The duel is being finished because there is a problem in the duel arena. 
대련장에서 사용하실 수 없습니다.	You cannot use this in the duel arena. 
대박골드 드롭률 %d%% 추가 이벤트 중입니다.	The quota of the Yang Drop is at the moment plus %d%% 
더 높은 경지의 수련을 성공적으로 끝내셨습니다.	You successfully finished your training with the book. 
더 이상 OX이벤트 참가자를 받지 않습니다.	OX Event is not accepting any more participants. 
더 이상 개량할 수 없습니다.	No further improvements possible. 
더 이상 수련할 수 없습니다.	You cannot improve this skill any further. 
더 이상 승마 수련서를 읽을 수 없습니다.	You cannot read any more Riding Guides. 
더 이상 이 아이템을 이용하여 속성을 추가할 수 없습니다.	This item can no longer be improved. The maximum number of bonuses has been reached. 
더이상 이 아이템을 이용하여 속성을 추가할 수 없습니다.	You must use the Blessing Marble in order to add another bonus to this item. 
더이상 캐낼 수 없습니다.	Nothing to mine here. 
던전 안에서는 %s%s 사용할 수 없습니다.	%s%s cannot be used in a dungeon. 
독 저항 %d%%	Poison Resistance %d%% 
독공격 %d	Poison Attack %d 
돈 %d 냥을 획득했습니다.	You have received %d Yang. 
돈 대박이 나올 확률	Percentage of Yang Tenners dropped 
돈 드롭율 %.1f배	Chance to find Yang %. 1f 
돈이 나올 확률	Yang drop rate in percent 
돈이 부족하거나 아이템이 제자리에 없습니다.	Not enough Yang or not enough space in the inventory. 
동물류 몬스터 타격치 +%d%%	Horse's Attack Power against Monsters +%d%% 
동일한 머리 스타일로는 교체할 수 없습니다.	You already have this Hairstyle. 
두손검 방어 %d%%	Two-Handed Sword Defence %d%% 
둔갑 중에는 능력을 올릴 수 없습니다.	You cannot change your status while you are transformed. 
둔갑 중에는 착용중인 장비를 변경할 수 없습니다.	You cannot change the equipped item while you are transformed. 
둔갑서 수련을 마첬습니다. 신선에게 찾아가세요.	You learned the transmutation completely. 
둔갑에 실패 하였습니다	Transformation error. 
둔갑할 수 없는 상태입니다.	You cannot transform while you are riding. 
드디어 끝이 보이는 건가...  이 기술은 이해하기가 너무 힘들어..	These instructions are difficult to understand. I have to carry on studying. 
등급 개량에 성공했습니다.	Refinement up one class was successful. 
등급 개량에 실패했습니다.	Refinement up one class failed. 
등급 개량에 필요한 재료가 아닙니다.	This item is not required for improving the clarity level. 
떨어진 아이템은 %d분 후 사라집니다.	The dropped item will disappear after %d minutes. 
떨어진 아이템은 3분 후 사라집니다.	The dropped item will vanish in 3 minutes. 
뜨거운 무엇이 계속 용솟음치고 있어! 이건, 이것은!	The training seems to be working already... 
레벨 20 이하는 핸드폰 번호를 등록할 수 없습니다.	Your level has to be higher than 20 to register a cell phone number. 
레벨 30이 되기 전에는 습득할 수 있을 것 같지 않습니다.	You need to have a minimum level of 30 to understand this book. 
레벨 50이 되기 전에는 습득할 수 있을 것 같지 않습니다.	You need a minimum level of 50 to understand this book. 
레벨이 낮아 착용할 수 없습니다.	Your level is too low to equip this item. 
로그인 화면으로 돌아 갑니다. 잠시만 기다리세요.	Back to login window. Please wait. 
룻렛을 돌립니다. 금액 %d	Turn the Roulette for %d Yang. 
를	the 
마법 공격력 +%d	Magical Attack + %d 
마법 방어력 +%d	Magical Defence + %d 
마법 저항 %d%%	Magic Resistance %d%% 
마음이 맑아지는군. 가슴을 짓누르던 무언가가 좀 가벼워진 느낌이야.	Your mind is clear. You can concentrate really well now. 
많은 참여 부탁드립니다.	We request the participation of a lot of players. 
말 소환 아이템을 사용하세요.	Please use an item to call a Horse. 
말 소환에 실패하였습니다.	Calling the Horse has failed. 
말에게 %s%s 주었습니다.	You have fed the Horse with %s%s. 
말에게 사료를 주었습니다.	You have fed the Horse. 
말에게 선초를 주었습니다.	You fed the Horse with Herbs. 
말에서 먼저 내려야 합니다.	You have to get off your Horse. 
말을 돌려보냈습니다.	You have sent your horse away. 
말을 먼저 소환해주세요.	Please call your Horse first. 
말을 소유하고 있지 않습니다.	You do not have a Horse. 
말을 탄 상대와 감정표현을 할 수 없습니다.	You cannot use emotions with a player who is riding on a Horse. 
말을 탄 상태에서 감정표현을 할 수 없습니다.	You cannot express emotions whilst riding a horse. 
말을 탄 상태에서 예복을 입을 수 없습니다.	You cannot use it whilst riding a Horse. 
말을 탄 상태에서는 먹이를 줄 수 없습니다.	You cannot feed your Horse whilst sitting on it. 
말의 스테미너가 부족하여 말을 탈 수 없습니다.	Your Horse's endurance is too low. 
말이 없습니다. 마굿간 경비병을 찾아가세요.	No Horse here. Ask the Stable Boy. 
말이 죽어있는 상태 입니다.	Your Horse is dead. 
맞으면 O, 틀리면 X로 이동해주세요	If it's correct, then go to O. If it's wrong, go to X. 
머니  룰렛 시작.	Start Yang Roulette. 
먼저 다이아몬드로 악세서리에 소켓을 추가해야합니다.	You have to add a socket first. Use a diamond in order to do this. 
먼저 용혼석 퀘스트를 완료하셔야 합니다.	Before you open the Cor Draconis, you have to complete the Dragon Stone quest and activate the Dragon Stone Alchemy. 
먼저 일어 나세요.	Get up first. 
먼저 재가비서를 이용하여 속성을 추가시켜 주세요.	You can only use the Blessing Marble with an item which already has 4 bonuses. 
메틴2인증번호: %s	Metin2 Confirmation Number: %s 
메틴석 부착에 성공하였습니다.	You have attached the Spirit Stone successfully. 
메틴석 부착에 실패하였습니다.	The Spirit Stone broke while being attached. 
명령어를 모두 입력하세요.	Please enter the Order in full length. 
명령어의 서브 커맨드가 잘못 되었습니다.	Suborder or the Order is incorrect. 
모닥불을 피울 수 없는 지점입니다.	You cannot build a campfire here. 
몬스터에게 강함 +%d%%	Strength against monsters + %d%% 
몸 속이 뜨겁군. 하지만 아주 편안해. 이대로 기를 안정시키자.	I am burning inside, but it is calming down my body. My Chi has to stabilise. 
몸에서 뭔가 힘이 터져 나오는 기분이야!	My body is full of energy! 
무기와 갑옷에만 사용 가능합니다.	Can only be used on weapons and armour. 
무당공격에 %d%% 저항	%d%% Resistance against Shaman Attacks 
무당에게 강함 +%d%%	Strong against Shamans + %d%% 
무료 개량 기회는 20 이하의 무기만 가능합니다	The free weapon improvements can only be used on weapons up to level 20. 
무사공격에 %d%% 저항	%d%% Resistance against Warrior Attacks 
무사에게 강함 +%d%%	Strong against Warriors + %d%% 
문자 메세지 전송에는 2000원이 필요 합니다.	You need 2000 DT to send a text message. 
문자 메세지 전송은 레벨 20부터 할 수 있습니다.	You need to be at least on level 20 to be able to send text messages. 
문자 메세지를 전송 했습니다.	Your text message has been sent. 
문제 입니다.	Question. 
문제를 출제하였습니다.	An error has occurred. 
문제를 출제하지 못했습니다.	No errors occurred. 
물 속에 모닥불을 피울 수 없습니다.	You cannot build a campfire under water. 
물리타격시 블럭 확률 %d%%	%d%% Chance of blocking a close-combat attack 
물약 사용시 %d%% 성능 증가	Power increase of up to %d%% after taking the potion. 
물약 제조에 실패했습니다.	The potion production has failed. 
물약 제한이 없습니다.	There is no limit for Potions. 
물약 조합을 위한 재료가 부족합니다.	You are missing some ingredients to make the potion. 
물약을 %d 개 까지 사용 가능합니다.	You can use up to %d potions. 
뭔가 몸 안에 힘이 생기는 기분인 걸.	I feel refreshed. 
미끼를 끼고 던져 주세요.	Place the Bait on the Hook first. 
민첩 +%d	Dexterity +%d 
민첩이 낮아 착용할 수 없습니다.	Your dexterity is too low to equip yourself with this item. 
밀교류 타격치 +%d%%	Attack Boost against Milgyo + %d%% 
바람 저항 %d%%	Wind Resistance %d%% 
방어력 +%d	Armour + %d 
방어력 +%d%%	Defence + %d%% 
방울 방어 %d%%	Bell Defence %d%% 
배 속에서 조개가 나왔습니다.	There is a Shell inside the Fish. 
배 속에서 지렁이가 나왔습니다.	There is a Worm inside the Fish. 
버릴 수 없는 아이템입니다.	You cannot drop this item. 
변경할 속성이 없습니다.	There is no upgrade that you can change. 
변신 상태에서는 말에 탈 수 없습니다.	You cannot ride a Horse while you are transformed. 
변신중에는 책을 읽을수 없습니다.	You cannot read a book while you are transformed. 
부착할 수 있는 슬롯이 없습니다.	No slot free. 
부채 방어 %d%%	Fan Defence %d%% 
불법 프로그램이 감지 되어 게임이 종료 됩니다.	Illegal software has been detected. The game is being shut down. 
비속어나 은어가 포함된 상점 이름으로 상점을 열 수 없습니다.	You can't give your shop an invalid name. 
빈 병이 모자릅니다.	You do not have enough empty bottles. 
빼낼 수 있는 메틴석이 없습니다.	There is no Stone available to take out. 
빼낼 영석이 없습니다	There is no stone available for removal. 
사귀 타워 완료 보상은 한번까지 사용가능합니다.	You can only be rewarded once for the Demon Tower Quest. 
사용 제한량을 초과하였습니다.	That is over the limit. 
사용법: transfer <name>	Use: transfer <name> 
사용법: warpto <character name>	Command: warp to <character name> 
사용할수 없습니다.	This function is not available right now. 
삼거리 몹 리젠	Number of Monsters in the Kingdom Battle: 
삼거리 전투 참가중에는 귀환부,귀환기억부를 사용할수 없습니다.	You cannot use a return scroll whilst taking part in a kingdom battle. 
삼거리 전투에서 %s 국가가 가장먼저 탈락을 하였습니다	%s has been defeated and drops out of the Kingdom Battle. 
상대방 캐릭터가 접속을 종료하여 대련을 중지합니다.	The combatants have been separated. The duel has been stopped. 
상대방 캐릭터의 문제로 인하여 대련을 종료합니다.	Your combatant has got some problems. The duel is being cancelled. 
상대방의 돈이 부족하거나 아이템이 제자리에 없습니다.	The other person does not have enough Yang or does not have any space left in their inventory. 
상대방의 소지품에 빈 공간이 없습니다.	The other person has no space left in their inventory. 
상대방의 총금액이 20억 냥을 초과하여 거래를 할수가 없습니다..	The player has more than 2 Billion Yang. You cannot trade with him. 
상대방이 %d 채널에 있습니다. (현재 채널 %d)	The player is playing on channel %d. (You are on channel %d.) 
상대방이 교환 거부 상태입니다.	The other person has cancelled the trade. 
상대방이 다른 거래를 하고 있는 중입니다.	This player is already trading with another player. 
상대방이 다른 거래중이라 거래를 할수 없습니다.	The other person is already trading, so you cannot trade right now. 
상대방이 대련중입니다.	This player is currently fighting. 
상대방이 메신져 추가 거부 상태입니다.	The player has rejected your request to add him to your friend list. 
상대방이 온라인 상태가 아닙니다.	This player is not online. 
상대방이 있는 곳으로 워프할 수 없습니다.	You cannot teleport to the player. 
상대방이 친구 추가를 받을 수 없는 상태입니다.	You cannot add the person standing opposite you to your friends. 
상대방이 파티에 속해있지 않습니다.	This player is not in this group. 
상자가 갑자기 폭발하였습니다! 생명력이 감소했습니다.	The box suddenly exploded! You have lost Hit Points (HP). 
상자에서 %s 가 %d 개 나왔습니다.	You have received %s, %d units. 
상자에서 %s 가 나왔습니다.	The box contains %s. 
상자에서 나온 녹색 연기를 들이마시자 독이 온몸으로 퍼집니다!	If you inhale the green smoke that is coming out of the box, the poison will spread through your body! 
상자에서 나온 빨간 연기를 들이마시자 움직이는 속도가 느려졌습니다!	If you inhale the red smoke coming out of the box, your speed will increase! 
상자에서 몬스터가 나타났습니다!	A monster has come out of the box! 
상자에서 부터 신비한 빛이 나옵니다.	A mysterious light comes out of the box. 
상점과의 거리가 너무 멀어 물건을 살 수 없습니다.	You are too far away from the shop to buy something. 
상점과의 거리가 너무 멀어 물건을 팔 수 없습니다.	You are too far away from the shop to sell something. 
상품을 받을 인벤토리가 부족합니다. 인벤토리를 비워주세요!	You do not have enough space in your inventory to accept the reward. 
생각만큼 읽기가 쉽지가 않군. 이해도 어렵고 내용도 난해해.	It is a lot more complicated and more difficult to understand than I thought. 
생명력 회복 +%d	Energy Recovery +%d 
서버에 치명적인 오류가 발생하여 자동으로 재부팅됩니다.	A critical server error has occurred. The server will restart automatically. 
선악치가 %d 증가하였습니다.	Your rank has increased by %d points. 
선악치를 더 이상 올릴 수 없습니다.	The rank points cannot be increased further. 
선택 맵 정보 성지 %d 통로 %d %d %d	Choose the Map Information of the Holy Land %d Entrance %d %d %d; 
성별이 맞지않아 이 아이템을 사용할 수 없습니다.	You are not able to use that item because you do not have the right gender. 
성별이 맞지않아 이 아이템을 열 수 없습니다.	This item can only be opened by the another gender. 
성에서만 사용할 수 있는 기능입니다.	You are only able to use this function while you are at the castle. 
성지에서 부활 기회를 모두 잃었습니다! 마을로 이동합니다!	The waiting time has expired. You will be revived in the city. 
성지의 마왕: 너희	The devil of the hallowed place 
세금이 %d %로 설정되었습니다	Taxes are set to %d % . 
셧다운이 %d초 남았습니다.	%d seconds until Exit. 
소유 돈이 20억냥을 넘어 거래를 핼수가 없습니다.	You have more than 2 Billion Yang with you. You cannot trade. 
소지금이 부족하여 이 아이템을 사용할 수 없습니다.	You do not have enough Yang to use this item. 
소지품에 빈 공간이 없습니다.	There isn't enough space in your inventory. 
소지하고 있는 아이템이 너무 많습니다.	You have too many items in your inventory. 
소켓 추가에 실패하였습니다.	No socket added. 
소켓이 성공적으로 추가되었습니다.	Socket successfully added. 
소환할수 없는 몬스터 입니다. 소환가능한 몬스터는 홈페이지를 참조하세요	The Monster cannot be called. Check the Mob Number. 
속성 추가에 성공하였습니다.	Upgrade successfully added. 
속성 추가에 실패하였습니다.	No upgrade added. 
속성을 바꾼지 %d분 이내에는 다시 변경할 수 없습니다.(%d 분 남음)	You can only do this %d minutes after an upgrade. (%d minutes left) 
속성을 변경하였습니다.	You have changed the upgrade. 
속성을 변경할 수 없는 아이템입니다.	You cannot change the upgrade of this item. 
수라공격에 %d%% 저항	%d%% Resistance against Sura Attacks 
수라에게 강함 +%d%%	Strong against Sura + %d%% 
수련이 실패로 끝났습니다. 다시 도전해주시기 바랍니다.	Training has failed. Please try again later. 
수련할 수 없는 스킬입니다.	You cannot train this skill. 
