%d 권을 더 읽어야 수련을 완료 할 수 있습니다.	Bu yeteneği geliştirmek için %d Yetenek Kitabı daha okumalısınız. 
%d 냥을 투자하셨습니다.	%d Yang yatırdın. 
%d 냥을 획득하셨습니다.	%d Yang kazandın. 
%d 레벨이 되어야 다시 염색하실 수 있습니다.	Saçını tekrar boyayabilmek için %d. seviyeye ulaşman gerekli. 
%d 분 %d 초 동안 채팅금지 상태입니다	Sohbet bloklamanızın kalkmasına %d dakika %d saniye kaldı 
%d 시간 %d 분 %d 초 동안 채팅금지 상태입니다	Sohbet bloklamanızın kalkmasına %d saat %d dakika %d saniye kaldı 
%d 시간 %d 초 동안 채팅금지 상태입니다	Sohbet bloklamanızın kalkmasına %d saat %d saniye kaldı 
%d 종류 %d 마리 낚음	%d nın %d Yakaladın. 
%d 초 동안 채팅금지 상태입니다	Sohbet engelinizin kalkmasına %d saniye kaldı 
%d 초 후에 군주의 축복을 사용할 수 있습니다	%d saniye sonra İmparator Kutsamasını kullanabilirsin. 
%d 초간 쿨타임이 적용중입니다.	Dinlenme Süresi yaklaşık %d saniye 
%d 초후 목적지로 이동됩니다.	%d saniye içinde hedefte olacaksın. 
%d%% 확률로 관통 공격	Delici saldırı şansı %d%% 
%d%% 확률로 적퇴치시 경험치 추가 상승	Eğer kazanırsan tecrübe %d%% artacak. 
%d%% 확률로 적퇴치시 돈 2배 드롭	Eğer kazanırsan Yang %d%% artacak. 
%d%% 확률로 적퇴치시 생명력 회복	Kazandıktan sonra hayat puanın %d%% oranında artacak. 
%d%% 확률로 적퇴치시 아이템 2배 드롭	Eğer kazanırsan ele geçirilen nesne %d%% artacak. 
%d%% 확률로 적퇴치시 정신력 회복	Eğer kazanırsan SP %d%% artacak. 
%d%% 확률로 치명타 공격	Kritik saldırı şansı %d%% 
%d%% 확률로 타격시 상대 전신력 소모	%d%% oranında SP düşmandan çalma şansı. 
%d%% 확률로 피해시 정신력 회복	Oranında SP emiliyor %d%% . 
%d분의 결제시간이 추가 되었습니다. (결제번호 %d)	%d oyun süresi hesabınıza eklendi. (Ödeme Numarası %d) 
%d의 경험치를 획득했습니다.	%d Tecrübe Puanı kazandın. 
%d초 남았습니다.	%d saniye sonra oyun kapanacak. 
%d초 만큼 충전되었습니다.	%d saniye eklendi. 
%d초 후 게임이 셧다운 됩니다.	Oyun %d saniye sonra kapanacak. 
%s : %d 마리	%s: %d 
%s SP소모: %d	%s FP Kullanımı: %d 
%s killcount %d mobkillcount %d bosskillcount %d 성지 진입수 %d	%s öldürülen %d öldürülen mob %d öldürülen lider %d Kutsal alan numarası %d 
%s 군주 후보에서 삭제하였습니다	İmparator adayı olarak %s silindi. 
%s 군주로 입명 했습니다.	%s İmparator adayı olarak gösterildi. 
%s 군주르 제거 하였습니다..	%s İmparatorluk görevini bıraktı. 
%s 군주를 제거 할수 없습니다.	%s İmparatoru görevi bırakamaz. 
%s 길드가 %s 길드에 선전포고를 하였습니다!	%s, %s loncasına karşı savaş ilan etti! 
%s 길드가 %s 길드와의 전쟁에서 승리 했습니다.	Lonca savaşında %s, %s loncasına karşı kazandı. 
%s 길드가 %s 길드의 깃발을 빼앗았습니다!	%s Loncası %s Loncasının bayrağını ele geçirdi! 
%s 길드와 %s 길드 사이의 전쟁이 무승부로 끝났습니다.	%s ile %s arasındaki lonca savaşı berabere sonuçlandı! 
%s 길드와 %s 길드 사이의 전쟁이 취소되었습니다.	%s ile %s arasındaki lonca savaşı iptal oldu! 
%s 길드와 %s 길드가 잠시 후 전쟁을 시작합니다!	%s ile %s arasındaki lonca savaşı birkaç dakika içinde başlayacak! 
%s 길드와 %s 길드가 전쟁을 시작하였습니다!	%s ile %s arasında lonca savaşı başladı! 
%s 길드의 %s이 %d%% 증가했습니다!	Loncanın %s %s %d%% derecesine yükseldi! 
%s 길드의 %s이 정상으로 돌아왔습니다.	Loncanın %s %s tekrar normal. 
%s 길드의 깃발을 %s 님이 획득하였습니다.	%s loncasının bayrağı, %s tarafından çalındı. 
%s 는 군주 후보가 아닙니다.	%s İmparator olmak için bir aday değil. 
%s 는 군주로 입명할수 없습니다 .	%s İmparatorluğa aday olamaz. 
%s 님과의 교환이 성사 되었습니다.	%s ile olan ticaret başarıyla gerçekleşti. 
%s 님에게 파티가입 신청을 했습니다.	%s Grubuna katılmak istiyor musun? 
%s 님으로 부터 친구 등록을 거부 당했습니다.	%s daveti reddetti. 
%s 님은 %d 채널에 접속 중 입니다. (현재 채널: %d)	%s şuanda %d kanalında. (Kanalınız: %d) 
%s 님은 접속되 있지 않습니다.	%s çevrimiçi değil. 
%s 님은 정상적으로 출마를 하였습니다.	%s oyuncu zaten oylamada. 
%s 님을 소환하였습니다.	%s oyuncuları iyileştirdin. 
%s 님이 대련에서 승리하였습니다.	Düelloyu %s kazandı. 
%s 님이 승리하였습니다.	%s kazandı. 
%s 블럭! (%d%%)	%s engelle! (%d%%) 
%s 아이템 을 획득하셨습니다	%s eşyasını kazandın. 
%s 아이템이 필요합니다	%s gerekli. 
%s 에게로 이동합니다	%s yanına naklet. 
%s 회피! (%d%%)	%s kaç! (%d%%) 
%s: 존재하지 않는 길드 입니다.	%s: Lonca bulunamadı. 
%s[%d]가 공격 위치: %d %d	%s[%d] Saldırı pozisyonu: %d %d 
%s님과의 대결 시작!	%s ile olan savaş başladı! 
%s님이 대결신청을 했습니다. 승낙하려면 대결동의를 하세요.	%s seni savaşa davet ediyor! 
%s님이 주사위를 굴려 %d가 나왔습니다. (%d-%d)	%s zar attı. Sonuç %d (%d-%d). 
%s를 구웠습니다.	Ateşte %s kızartıyorsun. 
%s에 박혀있던 보석이 사라집니다.	%s mücevheri kayboldu. 
%s에 전쟁의 시작을 알리는 봉화가 나타났습니다.	%s de savaş yüzünden bir uyarı ateşi yakıldı. 
%s에게 대결신청을 했습니다.	%s savaşa davet ettiniz. 
%s에서 봉화를 둘러싸고 전투가 진행중입니다.	Ateşleri yakmak için %s savaşları var. 
%s에서 소켓 빠질때까지 남은 시간 %d	%sgirişinin silinmesine kalan süre : %d 
%s의 %s이 %d%% 증가했습니다!	%s: %s, %d%% oranında yükseldi! 
%s의 %s이 정상으로 돌아왔습니다.	%s 's %s tekrar normal. 
%s의 군주가 %s 님으로 교체되었습니다.	%s İmparatoru %s oldu. 
%s이 모든 봉화를 파괴하였습니다.	%s ateşi yok etti. 
%s이 봉화를 파괴했습니다.	%s ateşi yok etti. 
%s이 수성에 성공했습니다.	%s başarıyla savundu. 
%s이 수성에 실패하여 전쟁에 패배하였습니다..	%s kaleyi koruyamadığı için savaşı kaybetti. 
%s이 필요합니다.	Bu hareket için gereken: %s 
(%s) 길드가 생성되었습니다. [임시]	(%s) Lonca kuruldu. [Temporary] 
OX이벤트 맵을 먼저 닫아 주세요.(Flag: %d)	Önce OX Etkinlik haritasını kapat. (Flag: %d) 
OX이벤트가 닫히지 않았거나, 퀴즈 출제중입니다.(flag: %d)	OX Etkinlik henüz bitmedi. Hatalar oluştu. (Flag: %d) 
OX이벤트가 열려 있지 않거나 문제 출제중입니다.(Flag: %d)	OX Etkinlik bitti. Herhangi bir hata oluşmadı. (Flag: %d) 
OX이벤트를 강제 종료 시킵니다.	OX Etkinlik bitti. 
OX이벤트의 나머지 인원 기록을 실패했습니다.	OX Etkinlikteki diğer katılımcılar listelenemedi. 
OX이벤트의 나머지 인원을 기록하였습니다.	OX Etkinlikteki diğer katılımcılar listelendi. 
TEST : 현재 국고 : %d	TEST: Krallığınızın kasasında bulunan: %d 
TEST : 황금두꺼비가 국고로 환원되었습니다.	TEST: Altın külçe krallığınızın kasasına geri ödendi. 
TEST : 황금두꺼비를 국고로 환원할 수 없습니다.	TEST: Altın külçeyi krallığınızın kasasına gönderme yetkiniz yok. 
X 입니다	Hayır (X) 
[%s군주] : %s	[%sHükümdar] : %s 
[%s군주] : %s  보유금액 %lld	[%sHükümdar] : %s Yang Sahip olunan %lld 
[TEST_ONLY]현재 국고 : %d	[TEST_ONLY]Vergi : %d 
가만히 있을 때만 착용할 수 있습니다.	Eşya giyebilmek için hareketsiz olman gerekli. 
각제국 진행 정보	Krallık Bilgileri 
감지기를 작용하였으나 감지되는 영석이 없습니다.	Bu haritada şu anda Metin Taşı bulunmuyor. 
갑옷을 벗어야 개인 상점을 열 수 있습니다.	Sadece zırhınızı çıkardığınızda bir dükkan açabilirsiniz. 
값을 잘못 입력하였습니다.	Yanlış değer girdin. 
강화에 성공했습니다.	Güçlendirme başarılıydı. 
강화에 실패했습니다.	Güçlendirme başarısız 
강화에 필요한 재료가 아닙니다.	Ejderha taşını güçlendirmek için gerekli malzemeye sahip değilisn. 
강화창을 연 상태에서는 아이템을 옮길 수 없습니다.	Bu nesne, arındırma paneli içerisinde sürüklenemez. 
강화할 수 없는 용혼석입니다.	Bu ejderha taşı güçlendirmek için kullanılamaz. 
같은 개량서를 합칠 수는 없습니다.	Benzer roleleri birleştiremezsiniz. 
같은 종류의 메틴석은 여러개 부착할 수 없습니다.	Aynı türden çok sayıda Ruh Taşı ekleyemezsin. 
같은 종류의 유니크 아이템 두 개를 동시에 장착할 수 없습니다.	2.kez bu eşyayı giyemezsin. 
같이 지을 수 없는 종류의 건물이 지어져 있습니다.	Bu tip binalar sadece bir kez inşa edilebilir. 
개량된 후 아이템의 레벨 제한보다 레벨이 낮습니다.	Seviyeniz eşyanın yükseltmeden sonraki seviyesinden düşük. 
개량을 하기 위한 돈이 부족합니다.	Yeterli Yang'a sahip değilsin. 
개량을 하기 위한 재료가 부족합니다.	Yükseltme için yeterli malzeme yok. 
개인상점 사용후 %d초 이내에는 귀환부,귀환기억부를 사용할 수 없습니다.	Depo açtıktan sonra %d saniye Geri Dönüş Kağıdı kullanamazsın. 
거래 후 %d초 이내에 창고를 열수 없습니다.	Ticaret yaptıktan %d saniye sonra dükkân açabilirsin. 
거래 후 %d초 이내에는 귀환부,귀환기억부등을 사용할 수 없습니다.	Ticaretten sonra %d saniye Geri Dönüş Kağıdı kullanamazsın. 
거래 후 %d초 이내에는 다른지역으로 이동 할 수 없습니다.	Ticaretten sonra %d saniye bir yere gidemezsin. 
거래창,창고 등을 연 상태에서는 귀환부,귀환기억부 를 사용할수 없습니다.	Başka pencere açık olduğu sürece Geri Dönüş Kağıdı kullanamazsın. 
거래창,창고 등을 연 상태에서는 다른곳으로 이동,종료 할수 없습니다	Ticaretten sonra bir süre bir yere gidemezsin. 
거래창,창고 등을 연 상태에서는 보따리,비단보따리를 사용할수 없습니다.	Başka bir pencere açıkken depo açamazsın. 
거짓	YANLIŞ 
건물 비용 정보 이상으로 건설 작업에 실패했습니다.	Yanlış fiyat nedeniyle bina inşa edilemedi. 
건물을 지을 수 없는 위치입니다.	Bu alana bir bina inşa edemezsin. 
건설 비용이 부족합니다.	Bu binayi inşa edebilmek için yeterli Yang'ın yok. 
건설에 필요한 건물이 지어져 있지 않습니다.	İlk olarak temel binaları inşa etmelisin. 
게임을 종료 합니다. 잠시만 기다리세요.	Serverla olan bağlantınız kesiliyor. Lütfen bekleyin. 
결재기간이 %d분 후 만료 됩니다.	Oyun süreniz %d dakika içinde doluyor. 
결혼 상태가 아니면 결혼반지를 사용할 수 없습니다.	Evli değilsen nikah yüzüğü takamazsın. 
결혼식이 종료됩니다.	Düğün kısa süre sonra bitecek. 
결혼하지 않은 상태에서 예물을 착용할 수 없습니다.	Evli olmadığın için bu eşyayı kullanamazsın. 
경험치 %d%%	Tecrübe %d%% 
경험치 %d%% 추가 획득 이벤트 중입니다.	Tecrübe puanı bonusu şu anda %%d% oranında arttırıldı. 
경험치 배율	Deneyim yüzdesi 
경험치가 부족하여 책을 읽을 수 없습니다.	Bu kadar tecrübesizken bunu okuyamazsın. 
고기가 미끼만 빼먹고 잽싸게 도망칩니다.	Balık yemini kaybettin. 
고기가 잡혔습니다! (%s)	Bir balık yakaladın! (%s) 
고기가 흔적도 없이 사라집니다.	Balık derin suda kayboldu. 
곡괭이 수련도가 최대(%d)가 되었습니다.	Madencilik Puanın maksimuma ulaştı. (%d) 
곡괭이가 최대 수련도에 도달하였습니다.	Madencilik Puanlarınız en üst Seviyeye ulaştı. 
곡괭이를 들고 있지 않아서 캘 수 없습니다.	Kazma olmadan madencilik yapamazsın. 
곡괭이를 장착하세요.	Maden çıkarmak için bir kazmaya ihtiyacın var! 
곡괭이의 수련도가 증가하였습니다! (%d/%d)	Madencilik Puanların arttı! (%d/%d) 
골드 드롭률 %d%% 추가 이벤트 중입니다.	Düşen Yang yüzdesi şu anda +%d%% 
공격력 +%d	Saldırı gücü + %d 
공격력 +%d%%	Saldırı + %d%% 
공격속도 +%d	Saldırı Hızı +%d 
공부하기 싫어지네.	Daha fazla bir şey öğrenmek istemiyorum. 
관전 모드로 길드전에 참가하셨습니다.	Lonca savaşına izleyici olarak katılabilirsin. 
관전 상태에서는 교환을 할 수 없습니다.	İzleme sırasında ticaret yapamazsın. 
관통 추가 데미지 %d	Ek olarak verilen zarar %d 
국고에 돈이 부족하거나 돈을 가져올수 없는 상황입니다	Yeterli Yang'a sahip değilsin. 
국고에 돈이 부족합니다. 현재 : %u 필요금액 : %u	Vergi eksikliği. Mevcut Sermaye : %u Eksik Sermaye : %u 
국고에 자금이 모자랍니다 국고 : %d	Yetersiz vergi geliri : %d 
군주 정보	İmparator Bilgisi 
군주가 내린 축복으로 모든 에너지가 가득 채워집니다	İmparatorların Kutsaması nedeniyle enerji yansıtıldı. 
군주만이 사용 가능한 기능입니다	Bu özellik sadece İmparator tarafından kullanılabilir. 
군주만이 사용가능 한 기능입니다	Bunu sadece İmparator kullanabilir. 
군주만이 사용할수 있는 기능입니다	Bunu sadece bir İmparator kullanabilir. 
군주의 금강권 영향으로 이지역 %s 유저는 3분간 10 %% 의 방어력이  증가됩니다	İmparator Geum-Gang-Gwon sayesinde, oyuncu %s 3 dakika süreyle %%10 daha fazla savunma aldı. 
군주의 사자후 영향으로 이지역 %s 유저는 3분간 10 %% 의 공격력이  증가됩니다	İmparator Sa-Za-Hu sayesinde, oyuncu bu alanda %s 3 dakika için %%10 daha fazla saldırı gücü aldı. 
군주의 자격을 가지고 있지 않습니다	İmparator olmak için gerekli özelliklere sahip değilsin. 
군주의 축복으로 이지역 %s 유저는 HP,SP가 모두 채워집니다.	İmparator kutsaması kullanıldığı zaman %s HP ve SP yeniden yüklenir. 
군주의 축복을 사용하였습니다.	İmparator Kutsaması aktif. 
군직이 맞지않아 이 아이템을 사용할 수 없습니다.	Gerekli özelliklere sahip olmadığın için bu eşyayı kullanamazsın. 
귀환에 실패하였습니다.	Işınlama başarısız. 
그것으로 수련은 끝난 거야!	Eğitim tamamlandı. 
그래, 이 느낌이야. 체내에 기가 아주 충만해.	Evet, bu his mükemmel. Bedenim Chi ile dolu. 
그래, 천천히. 좀더 천천히, 그러나 막힘 없이 빠르게!	Yavaşça, fakat sürekli... Ara vermeksizin. 
그랜드 마스터 수련을 할 수 없는 스킬입니다.	Bu beceriyi Grand Master seviyesine geliştiremezsiniz. 
그런 명령어는 없습니다	Bu düzenleme mevcut değil. 
그런 사람이 없습니다.	Kişi bulunamadı. 
그런 이름 또는 번호의 길드가 없습니다.	Belirtilen isim veya numarada lonca mevcut değil. 
근력 +%d	Güç +%d 
근력이 낮아 착용할 수 없습니다.	Bu nesneyi kullanmak için yeterli güce sahip değilsin. 
금액이 부족합니다.	Geçersiz Yang. 
기억된 위치가 타제국에 속해 있어서 귀환할 수 없습니다.	Yabancı Krallıkta güvenli bir yere ışınlanamazsın. 
기억해 둘 수 없는 위치 입니다.	Bu yeri kaydedemezsin. 
기절하지 않음 %d%%	Baş dönmesi yok %d%% 
길드에 가입하지 않았습니다.	Loncaya katılamadın. 
길드원	Üye 
길드장	Lider 
길드전에 참가한 상대방 길드원이 아무도 없습니다.	Burada düşman yok. 
길드전이 일찍 종료되어 무승부로 판정 되었습니다. (5분이 지나지 않음)	Lonca Savaşı vaktinden önce bittiği için sonuç berabere sayılıyor. 
꿈속에서 어떻게요?	Rüyamda? Ne? 
나무꾼를 통해 다음 레벨의 곡괭이로 업그레이드 할 수 있습니다.	Kazmanı, oduncu Deokbae'nin yardımıyla geliştirebilirsin. 
나무에서 부터 신비한 빛이 나옵니다.	Ağaçtan gizemli bir ışık yayılıyor. 
나보다 너무 높은 레벨의 몬스터로는 변신 할 수 없습니다.	Kendinden daha yüksek seviyeli bir canavara dönüşemezsin. 
나의 군주 정보	Benim İmparatorluk Bilgim 
나의 삼거리 진행정보	İmparatorluk savaşı hakkında bilgi 
낚시 중에 미끼를 갈아끼울 수 없습니다.	Balık tutarken yemi değiştiremezsin. 
낚시대가 아닌 물건으로 낚시를 할 수 없습니다!	Oltasız balığa gidemezsin. 
낚시대가 최대 수련도에 도달하였습니다.	Maksimum Balıkçılık Puanı'na ulaştın. 
낚시대를 장착 하세요.	Lütfen bir olta seç. 
낚시대에 %s를 미끼로 끼웁니다.	Çengele yem olarak %s taktın. 
낚시대의 수련도가 증가하였습니다! (%d/%d)	Balıkçılık puanınız arttı! (%d/%d) 
낚시를 할 수 있는 곳이 아닙니다	Burada balık tutamazsın. 
낚시이벤트월척붕어	Balıkçılık olayı 'Büyük Sudak Balığı' 
낚시이벤트잉어	Balıkçılık olayı 'Sazan Balığı' 
남은 생명력 양이 모자라 사용할 수 없습니다.	Yeterli HP yok. 
남은 스탯 포인트가 없습니다.	Statü Puanı kalmadı. 
남은 스탯 포인트가 적습니다.	Kalan Statü puanları çok düşük. 
남은 정신력 양이 모자라 사용할 수 없습니다.	Bunu kullanmak için yeterli manaya sahip değilsin. 
너무 가까이 있습니다.	Çok yakınsın. 
너무 멀리 있습니다	Çok uzaksın. 
넘어지지 않음 %d%%	Düşmek yok %d%% 
녀석들은 이곳 성지에 있을 자격을 잃었다. 모두 성지에서 물러나거라~~[ENTER][ENTER] 10초 후에 모두 마을로 이동하게 됩니다.	Burada olmaya hakkın yok. Burası kutsal alan: Uzaklaş! 10 Saniye içinde köyüne dönmüş olacaksın. 
느려지지 않음 %d%%	Yavaşlama yok %d%% 
님의 말	At 
다 읽었다! 이제 비급에 적혀있는 대로 전신에 기를 돌리기만 하면,	Okudum! Şimdi Chi tüm vücudumu kaplıyor. 
다른 거래중(창고,교환,상점)에는 개인상점을 사용할 수 없습니다.	Şu anda özel depoyu kullanamazsın. 
다른 거래중(창고,교환,상점)에는 사용할 수 없습니다.	Başka bir Ticaret/Depo penceresi açıkken herhangi birşey inşa edemezsiniz. 
다른 거래중일경우 개인상점을 열수가 없습니다.	Başkasıyla ticaret yaparken özel depo açamazsın. 
다른 거래창이 열려있을경우 거래를 할수 없습니다.	Eğer ticaret penceresi açık ise, başkaları ile ticaret yapamazsın. 
다른 거래창이 열린상태에서는 상점거래를 할수 가 없습니다.	Başka bir ticaret penceresi açıkken depoda ticaret yapamazsın. 
다른 제국 유저는 소환할 수 없습니다.	Başka krallıktan olan oyuncuları birliğine dahil edemezsin. 
다른 컴퓨터에서 로그인 하여 접속을 종료 합니다.	Biri hesabınıza giriş yaptı. Bağlantınız kesilecek. 
다른거래창이 열린상태에서는 창고를 열수가 없습니다.	Başka ticaret penceresi açıkken depo açamazsın. 
다음 문제 준비해주세요.	Sonraki soru için hazır mısın? 
다이아몬드로 소켓을 추가해야합니다.	Elmas kullanmak istiyorsan bir slot eklemen gerekiyor. 
단계 개량에 성공했습니다.	Saflık derecesini geliştirme işlemi başarılıydı. 
단계 개량에 실패했습니다.	Saflık derecesini geliştirme işlemi başarısızdı. 
단계 개량에 필요한 재료가 아닙니다.	Bu nesneye arındırmada ihtiyaç duyulmaz. 
단계 개량할 수 없는 용혼석입니다.	Bu ejderha taşı, arındırmada kullanılamaz. 
닫기	Kapat 
당신이 주사위를 굴려 %d가 나왔습니다. (%d-%d)	Zar atınız. Sonuç %d (%d-%d). 
대련 강제 종료 성공	Düello iptali başarılı. 
대련 강제 종료 실패	Düello iptal edilmedi. 
대련 상대가 사라져 대련을 종료합니다.	Düello bitti çünkü savaşçınız gözden kayboldu. 
대련 시간 초과로 대련을 중단합니다.	Süre bittiği için düello sona erdi. 
대련 시작에 문제가 있습니다.	Düellonun başlamasıyla ilgili bir problem var. 
대련 중에는 이용할 수 없는 물품입니다.	Bu eşyayı düelloda kullanamazsın. 
대련이 성공적으로 시작 되었습니다.	Düello başarıyla başladı. 
대련이 시작되었습니다.	Düello başladı. 
대련자 문제로 인하여 대련을 종료합니다.	Savaşçınızla ilgili bir problem olduğu için düello sona erdi. 
대련자 문제로 인하여 대련을 중단합니다.	Arena ile ilgili bir problem olduğu için düello sona erdi. 
대련자가 없습니다.	Burada savaşçı yok. 
대련장 문제로 인하여 대련을 종료합니다.	Arenadaki bir problemden dolayı düello bitti. 
대련장에서 사용하실 수 없습니다.	Bunu arenada kullanamazsın. 
대박골드 드롭률 %d%% 추가 이벤트 중입니다.	Etkinlik Özel Duyurusu : Yang Düşürme miktarı %d%%  oranında arttırıldı. 
더 높은 경지의 수련을 성공적으로 끝내셨습니다.	Kitapla olan eğitimini başarıyla tamamladın. 
더 이상 OX이벤트 참가자를 받지 않습니다.	OX Etkinliğine daha fazla oyuncu katılamaz. 
더 이상 개량할 수 없습니다.	Daha fazla geliştirme imkansız. 
더 이상 수련할 수 없습니다.	Bu beceriyi daha fazla yükseltemezsin. 
더 이상 승마 수련서를 읽을 수 없습니다.	Daha fazla Binicilik Rehberi okuyamazsın. 
더 이상 이 아이템을 이용하여 속성을 추가할 수 없습니다.	Bu eşya geliştirilemez. Maksimum bonus sayısına ulaşıldı. 
더이상 이 아이템을 이용하여 속성을 추가할 수 없습니다.	Kutsama Küresini bu eşyaya başka bir bonus eklemek için kullanmalısın. 
더이상 캐낼 수 없습니다.	Burada maden yok. 
던전 안에서는 %s%s 사용할 수 없습니다.	%s%s zindanda kullanılamaz. 
독 저항 %d%%	Zehire karşı koyma %d%% 
독공격 %d	Zehirli Saldırı %d 
돈 %d 냥을 획득했습니다.	%d Yang kazandın. 
돈 대박이 나올 확률	Düşürülen 10'luk Yang banknot oranı 
돈 드롭율 %.1f배	Yang bulma şansı %. 1f 
돈이 나올 확률	Yang düşürme oranı yüzdesi 
돈이 부족하거나 아이템이 제자리에 없습니다.	Yeterli Yang veya envanter boş yer yok. 
동물류 몬스터 타격치 +%d%%	Yaratıklara karşı Atın saldırı gücü +%d%% 
동일한 머리 스타일로는 교체할 수 없습니다.	Zaten bu saç şekline sahipsin. 
두손검 방어 %d%%	Çift-El Savunması %d%% 
둔갑 중에는 능력을 올릴 수 없습니다.	Dönüşmüş durumda olduğunuz sürece statünüzü değiştiremezsiniz. 
둔갑 중에는 착용중인 장비를 변경할 수 없습니다.	Dönüşüm esnasında ekipmanını değiştiremezsin. 
둔갑서 수련을 마첬습니다. 신선에게 찾아가세요.	Dönüşümü tamamen öğrendin. 
둔갑에 실패 하였습니다	Dönüşüm sırasında hata oluştu. 
둔갑할 수 없는 상태입니다.	Ata binerken dönüşemezsin. 
드디어 끝이 보이는 건가...  이 기술은 이해하기가 너무 힘들어..	Bu talimatları anlamak kolay değil. Biraz daha çalışmam gerekiyor. 
등급 개량에 성공했습니다.	Arındırmayı bir sınıf daha yükseltme işlemi başarılıydı. 
등급 개량에 실패했습니다.	Arındırmayı bir sınıf daha yükseltme işlemi başarısızdı. 
등급 개량에 필요한 재료가 아닙니다.	Bu nesneye saflık derecesini geliştirmek için ihtiyaç duyulmaz. 
떨어진 아이템은 %d분 후 사라집니다.	Düşürülen eşya %d dakika sonra kaybolacak. 
떨어진 아이템은 3분 후 사라집니다.	Düşürülen eşyalar 3 dakika içinde yok olacak. 
뜨거운 무엇이 계속 용솟음치고 있어! 이건, 이것은!	Eğitim yavaş yavaş fayda ediyor... 
레벨 20 이하는 핸드폰 번호를 등록할 수 없습니다.	Cep telefonu numarası kaydedebilmek için 20.Seviyeden yüksek olmalısın. 
레벨 30이 되기 전에는 습득할 수 있을 것 같지 않습니다.	Bu kitabı anlaman için 30.Seviyede olman gerekiyor. 
레벨 50이 되기 전에는 습득할 수 있을 것 같지 않습니다.	Bu kitabı anlaman için 50.Seviyede olman gerekiyor. 
레벨이 낮아 착용할 수 없습니다.	Seviyen çok düşük olduğu için bu nesneyi kullanamıyorsun. 
로그인 화면으로 돌아 갑니다. 잠시만 기다리세요.	Giriş ekranına dön. Lütfen bekleyin. 
룻렛을 돌립니다. 금액 %d	%d Yang için rulet çevir. 
를	the 
마법 공격력 +%d	Büyülü Saldırı + %d 
마법 방어력 +%d	Büyü Savunması + %d 
마법 저항 %d%%	Büyü Savunması %d%% 
마음이 맑아지는군. 가슴을 짓누르던 무언가가 좀 가벼워진 느낌이야.	Zihnin açık. Şimdi iyi konsantre olabilirsin. 
많은 참여 부탁드립니다.	Katılım için birçok oyuncu arıyoruz. 
말 소환 아이템을 사용하세요.	Lütfen at çağırma nesnesini kullan. 
말 소환에 실패하였습니다.	At çağırma işlemi başarısız. 
말에게 %s%s 주었습니다.	Ata %s%s yedirdin. 
말에게 사료를 주었습니다.	Atı besledin. 
말에게 선초를 주었습니다.	Atı otlarla beslediniz. 
말에서 먼저 내려야 합니다.	Atından inmelisin. 
말을 돌려보냈습니다.	Atını gönderdin. 
말을 먼저 소환해주세요.	Lütfen önce atını çağır. 
말을 소유하고 있지 않습니다.	Atın yok. 
말을 탄 상대와 감정표현을 할 수 없습니다.	At süren bir kişiye duygularınızı ifade edemezsiniz. 
말을 탄 상태에서 감정표현을 할 수 없습니다.	At sürerken duygularınızı ifade edemezsiniz. 
말을 탄 상태에서 예복을 입을 수 없습니다.	Ata binerken bunu kullanamazsınız. 
말을 탄 상태에서는 먹이를 줄 수 없습니다.	Atının üzerinde otururken onu besleyemezsin. 
말의 스테미너가 부족하여 말을 탈 수 없습니다.	Atının dayanıklılığı çok az. 
말이 없습니다. 마굿간 경비병을 찾아가세요.	Burada at yok. Seyise sor. 
말이 죽어있는 상태 입니다.	Atın öldü. 
맞으면 O, 틀리면 X로 이동해주세요	Doğruysa O'ya git, yanlışsa X'e git. 
머니  룰렛 시작.	Yang Ruleti Başlat. 
먼저 다이아몬드로 악세서리에 소켓을 추가해야합니다.	İlk önce bir slot eklemen gerekiyor. Bunu yapmak için bir elmas kullan. 
먼저 용혼석 퀘스트를 완료하셔야 합니다.	Cor Draconis'i açmadan önce Ejderha Taşı görevi tamamlanmış olmalı ve Ejderha Taşı Simyası etkinleştirilmiş olmalı. 
먼저 일어 나세요.	Önce kalk. 
먼저 재가비서를 이용하여 속성을 추가시켜 주세요.	Kutsama Küresini üzerinde zaten 4 bonus olan eşyalar için kullanabilirsiniz. 
메틴2인증번호: %s	Metin2 Onay Numarası: %s 
메틴석 부착에 성공하였습니다.	Ruh Taşı'nı başarıyla taktın. 
메틴석 부착에 실패하였습니다.	Ruh Taşı yerleştirirken kırıldı. 
명령어를 모두 입력하세요.	Lütfen düzenlemenin tam ismini giriniz. 
명령어의 서브 커맨드가 잘못 되었습니다.	Sıralama veya alt sıralama yanlış. 
모닥불을 피울 수 없는 지점입니다.	Buraya kamp ateşi yakamazsın. 
몬스터에게 강함 +%d%%	Canavarlara karşı güçlü + %d%% 
몸 속이 뜨겁군. 하지만 아주 편안해. 이대로 기를 안정시키자.	İçim yanıyor fakat vücudumu sakinleştiriyor. 
몸에서 뭔가 힘이 터져 나오는 기분이야!	Bedenim güçle dolu! 
무기와 갑옷에만 사용 가능합니다.	Yalnızca silahlara ve zırhlara uygulanabilir. 
무당공격에 %d%% 저항	Şaman ataklarında %d%% dayanıklılık 
무당에게 강함 +%d%%	Şamanlara karşı güçlü + %d%% 
무료 개량 기회는 20 이하의 무기만 가능합니다	Ücretsiz silah geliştirmeleri ancak seviye 20'ye kadar olan silahlarda kullanılabilir. 
